Speaker 1:          00:00:00       Yoga
Speaker 2:          00:10:31       And then once I started realizing what that stuff's doing to my body and how I can feel it, it changed. It changed my whole mindset. Like eating healthy was one of the biggest things that improved my skills as a fighter. I feel like just as far as my mental thoughts, um, my training sessions were so much better. Will you just say in the eat a lot of sardines? No, I said I had some sardines last night and then I had some this morning. That has a very good food. They're not. No, they are. Yeah, dude, we're so, so lucky to have the internet and podcasts and be able to learn from guys like you, Dr Andy Galpin, like Aubrey, Marcus, Tim Ferris, like Chris Fresh.

Speaker 4:          00:11:12       You ever listen to some of the episodes with Chris Kresser, fantastic information, fantastic information on nutrition. You know, I mean there's so many guys like that. Rob Wolf, you know, so many people that are like at the cutting edge of performance and diet. And Robb Wolf is interesting too because he experiments himself on with his own body quite a bit and it talks about an online and he's getting really heavily into Jujitsu right now. And he does a lot. I mean he's, he's really interesting too because he does a lot of ketogenic stuff but really adds way more carbs on Jujitsu days. And um, I had Zack bitter on Zach one, the uh, what was the American record for 24 hours. It's American record

Speaker 2:          00:11:54       for running 24 hours, the most amount of miles in 24 hours. Um, he, he's, yeah, he's a fucking beast. And how many did he run and what does he run like he ran 24 hours straight. Yeah, yeah, yeah. A full day of running. That's what we're trying to find the balance though. Like we're eating, but you don't want to do that on days that we're not training. We're doing, we're trying to do Kido, so we're just keep the inflammation down in her body. But it's bitter guy that I was just gonna say he, he's a full Kido guy. He's, he mostly eats meat, but on days when he has, there it is, he broke the u s 100 mile record. That's what it was. Seven minutes per mile for 12 hours. That's, that's the record. That's right. What a bad ass. Oh, he's a, he's a fucking savage.

Speaker 2:          00:12:37       Mental thoughts I run in. I wonder if he's just in the now just go, it's gotta be in a trance. But um, he, on days where he's running, he way ramps up his carbs. So like, you know, the average person is trying to keep their carbs within like 50 grams or 75 grams to stay Kito you've got to recognize that for extreme requirements, like physical activity ramped that shit up. So Rob, I'm just going to say that Rob Wolf is really experimenting a lot with that. It follow him on Instagram. He's big up on that. Yeah. Like, and we listened to a lot of Ben Greenfield too, so I was like, fantastic. And we're not training, we're listening to you guys. It's like we're treating you guys like a college, like your guys is our college. And then we're going to Jujitsu, learn from Makino going to learn from John Crouch and like, I dunno, I feel like we're on a really good track, especially for sugar.

Speaker 2:          00:13:24       Now how do you guys know each other? How'd you guys meet? Ooh, good story. I, uh, I was going to commentate and with belt or at the time and going back to Montana to commentate for some fights and a shotgun for Beltour fighting for them. Yeah. And then I went to commentate some local fights up there and I saw Sean and he was says 18, 18 at the time. And I saw him, I was like, damn, I kid submitted a, a wrestler and the first round and I knew at his gym, he doesn't rest it on. My Kid's got some good talent. So I invited him down after I went up to him and I said, hey dude, you can stay on my couch for a little bit and come check out the gym. Kind of figured he wouldn't. And I remember, I remember the, he told me that I was so jack, cause I knew Tim, I seen him on TV.

Speaker 2:          00:14:03       I didn't meet him personally, but I've seen him on Bella trees on the fight master show. And uh, after my fight I were at the sting bar, like a local bar. And he came up to me and he offered me that. I remember, I think I called you the next day. I'm like, hey dude, yeah, I want to come down. And we figured it out. I think I came down a few weeks later, months later, I came, not for 10 days, and it was like one of the most, the biggest ass wouldn't have ever got in my life. I remember when we were driving from the airport, he was talking, he's like, yeah, I mean you were going to the top. I'm like, this kid has no idea what he's about to get himself into. Taking him to the pro practices, all the people, because as soon as you get on the team, everyone fucking hammers on you. The Hammer is on youth beat you, they break you down mentally to see if you're going to come back. So I was, I was there for a full week. So Monday is striking it. Tuesday at wrestling, I literally did not know how to wrestle. It didn't notice single leg was, it, didn't not know anything about wrestling. Um, I remember

Speaker 3:          00:14:53       a good group of people just want me bad. I remember crying, leaving practice, running on high school to know nothing, nothing. And you, what part of Montana? You from a Helena. The capital. Um, but yeah, I never saw, I boxed a little bit, but I never, never wrestled. Didn't really grapple. I remember I knew one arm, I knew an armbar off my back is the only thing I knew and that's what I caught that wrestler and I, I've got him in an arm bar. I surprised I didn't even, I was like, Holy Shit, I just did that. But anyway, came down, got beat up bad for a week. Um, went back, say, went back to Montana, um, saved up $2,000, packed my car, drove down. He was living with his girlfriend at the time. Um, we stayed there for two weeks, then we got an apartment. Um, and I, I'd only known Tim a little bit, but we got an apartment close to the lab and I just literally went every single day, twice a day. When he first showed up. He like, I was going to, I smoked some weed in the night and he was so taken back. He's like, Holy Shit. He looked up to me, couldn't believe that I was doing that. Drove you smoked weed. And my dad didn't find that the detective in in Montana and I would just, I was raised like weed, not good, not good. Like that's what was going through mine. I thought it was bad. Like really bad about it. Oh yeah. I remember he came down

Speaker 5:          00:16:06       places that went backwards with wheat. They had medical marijuana in Montana and now they're removing it. They're removing all the stores. When I was there, they were like, they were having some sort of a closeout sale cause they were, they were getting shut down. I don't know if that's since been amended or fixed.

Speaker 3:          00:16:22       I don't know. That's what sucks. Died. And when he, when he moved in, when he moved in, I was like, okay, this kid is fucking pissing me off. He's not picking up his shit. He'd not not doing his dishes. He eats like mom did all that for me and I'm like, okay. I either could get pissed off and kick them out, but then I realize I'm like, he doesn't even know. He doesn't even know. So I'm going to work them. I'm going to try to treat him like my little brother and help him. And he was willing to like kind of follow along. And then he started slowly starting to eat better, started eat spinach and his back problem started to go away. And um, what kind of backpack on my back would always hurt. Always inflamed, always. I don't know what it was. I just, all time I remember getting it looked at my lower, lower back.

Speaker 3:          00:17:01       It was, it was, it was nothing. It was literally from eating shitty food. It's just all the inflammation from all the shitty food I was eating. And I didn't know that at the time. I remember my mom took me in there, like up beer back's fine, but it hurts so bad always. I started eating more anti inflammatories. I started making shakes with spinach and almond milk and blueberries and Chia seeds. I started eating healthier and I'd slowly notice like, oh, I feel better. I started. So I started getting more into eating healthier. I remember just recently, um, I had a Vegan diet for six months and the people on Instagram hate me now that I don't eat vegan diet anymore.

Speaker 5:          00:17:34       You go off Vegan diet man. That's like when you become a Muslim apostate. Seriously. They want death to you.

Speaker 3:          00:17:41       Yeah. Cause I've been posting pictures like I posted a picture of, I got this um, grassfed beef jerky for whole foods yesterday. Got Probably 30, 40. Why aren't you vegan anymore? Or just meet like people though? They, they're mad at me for not eating a Vegan diet anymore. But I would say like, I hate that Vegan diet for six months, but I did, I incorporated eggs and do it cause I just couldn't, I wasn't eating enough. But I never, I never felt bad. I didn't feel worse. I just didn't feel great. Once I started eating good quality meeting and I felt my energy levels, I'd wake up on, my energy levels were way higher. I just felt more aggressive. I felt more like manly. Um, so if he comes right now, get getting angry in the content against, in the contenders. I know you lost me.

Speaker 3:          00:18:24       The contender series fight, he weighed 138 pounds. He was a Vegan at that time. I walk sick, lease dislike skinny. There's more to that too than than just the beginning. I had a concussion, a bad concussion. Three weeks out from that fight against Alfred and the tender series. I remember waking up in the middle night puking. Um, I couldn't train. Um, I remember I even woke up with a little headache going into the fight. Do you remember it was from, um, yeah, well I was from sparring. I hit hard, boom. And I remembered, I'm like fuck. But I knew it was the huge opportunity. Um, I like the matchup. I knew I just had to go out there and perform. But yeah, I was, I weighed in at one 36 and I walked into the cage at one 38 like I was, it was, and you can even look, go by, look, go back and look at that video.

Speaker 3:          00:19:05       And it looked just unhealthy, but it all works. Yeah. I just, I was so skinny. I was like 138 pounds right there. Yeah, I still dropped his ass. Then two weeks later we went to to hang out with her buddy, a Scott Holtzman in the UFC for a UFC Fresno and a Dr Andy Galpin was with him for the week and I knew sugar was with me. He watched what the health and that's what turned him Vegan. So I made sure to ask doctor handy in front of sugar. I said, how much would Sean benefit from eating like elk or a grass fed meat twice a week. He's like fucking hugely, hugely. And then Sean right there and made the decision, I'm going to start making some guys tell him if this, if he's this smart and he's telling me that some good quality meats going to benefit me, I would be stupid to not take him up on that and, and do that. So, and I don't regret it. I feel so good eating meat again, I feel way stronger.

Speaker 4:          00:19:57       It's hard when you see those documentary and also you get a lot of positive reinforcement from other vegans that are very happy that you're Vegan. Yeah, they'd love that you joined the team and look, people want to be healthy and for the most part, eating vegetables is very healthy. The problem is we, there's a lot of nutrients that you're gonna really have to search for if you're just eating plants and it's, the protein is not as bioavailable. The amino acids are not as bioavailable. It's very hard to get vitamin B without supplementation. There's a lot of shit that you're just not going to get and they like bang for your buck in terms of what the amount of nutrients that you get in like a small grass fed steak versus a big plate of Broccoli. It's just not the same and they don't want to admit it.

Speaker 4:          00:20:39       And a lot of these feelings, those, I think those what the health guys, I had the mom when they did Cowspiracy I think they mean well but they are fucking true believers and they, they are not trying to put together a documentary that states all the facts. Objective Lee, they're doing a vegan propaganda film and on it debunked a shit load of the things. We had an actual nutritionists analyze what they were saying, go over the studies and they debunked a shit load of what they put in that film. That film is propaganda film and it gets a lot of people thinking that this is the way to go. It's going to reverse heart disease and help your body and, but they get so many things wrong deep into the meat does not cause diabetes. Like this is nonsense like that when they do these studies with people, especially like um, studies that they do on people that show that people that eat meat more than five times a week have a higher incidence of heart disease and all these different things.

Speaker 4:          00:21:32       They don't measure what else they eat. These people that are eating meat all the time or eating fries and shakes and soda and you're not analyzing someone who eats sauteed spinach and olive oil and a piece of grass fed beef or bison or elk or something like that. No, you're, you're getting some assholes eating Jack in the box. Like, yeah, that stuff's terrible for you. It's fucking sugar and refined carbohydrates and nonsense and trans fats. Oh, that's those terrible for you. If there's, there's no studies that show that eating clean like people have eaten for thousands of years. I mean, literally if me caused cancer, 97% of the planet would have cancer and that's, that's the numbers that eat meat on a regular basis. It's like 95 plus percent. Fuck. And then those people like that are vegans. They're like, oh, I'm going to try a Vegan Diet.

Speaker 4:          00:22:21       And they're eating all these veggies, getting these nutrients that they didn't get before and they're like, I feel fucking kid off that bullshit diet. He stopped beating Jack the Box Star Jack in the box in the middle of the night. Sometimes I do go to, as for comfort, it's not Jack [inaudible], he's just fast food, shitty food, processed food, you know? That's what the problem is. It's like people, like you're saying like ramen. I like ramen every now and then. Fuck, it tastes good, but it's not good for you. I couldn't eat. Yeah. It's just like knowing what that, what that what it does do your by knowing that you are what you eat, it's high. Can't, I can't cheat. I can't do it. If I have no, that's not going to benefit my body. I can't eat it. It's hard. What you eat like 100% and I so simple. You know, it's such a simple, it's such a simple phrase, but literally your body is made out of what you eat, not mouth.

Speaker 4:          00:23:08       Pleasure, pleasure, God damn man. Ice Cream Sundae with hot fudge. That's good. But there's so many. There's all these healthy you can, you can replace all of that with healthy stuff. I haven't had any Quito ice cream, but I've heard good things. Some people said that there are some Stevia sweetened or Xylitol sweetened Quito ice cream. It doesn't fuck with your body. Nice. That new halo top man has that coconut sweetened coconut milk and Stevia. That's pretty tasty. Yeah, well there's, there's stuff that you can eat that is good. And of course fruit, you know, eating healthy fruit. I mean, look man, a nice, delicious ripe peach is about as fucking good as any bullshit. Fucking fake dessert you're going to get anywhere. We don't appreciate it because we think of it as being like a healthy choice. So it doesn't, you don't get that I'm being a naughty boy reward that you get from, you know, having a banana split or something.

Speaker 4:          00:24:02       Fuck God. It's just not worth it might asleep up. Yup. It fucks your blood sugar up. And that's the thing. It's crazy that most people don't know. They're like, God, I just eat and I'm tired and then I just get started again. They just don't know about those blood sugar fucking, yeah. The insulin spikes. And I had a regular coke the other day, like a couple weeks ago for the first time in years. How calm, oh, just whatever it was there. So I haven't had a coke in forever. Let me have a coke. And I was, it was, I was like, it was like drinking syrup like this sugary, it was like felt thick when it was, when I was chugging it down, it was, I was like, no, no. But I did feel like shit after it was down. I was like, Ooh, I feel terrible. But how many people drink those fucking things every day? Every day.

Speaker 3:          00:24:52       42 at 34 ouncers or what are the three towns? Pop. It's hard. Yeah. It's hard cause it's a who you're surrounded with to like, fuck dude. If you're surrounded with everyone, like, oh come on pussy. Just have a good time. Enjoy your life. You're like pocket. Right. And then you're like, exactly. That's, that's not like who you like, it's such a common thing. You are who you surround yourself with but people don't, I dunno. It's like I'm so lucky that when I was surrounded myself with Tim, like he introduced me to eating healthy. I remember when I was 19 I moved to the lab every day. We have pro practice Monday, Tuesday, Wednesday, Thursday, Saturday, every day I was going to the coffee shop and reading mind gym books and meant not like all these mental books and we're doing it together. We were reading constantly improving each other, wanting to get better, want to do help each other improve. And that's, it was so important for me to, you are who you surround yourself with and I see people not surrounded with themselves with the best people they can be around and to trap.

Speaker 4:          00:25:46       Yeah, it's a terrible trap. But sometimes those people that are not the best people are really fun to be around the problem.

Speaker 3:          00:25:52       That's a distraction. It's like what's keeping you back from wanting to be the very like I want to be the best Bantam weight in the world. Like what's keeping you people back from wanting to be the best of them and still just distractions. People who are fun to be around alcohol, you know, even women, like certain foods, like distractions of what's keeping you back from wanting to be the best you. So it's just our brains are crazy. Our brains are not.

Speaker 4:          00:26:14       Yeah, I mean just, well you got to think about just what you do for a living. I mean just that alone is crazy, right? The desire to be a professional fighter, to desire to fucking kick people in the head and choke them and have them try to do it to you. And this is what excites you and that this is what's driving you to go to the gym to improve constantly at, I mean, that alone is crazy, you know? And then these other people that are living their lives and drinking too much and smoking too much and eating shitty foods and you know, they, that's their path. You know, they're there but their path is not compatible with your

Speaker 2:          00:26:48       path. That's the big key. I like how Kyle Kingsbury said like, uh, like there's going to be some point in your life that Health Jermaine priority. There's going to be some point when you're old and you have a disease or it could be now, but I was lucky enough to like when I was 20 and 21 learning these things, I moved in with Robert Follis and got to live with him for a while and I was like, damn, this motherfucker's got bookshelves of books, super smart. And I'm like, why is he eating all that? Why does it go to this trader Joe's place? So I started going to trader Joe's and I'm like, Robert Falls would always say, he's like, how much do you train your mind? We train Jujitsu, train wrestling, we train all of this. How much do you just sit there and train your mind? And I was like, fuck.

Speaker 2:          00:27:25       So I just started reading books and started reading about eating healthy and super lucky to learn and be around that guy. He was probably one of the biggest influences in my life because I was raised Jehovah's witness my whole life and he was raised Jehovah's witness his whole life and I carried a lot of fucking guilt for not being in the like religion slash, cult. And he's like, dude, you're not a good person because of that religion. He's like, you're a good person cause you're a fucking good person. And then just started telling me to read and do your own research. Don't listen to these people, do your own fucking research. Learned a lot from that guy and that they've got to pass it on to sugar. He was a gem. I really, really loved that guy.

Speaker 4:          00:27:58       Such a great guy to be around. I mean, I didn't know him enough. W you know, really when he died, it bummed me out so much. It was like, God damn, I should've spent more time with that guy. Isn't that crazy?

Speaker 2:          00:28:08       It was the only got to meet him. I only met him like three or four times, but every time I was around him I was like, it was cool because he taught him so much and I get to learn. I'd seen like that's where he learned it all from it. Like Robert's a smart dude. Yeah. That's good.

Speaker 4:          00:28:20       Bummer. You know a guy like that would want to end his own life. Like how is that possible that someone was so loved and respected and appreciated? It really just highlights, you know, the, the, the real issues that people who have mental illness and depression are going through. You know, it's like it's not, it's not obvious to people on the outside.

Speaker 2:          00:28:39       Yeah. And I think I know what someone's, you just never know how someone's feeling or thing. You know, his brother committed suicide and I think that's what made him start like maybe getting into pills or alcohol and stuff. But it was weird because he would always be the one that the answer for you to wear your problems. You have the perfect answer, super intelligent. So it kind of freaked me out. I'm like, man, I want to, I want my life to be like that guy. I want to be like him when I grow up. When that happened, I was like, fuck man, I couldn't believe it. How did you get out of Jehovah's witness? Uh, my parents got divorced in eighth grade. My mom moved to Canada, was still a Jehovah's Witness and uh, I lived with her for a while and I just was super trapped, couldn't hang out with anyone, couldn't do any sports. And I was like, fuck, I have to make a decision. Go with my dad and get out of the cult. And all the elders were like, don't do that. That's a mistake. That's a mistake. But I made decisions. They have elders too, just like the Mormons and I'm, and I made the decision I'm going to go move with my dad and moved back to Montana. And then my dad was super into UFC, so I started wrestling and boxing when I was 14. And then on from there,

Speaker 4:          00:29:36       my, uh, one of my wife's, well, how do I put this without this person I

Speaker 5:          00:29:41       know was a heavily into Mormonism and uh, they, they had people come over the house that were elders and the kid was 20, and he was like, this is elder Mike and Mike the fuck it is elder Mike. Well, he talking about elder 20. Dude, I'm like up there and get some pussy that it's so preposterous. You fucker. You know. And they were, um, they were going to other countries as missionaries, getting these people and riding their bike South America and you know, going up to him and send, Hey, yeah, come join the call.

Speaker 3:          00:30:20       I remember my dad was watching the UFC when I was, I had to have been 12 or 13 and I thought it was the one I was like, I remember telling my mom that he was watching. I told on him like that he's watching two guys fight. I thought it was the craziest thing ever. I hated it. I did not like confrontation like 1213 years old and I remember literally telling on him my dad that he watching the UFC.

Speaker 5:          00:30:42       It's funny looking back on that. That's hilarious. Yeah, it was funny. Remember who was fighting.

Speaker 3:          00:30:47       I don't. I remember he, I remember chuck and Tito and then Uriah, Uriah Faber. Those were the three guys. Like I remembered

Speaker 5:          00:30:53       their names. Yeah. Yeah. Can you believe they're going to fight again? Are they getting along again? Chuck and Tito are supposed to be fighting again. Yeah. When this year and next thing he knows it's for Oscar de la Hoya is burgeoning MMA promotion. Tell him you're not going to watch, so I will pay you. Fucking got me, man. You got me. I mean, I probably will have to watch. Didn't pick that up. I don't think Bella Tarr wants it. I think Bella tours cautious. You know, I know Bella tour was talking to chuck, but you know, I mean Dana White said it best is a reason I asked him to retire 10 years ago, 10 years ago. I mean, look man, there's a number here. It is. Tito Ortiz is announces, he's coming out of retirement for Chuck Odell trilogy is that today, May 11th. So it's like, oh, okay. Yeah, it's happening man.

Speaker 5:          00:31:43       It's happening. I wonder how their training camp you're going to go, but they're going to be hurting, you know, a lot of Mris. Serious one, two sessions a week. Well, Tito is in remarkably good shape. Believe it or not, cause he's had a significant number of back injuries, but other than the chocolate Dell fights, he really didn't take a lot of headshots. Yeah. You know, it didn't really take a lot of head trauma. Yeah. Tito's a tough motherfucker, man. He's been, he's been around a long ass time. And when he fought chuck, the gap in striking was just so large. You know, Tito was always, uh, a competent striker. You know, he was a strong guy and a great wrestler in his ground and pound, but some of the best, I mean, Tito was one of those guys never bothered passing the guard. He was like, fuck you and fuck your guard. Teen quest. I'm going to get on top of you and smash you. And there was nobody catching Tito Ortiz and triangles get the fuck Outta here with that.

Speaker 6:          00:32:40       You were getting elbowed and punched in the face. He was phenomenal at that. But his standup could not hang with chuck. Chuck, when you think of chuck stand up like it was never like, but it was beautiful and a lot of ways because of the knock outs were spectacular, but it was, there was, it was not sneaky. You know what I'm saying? There was no artistry to it. There was no faints or swell is no like Tj Dillashaw style movement or Dominick Cruz or it was just a tag viking. Ah, just smash people and skillful, don't get me wrong. It was a very, I mean, look, he, he fucked up a lot of really good guys with solid technique, but it was just so overtly aggressive. Like his style was so aggressive that that style just caught up with him. I mean, he's got, he was in so many wars, man.

Speaker 6:          00:33:35       I mean, just so many fucking crazy wars. It's weird the confidence, like you see like, it's so good. I feel like when someone knocks people out early on in their career and they're like, oh shit man, I fucking touches guy. He's gonna fall sugars, knock someone out with every limb on his body. So it's like, he knows he can touch this guy with any limb and what they do, what they fucking fall over. And I think a lot of people late in their career, they'd never knocked him out. They don't believe that at all. And I feel like you can see that big time and fight or a wrestler knocks him out for the first time and then you're like, oh, addicted Johnny Hendricks style. Right. Well Hendrix for a while had some magic power in his hands. It was weird, but it's weird is that it went away.

Speaker 6:          00:34:19       It didn't make any sense. If you see like his fight with Martin Kampmann or his fight with Fitch or a lot of the guys he fought, he would just fucking one touch these guys and they would fly across the cage. Like he had magic in his hands. Luck Dude Hendricks for a while. Man, I don't know if he got injured, if his shoulder got fucked up, if he couldn't throw the way he used to be able to throw whatever it was. You saw the whatever it was, whatever. Got them, whatever got them. He motivation time, just father time, whatever it was. But God damn it just went away and then he became not a dangerous striker. It's so weird. Fucking weird. And that's another thing like whether it's Usada or whether they're using those losses. There's informative or demoralizing. Well, we all know everyone who has been around, Jim's knows things that have not been published.

