Speaker 1:          00:00:02       Sure.
Speaker 3:          00:06:22       All right. Like I explained to you originally, I feel like it was partially a political hit because of the industry I worked in and all of that kind of stuff. But also like I was telling you before we started the more. I've had time to think after all things things, things happen. I want you to a company. I was working 70 hours a week. I had no bandwidth to really think about what the hell happened. The more I think about it, the angrier I actually got about about like how I had to go through that and watch other people also kind of go through similar things as the outrage machine just eats people and spits them out as they go along. When you stop it,

Speaker 4:          00:06:52       I think about what you actually said and that, that what that actually cost like that actually caused you to stop working with people like this one silly joke. Like they don't know you. They don't know. You know that one joke that one thing that you said is so awful and outrageous that all of our years of collaborating, working together, trying to do projects, trying to be creative, having fun, all the conversations we've had about life and about humans and politics had men and women. Those are all out the window. Man. You made a joke that I find marginally. Yeah,

Speaker 3:          00:07:29       maybe uncertain day. Marginally offensive.

Speaker 4:          00:07:31       It's if it was a woman, if a woman said that like a day of peace and quiet a day without men.

Speaker 3:          00:07:38       Yeah, that's what I would go out to keep them and move on with your life. The idea that like, oh, I've got to get this lady fired. She's a terrible person. It was the only thing that I can think about is that I was at least in a position where it didn't destroy me or whatever. Like I was. I actually am doing, you know, financially better and feel happier and what I'm doing now. So it didn't, it kind of backfired or other people that we're trying to do whatever they were doing to me anyway, but I feel for the people that find themselves in similar situations that don't have and I don't know, like some, some sort of Internet cloud or some sort of community that can kind of rally around them and lift them up, which is what my community did to me, which I'm so appreciative of.

Speaker 3:          00:08:14       So I just think about how it's just sad. Like I, I don't know that I've ever been so offended by something. Somebody tweeted or even said that I like went out of my way to, to make it personal and try to destroy them. I'm not saying people don't do terrible shit happens all the time where we're seeing that play out with Harvey Weinstein and all these kinds of things. Absolutely awful really awful things and I feel like people are kind of like being distracted by the shiny object in the corner when they're losing sight of what's important. Well today it feels like there's blood in the water, you know? I mean, it just, it seems like there's so many people going after so many people. It's just people are running around looking for targets. I the way I met, imagine I'm imagining like the Internet and people on the Internet being like an angry mob

Speaker 4:          00:08:56       running through the streets, frothing at the mouth, just looking for somewhere to point their gun. I mean, that's really what it feels like. It feels like there's definitely some real targets out there. Yeah, there's definitely some. This Kevin Spacey thing is, is a scary thing. I mean apparently Rosie O'donnell start tweeting that he had been doing this forever and that this is just the tip of the iceberg and there's a bunch of boys that he went after. I don't know what's true, what's not true right now. I'm a, I'm assuming, but that's real. That's a real horrible thing. That's not a joke. It's not someone with an innocuous maybe off color joke. I mean this is like real stuff. So I think the good part is all of this awful behavior, predatory evil, you know, all the Harvey Weinstein and whatever else is probably a million other ones. Right. That stuff's going to get exposed, but it seems like the negative part about it is that people are looking for targets. They're just, you know.

Speaker 5:          00:09:58       Yeah. And well that's what kind of scares me. I was telling you, I don't know if you're a black mirror fan, but I was, well I've only watched one episode, but I love it. I highly recommend you get two eps. I love that show and it's, it's what's going on now. Reminds me a little bit of like a Black Mirror episode where like, it's like people are, like you said, are targeting others, but I feel and I feel like accusations are part of the process are part of due process really starts with the accusation and I feel like people aren't, you know, and I'm, I'm not defending anything that anyone's done, but I feel like everyone just assumes guilt no matter what and it scares me because now we're getting to the point where anyone can accuse someone of anything at all and they're automatically guilty and they're automatically shame that I'm like, but aren't you curious what's true?

Speaker 5:          00:10:39       Maybe half or 75 percent of this is true, but certainly not all of this is true. Certainly not all of these accusations are true at. The one thing that I was interested in is um, Mark Halperin who the political writer who was accused of things last week. He didn't hear this one. There's so many to keep up with. Yeah, no, it's, it's happening a lot. Mark Halperin is a famous political writer. He wrote a game change and double down those famous books. About 2008 and 2012 with John Heilemann who was his partner. He was on Msnbc and all this stuff and he was accused of some sexual harassment when he was at ABC News in the early two thousands. And he came out and was basically like, I'm sorry for my behavior and all that kind of stuff. And what I thought was interesting about it was that he was like, not all of these accusations are true, but he kind of just then went on and apologize and did all this and I'm like, but I'm interested in, in like, what are you going to contest any of this?

Speaker 5:          00:11:24       Like what is true and what isn't true? Why aren't we interested in what is true and what isn't true? Clearly you are a scumbag in some way, but I'm also curious in, are you going to defend yourself? Are we in a situation where no one can defend themselves from these, from these terrible accusations? And it reminds me of a black mirror a lot and that's a worthy accusations. He was a basically accused of um, heavily hitting on women like that were junior than him. Some when we're working with. Yeah, exactly. Somewhere, somewhere like, I don't think any of them accused him of sexual assault or anything like that, but apparently he might've rubbed up against some women or did some, some things that are sexual assault. Yeah, presume I assume so, but I guess what I'm saying is like on somebody that's essentially sexual assault, I mean more like I don't think they're accusing him of raping them or something, like something like something was absolutely horrifying.

Speaker 5:          00:12:08       Horrific, you know. Um, and I'm like, well, clearly, you know, I liked him a lot and I'm like, well I can't, I don't, you know, you're clearly not a good person. But I was also just interested in that, in that, that dynamic of his statement where I was like, well, what isn't true? I'm curious what isn't true, why, you know, it almost suggests that everything is true, but then you just never know any situation. So I just kind of reserve judgment until more information is known about all of these people. And I'm not, I don't want to jump in on it because I don't know,

Speaker 4:          00:12:35       even want to know, I mean, unless it's people that are in my world, I mean at a certain point in time, look, I mean I want to know about Kevin Spacey type situations or Harvey Weinstein type situations, but I think there's a lot of men that are in that position where they're are a boss or they are, you know, the owner of a company and they have these people under them and these people behave in a certain way. Like almost like as if they are royalty, you know. And I think that's what Harvey Weinstein experienced. I mean essentially he was like the royalty of is this enormous movie empire. Right? And we find that particularly offensive, this not just, he's not just a creep trying to get laid. He's a guy that was trying to hold that power over people and use it against them. And then on top of that he was like physically forceful.

Speaker 4:          00:13:26       So you've got like your worst case scenarios and then you have guys that are just trying to get laid and you're like, okay, how do you, what, what, what, what we, we demonizing aggressive heterosexuality, like where does this go? Where does this go into sexual assault? Like rubbing up against someone physically touching them when they don't want you to. Well that's sexual assault but hitting on someone but that doesn't seem like sexual assault or anything. It seems like someone just trying to get laid, like where does it? But then when someone's the boss he goes, okay, but then you're not supposed to do that when you're a boss.

Speaker 5:          00:14:01       I always knew I was very interested in the, in the, in the dynamic between what specifically with Harvey Weinstein and his people under him for many decades about. I always trying to put myself in this position of like, how does this stay quiet for so long? Even though there's a little rumblings, like they talk about Seth Mcfarlane's joke at some award show Kevin Spacey to Family Guy, family guy. Like a little kid was running away from silos with locked and Kevin Spacey, spacement. It's amazing that this stuff is kind of like an open secret and so, but still doesn't seep out or really. And um, it makes you think about the pie, the power dynamics and how fearful people are in these positions because it's easy. My initial instinct was like, why didn't anyone say anything that was similar to the bill cosby thing? I'm like, why didn't anyone say anything? But then you realized people were saying things. They were, they were being given hush money. They were being shut up. But these are really, really bad people. But I agree with you that it, you know, never been a um,

Speaker 2:          00:14:52       an aggressive flirt flirter as it were. I've always been very passive with women because I never really believed in myself that much and all that. But I've known people that have been very flirtatious and, and you know, um, and all of that, I'm like, I wonder what is the line there now? And is it okay to, to be flirtatious, to call a woman beautiful at a bar or to do something like that as opposed to, you know, kind of if a girl likes you, that's the thing. Like if you meet a girl at a bar and the girl's like, Colin is a really cool guy, God, I'm so into him and collins like, you're really beautiful. And she's like, oh, I gotta thank you. And then next thing you know, you guys are hanging out or you meet a girl at a bar, she has nothing.

Speaker 2:          00:15:32       She doesn't want to have anything to do with you. She's sober, you're drinking, your breath smells and you know, like, you're really beautiful and you're like, oh gross, get the fuck away from me. You know, it can be exactly the same attempt, but the person is just not into you. You become a creep. Right? Exactly. So, uh, I, I don't, uh, I don't look at the situation now in 2017 with on college campuses and all these things as, as desirable for anyone because who knows who the hell knows the rules of the landscape. Now I think a lot of it just comes down to mutual respect and all of that, you know? Well, you know what I think it is, man. I really think we're shifting a like culturally, I think this is a big gigantic shift, almost like an earthquake of consciousness. I think that over the course of human history we have slowly but surely become better to each other and like we were playing.

Speaker 2:          00:16:23       We had a photograph that we put up yesterday have an ad from 1911. It was a gum add and it was a mixture of instructing a man how to go about kissing a woman and a lot of it was like, do not ask permission, look in her eyes a gaze dreamily. It was like really like weird to instructing how to grab her face, how to like, leaned down to kiss her. It was very, very bizarre. I was like, if you tried to put that ad out today, he will be fucking skewered publicly. Yeah. So after you. But there's the ad right there. Do you know how to kiss a girl? Then learn, stand facing her to not tell her your intentions, do not ask for permission to kiss her urine and shit. We went up whenever, the whole thing yesterday so I won't go over it again.

Speaker 2:          00:17:11       But that's funny. It's the with the name of the game again, common sense. What is it? Common Sense Gum company, the common sense gum company from 1911 and I think what's happening right now is this a like a really big shift and I think the beneficiaries of this big shift are going to be the next generation of kids that are growing up. They're probably not going to have to deal with nearly as much shit. I think, and I'm absolutely not giving bill cosby any sort of fucking excuse at all, but I think that in bill cosby's Day, I think a lot of men did that. I think it was really common. I mean I don't think they thought anything of it just like

Speaker 4:          00:17:50       you ever watch like an old clint eastwood movie and they slap women. They just used to beat the shit out of women in those movies. Times have changed it and they're changing now like today at an unprecedented rate. I think ultimately it's good. Um, I ultimately everyone, when you, you catch people at like a, a good static state, like a good calm state and you, if they're not under duress and they're thinking clearly and to ask them like, what, what's the best way to get along with other people? What's about, won't treat them fairly. Treat them kindly, have good friends. Just be nice, be nice to everybody. Everybody would agree with that. But the problem is maybe they want something from you, like column wants to fuck the girl at the bar, but she's sober and collins got gross breath and he's, you know, like, you know what I mean? There's just all sorts of extenuating circumstances that make people behave. I'm really fucked up ways. But the consequences of those circumstances or that, that behavior was, was minimized by power. Right? It was minimized by, you know, like a guy like Harvey Weinstein. They could put these gals on movies, you know, or a guy like Kevin Spacey was hitting on a 14 year old and has no one to say, you know, all that stuff that, that, that ability to squash it, it minimized people, you know,

Speaker 5:          00:19:05       it reminds me to, not that I know deeply anything deep about it, but I was just thinking about it in the shower this morning actually. It reminds me a lot of Michael Jackson and the sense of like, what, what was going on in the early mid nineties with him in the accusations there. And I'm like, was this, I don't know if that's true or false. I don't know what he's accused overnight. People kind of, I think treat him as if he was innocent. Maybe he is, I don't know. But it reminds me of like, there was like telltale signs of some of some sexual corruption and Hollywood and the music industry, the movie industry in all of that and some years ago, um, that's kind of bubbled back to the surface with some big names. So I just, I agree with you like it. I just wish people just need to be good to talk to each other and like act normal and these guys and and be respectful and these things. You don't find yourself in these terrible situations, but then you see this desperation with Harvey Weinstein where you, you learned that he might've sexually assaulted, even raped the woman who then appears in a movie some years later because he, he, the gravity well around him is so strong that they have no choice. So it's a very sad situation for those women as well.

Speaker 4:          00:20:01       Situation for humanity. Right. It's like there's just certain things that people were able to get away with. You know, like the cosby thing to me is probably number one. That's the number one worst whenever, because he represented this sort of like really moral, very ethical, you know, like doesn't, doesn't swear on stage. Like he's the last one that you would expect to be what he's described been described as the number one serial rapist of all time and you're like, wait, wow. Is that, how is that possible? It's

Speaker 5:          00:20:39       incredible. It's just a crazy on an unfortunate and sad situation and ruined his whole legacy, you know? Um, you know, like who, who could ever. I seen the cosby show, I don't

Speaker 2:          00:20:48       even know if it's syndicated anymore since all the accusations came up, but who could watch that now and, and, and, and just look past that. Like I certainly don't, especially because a lot of that is contemporaneous to that show is still on the air. Well, I don't, I, I assume that they got their stuff pulled. There's something capable. What about Fat Albert? That'd be weird. Yeah. Yeah. Again, again, contemporaneous to a lot of his accusations going back to, to um, uh, what was that original show that he did in the high spot? Right? Yeah. That was the first one, right? Yeah. So it's, it's like, I think a lot of that's like 50 years where the accusations like, Holy Shit, you know, Hollywood was a different animal back then is a different animal when people didn't have a voice, you know, but do you, because you have some, you have, you, you're, you were on TV and you do it.

Speaker 2:          00:21:31       You do hear rumblings like this, I mean, I'm not asking you to be specific, but do you hear. Well I haven't been on TV in a long time, but I did hear the cosby thing way back in the nineties. I heard that when I was on the set of news radio, I remember people talking about it, but, and I had heard the Kevin Spacey thing too, but you know, you don't, you don't know. You know, it's not like, well you should have gone to the press, like with what information, you know, you know, like someone accused Rosie O'donnell because Rosie O'donnell was talking about Kevin Spacey. She's like, you're a Sicko. You know, everyone knew you were a Sicko. And so someone said, hold on a second. So you're saying that you knew that he was like this and you didn't do anything about it? And she. And she said, well there was always rumors, but no one had any evidence right now until this actor came forth.

Speaker 2:          00:22:15       Is he an actor or a director and is a broadway actor. Which Broadway. Yeah, that's the whole thing is fucked. He was in television show though. He was a Broadway actor with Kevin Spacey in Nineteen. Whatever the hell it was when, when this happened 30 years ago. What do you think about the whole misdirection thing in his statement too? About being like crazy weird. Sneaky. Yeah. Not Good. Yeah. I think very, very transparent, very transparent. Deflecting. Now I live my life as a gay man. Hey, fuck face. Nobody asked you. Did you try to rape a kid? Yeah, that's it. That's it. It was very weird. I don't know why he decided to do that. Well, I think he's probably panicking, you know, I mean and ultimately he probably should be. Yeah, I, I would assume so. Especially because maybe there are more accusations and then the whole weird thing with Netflix with house of cards where they were like, this is going to be the last season now.

Speaker 2:          00:23:04       Apparently they stopped production so they stopped the completely. So Jamie was saying, oh, interesting. This morning I'll shut up, pull it up. Okay. Yeah, because I thought that was interesting specifically because they had apparently heard already announced that it was the last season anyway. Like in the summer, so they're making it seem like they're reacting to it. So everyone's just playing the PR game now, you know, I wonder. Yeah. I don't know because they made an announcement pretty quickly. Maybe they made it an announcement sorta. Just to let everybody know, you know? Yeah. That is the last season, but okay. Here it goes. Production on Netflix, special series suspended indefinitely following Kevin Spacey. Allegations. Is it allegation or s? S is this poor girl? Yeah, there. Is there a second or third allegation that I might've missed it? I'm sure he has a Gore vidal movie that they're filming as well, which will be interesting.

Speaker 2:          00:23:53       It's an interesting guy. Corporate. Yeah. Yeah. Oh Man. Did you know what's a great fucking film? I'm Gore Vidal. And um, who's the super conservative guy? William F Buckley at a series of debates in 1960, I want to say 68. And they televise them and it, it was like a huge boom to whatever network it was. ABC, I believe it was. And um, they made a documentary about these two going back and forth with each other. It's brilliant. It's amazing and it's so interesting to see their minds. I'm interacting with each other. Wasn't that the debate series where William f Buckley said something super homophobic? Yeah. Yeah. Called him, called him. She called him a Faggot, like yeah. Unlike network television, and he said he would. He would knock him out. He'd said something like,

Speaker 2:          00:24:44       you'll stay plastered or something like that. I forget his, his, his, his statement, but Gore Vidal said something to William f Buckley that like really pushed his button on her. I don't remember what he said to him because I remember watching and being like, oh my God was dead, but it was devastating to William f Buckley. It was pretty much the end of his being taken seriously because people realized, well, he's kind of a fool and his ego and his mind is just not within his control and it just got out of hand and Gore Vidal just sort of sat there while you said it, right? Yeah. Corbin Allison. Interesting. My exposure to him, and initially it was like he wrote, I think some historical fiction about some various things that now listen, you queer, stop calling me a Crypton Nazi or I'll socking your goddamn face and you'll stay plastered. Whoa. That's like incredible to listen to you queer. Stop calling me a crypto Nazi. Whoa.

Speaker 2:          00:25:39       I'm concerned. The only pro or crypto Nazi I can think of is yourself. So people were calling each other Nazis even way back after, you know, right after World War Two. Yeah. It's a weird one, right? It's like, the problem is like when we, what we saw in Charlottesville is like, hey look guys, there's real Nazis. Like don't call someone a Nazi because they voted for trump because they think that uh, you know, a right wing, conservative values are being diminished in this country. Don't call him a Nazi for that. It just bothers me. The same thing with the word fascist where I'm like, you don't even really understand what these words mean. A lot of you like, I don't. These words aren't only loaded. They have definitions and I don't know what it's like when everyone says we live in a fascist state in America today, and I'm like, I don't think so. The courts seem to be working fine. The congress doesn't do anything but it's there. I lived in a fascist state. Then there wouldn't be an investigation against trump. Right, exactly. I'm leading to indictment. Exactly in which he actually has the power to fire the person doing the investigation. So it's, it's, you know, I'm not saying we're in an ideal situation right now, but people throwing around these words very loosely need to learn a little bit more about why more Republican that Nazis coming

Speaker 5:          00:26:44       to power and 33 and what that actually looks like, what fascism actually looks like in Italy, what it looks like in Germany and they have no idea or a lot of some people do but most don't. And they're. And they're just throwing these words around and they mean something. Well, there's a lot of it

Speaker 4:          00:26:55       confusion today in terms of like why free speech is important and one of the reasons why free speech is important is because you don't get to decide what is correct. It has to be debated, you know? Um, there was a, I forget who, it's, who, who said that? It was really recent. We talked about it yesterday. Oh, it was that guy that the Yale professor that was on Sam Harris show hit a perfect statement about the guy who got in trouble for his wife with the, the Greek fellow. His wife had defended offensive Halloween costumes and the kids went crazy and arrested him. Right public. He said the answer to, to hate speech is not no speech, it's better speech. And that's such a great statement. That's absolutely true. It's absolutely true. So like all these kids that are trying to shut down conservative speakers on campus and then by shutting down they're calling them white supremacist Nazis and using these things for guys like Ben Shapiro, which I think is patently ridiculous.

Speaker 4:          00:27:54       The, the, the Jewish, the Jewish Nazi, and a white supremacist as well, which is just like, because he quotes statistics about minority crime, you know, those statistics I feel like are pretty misleading in some ways because there's a lot of factors that lead to these people being in these situations where there's high crime rates and these communities and it has nothing to do with, you know, hey, you need to pull yourself up by your bootstraps, which is like a really common way of looking at it, right on us to do with the world that they were born into. Socioeconomically. It's a different, different world. Yeah. And they're surrounded by the momentum of crime. They're surrounded by the momentum of violence and abuse and to just expect them to escape that because there are examples of people that have done it in the past. You can't apply that, that sort of logic. I don't think, uh, I think that's disingenuous. But to call him a Nazi or a white supremacists, I think it was fucking ridiculous.

Speaker 5:          00:28:50       Well, that's just such, it's just such a, it's just used pejoratively without historical context. I, I, it's, it's exactly what it is because it reminds me a little bit, it's different in the context, but it reminds me a little bit of when Bernie Sanders was running in the primary and people will be like, this is, look at what socialism has given you, look at the roads and, and unlike the roads are not, roads aren't socialists, the military is not socialist, streetlights aren't socialists. The government spending money is not what socialism means. So that's what you think the definition means. Then you're wrong. And the same thing with now Nazis and fascism, like look at all the parallels between Nazi Germany and the United States. And I'm like, I couldn't. I'm a student of history. I'm not, I don't know everything, but I don't see literally one parallel between the United States right now and Nazi Germany. Not even one. So we're not coming off a war

Speaker 4:          00:29:32       last. We're not, you know, a devastated and humiliated.

Speaker 5:          00:29:36       Yeah, the stabbing them back. Hyperinflation. Uh, this charismatic who's in prison for awhile

Speaker 3:          00:29:42       writes this manifesto, tries to actually throw a coup in the mid twenties, fails all, like all these, like, oh, I'll make what are the, what parallel are you talking about that, you know? And so I just feel like people are playing fast and loose with these words that they mean something. They, these words mean something. So we're going to call someone a fascist, find the fascias and like you said, there are Nazis in an American culture unfortunately, but fortunately because of our freedom of expression, they have the right to exist. And I think that by lumping in anyone that voted for trump for instance, as a Nazi, you're just making them look bigger. That actually just benefits them there. There are irrelevant. The KKK is a relevant 6,000 members maybe in a, in a country of 300, $25 million people. How many people identify as Neo Nazi?

Speaker 3:          00:30:20       Really? Maybe $10,000 or less, you know, but what are you thinking about? Three hundred 50 million people. It's a very small number. It's infant infant infancy. It's actually irrelevant, completely irrelevant. But if you're a black guy and they're all coming after you on your facebook page, then it looks good. It looks real. And, and, and, and, and it is that kind of badgering and that kind of harassment is real and it's terrible. No, no one justifies that. But I am so sick of the history, like the, the, like people have suddenly are our experts. It reminds me of on Columbus Day I tweeted out and it got tweeted a bunch. I though it was funny where people are tweeting about Columbus and all of a sudden sudden suddenly everyone's an expert now in the age of exploration today. Now everyone knows everything about the age of exploration, just like everyone knew everything about the rise of Nazi-ism and the Weimer Republic.

Speaker 3:          00:31:00       And just like everyone knew about the, you know, socialism and all. I'm like, stop, you know, I posted this flag behind me, uh, and a company called iron mountain designs creates it. And so veteran owned company and they make these pretty cool flags, man. Very cool. Flags made out of metal. But it has a George Washington quote on the back. And I put it up on instagram with the photo of the flag photo, the logo of the company, like three different pictures on instagram in a row, you know, you do that. We're one post can have three images and one of them was a quote from George Washington and the number of fucking geniuses, George Washington owned slaves. Would you use an honest man on swerves? And they just kept rattling on about the horrors of George Washington as if. Okay. Yep, he did. Yeah, there's a lot.

Speaker 3:          00:31:48       But this is a quote by a man who lived hundreds and hundreds of years ago, and this is what he said, you know, you want to diminish his entire contribution to human culture because he did something horrible back then when people were doing horrible things. You're, you're right. He did own slaves. But I think it's a part of a very long conversation about what a human being was. You know, back then. Yeah. It goes back to the idea of historical relativism that like you can't, you can judge them based on the 21st century model. But George Washington died in 1799. So this is a man that didn't even see the 19th century. Nonetheless. The 20th nonetheless. The 21st has no idea what that was. He was a southern plant there for the first five presidents of the United States where southern plant, there's that owned slaves. It's not a totally uncommon thing. So I'm not justifying it there would absolutely among

Speaker 5:          00:32:40       the founders, they were absolutely abolitionists during the revolution and and black people fought for the, for the continental army. But yeah, people judging based on these things, I'm like that's fine, but if you want to take that to the to its natural conclusion, you're going to find lots of problems with lots of people even closer to us in history than than George Washington. And what's funny about that is now there really are going. After I was reading it just tangentially, I didn't see at all, but people are starting to now go after George Washington plaques or George Washington statues and I feel kinda bad about that in the sense that I was all for removing the confederate statues and putting them in places where they made sense. So take the, the Jefferson Davis statue, put it in Gettysburg or whatever the case might be, put in a museum. I don't think they should be melted down and destroyed, but people were like, the next logical step is they're going to go after the founders and I was like, no way will any like no one's going to let that happen and I was wrong. You know, now they are going after him immediately. So I feel a little bit guilty about that in a sense that, you know, I don't think we should be celebrating confederate history, but we should absolutely be celebrating American history. Even even the complicated American.

Speaker 4:          00:33:37       It's not celebrating it, it's recognizing it and understanding it. I mean the confederate war, the civil war rather did happen. It's, it's a real historical fact and it should be studied and if you don't study it, you don't get a comprehensive understanding of all the pieces that were in place when it did happen. And you know, it's just as bad as the people that are saying, you know, civil war was about economics and. No, no, it wasn't. It was part of what it was about. It wasn't just about economics, it was also about keeping slaves. That's a fact. Yeah, absolutely. So like to diminish that, it does, like, that's not good either, but to, to try to sweep it under the rug and smash all the statutes, like know, have that statue up so people can understand what the fuck that is. And if someone is going to celebrate that statue, you know, south go and do it again, we're going to rise again. They can do that, you know, if that's, if that's their thing, they can do that. I mean we can't stop them from thinking stupid.

Speaker 5:          00:34:31       Yeah. And I think that I agree with you in the sense that it's, it's worth it just, it, it happened or we remember it and it has always the grandma, the Grandpa who have always been part of our culture since, since the civil war ended in 18, 65, and especially since the reconstruction ended in 18, 77. We've had, don't even know what you're saying. The gray and blue uniforms of the, of the different sides. Um, you know, when reconstruction ended in 18, 77 in our occupation of the south ended and then Jim crow came, became law and there was no institutional segregation. This was something that was always a complicated point of celebration. You know, I've always been, I've always been really kind of curious and really more militant about why these people actually got away with what they did. And I understand, um, you know, the 10 percent plan, which we, do you know, anything about that, that the idea that Lincoln only made are actually really, Andrew Johnson only made 10 percent of people in the southern states. Basically a pledge allegiance in order to, for the states to come back in. They didn't execute. Anyone that you know or even really try them. You know, Jefferson Davis, a stonewall Jackson didn't survive, but Robert e Dot Lee and all these other guys just got away with it and actually lived pretty prosperous lives afterwards. So there's always been this really

Speaker 3:          00:35:38       complicated mix of, of remembrance that these people down there were heroes and we don't have to support that. I certainly don't support that, but it goes way further back than our contemporary culture and we can't just smash it into oblivion and think that you're going to remove that. The heritage of the stars and bars and all of that from, from what happened. I think that the problem is people think that you're celebrating the confederate army when you have a statue up and in some ways you kind of. It seems like you are right because the statutes 15 feet tall and he's got a sword in his hand and he's on a horse and he's marching forward and you know, people look at it as if it's celebrating something that's a horrible part of human culture. It is. I mean, I remember going to Richmond, Virginia for the first time.

