Speaker 1:          00:00:00       Mm, mm.
Speaker 2:          00:07:46       Uber driver, you have like one star driving around all day and nobody would ever get like, I don't know what happened. We were getting off the off ramp and I was I think in the back seat and he just rear ended a car. Just rammed it. Somebody like you do. But there was a one time in Mexico, he's got like an suv and they used to live in Mexico and he just driving on the freeway and Mexico like way over the speed limit so fast that we're taking a sharp turn and you can feel the tires of lifting God. You could feel it being like my mom's in the car, I'm in the car dealers in the car. That's the first time you guys met, right? Sort of. So imagine. Wow. Well the story gets better. Imagine that. Imagine that. This is how you're behaving around your son. First Time you're meeting is serious partner. Right? And we're all yelling. My mom's going crazy. We're all yelling. Gary and Isla, who doesn't know my dad says he starts yelling at him. That's how fucking and meanwhile my dad is so crazy. That's there silently doesn't even acknowledge it continues to rip the turns.

Speaker 2:          00:09:13       It's weird. You like shuts down. I knew it was fucked up. I should probably. Everyone was. It was scary. And my dad, he's, he's on the road. He went to Ucla. I don't know if you guys know about like college rivalries. He went to Ucla, which is University of California. Their rivals in La is USC. They're like huge sports rivals, so his license plate said hates sc and it's still, I think, made to have that license. So when he sees someone on the road, what they use, license plate holder license, we'll cut them off and I swear to you with children in the car and the whole family, he will cut off another person on the road with his eighth sea, like as if they were as if they were Nazi war sickness. That's scary. But I'm sweet guy though. But anyway. What are your parents like? Your parents have any crazy uh, corks. Mom is fun. Oh, that's a good teacher. It's crazy.

Speaker 2:          00:10:37       She's, you know, she's uh, she has guess she has a excuse because she's a teacher. That is, if you're a teacher for like for like five years, you're like your mental patient and if we just keep going, it's just worse than worse. What grade does she teach? Uh, I think she was teaching second or third. Oh Wow. Let's stop now. She used to teach middle school or high school and middle school. Middle School was way worse. Scary to me. In middle school. High school was really bad. Middle School's really bad. Yeah, and then the greatest second. That's crazy. Which one's the craziest? Middle School or second grade? I think high school and middle school. That's like getting into fights. Yeah. I feel like middle school's got to be the worst. Right? Dangerous minds. What's the actress's name and dangerous minds know that moment, right? She was like this, like pretty young blonde teacher who's teaching in like the hood that was is called the poetry one. There could have been poetry.

Speaker 2:          00:11:50       Michelle pfeiffer. Oh, I did not know that. It's called. Oh yeah, baby. I love that movie. Throw that up. Let me show you what your mom is up to. Right. Dangerous minds. Got It. I remember watching this as a kid and being like, damn, she's so cool. She's so cool. She connects with a trench coat. I can't really wear trench coats to the school anymore, so it's just like real knife in Wisconsin, right? The chalkboard. We want to die. Oh Shit. It's crossed out, we choose to die to get it straight. Buster your mum do any lessons like that, but I think. I think middle school is the worst because they're like

Speaker 2:          00:12:40       in middle school you're such a piece of shit and high school you're starting to learn a little bit. That's true that you're an idiot. You're still an idiot. No. Yeah. Full blown, but it'll cool. All right. Jason's mom looks just like him that well. He looks like it's. Oh, it's cute. Yeah, they have the same like mouth and nose. Kinda pick summit sometime. So I've got. I'm trying this new thing. When we start our podcast, we're doing this thing called goof for the day. I've got some clips lined up. I don't want to walk through with you guys. Okay. The first one is dj Khaled at performing at an overwatch league is good. It's great. What I love about this is that he's like dj cows, not a performer, right? It's like the hype man. So imagine like flavor flave without a band or anyone to back them up with actual musical palette. It's just that stage. It's crazy. Here we go. What does he have?

Speaker 4:          00:13:44       Oh God bless.

Speaker 5:          00:13:58       By the way, you framed this up,

Speaker 2:          00:14:00       so like there's like 10 people actually waving their arms and their exit. Well, the rest of the room, it's just like not interested at all. Let's see. Just a strange event. Bam. It's like Justin Bieber's not. They're singing that DJ count, which is the worst part of every music video.

Speaker 5:          00:14:27       Oh No.

Speaker 2:          00:14:32       Or five. And it's like, are you serious right now? That's a good question.

Speaker 5:          00:14:42       And one more thing.

Speaker 2:          00:14:46       What it makes it look like, what? The phone light.

Speaker 6:          00:14:52       No, but you people are holding their phones up. They are. They're making it look like they're holding their phones up. No Way. People have their phones out.

Speaker 2:          00:15:02       Wristbands probably. Oh, maybe like an event wristband.

Speaker 5:          00:15:11       Yeah. Looks confused. You can't do without the rest of the bank. You know what I mean? Like you take out another one is another word you said plants. By the way, these guys were paid to dance. Did you not even see happening at this point? Gala?

Speaker 2:          00:16:19       No. Get your own concert. But like at a concert you, you think that this could go on for two hours straight, but you don't want to appreciate him for even having the courage to do in this kind of like, it really doesn't give a fuck. But like a blizzard hired him. Yeah.

Speaker 6:          00:16:45       It probably paid him like. I mean, I don't think he would go out there for less than $200,000. Right.

Speaker 2:          00:16:58       We paid them pretty good

Speaker 5:          00:17:05       black. Alright.

Speaker 2:          00:17:10       You sing it

Speaker 6:          00:17:16       Keller

Speaker 5:          00:17:18       good.

Speaker 2:          00:17:21       That was really good. What do you think? You found a decal? I was out of all the performances, a blizzard. That was probably the number one the most. But you, I mean speaking of hip hop, you are kind of a hip hop musical performer. Now your new video came out. Chicken or chicken wings, right? Yup. I mean people are loving chicken wings. I love it. Let me play a sample for those higher pretty far. Yeah. I was loving that by the way. I'm curious. Let me just play it for reference. Did you make this beat? Yeah. I made that

Speaker 7:          00:18:00       serious way. Really for months on that road. That beat is insane. No. What is it that's just. You just never heard it. I don't fucking know you. I have Kinda kind of subtle.

Speaker 2:          00:18:24       Damn. You can just rip is be like that and put some chicken wings on it. That's what it is.

Speaker 7:          00:18:30       Read the description of the video. Pull it up. Okay. You'll see

Speaker 2:          00:18:34       it's legit. Thank you. Wrapping Gambini

Speaker 7:          00:18:38       for today that I can make this on. Hashtag no lawsuit. Can you imagine getting sued for this? Let me give you a sample of this same

Speaker 2:          00:18:55       insane. Rapid. This is a chicken dishes, dishes, the apple. This is a seller. I love the backup vocals. You Officer Drake Salad. This is electric. This is your hip hop fan, right? Is your favorite genre of music? What else do you like the star in the R and b? Shit. You are black. This is my credit card next. Overwatch

Speaker 7:          00:19:36       definitely. I think he would totally correct you and it. I mean you elaborated by the way. I love that

Speaker 2:          00:19:43       credit card. Dope. So good. You like drake's new album and then. Oh, you don't fuck with drag. I listened to probably like two albums in the whole year. Really? So you don't listen to that much music. Last time he told me if I recall season to Israel and to really. What are you really into right now?

Speaker 8:          00:20:06       Uh,

Speaker 2:          00:20:07       stevie wonder. Hey, crazy. What else? Uh, just, just stevie Michael Jackson.

Speaker 7:          00:20:22       He's gonna. Try to go see some guy.

Speaker 2:          00:20:24       Oh yeah. That one guy. Kamasi Washington. You hear him yell, Saxophone Player. Can you find a clip of that dinner in? I want to hear it right now. Cool. Kamasi Washington. I don't know if that's how you say it. I've got another clip lined up. I love Stevie, but like have you. How long have you been listening to Stevie? Or did you just kind of get into it? So you, you've been riding the Stevie and Michael trend for a long time. Do you share his musical tastes

Speaker 3:          00:20:56       well? Yeah, because he controls

Speaker 2:          00:21:00       horse musical taste. If you had control of the cds, what would you play?

Speaker 3:          00:21:04       I have one CD. Where's his six? Yeah. I don't know. I tend to just listen to like whenever it comes on, like the student radio or something like kind of different like all the time. So I mean if I had to say all time favorites. Actually I really like Lana del Rey, which is like I'm familiar. I know I really liked her. She one of the ones that, was she one of the ones that died or something like people are like, she's like a recent pop artist. Yeah. That's kind of the only like pop like thing. Listen to you. I listened to a lot of nineties music. I guess it bird radio station. I remember that. Yes. There's a radio station that plays bird.

Speaker 2:          00:21:57       Nice. What's it called? Talking about like, uh Oh, cancer. The leading killers of birds. Cats are the leading. There's a lot of birdwatchers and what's actually. I've heard that, that like that's funny. Like cats are actually decimating the populations really. I guess what do we do? You know, if bird radio gets affected, here's this, here's this music that the use interior. Let's see what we got. If you write anything really, really, and I'm ad block

Speaker 3:          00:22:46       got ad block on their Internet explorer,

Speaker 2:          00:22:51       you, you, you opened it with Internet explorer. It looks like it's set to default. Like Gimme a break. I'm using discord and I click a link. In what world would I want to open? Anything in internet explorer? You see it's a total disaster. You know, our sponsors pay us a lot of money to get their ads on our show and here. Sneak right? They didn't pay me shit. Don't download that. Download. Not speak of it off the screen. In fact, I'm gonna. Build them on the invoice. Then you invoice them for me. I'm going to say their name. You're seeing this guy in concert. This is your guy. What's his name? Kamasi Washington. What's going on with him? He looked very like Bohemian. He's cool with that. Actually.

Speaker 7:          00:23:47       I interviewed him a couple of years ago. I shot an interview with him. Yeah, he was really cool. Was the. Was it an interesting interview? Yeah. Yeah. It was just talking about his musical background and everything. He's, you know, he comes from like the jazz world, but you kind of crossed over with all of the um, brain feeder, you know, like Flying Lotus and those people. No, he's, he's cool as fuck. So you say he put his part of that role under cat and all those guys

Speaker 6:          00:24:15       sick. Sounds good. You're all about you like that soul, that soul music. Did you know? Hey Janice.

Speaker 7:          00:24:24       I like it when they pick on it. Stress. Do you hate this stress? I'll take the same level for me.

Speaker 6:          00:24:40       I got another video lined up, another good for the day because I couldn't decide between Dj Khaled and all of the Mexican workers going on strike and this guy filming it and losing his mind about it. Okay. Okay. Good stuff. Planned up guys. Only the best.

Speaker 7:          00:24:54       Let me go get fucked up. They sit on a come together yet. So let, don't know anything about who filmed

Speaker 6:          00:25:10       the story is that they're on some kind of smelting plant. Two of the dudes, I guess their boss supervises our comrades, was all of a sudden rush of Soviet Russia. Their colleagues got fired or sent home for some reason, so they all packed up and said, fuck this, you know, salt, solidarity. So this guy who was working with, I guess there's a bunch of Mexicans and a couple of black dudes. So this is one of the black dudes who's an og of the Mexican camaraderie and spirit.

Speaker 7:          00:25:48       They up this book. Fucking black people need to be your own man. I swear to God. I think they sit up. Isn't this motherfucking on my momma? They are not bullshit. They don't stop up in depth. They thought they was going to play with these amigos. We rise together, homey. It may not take the same. And look at this man. They shut this big day on today. We all went home, man. The Way God bless him. I mean jokes aside for documenting that. I'm with him, dude. That's cool. It's probably going to get in trouble. Oh yeah, he's fired. I'll never work again.

Speaker 2:          00:26:46       I love it that I'm with them. I'm in solidarity, but we need. Why the hell do you think apple is worth a trillion dollars? No unions. They don't have unions in China, I don't think. What do you guys think about apple being worth a trillion fucking dollars? Why are you an apple man? No, I am. I found though. I guess so you're sort of, you're in your foot, your foot's in the water. You like apple? We don't really have an opinion on it. I guess it's very. And we would have to look more into it. I don't want to take any, you know, radical fucking hate bad.

Speaker 2:          00:27:37       I'm using it very sparingly. Waiting for the right you can use that sucks. And I don't understand like have all come. You can keep it of all companies in the world. How is it that apple was the one that got a trillion? I mean, what are they doing? So they just. Yeah, they're the most valued company of all time. The first company ever to be worth a trillion dollars. I mean they sell shit so they aren't getting or many fucking phones. Are they selling? I get it though because everyone's obsessed with that iphone all over the word and there were computers too, so it's like, yeah, I get it. It's expensive to like, how the hell do people afford that shit? But that means to me that like the margins are insane, that they probably are exploiting hell of people for those margins to be so insane. You know what I'm saying? Like for someone to make a million dollars is hard enough, you have to like step on a couple throats along the way to make forget about a billion, a billion. There's a couple of hookers in, in your pool, under your pool, whatever.

Speaker 2:          00:28:59       At least several hundred immoral things happening. Yeah. Is Not being followed. Apple is notorious, but it's not just them inside in big, big. Like I was watching CNN, they're doing this whole clip about like, God, I just outed myself for watching CNN. So, uh, anyway, they're doing this whole thing about like celebrating that apple made a trillion dollars and it's like celebrating. Yeah, they've done this whole thing about. They were talking about it in a very glorious way. It wasn't like they were doing party poppers and shit. They had like a counter on the wall, the live stream. But like, I don't know what's the exact figure. But they have evaded so much money. Tank taxes. Yeah. Like how many? A trillion dollars. How many Chinese? Like, I mean do it. That's just Chinese. Lots of Chinese people going down for those phones. I don't know what to say, man. Lots of Chinese people are going down for those faults, but it's okay because they're Chinese.

Speaker 3:          00:30:34       You got to get really quiet. Really quiet. You're going to hit me with the crickets. I'm trying to carry on. You were educating us. We're newcomers

Speaker 2:          00:30:48       to the apple trillion dollar industry. What? Crickets. I only needed one thing button there. I'm curious. You guys ever work like a normal ass job? Yeah. What'd you do before you were the sweetheart of Youtube? Worked at a nursing home. Seriously? From my aunt. What was your day to day?

Speaker 9:          00:31:17       Uh, do stuff on the computer and like take old people to their employee

Speaker 2:          00:31:22       builder. They're like, push them around. You ever do any dirty work?

Speaker 9:          00:31:28       Well you're not supposed to, but like eventually you have to do because it's just like so much stuff to deal with and there's not enough people in. Oh Wow. So it was fairly stressful. I can like, I want to go on my chair and I was like, don't touch old people. You're going to break their back if you'd fucking touch a metal, but the. Then they start getting into by himself. No, you can't do that.

Speaker 2:          00:31:49       I'll support guy. The craziest thing that happened to you, how long did you work there? Uh Huh.

Speaker 9:          00:31:56       Probably more than a little more than a year. What was the craziest

Speaker 2:          00:31:59       thing that, that you saw there?

Speaker 9:          00:32:04       One time I heard a lady, she was like, she would only. She can only say like one thing, she was like, Oh hey, something. I forget what she says. She says like the name Markish Hello Markus. And I could like just here, like one time I was walking and I could just hear like really? I'm like, what the fuck? I opened the up the elevator and she's just sitting in there by herself. Hello mark. I'm like, Oh shit. She was like, yeah,

Speaker 2:          00:32:31       elevator. Oh my God. Hello Markus. Such such a hard job. That's kind of sad machine. They're

Speaker 3:          00:32:40       probably not that nine days to put her in elevators. Just does whatever the fuck it wants. You ever have somebody.

Speaker 2:          00:32:51       Did you ever take a diaper or anything? That gnarly. Okay. Other people, trained professionals. Bart station, nurse gun. That's a tough thing to change it. That a girl like a damn. That's a thankless job. Yeah. Like that takes a lot of compassion to take up human shit out of a diaper. Not a chat. Not your own child. A hard. You didn't take any shit out of luck?

Speaker 3:          00:33:24       No, I was, I had probably the easiest job in that whole building and you know, it was pretty stressful environment. What about Yulia? I had a few things like, well since high school I had worked at like a convenience store. Basically it was technically a op, but like they just sell a lot of like food and snacks and stuff and I don't know, I worked there on and off for like four years I guess, but just I would like go like to college and stuff for the semester and come back and work. So it wasn't like full time member but yeah. And then uh, the most recent job I had was at a bakery patisserie actually I was just like in the front, sometimes I would help with like decorating stuff or whatever they needed help but not really. It was like a French one that I have a degree in French. So it was like, yeah. Yeah. So like I didn't have like a, you know, any kind of job to do with that. So that was kinda like they were customers who would like speak French with me and like the pastry chef spoke French and stuff so I was just kinda like, you know, that's Kinda how I got into that.

Speaker 2:          00:34:40       Do you still work or are you guys.

Speaker 3:          00:34:43       No, I'm well I've run in the online stores and depth and all that. How, how, how recently were you doing that bakery job? When was it? It was pretty recent that you had like a date would have been? It would have been the winter before last winter. Yeah. And the only reason I quit was because they shut it down. They were like, yeah, it was so weird. They didn't tell us anything leading up to like shutting it down. They were just like, we're going to have a staff meeting on Friday like everyone else to come, and then he was like, so actually it's shut down and

Speaker 2:          00:35:30       yeah. Then you know to a break when we come back, we've got no your man coming.

Speaker 6:          00:35:38       It's going to be insane. Delco away. That's right. Good job on that. See you guys soon.

Speaker 6:          00:35:47       Thank you to you. To me for sponsoring this episode, that h street podcast guys, that Matrix is no longer a fantasy because with you, to me, we are plugged right? The FN. Okay. These guys are the largest learning marketplace. They've got courses, really excellent courses on everything from comic book drawing to programming, professional fields, whatever you can dream of. They've got courses for it. You don't need to go to college and drop $100,000 anymore. You don't have to show up at 8:00 AM with a bunch of people. You don't like to learn from somebody that doesn't want to teach. You do it at your own time, at your own pace, the same level of learning even better because you can pause it and continue another time when you actually want to learn. You don't have to sit in a class for three hours. Yes, I didn't like college.

Speaker 6:          00:36:35       It was up to me. I'd go back in time and do you to me cost me a heck of a lot less than I probably would be a lot smarter to you about over 65,000 courses match that. I went. I wanted to learn a little bit about raising this music production software. They've got this guy teaching me courses. They got a whole syllabus, video, video, video, video, even those q and a's to help you navigate. If you have a question, you can drop a line to the professor. What more do you need? They've got this cool ass thing to the transcription of the video. If you want to find a specific place in a video, you can search through the spoken video and find the right spot. Oh, I can't do that during a lecture. I guess they'll just fail this test. Guess what, there's no tests because you're learning because you want to

Speaker 6:          00:37:21       ever heard of that called learning because you want to. Yeah, that's what, and he's all about go to u, D, e.my/h through right now and get 90 percent off. Are you kidding me? When did did a university ever offered me 90 percent off. Save $80,000 today. When you sign up for classes, you will not find a better price. So sign up for classes right now using my link u, d, e.my/h three and get access to life changing classes for 90 percent off and make sure you download their app for your phone so you can stream your studies wherever you are. That's you. D, e dot m y slash h three d.my/h. three guys give them a shot. Ninety percent off. You got nothing to lose except knowledge, which you need a lot of. Go learn.

Speaker 10:         00:38:12       You hear the angels singing. What is it that's on their breath? That's right, honey. This has got to be one of the greatest plugin inventions of all time. You plug it in, right, and with

Speaker 6:          00:38:23       a couple of clicks and it automatically searches the entire web for coupons as you shop. It's saved me hundreds of dollars and youtube we'll. I mean, for example, I just going and buying shoes. I was ready to drop $300. That was the price. All of a sudden honey pops in like Batman and hand and they're like, oh, by the way, we found a coupon code. You just saved 50 bucks that you didn't think you were going to save until right now. What? You're probably wondering how much money can hunt? He really saved me. They actually crunched the numbers. It turns out those of you who have already downloaded honey for my link have already collectively saved over $102,000 in the past few months as an average of $25 per person. What? That's insane. That is insane. You may also be thinking of honey doesn't work on sites that I shop at.

Speaker 6:          00:39:14       The truth is, honey works on over 30,000 sites including Amazon, Ebay, new egg, razor, Walmart, and more. So the more and 30,000 more Isla and one more today. Then you'll find out one more. Oh, so the big question is, how is money? How was honey free? Well, there's no catchall. Honey gets a small commission from sites where honey saves you money so it's always free and that's really all there is to it. They hook people up and people in short, 10 million people trust and use honey and save money all the fricking time. Here's a little treat for you guys. We actually teamed up with height, so if you install it for free with two clicks using our lake, join honey.com/ [inaudible]. If you head on over to teddy fresh within the next week, you're going to save 15 percent off your purchase at checkout. Baum. That's the power of honey. You hear that? Exactly. So as I said, head on over to join honey.com/h three to save 15 percent off teddy fresh and to save tons of money everywhere else on the Internet. I cannot endorse them enough. I love them. They're great. Get honey for free right now@jointhoney.com slash [inaudible]. That's [inaudible] dot com slash h three.

Speaker 6:          00:40:37       You hear that? That's God's minding the unbelievers who haven't yet used quip against all of my advice, all of my pleading. If you have not used quip, if you have not treated yourself to this great, wonderful invention that I love, this is going to be you being struck down by lightening, by God's wrath. Lightening coming out. Quit is just essential, my friends. It's changed everything you know about oral hygiene and trust me, you know very little and you don't need to know much because this is all unique. This incredible vibrating toothbrush starts at just $25. Wow. Compared to other electric toothbrushes or the size of a car battery that started probably like at least 10,000, maybe not that much, but like a couple of hundred bucks. You don't need all that because in this little cylinder is a vibrating little motor that's going to keep your teeth clean and your breath smelling fresh. Here's what it does. First of all, let's not get ahead of ourselves because it's got these soft, incredible bristles. I hate when the bristle is too hard or too long and they irritate your gums because guess what guys? You can get your teeth worked on, but gums don't grow back

Speaker 6:          00:41:52       and that should horrify you. Gums, don't grow back true. You need a good toothbrush or you have so much problems ahead for you. So much, dude, this toothbrush, this quip is everything. Soft bristles. You turn on the vibration, it's three minutes of brushing. Boom, buck 50 on one side, buck 50 on their side. It vibrates impulses to let you know when to switch sides. It basically encourages you times you out without you thinking to give yourself the perfect brush. If you're not using this idol, I can't help you anymore than I love this thing and I'm telling you it's going to change everything you know. Quip starts@twentyfivedollarsandifyougotogetquip.com slash h through right now, you'll get your first refill pack free with the quip electric toothbrush. That means that the head pops right off every three months. You pop a new head on, you're good to go. That's your first refill. Pack free at [inaudible] dot com slash [inaudible], spelled g t U Qui P.com/h three. Trust me on this one guys, get quip.

Speaker 7:          00:43:03       Welcome back everybody to another episode of know your me got a very special episode because our guests, that feature is one of the same. That is right video game. Donkey sits with me. Today is going to be the subject of know your meme. How does that feel? Do you feel to be a part of the fender, so to be on this? Thank you. This is probably the best thing in my life. That's great. We'd love to hear that glove here. That's excellent. Thank you so much. It's really hard for me to house Dj. You got it. You got one. Help me on this.

Speaker 6:          00:43:43       I'm gonna. Stick to it. We're going to do this. We're going to get this right. Okay. Crickets on that. This is the one I'm really excited about. I want to do like this or you hit the left track and it stopped really fast.

Speaker 7:          00:43:57       Oh yeah.

Speaker 6:          00:44:01       Know your meme. That's right. Let's go to our first caller. Oh, thank you Dan. Appreciate that. Steve is on the line. Steve. Hello and welcome to know your name. You're on the air. Hello. How are you doing? Hey Stephen. How are you doing? Where are you from? Who are you? Anyway? I'm from New Jersey. Um, you know, just a, just a boy out there trying to live. Absolutely.

Speaker 7:          00:44:30       We know that.

Speaker 5:          00:44:32       So, so. So Steven, tell me, are you a fan of video game donkey?

Speaker 7:          00:44:40       I am. I'm a big fan and I'm a little nervous if I could pick up pool. Well, you passed our screening test. Uh, Ian, our intern gave you, he endorsed you greatly. And so with that being said, I think you are ready to play. No. Your main. All right, go the tents. Music is beginning. Stephen Music he put together. What is donkeys? Favorite video game? Is it a mario? 60 four B book Worm Adventures Deluxe, or see Aka Rena of time. Steven. Wow. Take a moment. I thought it would have been, I thought it would have been next to for Super Mario Brothers too, but those are not receiving what? What were the options again? One. One more. We've got a Mario Sixty four b book worm adventures deluxe or see arena of time.

Speaker 7:          00:45:51       Well with or is we're going to go into promoters. Was that Super Mario? Sixty four. Super Mario. Sixty four and the answer is it was neck to. You'll lose. It wasn't. It was actually Mario Sixty four. So Eh Donkey. I would have guessed all Corrina of time, but that would have been wrong, but it's mario 64 through and through. I guess your answer basically any Mario game is the middle on this one question stuff one, but you did? Yeah. Even. Well Steven, let's move it onto question two. You're on the board. You've got one point. How you feeling? Good. I'm feeling good. I'm ready to go. All right. Bring it to the tense. What is video game? Donkeys. Favorite dish. Is it a spaghetti and meatballs? Spaghetti and meatballs. Now, Steven, I haven't finished choices. Do you want me to continue with the choices or you really want to lock that in? Good music. Good. Again, a little cocky here, Stephen. All right, I'm going to lock you in. You don't get the rest. So you just wanted to say it. People here, like is it a spaghetti and meatballs? Tacos or see pizza?

Speaker 11:         00:48:03       Getting me a little nervous. Maybe it's deeper than the me. Maybe it's maybe it's not spaghetti and meat balls. Well, Steven, you wouldn't be.

Speaker 7:          00:48:13       Yeah, there's other options than, hey, I'm going to stick with. My answer was to Gideon pupils. Even after you saw how they pushed back on me as I drive by for the tension. Is it spaghetti and meat balls? Oh Shit. A man of few words. What is the real answer? It was tacos the whole time. He's a public knowledge. We keep your Super Fan. You may know that you made. You look like a Taco guy. What do you like on your Tacos? What kind of Tacos you like, Kelly about your dream talk. Okay. We're going to have some ground beef and there some lettuce cheese. Oh, well then I'm going to put some salsa and Uhm, what kind of salsa? Some fresh salsa.

Speaker 7:          00:49:18       Sour cream guacamole on. Okay. What is your favorite fruit is tacos? Why don't we just buy Mexican Food for dinner? Just like you're here in California. You know what I'm saying? There are Mexican place. Do you usually just eat Mexican food when you're here? Because you love Mexican food. You, you fucking Burrito since you've been here. This is really. He loves the old standby. She likes chips in the beans and every breakfast. Nachos and Keith. This, you know what I do though? I have a twist. I asked them to put the chips on the side because I don't like when they get so soggy.

Speaker 7:          00:50:19       Never ordered delivery. Nachos up fool. You know what I mean? There's nothing sadder than a socking soggy Nachos. Right? Steven, can I get an amen? Thank you. Does that for me or for me? Isn't it just a general cricket? Thank you. Let's just get Mexican food. Do you fuck with any other Mexican dishes back to the game? Well, hold on a sec. We're excited about something before you eat. Would you fuck with Burritos, ideas, you? You're talking strictly. I'd do it on your Mexican food. Number one cuisine. Why don't you guys live in la? You're Mexican food boy. I've been to Mexico to go see them. What's your favorite cuisine? Oh man, that's a tough one. Honestly, my answer is Tacos.

Speaker 7:          00:51:28       Just say no, you're right. Exactly. You got to get through the layers here. Do you find it to be do like me posed steven. You're know. I don't love it, but not really. No, it's really. It's an overhead dish. It's really on the chef. You know, you gotta. You gotta. Bring that spice. You gotta. Bring that a little right there with Ya. We're all. We're all right there with. All right, so what are we at? We have one point on the board. Keeps going. Yeah, we've got to make that sound. So Steven, let's go back to the.

