Speaker 1:          00:00:00       Yes.
Speaker 4:          00:22:26       Do you want to say Isla? Since she's been pregnant, she's like, she's like radiant. She's beautiful. She's looking good. She's eating her stuff. It's incredible. I find it. I'm, I'm amazed by it. I truly think it's amazing. And I'm also simultaneously so thankful that I don't have to give birth. And I mean genuinely. And I'm so appreciative.

Speaker 2:          00:22:51       You've said about how you. There's no way for you to not be kind of resentful. Oh yeah. Don't you hate his guts, but you're doing all the work. Like I've, I'm, I'm not even there yet, but I'm already going to get like, there's no way that those levels that are coming to. Oh yeah. Well here's the. Here's the neat part. Okay, you're right, right now you're doing all the work. Nine months, you're going to be enormous. You're going to gain weight, you're feet are going to grow, your vision is going to get worse. It's going to be destroyed. Oh, I look it. I'm wearing glasses. Now your vision gets worse. Pregnancy, of course, pressure can lift that fluid in your eyes. Does it get better when you worse? So now doctor is working here. This is going to be wrecked, right? And you're going to hate this fox.

Speaker 2:          00:23:35       You're a hater, and then you're having meeting. They're going to hate Tom. That'd be great for me. Here's what happens. Here's what happens in two years time when that little boy or girl is running around and hyperactive and everything and you see her two year old kicked out and the nuts. It's all. Yeah, because now he's getting it because now it's Daddy, Daddy, daddy and play Horsey, Horsey Horsey and you get all that stuff. So then it's awesome. Before my reckoning comes. That's right. He'll kick in. Then daddy will kick in later. But he's a good one though. There's like shit. You can tell that. Well that remains to be seen, but I am excited. Are you guys going to be Craig? Excited? What's your biggest fear but given birth. Oh, easy. Just take drugs. Drugs. That's what I'm saying. A lot of. I was trying to talk.

Speaker 2:          00:24:24       I'm like, Eh, if it takes an extra couple hours and you don't feel pain. The rest of my grades, drugs, drugs, drugs to contractions on this last one. And I was like, let's go drug drug drugs. And I didn't feel like not only do they get, is it like mind altering drugs? It's like an opioid, right? Oh No, they put it in your spinal column so it doesn't affect the child. You just don't feel it or anything. No chill because you're like, I'm not in pain and anguish and really not feel the pain of not a fucking man. That's amazing. She's a, she's so scared of pain that, that like in the months leading up to the delivery who would do checkups, you don't need to do more and more checkups and then as you get close to they become weekly checkups and she would go like, and what is the deal when, when I get to the document, I know she'll be like, and when does the pain meds come?

Speaker 2:          00:25:21       And he's like, whenever you want, that's right, and you're gonna fucking make sure the anesthesiologist is there. And He'd be like, yes. And then it became a routine. Like she blocked it. He's like, it'll be all set up. We're adding smart. Yeah. And I think you're a great because you should take a note. I agree. Ask Your doctor because a lot of bitches out there, I don't know, some warrior bitches that want to be like, well, yeah, if you're not already had the idea. I know that it wasn't dead. Well, I'll tell you what. You're really embracing it. I've gotten so terrible, so I had the flu and I've coughed so much I can cough anymore. We always hang out because I sit next to him. I know coffee like my ear last night it goes, you're hurting my ear. And I'm like, I'm suffering.

Speaker 2:          00:26:11       What about so I cannot muster cough anymore. Like my body literally cannot because you thought you were really sick. Go to the doctor. So it's one of these you can't cough, but you've got to get the mucus out. So disgusting. Right? So what were you saying? So I'm saying you got to ask your doc when they're going to give you the meds because there are some doctors that are evil and won't give a woman the epidural until she's so much dilated or whatever. They want you to be further along before because it can stop contractions and slow it down and keep it going. They want to make sure you're progressing enough before they give you pain meds because it can slow everything down. Just make sure you get someone to pregnancies last. Oh, I don't know. I don't know what. I didn't know how to say that.

Speaker 2:          00:26:55       No, no. You know what you mean, like eight, 17, 18 hours top to bottom. That's not 17. 18 actively. No, no, no. Take of the hospital. Yeah. So first for my son came on his due date and like literally I had contractions at two in the morning. We were at the hospital by what? Four? Five in the morning and then. But then there's like, you know, there's long periods and dilate. It takes hours to dilate. They consider that you're in labor, so your body active, pushing, opening. Literally your cervix is dilating. Has to get to 10 so that the head can come out crazy. It's active labor for you as an hour and change on the second one. So then you go into where it's go time and if the baby's going about to come and then you can end. By the way, there's doctors that won't turn your epidural down so that you don't feel pain during the pushing.

Speaker 2:          00:27:42       Make sure to ask this guy. A lot of them will be like glued epidural wore off. No I didn't. They can keep that drip going and they tell you to push, you push, push, push and then bang. I mean if you're lucky, you know, I had my tank cut twice, but other than that I didn't feel it though. You don't feel shit. Your ass hole one hole. Yeah. You know what? When that kid grows up and they're old enough to understand, we need to be like, listen, if they're misbehaving, listen you little shit in your mom's asshole.

Speaker 2:          00:28:13       I'll make them care. I'll take picture. I remember the first one. Fuck you mom. Doctor was Regina. The doctor was like, Oh shit. Yeah. I got a check here. Make sure can you know. She goes, do you mind if I put my finger in your anus to make sure there's two holes? I was like, um, I'd mind if you didn't. She was selling and she goes, do you mind if I put my finger in your fucking leg in there? I don't feel anything. I don't care. I'll take a picture. That's an a, maybe a crazy thing, but make it like super close so no one can tell what it is that in the bay. The kids every fucking time I do, I think they're supposed to be two holes right there. Yeah. So are you feeling super resentful already of your body? And I'm more like I'm knowing. I know that it's coming. Those feelings that I get, I get little tastes of resentment. I think little shadows of resentment now it comes out a little subtle ways. Like a we're just hanging in bed and then she just looks at me like you fuck. And I'm like, oh, are you alright? And she's like, no, everything's fine. You know, I already can't fit in my clothes that she can see the wave way out there that go slowly. But I think see he's going to be good because he adores and you can tell

Speaker 3:          00:29:42       there's a lot of guys that aren't like he adored, so you're going to feel the resentment, but you're going to be able to navigate. I feel like somehow that makes her angry some of the times when I'm like, you're amazing. I can't believe you're having this baby. It's a credit line. She's like, she's like, fuck you. They're like that sometimes you can't stop. There were times too where I'm like, I just don't know what's going on. I to know what to say. And then you figure out like that. There's nothing I can say. You just got to shut the fuck up yet. That's something you learned in marriage with them? Yeah, because it's like I said everything right. I did everything right. And, and what, uh, what can I tell you? And Isla is just like, just leave, just leave me alone. Just wake up and I'm bad moon.

Speaker 3:          00:30:28       So they'll have this thing where sometimes I just wake up on the wrong side of the bed. That's what they call it. But when you get mad or irritated, I can't, I always feel like you're mad at me because when I, when I get up to that same issue, you know, upset, but you don't know, you don't think that I'm upset at him and I'm like, I'm not. I think because I think we just. And we experienced that feeling differently because when I'm upset I, I treat you like my ally intentionally because I don't want you to feel that I'm mad at you. But that's just, that's very interesting. That's just, um, psychologically that's fast. But I know you're not mad at me. So. Yeah. But I, I, I see, I do the same thing. What do you do? So I understand what you're saying when you're upset.

Speaker 3:          00:31:22       I was upset at. I'm like, Oh man, she's upset. I should stay away. I think she might might be upset at me. I don't know if you're upset, you're upset. But then what I'll do is I think it's good to leave you alone because I went in [inaudible] case. She doesn't want to fucking see me and I know that now because I'm like, Isla, what's wrong? And he doesn't want to fucking see me. I'm like, all right. That's how she, it's like, I just need my coffee. It's just something like that. She and I and like the commission is dirty and I got to clean it and like I just woke up. It's something like that, like I just don't even want to say. But you want to be asked. Yeah. See, the thing is, that's what I've learned. It's a counterintuitive with us. She actually doesn't want to fucking see me. But anyway. No, I understand. But some people process stuff differently so she might need that time to do her coffee and get collect herself. And maybe you're more of an introvert with that stuff. I think I'm like that when I'm upset. Oh, you're the worst. You're avoidant or you don't want to get in your mind a little bit. Then understand this emotion because I don't understand what the Ila kind of. Because I don't feel that way. So you're upset at not Christina. Obviously something completely different. And

Speaker 4:          00:32:40       so you're just in a bad mood and then somehow that negative energy is just direct.

Speaker 2:          00:32:44       Did to whatever is in front of you? Yeah. Yeah. Because he'll get mad at like, why are there stains on the couch? And then I'll be like, oh fuck. But it's, I feel like that's directed towards me. Definitely not. I know, but I know that rationally it agitates me. Ah Fuck. He's mad about reverse. I think we're totally reversed. But then you'll also do [inaudible] you know, too much psychology. I'd be like fucking stains on the couch and you'll be like, oh, what are you? Will? She'll be like, what? Are you really mad? I'm like, these goddamn stain. And then she was like, let's talk. And like the stains are not going away. I don't know. See. But where I'm real direct, I'm like, we have two dogs. One's a shelter dog, ones a pure bred. The shelter dog can live without the other one. The purebred is a lovey machine. I always say, I'm like that pure bred lovey machine. Bitsy, I love you. What are you doing? Let's kind. That's all I want to touch you. I want to touch you, and then you're like, FIFA. We were like, I don't know. Whenever I'm doing my thing. So when I'm upset though, I'm saying I like to have you there next to me to have the. Let's continue this. That.

Speaker 4:          00:33:51       Let's go to a break. We're over. We're going to continue this conversation. Well, we are just at the tip of the iceberg here. We're psychologically breaking it down. Guys. Do not go away. We will be right back. Quip. All right. What do I need to say about this beautiful, magical, mythical toothbrush that is changing the game of dental hygiene? One of the most important things we can do for our health everyday is brushing our teeth. Yet most of us aren't doing it properly and you're walking around like you just had a Turd. Sandwich quip is a better electric toothbrush created by dentists and designers to make brushing your teeth more simple, affordable, and dare I say this Isla Fun and enjoyable. Yeah, it's that good. Uh, this okay. Here. Let me tell you about, first of all, I have sensitive gums as most of us do, and gums, they do not heal back.

Speaker 4:          00:34:42       You need to find soft, correct bristles that are not going to corrode your gums because it's not coming back, right? That's what this is. It's soft, it's rubbery. It's the best head I've ever found and no offense. Isla is get enough on your sensitive guns. People brush too hard at some electric toothbrushes are way too abrasive. It's got a built in timer. That's what this is, and every 30 seconds it reminds you to switch sides, helping guide a fall and even claim up to 90 percent of us. Don't brush for two full minutes and don't even clean evenly. That's what helps you achieve. All right, so that's why I love quip. That's why I don't use any other toothbrush. I love quip and that's why it's backed by 20,000 dental professionals. That's a lot of dentists. Quip starts at just $25. Guys go to [inaudible] dot com slash agency. Right now you get your first refill back for for you with a quip electric toothbrush. That's your first refill back free at Gte. Q U I p.com/eight, three.

Speaker 4:          00:35:52       There was a lot of problems online when you're working or you're at work, if you work for somebody or your own boss, there's so many great softwares out there to help you fix the problems you have and you don't even know they're out there. Well, Capterra, that's why they're here to help you find the exact perfect software for the perfect fix to the problem that is going to make your life a thousand times easier. You can download their big book, a free software for free at Capterra.com/age three. They are a free resource to help you find that perfect beautiful software. They've got over 300 different software tools and again, their big book of free software can help you find a completely free tool to test today and it is absolutely free. It will not cost a penny. So if you're looking for a new project management tool, recruiting software or even email marketing solutions, capterra is big book of free software has got something for you.

Speaker 4:          00:36:48       So head on over to Capterra.com/hd today to get that big old book of free software. That's Capterra c a, p e t e r r a.com/ [inaudible] capterra.com/h three ring is the product that is so brilliant, so revolutionary. It sells itself. Now let me give you a personal anecdote. We live in Los Angeles and there's been a lot of breakins in general and the Los Angeles area. And I think that what deters people more than anything is single rink now have you see they've got. It's a, first of all, it's a doorbell that has a motion sensor. So when somebody approaches the door at, sends you a mobile notification and it saves the video and immediately uploads it to the cloud. So we've got one at the doorbell and then we've got security cameras, floodlights that instantly activate and blast with light and record the same way all around the house.

Speaker 4:          00:37:46       So in a sense, there's almost no way to approach the house without us being notified and then checking the video. It doesn't matter like even alarm systems can fail you if you don't have a shatterproof, a shatter detector, they could break it through the window at leave without even being seen. Motion detectors, they'll go off. Even if your alarm goes off, the police aren't gonna arrive for another 30 minutes because they're trying to call you a bunch of times with ring, you see everything that's going on, but there's no surprises. And you could call the police immediately. Besides that, somebody stealing packages, some cuties coming and leaving you a love note. You will know who it was. You know everything that's going around your house. This product is changing the world. I love it. Now, as a listener, you have a special offer on ring starter kit available right now with a video doorbell and motion activated floodlight Cam. The starter kit has everything you need to build a ring of security around your home. So go to [inaudible] dot com slash [inaudible]. That is ring.com/eight three. I'm telling you, this is a revolutionary product. I am so happy that we've got it in our home.

Speaker 4:          00:38:54       Twenty three and me is a beautiful, easy to use, fascinating service that analyzes your DNA from you, simply spitting in a little tube, send it off, and two weeks later you learn all this interesting stuff about yourself and your family. For example, you're gonna. Learn where you're from and that's, and for me, this is one of those interesting things because over the last thousand years you. It's so interesting to see where all these people come from. It's all there and your spirit was discover how much neanderthal DNA you have. You can also connect with relatives and find other customers who share your DNA with other ancestors and this thanksgiving, there's no better thing to do than sit around with your family, get all the DNA testing and you can finally blame all your shortcomings and everything wrong in your life on your parents and, and, and it turns out none of that stuff is your fault at all, including food but size.

Speaker 4:          00:39:51       You can literally brain blame your parents, your genetics on food. Besides, so there you have it now through Thanksgiving, 23. Me Twenty three and me ancestry service kits are only $49 per kit. When you buy two or more kits, that's 50 percent off the regular price of $99 this holiday, Lord, you're 23 and me ancestry service get@twentythreeandme.com slash eight three. That's the numbers 23 and me that slash h Lee. Welcome back to the age three broadcasts they'll ride with us is the wonderful Thompson [inaudible]. Christina, pleasure to be here. Thanks for joining us. We were talking about all kinds of things. Uh, but you know, therapy couples therapy. I did. Actually. I did start therapy recent. No, I love it. And it's been nice. It's been good. It's only been like five sessions. But you like it? Yeah. You find it beneficial. Well, the thing about it is that it's very much. I know, Gosh, she dad coughed and I got to talk to them about. Oh, eyes. Everywhere I start thinking about things that like, I never thought. It just puts everything in perspective, you know? Um, this stain is very much not the stain, you know what I'm saying as you. But it's been good. It's been good for me. Good. I'm glad. Thank you. But yeah, of course. I don't know how people don't see therapists, honestly. Like how do you not so helpful? Will not, but I do want to go for it. Especially

