Speaker 1:          00:00:00       No, but you need more orange.
Speaker 2:          00:05:11       Fun Ways. Actually it, I can't, I couldn't access my phone cause there was just incoming calls nonstop. You couldn't like swipe it open. I couldn't even do anything. But I was getting tons of text messages and I don't think I actually ever told you this, but somebody sent me, I don't know why I even open text message cause I was generally not. But one of them was a dick pic and I have to tell you, I did feel violated. And in that moment I had a, I had a moment of like empathy and sympathy for all the females out there getting unsolicited dick pics because it felt, it felt very, I felt very violated that I saw this man. He was a fat man with the tiny small penis. It looked almost like my own, if I'm being honest, a tiny little penis. The pubes were much longer than the penis itself and I was like, whoa.

Speaker 2:          00:05:57       Is that a picture I took? No, it was someone sending me their own. So, um, and that you would think it was his fixture and not something off the Internet? No, it was definitely, dude just snapped his junk and send it to me. Yeah. So there's a fat chubby little penis. I was me to it. I've been trying to tell you that for a long time. I'm trying to take back. Me Too, for us, for me meat anyway, apparently me third, apparently the hacker, this, this kind of perplexes me, this hacker gotten to Jake Logan and their father's account, all three. Like, I mean these guys are big shots. They had run big companies. How first of all, is there security, not tighter run third of all, how do you get into all three of them at the same time? What I was wondering is are they still all on the same family plan at Verizon or some shit? You know what I mean? Like how do you explain that they got all three of their account?

Speaker 2:          00:06:57       Fascinating stuff. Well, regardless of how it happened, um, it could only happen to these geniuses. Um, apparently just so in Jake's dms, there was all kinds of stuff of him flirting with girls. I don't know, they teased all kinds of stuff, but they didn't show anything. So I don't know. But definitely the most fucked up thing to come out of it by far was the Greg Paul sex tape. Greg Paul being the father. Um, this guy's a piece of work, man. Greg Paul's the guy who has notoriously made out with little girls and one of Jake's videos kiss. I mean there might have been and he seems he wears a, he's, he's 40. How old is he, Danny? He's like 40, 50, 54. Yeah, I think that's right. I mean here, here's all you need to know about the guy. He's a 54 year old man with a puka shell necklace and a goatee. I mean that's a, it says all you need. Hit me with some of those soundbites, which is that [inaudible]

Speaker 4:          00:08:01       gp coming at Ya GP. He's coming at Ya two talks. He like lowers his voice,

Speaker 2:          00:08:10       talks like a 19 year old irritation of his sons. Yeah.

Speaker 4:          00:08:15       Yo. Hey Yo, is jp coming at Cha? Ooh, what's going on?

Speaker 2:          00:08:23       He's auditioning for the new blues clues open. Uh, anyway, so, so there was a sex tape, but there's no faces. There's some voices, obviously the girl herself. There's no way of knowing her age or identity, which is good for her. Thank God for that. I mean it's so graphic you guys. I've watched a lot of porn in my day. A lot of porn. I mean emphasize a lot of foreign in my day. This is one of the most things I've ever seen in my life. I mean, it is horrible. Mba was horrifying, truly horrific. Let me play you a little soundbite. The lovely thing was that it was just on twitter and like I just saw people talking about it going up the thread of a conversation. It's just they're on twitter and yeah, that's how I saw it first till. But I saw what I saw was like him, like fingering her.

Speaker 2:          00:09:22       But then I do my research. I watched the whole thing on one of these, uh, you know, websites and it is old graphic brothers. The one scene where he's slapping her with his Dick, I'm going to use, I'm going to use a PC words here because we are family friendly show. He uses his a carrot. He, he puts his care and her soil. But what happens is he's slapping her, slapping her peace with this carrot and she starts to water his carrot. He, she pees on his dick. I swear to God, she pees on his dick. And this is the sound that it makes this sound from the video. She pees on his dick. I swear to God. So he's slapping her and she's paying on his deck. Do you think, Eh, Fmr people would love this sound. [inaudible] Greg Faull sex dig a smrs interested. Let me try to experience stuff that space tomorrow.

Speaker 2:          00:10:23       I'm definitely getting the tone alone. I'm still in a tingle and my forehead. Um, so this video is so graphic. Um, but again, there's no, there's nothing identifying the man or, or the female. So my first thought was that, okay, it could be anyone. Let's look, first of all, I want to see is this actually Greg Paul? Not that I'm not willing to believe it. I mean I'm very willing to believe it, but I just want to know what's my hunch. So here we've got some evidence here. Um, let me see here. Um, he ready to come again.

Speaker 2:          00:11:09       Definitely sounds like a hit me with the Hemi with that Zach could be, but I will. Here we do a little CSI photo matching and this is fairly conclusive in my opinion. Um, here it's hard to tell. Okay. But like, here's a, from his instagram has dog sleeping on his bed. Now what we're paying our attention to is this floral kind of pattern here in the woodwork. And you can tell. I know it's, I know this doesn't look that good. Okay. Not, but I'm telling you, I've watched the videos, there's better screenshots, but it definitely, it matches it's the same ad board and when it's in motion in the video, a lot more evidence that it's the same thing. It's definitely the same. So what do you think is happening? But um, I thought I had more evidence than that.

Speaker 5:          00:12:05       Okay.

Speaker 2:          00:12:05       Well let's leave the evidence I've got. Okay. It's okay. Let me say this. It's definitely the same headboard

Speaker 2:          00:12:14       and European and my humble alleged opinion. It's not even an opinion. It's an alleged that your opinion sir, allegedly, um, under age though. I mean, who could ever say that that's dangerous? Yeah. I don't, I don't want to put out the guys having sex with underage girls. I will believe him. He was having what I would it be a stretch of my imagination to think that greg was having sex on average girls? No, absolutely not because of him kissing. Absolutely not. Um, but what, what she had happened. Cause it's, if, what if he was what it's from some hackers. Well. Yeah, the first thought I had was like, that's not, you can't really use that as evidence in court because it's illegally obtained. Yeah. Well regardless, there's no evidence to disclose under age at all. So, um, I don't want to insinuate that now. Basically though, Greg has acknowledged that the hack has happened in this instagram video in which I will play for you all here today. Just some little, some they'll tell you over as I opened this, by the way, Greg is a high level instagram user. He starts the video with, he got a paper bag from like Ralph's supermarket and he just sharpied a message so that this would be the thumbnail. It's very creative. I am calling you. He's high level. Good. He learned it from all the teenage girls. He fucks allegedly.

Speaker 5:          00:13:48       Okay.

Speaker 2:          00:13:49       Allegedly I don't even have an opinion. I haven't alleged opinion. Uh, my hacker thought my hacker taught me a lot. Please contact me so I can hire you or you couldn't find a piece of paper. Really had to use a Ralph's shopping bag. Alright, let's watch this and try this.

Speaker 6:          00:14:11       Yeah.

Speaker 2:          00:14:12       Oh, his GP, gp here.

Speaker 6:          00:14:16       GP coming at Ya [inaudible] come again. Come again. Come again. Should I be coming at you? All right. So how do you guys know that I was hacked? By the way? This hacker dude is something else, man. He is crazy smart. I learned a lot. Hi.

Speaker 2:          00:14:31       Sounds like such a fucking, he sounds like he's 15. Why does he talk like that? He reminds me of the guy. Isn't there a character in like fast times at Ridgemont high played my matthew mcconnery mcconaughey. Hey, he's like a 30 year old that hangs around looking confused. Yeah. What, what does, what's that great line? He, he had to ride out, ride out. Oh, there he is. I had it ready to go. He has a line. He goes, I get older, but they stay the same age. Something that's what he loves about high school girls was the line. He pretty much, is that correct?

Speaker 6:          00:15:02       Um, you know, hacking is actually in adult way of bullying.

Speaker 2:          00:15:06       What do you think about that? I thought that was kind of interesting. Hacking is actually an adult way of bullying. Is this saint him saying he thinks he's been bullied, right? No, we need to call a trump's life. Where is coming from when that statement really is a little bit but,

Speaker 7:          00:15:23       hmm.

Speaker 2:          00:15:26       Okay. And when do you think, I don't know. I just thought it was funny thing. He's being bullied. Poor guy

Speaker 6:          00:15:33       and uh, you know, I don't know why the guy does it because he doesn't get any real recognition for it. He's not really messing up my life that bad cause my life. I'm just not that important. But um, I've learned a lot from, I learned about some ways to prevent hacking and all this stuff. But Dude, if you're out there, I want you to reach out to me. The guy still has my aol

Speaker 2:          00:15:56       sound like his password was like password. I learned a lot about security. Greg Paul rules still has his aol account. Oh, I missed that. Wait, I can't rewind it.

Speaker 6:          00:16:12       You back my aol account and Cooney or information here cause I want to hire you.

Speaker 2:          00:16:15       Of course Craig Paul uses aol wants to hire the hacker throwing to jail. I think this was probably an elaborate ruse to, to get them, this was his mastermind, but you know Greg, Paul probably still has aol dial up on autopay. You know what I mean? I read, I read a stat that there's like a million people still paying all on a dial up. Like all these old people that never upgrade their internet. They're all like, I bet you my grandparents, he's like 94 still pays aol for dialogue.

Speaker 6:          00:16:53       We can use your smarts in and your skill set in a positive way and probably make you a shit ton of legit money. Anyway, a hope you guys have a great weekend.

Speaker 2:          00:17:05       Those were the two fingers. I'm just telling you honestly. He did this and boy, I saw those fingers and a bucket of pissed. You ready to come again? Anyway, I feel bad for him. Hackings no fun. It is adult bullying. You're right. I feel bad in a way. I hope that girl was at her age. All of those hackers. She's such a nice male bullying. Oh, so now you agree. I agree. I came, I came around. It's adult bullying. It's, I don't know. It's, it sucks. It's the worst thing you have to go through. It is awful. And it's like,

Speaker 2:          00:17:43       yeah, it's awful. Anyway, my heart goes out to Greg Paul and um, it gushes for him. You might say my heart scotches from one might say that and I really hope the girl was not under age for his sake. For all of our sick, for the world's sake, please greg, don't be fucking underage girls in recording it because like where the world is just not ready for that. The Paul's aren't ready for that. Youtube is not ready for that. Greg, please my heart gushes for you though. You ready to come again? All right. All right, so we can wrap it up from here. Apparently the hacker said, um, what is the hacker said that they have way more amped up evidence that they've fought it to the FBI. But yeah, who knows what? All of a sudden they have a conscious, you know, so there you go.

Speaker 2:          00:18:49       Um, Greg, I mean Greg is smashing though. You came out here. He's Jake's manager. He's apparently yes. And it's Nick Crumpton left. Greg is taken over the mantle and he is a mashing dude. You need me to play that again? Okay. Uh, moving on. Post Malone is cursed. You guys, you may have heard the recent reports that, first of all y'all heard about how his plane took off and the wheel blew up on takeoff. They had to emergency land. Thank God post Malone was okay. Next up, the next couple of days he's in a car crash or someone driving a quarter million dollar Rolls Royce, a car crash thing. God, he's okay. Got Blessed. The suite are of that man and then an armed robbery took place at his old house. That place we've been to I, if it's the place I'm thinking of, which I think it has to be, we've been there a lot of times.

Speaker 2:          00:19:45       That's scary. Armed robbers show up at the House asking more post Malone is terrifying and I'm so glad that post wasn't there. He had since moved and the tenants that were living there got stood up at gunpoint. They stall like 20,000 year. There was some things, jewelry. So I'm, I'm, I'm so glad that Austin was in there because he's a kind of, we don't call nine one, one kinda guy. You know what I mean? That would have been some, some gunfire. I have a bad feeling. But at any rate, what is going on with Post Malone? Well, we think we have the answer guys. We think we've figured it out. And of course it's TMZ who was put the pieces together. Um, posting them messing with evil spirits on video now curse plane and car makes sense. It all makes sense. Finally, this Guy Zach from ghost hunting. These guys are so funny. You know how I feel about goes something postmodern loves it though. So apparently, um,

Speaker 2:          00:20:55       there's this, uh, Zach tells us the closing encounter went down in June and is haunted museum. The object is called the Dubuque Dbu box. Dbu Is Yiddish for malicious spirit and the box inspired the horror flipped position, really yiddish. So they're saying that Jews are behind all of it. Great. It's another Jewish conspiracy. So explain what is this? So this box, this Guy Zach, the ghost hunter. It's apparently the most cursed item in the world because they're Jewish ghosts and they got it. They have a chip on their shoulder. Yeah, there's videos for this is it dude? You got, Oh fuck. Let me fuck. What the fuck dude you got? That's kind of dope. Think about that. It's like, um, of all the cursed objects in the world, you got Kirsty Gypsy shit, cursed Polish Shit, cursed whatever. German shit. Yeah, it's the Yiddish ghost. They're the most gnarly.

Speaker 2:          00:21:53       The Jewish goes. So the ones you absolutely do not want to fuck with. That's kind of it up. So here's the video that explains everything that's been going on. I want you guys to, that's a, at his house or something. It's that it's haunted museum and I think Vegas, so this is the first time he's actually apparently taken the box off or touch the case itself as the story as opposed to, and is freaking out. And he's like, don't do it. But that's where postmen fucked up. You see? See Zach, the ghost hunter knows what he's doing. He knows how to handle a curse. He talks to the box, the first one ever to do it. Awesome alone. Being the sweet guy. He tried to break them away from the box, but curse was transferred to them. In that moment. The lights are off obviously for s add spooky effect. Did like, you know, we could have the lights on but let's leave him off. Um, this is the curse. Djourou what's with the star of Davids and like, you've got like a Torah and shit. What is this? Some kind of fucking Jewish fun house.

Speaker 5:          00:23:00       Yeah,

Speaker 2:          00:23:01       Austin's freak the fuck out. He's trying to get out. Oh, he turned on the lights. Thank God Austin. Oh wait man. Yeah. He just turned on the light here. You can see, I'll go back. He goes back to the door. He's like, fuck this turns on the lights. Zach is trying to play it cool. Like he doesn't care. Um, but here he goes in Austin's like, dude, this is a, this isn't just any ghosts. This is a Yiddish goes cause also knows better. You know, we went, when we went go something with Austin, he was very respectful. He was very cautious about the spirits. He really, he believes this stuff and he was not fucking around, so I know that he's, he's deadly serious about this stuff. No, there was the thing where when he, when he opens the door, I think there's like something moving out of the lefty. We'll play by play, but first let's hone in on that. But first, let's see what happens. So often it's freaking out. He's got a beer in hand. He's trying to talk Zach and to getting out. He's hyper ventilate, he's breathing heavy. He's grabbing him. He's saying they run out of the room now

Speaker 2:          00:24:06       post malone being the sweet guy he was, he took the curse from Zack and these old yiddish. She goes, you know what I need to do? I think I can resolve this. What, because these yiddish ghosts, they need a good Jewish boy to come talk sense into them. I think I can channel maybe these yiddish ghosts and lift the curtain. Curse the curse. No, no, no. I am a good Jewish boy. I'm well fed. That is all yiddish grandmother ever wanted. I'm a good sweet bar Mitzvah and I think that I can talk some sense into these shooters goes, should I say a prayer? No, I think I should say a prayer to lift the curse. Uh, can you pipe me in some, a prayer, a prayer. Spooky. Yiddish prayer. Music. Should I have that? Um, this is maybe appropriate. No, no, this is too sad, isn't it? Um, angelic music. There's no, there's angels in Judaism, right? No, no, no, no, no. For Christ Sake, curse on you. Get curse on you, right. Uh, yiddish spirits. What was it? What were they called? They were called the [inaudible]. They did book the Debug, debug spirits. Cursing Post Malone. He's a good boy. He's a good sweet boy. He loves his parents. And is this the prayer? Yeah, it is not fair. This is my prayer. I'm trying to banish the, trying to banish the Yiddish goes. He eats well and I've cooked lockers with aunt for him on several occasions. We spend tradle on Hanukkah together.

Speaker 2:          00:25:52       Me and Austin have spun tradle and you are going to curse this good Jewish boy. How dare you. Austin comes from a good family and was, and also he loves Hala Bread. I know that because I've shared Hala bread with him. If you can lift this curse yiddish spirits, Dave Lik, what is it? [inaudible] book the Book and return to your box.

Speaker 2:          00:26:22       Then this Jewish boy will be forever grateful that I'm a bar Mitzvah. Amen. As this. So I need this adventure of like, eh, their book boxes on Ebay and really, and they all look so weird. It does it. One, he lives on the fucking search for some d book. Get some Debo Cup in here. Let's order one here. All we can buy the shit on it. Well, what's so special we can buy the shit on Ebay. Kid made haunted debug book box, 20 bucks. Real shit alone. I feel like I'm getting curse just looking at it. That is going on with heart wrenching. Um, Shit. Um, there is a more in debt related items. Like what is this? Can you play, play any music playing any music? Cause I seriously want to get rid of this curse.

Speaker 8:          00:27:15       I care a lot about post malone. If God's d book goes out there, lift the curse on postage alone, I will make him eat a hundred bowls of Matzah ball soup. I swear to you now on the body of Moses and the burning Bush itself.

Speaker 2:          00:27:37       Okay?

Speaker 8:          00:27:38       I will spread any scene of [inaudible] to fish if you will. Just lift the curse on the sweet young post Malone. He doesn't deserve it. He looked back me up. Yes. Amen. Amen. We will spin draco. We will eco filter fish. We will share in the good times of Matzah ball soup. He's a sweet kid. He doesn't deserve this. You're an old Jewish lady. You got a chip on your shoulder. Get some therapy and the afterlife. There's somebody out there that can help you. For Christ's sake. Don't take your disappointment and your grandchildren out on

Speaker 2:          00:28:20       Milan.

Speaker 8:          00:28:21       All Jewish grand parents are disappointed in their grandchildren. That's light. Be at Peace Day book, be at peace. Beautiful,

Speaker 2:          00:28:37       calm first would appreciate that I really powerful stuff. Do it. I think I left the curse. I felt there was a change in the, uh, felt that there was a change the spirit. Meanwhile, I dunno. I felt like maybe Austin Prob, I think he owes me. Um, can we show them, and I notice this very spooky moment here. I read it in the comments, but soap go ahead of you. And when he opens the door, was it there off the top right to the point where he opens the door at the top. There it goes. There's something that flies out of the room side right here where my mouse is. It flies all the way from here out the door. Yeah. Watch this. When he opens the door, you see that? Did you see that? I see, I see. I'm telling you. Gook fest, 2000 and fucking 18. Hey right here. One more time. Watch it comes from the left side of screen out the door. There it goes. A white light. Now, a reasonable explanation. Bhag bug. It could be the reflection on that door reflecting off the camera or something like that. You know what I mean? But most likely it's a d book that came in and infected the whole fucking planet. So I need to say another blessing. Everyone's like, fuck no.

Speaker 7:          00:30:03       All right.

Speaker 2:          00:30:07       Well anyway, my first thought was like, seriously, the Jews are behind this.

Speaker 2:          00:30:13       Yeah. Blame the Jews. Typical. I can believe this items. We just found it on Ebay. All right, well up next we've got the Nadoo weather reporters. All their coverage of this hurricane was outlandish in insane and hilarious, so stay tuned. We will be right back after this short words from our sponsors through my mouth. Stitch fix has reimagined the way we find and buy clothing. Here's what stitch fix is. You go to their website, you fill out a questionnaire. You tell him what's your budget? What kind of guy are you an a stylist springs into actual, your virtual mom or girlfriend does a little shopping for you and sends it to, okay. Now that's convenient enough as it is, but here's the thing, if you don't like it, you don't keep it. If it doesn't fit, you don't keep it. You send it back. Boom.

Speaker 2:          00:31:08       It's so convenient. That's it. You know? Uh, some guys can't dress and let's face it. One of those guys is Dan, our producer. He's a sweet guy, but he started using stitch fix. Unlike me, I'm Mr Swab. I always dress great psych. That's isla the dress. Dan. On the other hand, I always dress like an idiot. What am I even saying? Dan, on the other hand, love stitch fix. He uses it all the time and he can't put this hoodie down, Dan, to tell him about how much you love stitch fix. It's just unbelievable. It's changed my whole life since. A little irony there, Dan, but I know that you're not being ironic. You're being genuine because it was a great service that I recommend everybody try. This stylist fee is only $20 which is applied as a credit towards anything you keep. So guys, hurry to stitch fix.com/ [inaudible] and get started right freaking now because if you keep all five items in your box, you get 25% off your purchase.

Speaker 2:          00:32:01       Go to stitch fix dotcom slash h three rings. Mission is to make neighborhoods safer. I love ring. I've been using this product for years and for me it's changing the way that home security works. You've got to ring what it, first of all, it started with the doorbell. You clicked the doorbell, it makes the noise inside of like a normal Doba but it's also got a camera and a microphone. So if somebody's been creeping on your doors, stealing a package, whatever it be asked Shenanigans, they're up to. Not only does it record them based on motion, but it zaps the recording up to the cloud and saves it forever. That means that they're not getting away. I mean you can talk to them. You can tell him, hey buddy, why f exactly you? Oh now we're talking home security now here, let me tell you about, they've got rink flood lights, these things are awesome.

Speaker 2:          00:32:53       I got them sold in our house. It's so great. It's a flood light and motion detector and a video camera offers the same thing. You could bless them with a siren too. It's incredible. And they've got this thing on the app called neighbors and like all your neighbors within like a two or three mile radius upload videos of shenanigans going on at their house. It's like a little community and it's so great. Like there's these old ladies that post videos of like delivery guys that are going to the wrong door. They're like, this guy was ringing at my door at 8:00 PM does anyone know who him and everyone's clowning on? The old lady like it's a delivery. It's a delivery. Like really? Is this what this apps come through? It's Hilarious, but there's some good stuff there too, but it's a lot of entertainment and besides the entertainment, it's great security guys.

Speaker 2:          00:33:31       They cannot endorse this product enough. As a listener, you've got a special offer on a rink starter kit available right now with a video doorbell and motion activated floodlight Cam. The starter kit has everything you need to build a ring security around your home, so go to [inaudible] dot com slash h three that's a ring.com/h three I love this product. I use it personally. I endorse it. You pick this up, you're going to love it. ring.com/h three seek geek. You know him. You love him. You need tickets to a place. Do it with seek. It's easy as that. You're going to see a sporting event. Siki you're going to see a music concert seeking. Are you going to watch Jake Paul live in concert and want front row seats so you can get squirted on by his dad? Siki skies, they've got you covered on everything. Okay, now, um, there, here's what's great.

Speaker 2:          00:34:27       One to 10 score. Look at the seat. They'll tell you straight up, no bs, one to 10. If it's a good score, green is good, red is bad. I mean it's basically you see the view from the seat. Boom. There's no surprises. It's just a good, reliable place to get tickets upfront. Honest, here's the best part and I got to tell you, there's no kicker here. We got to hookup for all you guys. Use Code h three h three for 20 bucks off your first order. Just click the me tab on the APP and enter code h three h three for $20 off. Guys, this is not, this is them just handing you 20 bucks to go see a live show. It doesn't get better than that. And frankly you might even catch a little bit of a Greg Paul's fluid on your face, so I say that's a buy and not take me in for two.

Speaker 2:          00:35:19       Please check the link in the scription to download the APP. Remember guys use code h three h three for $20 off your first seek order. It's honest, it's great. It's straightforward. You need tickets seeking. Scott, you covered. Quid is a totally free app for Ios and Android can collect stickers, gifs, cards, 3d toys for free. All on your phone. Stickers from shows like rick and morty. Bob's Burgers, games of thrones at Disney, marvel Naruto. Oh Shit. Naruto how do you say Naruto? I always say it wrong. What's the wiebe away an hour ago, not hotel. I don't know. Even our Buddy Jack Film. Yes, that's right where the F F is. My stickers. Jack film as sick as I don't have stickers. Plus they're updating, adding new stuff all the time. You can then trade them with your friends or even text them and I messaged by dragging and dropping them into your messages.

Speaker 2:          00:36:11       There are a ton of shows and influencers in there. I remember it's totally free. Some of the packs and box opening are super rare and you can meet other fans, acquit and trade with them to complete your favorite sets. Try Your best rank on the leaderboard for every given set. As you can see here, it's all playing out before our eyes. It's all free guys. The items, it's all free. The APP is free. You get more coins every few hours. And if you want more you just watch an ad or you pay to get a couple more coins so you can get some more stickers. So follow the link in the description of this episode of the download the APP from either the apple or android store and start collecting your favorite stickers today. Thank you. To quit. Get trading boys.

Speaker 2:          00:36:59       Welcome back. Nutty weather reporters. This has been a phenomenon that's been going on. Um, these reporters, they send them out and to hurricanes and treacherous weather crap out crack open here is 30 pounds and they make these poor sons of bitches basically brave, dangerous wins. And sometimes the ones they're not that dangerous so they have to hype up the danger themselves. We've got a little of each got a little off but what was the name of this recent hurricane? Florence. That's right. So uh, you guys may have heard there was one particular gentlemen, um, that was called out all over the Internet for his uh, Hurricane Florence meme and this guy was out in the weather channel and it's kind of this classic story of acting like the weather's insane. And then somebody walking through the back wall here. I'll let you watch.

Speaker 2:          00:38:08       All right. Now, first of all, worth noting is I'm leaning in North Carolina right away from the where the wind is blowing. Like that doesn't make any sense. People have said that maybe he's covering the microphone, but that doesn't really make sense to me cause you can see as it goes on, he's clearly not covering the microphone, just whipping through here. More heavy rain. Well they have that. Woo. He's trying to brace some stuff though. That is a pretty healthy cusp right there. When you have fun anyway, here in the beginning you can see a couple of dudes just strolling as casual as possible. Okay.

Speaker 2:          00:38:53       And Wilmington, North Carolina, right at the intracoastal. And we're in one of these bands. This is just literally scrolling by and Patchouli as possibly do I love sneakers. There's truly no problem balancing. We're 60 miles an hour. Yeah. So there you go. Who would I thought that only on Youtube. I thought people exaggerate and right quick money. And these are like real professional weathermen is it like scientists? That's what I'm saying. You set up these atmospheres and everybody will be reduced to a clickbaiting Nice Smr, spaghetti con of Jesus Christ. I click on it starts again. So anyway, people got really upset by this, um, overdramatizing of how bad it is. I find it just funny. It's like, damn, you're out there bracing yourself the wrong way. And um,

Speaker 2:          00:40:02       anyway, the other excuse I heard, is there anything to this that it's that Oh, well he was, um, he was standing on grass is why. Yeah, I've got that from the, I'll, I'll read that later. That man, while I have a statement from the weather report, they defend him against the claims and I, I'm, I've got it all laid out. I want to enjoy some more footage of this guy bracing against the treacherous, whether raw cane and we're getting gusts pushing God still. So it goes without saying the categories. Sometimes we're misleading with hurricanes where the wind is whipping through here. More heavy guys, 40 miles per hour. Hold on there by hold on there that you have to lower your center. Hold on there by like on top Bronco or some shit. Anyway, so we've got a whole thing here. Let's see what we got.

Speaker 2:          00:40:52       So this guy got into a bunch of, of, uh, stuff and weather channel made a statement. They're supporting their boy. They're not leaving them out in the trenches. They said, yeah. And they got his back. You know, whether people, the weather people, they, they're a tight knit community. They said it's important to note that the two individuals in the background are walking on concrete. And Mike said l they name him. They name him and shame him first and last name. And Mike settle is trying to maintain his footing on what grass after reporting on air until 1:00 AM this morning and his undoubtably exhausted. Well, I mean Mike counter is just stand on the concrete. How has done the on grass changes? Anything I haven't noticed. It doesn't on growth. It doesn't really that much. They those, yeah. I don't know. It doesn't really. Um, but the weather, the weather channel, they love this hurricane shit.

Speaker 2:          00:41:51       They go crazy this day. They blew their entire production budget for the whole year. They put together these insane three d renders where these reporters stand and like a severe with a massive crazy green screen and they show you virtually like where are the water heights are, will be. And it's just so over the fucking top for what I, it's amazing. It's really cool. But they're all just so jacked about these hurt hurricanes. And here let me show you born to bring kind of crack. It's kind of crap. Look at this shit. That certainly is enough to knock you off. Beat. Definitely stole cars out. Even carry cars away as certainly flood many of the lower levels of structures, but we know Florence is also going to bring water. It's water. Yeah, no, six feet of water. Imagine that. Imagine the add on, for example, the technology of the weatherman that would otherwise be and also tommy cause higher and where else can we use this technology? Oh, it goes even higher. I go, you said it perfectly reminds me of like the facebook, the ducker cruise through Puerto Rico, the Puerto Rico life's trainer, fish in the water. Why the fuck is that realistic? Cover up one story. Buildings and structures and the details. Mather, anything that's certainly pose a risk to many. There are very few places so he wouldn't be that. Now that is like, man, he's underwater. They didn't even tell his ass.

Speaker 2:          00:43:29       It's a wall. That wall. Follow the advice of your local officials and he viewed that black thing. It's the garbage bag corpse and I bet that's selling. You know, the intention is good. Heed the advice and get the hell out of there. Don't get washed away.

Speaker 7:          00:43:51       Okay.

Speaker 2:          00:43:52       Don't braved the storm. You know, it's funny, I find ironic. All of these weather reporters are like, do not braved the storm. Everybody evacuated and meanwhile I'm going to do right. No one's blown away and listened to me. They tried to justify staying because it's so stupid. By over reacting and acting like till like shit, nothing's happening. There's another clip of a girl I love. I love these clubs. It's just, it's incredible. Loved their enthusiasm for hurricanes.

