Speaker 1:          00:00:00       Five four, three, two.
Speaker 5:          00:04:48       And I think it's very charming. Was this some like a style that you guys chose four or was it kind of an expedient thing? Well at first we were thinking this is, we're just going to do a real rough version of what our fully animated show would be. You know, we're, we were making our rick and morty basically and uh, nobody wanted it on any other network. So then we were like, oh, we're going to just do it our way. And it was, uh, just the cheapest way to do it. Right. But at the end of the day, it ended up being in a way funnier than it is here. It is charming. Yeah. I, there wasn't any point where I was like, oh, I wish I had more frames. Right. Cause you get it. You totally got it. And I mean this, I totally understand. As I watched that robot vagina suck and swirl on that cough, I Scott boiler alert in a way. It makes it less than a graphic while it's just frame. You know what I mean? I don't know. I was, I was stopped up. I never, I never wanted to fuck a robot before I watched your guys's go. We're ahead of the curve for, Hey, when we're done with this youtube

Speaker 3:          00:05:58       series, we're going to like release it on apple tv with an apple was like, well wait a second, you have to get a rating from the ratings board, the MPA ratings. And we're like, fine. We went to the MPA, we paid them the thousand bucks or whatever it costs to get the thing and then they said this is nc 17 and it cannot be shown anywhere ever drawing of a penis. And it's like a badly drawn drawing of it, but it's not like real photo realistic. And at the end of the day, I think it's like the sweetest pornography I've ever seen. It's like it's got a, it's got a real message of love. It's not coming from a place of a

Speaker 2:          00:06:38       exploitation. Absolutely no expectation at not at all. Everyone is enjoying themselves. There is, I mean it's, there's a scene of will the robot does put a finger on the but yeah, and also, spoiler alert, take the balls and guys the penis into the vagina. Oh Gosh. But um, I had, I was free. I was like, wow.

Speaker 3:          00:06:57       Well in a way it's, it's very uh, educational. That's true. It saves you a conversation about the birds and the bees. If you want to just show parents,

Speaker 2:          00:07:08       well you guys, you guys gave a warning beforehand, but through, I noticed the only, so on Youtube you've got these six episodes in the movie. The only one that is an age restricted is the first episode. And I don't know if you guys know about how youtube works, but when a video gets age restricted, they share it less. Yeah. Oh, we know. All too. Well, I think there's bots flying around looking for shapes of penis chariot.

Speaker 3:          00:07:33       Hey, it's not the craziest that they don't share it. It's like, it's impossible to find the full movie. If you type in tenacious d post apocalypto full movie, it still doesn't come up. And if you have not signed Daniel can't watch it. That's okay. But I just want people to be able to find it. That's why I'm only telling people to go to [inaudible] dot com is the best way.

Speaker 2:          00:07:54       But, um, if you go to the channel, you'll see it all there. But yeah, Youtube does it. They bury stuff. They, they'll just bury it because they're so afraid of it harming their platform and scaring advertisers away. But it's just a little, what about this for promotion though? The show youtube did watch. That's excellent. It doesn't that always have to watch it then. Well, I'm telling you, you, you're going to wash this robot, swirl this vagina around a cock and you'd be like, damn, I can't wait for the future. Yeah. I mean, the future is already are robots. They're talking about robot and draw falls now. Yeah. So I heard of a sex doll bronco, but I don't know that there's mechanics in the vagina because we're always just a sloppy plastic is just around the corner. That sounded really appealing. Now would you guys fuck a robot that had like a super badge?

Speaker 3:          00:08:47       Um, I must admit in my youth, I think there might've been a doll experience. Tell me about that more. Well, I might've continued in the early days of experimentation when you want to practice. I think that the adults can be a great educational tool.

Speaker 2:          00:09:12       I fully, first of all, no judgment on my side. I mean, I put at that age, you put your Dick in just about anything.

Speaker 3:          00:09:19       Yeah. I mean,

Speaker 2:          00:09:22       tell me about what did the doll look like?

Speaker 3:          00:09:24       Kind of like a,

Speaker 2:          00:09:29       where do you get those because you'll have to be of age or do you get those at a six shot?

Speaker 3:          00:09:33       It, there might've been some shoplifting involved. Like I should go into all the detail. There might've been a crazy night out from a ucla that's in the theater department. Uh, yeah, I might've been like 19 years old. So it's like, wait, that's a little old for, for uh, needing a doll. Well, no, there's no age limit on when you need a dog.

Speaker 2:          00:10:03       Well, apparently you are not, you can't even buy it until you're 18. So the people that need it the most don't have access to it. Right?

Speaker 3:          00:10:09       Yeah. In fact, I think maybe the target audience is, is uh, men in their forties for the dog. Huh?

Speaker 2:          00:10:15       It could be. Absolutely. Thank God I'm too old for that. I think I just, depending on a large pillow, I think with that vivid imagination, um, I have, I want to expand on this further and I don't know, I'm taking it too far. But if you fuck a robot sex doll, is it cheating?

Speaker 3:          00:10:35       Oh, if you're married and you have,

Speaker 2:          00:10:38       and then you're like, oh, I want this vagina can swirl and soc and do all of them do everything. But I mean it's just a robot. Is that cheating?

Speaker 3:          00:10:46       Uh, I think it depends on the, the, the secrecy of the act. If, yeah. Um, hmm. Maybe, maybe you're going on the road, uh, to do a job and your wife would actually give you a doll or like a little, a little flashlights, something that would fit in the, isn't a fleshlight basically, or a sex robot.

Speaker 2:          00:11:08       Well, it's not a robot, but it is a sex flush. Like, well, let me show you a flash. A flashlight. Can I kill the question? I don't understand what you think. Oh Wow. There's a, there's a lot there. Well here, this point is not very graphic. So let me show you this one. Christ sake. It's on Amazon here. Wasting my time with my hand. This all these years. Well, so, so let's start here. Ila is a fleshlight, uh, infidelity. Hmm. So here, this is a fleshlight usually shaped more like a vagina, but I don't want to think you can see it on the screen there. Oh. But it's a basically, and I love that they make it look like a flat, like a flashlight

Speaker 5:          00:11:54       of all things. Like put your Dick in this flashlight. Any, any kind of sphere or any kind of, does it light up? So there's no light. There's, Oh wow. Does this only when you're doing it. But here we have a video. Please don't be a penis. Okay. We'd better know. It seems like the light could create some warmth. Hmm. Wow. So can I use a fleshlight Isla without consulting with you? Um, I guess it would just be a little weird if you did. Okay. So if it doesn't have a face, it's not cheating. I don't think the parameter just have to be decided on together. But what's the fleshlight and masturbating and sorry doing include you guys on this conversation. It's all right. No masturbation. Well maybe. Yeah. Is Masturbation shooting? Yeah. No, no, no. Especially if you're like, ah, get outta here and go masturbate. Yeah. You don't want to see that. Exactly. I think I was reading though you, it's important that you should masturbate together though. You should be. Not all the time. Well no, but comfortable enough with that contact laser. We need to try that cow.

Speaker 5:          00:13:15       I assume you guys had done that. That was a Howard Stern interview. I heard that. Yeah. And Ringo claimed he wasn't there for that session, the band, yet he had the perfect alibi. He was there finally. I find it funny how people made such a big scoop out of it. Well, it's funny besides that, it's funny, but like people started trying to draw the conclusion that they were like lovers and all this, you know, and it's just a couple of dudes jerking off in the dark. I mean, right. They're young. They're all up the early Beatles and maybe, yeah, maybe that's why they kicked out the drummer if they didn't like the way he masturbated with them was a snare and all the ladies though he was an American and apparently he was very good looking. Is he still available for drumming? Curious.

Speaker 5:          00:14:13       You've got Sasha? No, we got, we got, we got great drummer. Um, so you guys did the voice, the art, the music, the writing. This is your baby post apocalypto yeah, you're saying tour De Force? I was, I, that was coming next toward him from wars and who was the art director because there is a very distinct art style throughout art direction. All Art Times, man. I actually tried to draw a cell just to show Jack what it would be like if he wasn't drawing it and it was really bad burns. Did you actually draw it? I did draw it, but we got uh, uh, how probably too we got a colorist is a amazing Michael Molina to do all the color with his computer and uh, yeah, we were going to hand over the reigns to some other animator and artists at some point. But that was back when we had dreams of having a Netflix or hbo series and then we were like, it's better this way.

Speaker 5:          00:15:13       Anyway, we were laughing until late version, but butthead isn't well drawn, but it's great. It's someone or to draw beavis and butthead a style. It's because they're badly them. So hilarious. So nobody wanted to show, I mean I find that a pure insanity. Well I would love spicy somebody's neck. What was that one? Yeah, the color was interested. Well, I forgot. I know none of the major players, but where are you guys uncompromising on the penis and set like very graphic sex shots. We presented what we wanted to put on the air. We weren't saying, hey, we want to do something like this. We were like, we want, we want to do this. Yeah. No one wanted to go with us down that, that, uh, crazy a half. But, um, in a way we were kind of glad about that because, uh, it gave us an opportunity to really go, it seemed kind of liberating.

Speaker 5:          00:16:14       It's like, yeah, no, it's just kind of a fun project to do it with your friends. Exactly how we want to do to make it well, I loved it and I urge everyone to go watch it now. You guys, do you guys watch youtube? I know. Oh really? I do. Could you do, you're like, Oh yeah, I'm sorry. Oh Man. Thank you. Well, I'll just go down and strange wormholes as we call like a wow. I wonder if thin lizzy played a live concert in the UK in 74 or something and I'll just find myself watching fold concerts or anything. I mean, where it leads and Youtube's got a brilliant at leading you to the next thing might be like, oh, that's where I would be interested in that. And yet their algorithm, they know if there, then we do. Yeah. Yeah. So, uh, I find it, yeah, eminently entertaining.

Speaker 5:          00:17:04       That's great. But I guess I'm, most people don't watch it like I do. Well, there's different, there's different worlds. There's people that like watch youtube for the personality or I don't know what to say. There's people that could produce content on youtube and then there's, I think a lot of people like you who use it just because everything's on youtube cause everything's going watch tutorials. You can watch music, you can watch bands, and then you just go down this crazy rabbit hole of like endless content. So there's two types of people and I guess you're very much, they'll, well, and there's the endless, I mean, how do I play of something on guitars? It's like, wow, that's so easy. Yeah, it is. Jack, do you use, I do go on the youtubes. Uh, mainly to like figure out how to make potato lot because like that I'd be doing today, I'm having some family over this evening for a Hanukah celebration though.

Speaker 5:          00:18:01       Let me see if I know I've never made the potato lot because somebody else in the family, it would be in charge of those. So this time, how did you get stuck with luck? QCA duty this year? Um, it's, you know, it's sad but my mom used to make the lot just recently so I'm sorry. But uh, yeah, so I think it's going to take a village. We're all done. I'm going to have, I have a bunch of graders and a pile of potatoes. I think log cause is like poker as they say. It takes a day to learn a lifetime to master. Yeah. So you will be a lot code kings like you're always just one youtube video away from making the perfect lots cup. That's true. That's my, in this day and age. Do you guys live, do your light the Menorah and do the whole thing? Of course. You say the prayer. Are you ready for it? Are you kidding me? Tell me if I do this correctly. I'll tell Ya.

Speaker 6:          00:18:59       Bottle. Ha. Yeah. Hello. Hey Dude. This is the hard part. I shed get a baby's photon. The tiva. Huh?

Speaker 5:          00:19:12       Very hard.

Speaker 6:          00:19:16       Ha. That's impressive. Um, wow. Rabbi black

Speaker 5:          00:19:32       music. The savage beast. Do you know any other Hebrew prayers? Because I am just, I bought it already. I know some of the songs. Oh No.

Speaker 6:          00:19:49       Give like a modern, hey, hey.

Speaker 5:          00:19:54       Well you know what? It doesn't sound like that was written back in the 18th century. Oh pretty sure. Jesus, they had him in a chair and they were doing the whole, yeah, I don't remember that. A Jew. The Jews, in fact, the king, you actually pronounced everything correct too. Cause she's Israel. Shalom. How do you say thank you in Hebrew toe down. When in doubt I go Shalom. It means so many things. Yeah. Yeah, it is. Um, you are a, a lot of us were surprised to learn that you're Jewish. I don't know why, but that's came as a surprise to a lot of us. But you, your father was born a Jew. Oh my father was, my father was born Protestant. Right. My mother was born a Jew, which makes me full Jew according to the Jews. I, man, I'm not out. I'm not questioning your doing. And the idea is we know where you came from because we have witnesses were not positive if your dad was a Jew or not. So true. I never thought of it that you came out of that vagina. You are. Yes we did. We don't have DNA. Right. You are. Is that the best show everyone, they start break dancing and shit in front of the baby.

Speaker 5:          00:21:25       That I love it. I love it so much. But your story is unusual because I'm usually, I find that it's the male or the female that a convert to Judaism. But your dad converted to Judaism, right? Yeah, I find that fascinating. Well, it wasn't just because he loved my mom, but also because uh, he was into Judaism. Wow. But since they divorced, he is now no longer a practicing Jew. He drunk. It's like when you lose certain friends in a divorce, you lost. He left the dude. But uh, yeah, so, so I was raised you, I got my bar Mitzvah and then I immediately sort of a bales you taking the chance or price. Exactly. They'll do the, but now you're back. They'll do the bar Mitzvah and then they'll stick around until 16 or let it sit around for the confirmation hearings or whatever it is that I booked it at 13 I know what the calls from hr then officially adult.

Speaker 5:          00:22:25       Well you get the check, you got the check, right. Get the big pay that I would expect. That's the socks and an intellivision cartridge. Somebody got the money, somebody. And a lot of times the parents will be like, thank you. Repaying all those years of tourists school. Cause I know my parents got thousands and all they bought me and I was grateful at the time. But in retrospect I'm like, Holy Shit. They bezels my bar Mitzvah money and this is a, yeah, I'm calling you guys out. All I got was a [inaudible] 64 and I know they got like 10 Jews and 64 C. I'm a little older than you because Nintendo wasn't even out in 1982 when I got my bar Mitzvah. You got socks? Yeah, Emma and television cartridge. It was, it was a sad turnout, but, uh, it was a celebration because as you say, I no longer had to go to Hebrew school, which was additional school. I had school and then I had to go school Tuesdays and Sundays. You go in the evening. Well, it's so, Isla doesn't understand but are pressured by they, they part of your life. You didn't have to think about extra Judaism. Yeah, exactly. She doesn't understand what us, American Jews have been. She speaks Hebrew and she doesn't understand that. We just learned the Hebrew, so we couldn't do the Bar Mitzvah and that of us even know what the F we're talking about. Yeah. That's pretty weird. I still have a couple words. Shalom. Ah, Ema, Ema. [inaudible].

Speaker 5:          00:23:58       Wait, where did he say? What was that like pesach, Passover. Maneesh Denalis some lyrics from a song. I don't even know the painting goes. Well, my favorite, if you guys want something to take away from this is a by rule Hashem, I'll root. Which means you're like, Oh man, this is live. We can't go back these rot. Hachette, which means it's like what God's house with God's help. When someone will say like, let's say, Oh, you're going on tour. That's cool. You'll say, but it's lots of shame. Like what I liked about it. Yes, but let's not, let's not get over our skis. But what I like about it is when you use it and very like trivial things like, well, I'm going to take a sh, I got to go take a shit. [inaudible] Hashem with God's help. You know? That's when it really gets a little more humorous. I love it. Love it. Just thinking about the prayer, but real and ny, it's blessed at our God king of the universe. Amaz yeah. Could you use that in every day? Like, yeah.

Speaker 5:          00:25:08       Big Mac, King of the universe. I don't know. That might not work. Uh, yeah. That reminded me of flash can go for the impossible. Yeah. Oh, that makes me think I need to see that queen movie. Oh yeah. Have you seen huge fan of Queen? Very little desire to see it. I know it was kind of the thing to see and then it wasn't the thing to say. It was weird, like the opposite. It was, well, it was the thing to see it and then it wasn't the thing to see. And then I think it is the thing, not the thing to say no, like it's become a worldwide phenomenon. The good really, I saw it all over the world when it wasn't the thing to see. And I was so pleasantly surprised because it wasn't the thing to see. And it was good. It was like, yeah, I mean he'd go in his, it's a Hollywood biopic. Yeah. They're going to fudge this, that and the other and the details. What? It's like that guy's performance. I mean, imagine like, okay, you got to play Freddie Mercury iconic, uh, charismatic rock star of all time and just nail it.

Speaker 5:          00:26:19       Work on that. I mean, he does. Wow. Kind of, kind of amazing. Well, I guess I should see it because I'm a huge fan. There's a new phenomenon that one of, uh, when someone on Youtube pointed out really funny, Lee, that there's a phenomenon of people pretending they've never heard Bohemian rap. Oh God. Oh, I saw that. I'd like the adults listen to that thing we did. Oh yeah. Oh, like people react. Yeah. People react to whatever the phone bros. Why would they, why would they pretend like they have never heard? Cause they're getting tons of views and it's like related to the video, but it's like everybody gets hurt. Come on everyone's door. They go and they go and they were like, here's a song by a [inaudible] queen of wrap Saudi. Uh, and they're like, why? Anyway, Gus Johnson made a video about it and he's like, why are they all aligned? They're all wine. It's like the Jimmy Kimmel live witness news. Yeah. It's getting people to say anything. Yeah. You can't. Well, they, yeah. So we're going to throw it to a quick commercial break that we have prerecorded for our convenience. You can, yeah.

Speaker 2:          00:27:31       But we'll be back after this short commercial break with these two fine, wonderful human beings. See you soon. Have you finished your holiday shopping yet? Well, no worries because you can get everything you need for you and your loved ones over at me undies. You have never felt a fabric so soft and luscious before and the good news is it's going to hold your genitals one way or the other. These smooth micro modal, three times softer than cotton is going to be rubbing up on your genitals and that's where you want it to be. Not in a sexual way, but just that you want to take good care of that part of your body and you're going to have fun, playful patterns like this Sushi underwear. Oh, you can take a, hey, is that a chopstick or my penis and my case? It's hard to tell the difference.

Speaker 2:          00:28:16       It's not as long as the chopstick, but it is as then why stop it undies. Mandy's also has cozy lounge pants and one disease and socks and the super soft fabric. Perfect for wearing on Christmas morning. Guys. Mandy's has got a great offer for our listeners for any first time purchasers, when you purchase any of me on these, you get 15% off and free shipping order by December 16th for free shipping and time for Christmas or you're crunched for time. You can't go wrong with a [inaudible] gift card. It's a no brainer. You're going to get 15% off. You can get the most comfortable underwear you or anyone you've known has ever worn. I'm telling you, it's all I wear now. They get your 15% off your first pair of free shipping and 100% satisfaction guaranteed. Head on over to [inaudible] dot com slash hd that's Mandy's dot com slash h three Vince Cyril watches has learned that luxury is a process.

Speaker 2:          00:29:12       It's not about specs and it's not about price. It's not a marketing term to be thrown around. It's about attention to detail as step by step process to craft. Every product is this process that separates us from the competition, them from the competition. I'm not associated with them. They just pay me to read this. It's a belief that you isla, yes, you deserve the best. They are tired of cookie cutter designs and mass produce mentalistic watches that have flooded the market. They want to offer a watch that was able to stand out, get noticed, get your Dick sucked and set yourself apart. Rather than conform to civil design all at an accessible price, they are able to provide the look and feel of bold luxury watches that are 10 times the price by selling directly to the customer. So the holidays are coming up. Guys, is the perfect time to get yourself or your friends and family a gift. And what's a better Gift Than Been Sarah watches? Get Your Dick sucked. That's not their float. I made that up. Um, but it is, but it could happen. Furthermore, we are offering to engrave on the back to create a personalized message, to give a gift that makes the right statement. So go to Vince, Sarah watches.com/h three December and enter the Promo code h three h three to get 15% off your entire order. Then Sarah watches.com/h three December.

Speaker 2:          00:30:32       If you're like me, you don't know anything about investing. And that's why Robin Hood is such a great investing APP. It lets you buy and sell stocks, etfs, options, cryptos all commission free. They strive to make financial services work for everyone, not just the wealthy. And it's a non intimidating way for stock market newcomers to invest for the first time with true confidence. Here's why it's so great. They've got a simple intuitive, clear design with data presented in an easy to digest way. Now, I don't know anything about trading stocks, but Dan learned how to trade using this app and he says that they have tutorials that show you and kind of take your hand and tell you what you're doing so you can learn as you trade. Is that right then? That is accurate now, right? Uh, Robin Hood, no, no commission, no fees. Other brokers charge up to $10 for every trade, but Robin Hood doesn't charge commission fees, trade stocks, and keep all of your profits.

Speaker 2:          00:31:28       Boom. Learn by doing. Learn how to invest as you build your portfolio. Discover new stocks and track favorite companies with personalized news feed. You're going to get custom notifications for price movements and you never missed the right time to invest. And now you want to learn how. Learn with a free stock complements of Robin Hood. They're giving away a free stock like Apple Ford or sprint to help build your portfolio. Sign up@hdpodcastoutrobinhood.com that's h three podcast dot Robin hood.com and get a free stock to get started and learn. How's it done? There's nothing better about the holiday season. Then unwrapping a brand new phone until you get hit with that brand new monthly bill, big wireless providers can really suck the joy of the holiday. So this year, don't just upgrade your phone, upgrade your wireless provider and switch to mint mobile for limited time mint mobiles offering the best holiday deal and wireless you've ever seen.

Speaker 2:          00:32:23       Three months of service for only 20 bucks for limited time guys meant mint mobiles. Holiday deal is here. You get $20 would get you three months of wireless service of five gigabytes of four g lte data each month plus unlimited talk and text and you're gonna use your own phone with any minute mobile plan. You can keep your old phone number along with all your existing contacts meant mobile runs on the nation's fastest, most advanced lte networks and if you're not 100% satisfied meant mobile has you covered what their seven day money back guarantee did Cheryl wireless bell and start saving with mint mobile. This is how it comes. They send you a Sim card, you pop it in your phone, you're good to go. These guys, I love it so much. I love this product and the Internet has gotten way too expensive. I we need a company like this to come disrupt. That's why I love mint mobile. Give them a shot guys. Take advantage of this mint mobile holiday deal before it is gone. Three months of wireless for $20 and get the plant shipped to your door for if our re by going to mint mobile.com/h street. That's meant mobile.com/h street, that's three months of service for just $20 at mint mobile.com/h three. Welcome back guys. So we've got a lot of a development. It's over the break. Uh, my parents are listening and they have some beef with what I said about that, uh, uh, embezzling

Speaker 5:          00:33:46       my bar Mitzvah money. So go ahead down. They messaged me pretty much within a minute of you saying that. Ask Ethan if he forgot the Disneyland trip with 20 of his friends for his bar Mitzvah. Stole his money. Huh? Okay. I didn't realize I was paying my own barbecue. Great Book where there's more, there's more. I spent $5,000 on his bar Mitzvah and everything he got, which wasn't very much, went into his own bank account. His memory is a bit off using his parents for a laugh. Shameful. Using the parents back down. I want to thank God used. Your parents were alive and where are we?

Speaker 2:          00:34:26       Yeah, there you heard it from Kyle gas himself. Mom, mom, mom, mom, mom. If I can retort real fast and this is perfect because you cannot respond one me, I'm not supposed to pay for my own Bar Mitzvah party. Yeah, I'm off on a madness. Is that Oh I paid and then the money in the bank. Uh, she says it went into my college fund, whatever that that's what they always say when they take your money college fund. Okay. You stole my money. Well we got a lot to deal with. Did you go to college after all? I did. Did you graduate? Barely. Cause Jack and I were in your graduating class. I barely graduated and all the only reason I did it was because I went to ucs. See the most forgiving Santa Cruz world. Really? Yeah. No grades. Remember? Well they changed that. They changed that. Some classes are still pass, no pass. But for the most part you get grades. Oh. But they are very not only liberal in spirit but also in their forgiveness of the grading system. Yeah. Learning. Yeah. Okay. Yes. Was it all teacher? All the professors? Hippies.

Speaker 5:          00:35:38       Yeah, cause that's what I imagined. Santa Cruz University. A lot of a hacky sack. Ultimate Frisbee. That's well I will tell you a jack that they had the number one ultimate Frisbee team and the nation. That's no joe and you're right, there was a lot of hacky sack as well on the sidelines. That would have been me. Yeah, I want to see it. Do you have any video of a frasier falling off stage? You do. So coincidental that you asked me that. Um, I would love to see that as these guys were walking in, the God vape is right outside the door and we had the ipad of Kelsey grammer falling off stage and so they hadn't seen this video. So I, I absolutely adore this. Is he like giving a Ted talk here or something? He's giving a on recovery. Let's talk about acting. He's very, see he's being very serious and uh, well without further ado, enjoy Kelsey grammer falls off stage.

Speaker 7:          00:36:37       Sure. We have to smile world pretending I was a UN interpreter. I think. There you have it. Do that one more time. And my favorite way goes, oh dear Lord. I know cause I was laughing on top of the Oh dear Lord. I think let's see it again. Nasty problems like in character as frazier. Wait, you did it again. I go back a little bit. Yeah cause I really want to get, I'm going to get with an interpreter. You went interpreter. How did not hurt him? He just took a lot of town hall stage looks treachery. Yeah. We didn't like the front of the stage looking like it has jagged wouldn't fell in between the wooden teeth. Have you guys ever had any stage

Speaker 5:          00:37:44       malfunctions or any issues on stage was we were recently watching a collection of artists falling off stage and there's a lot of help there by the look of it. Well occasionally a fan will run up and and try to Hug Jack. I think that's happened a couple of times. Don't you remember the one though where I did have one? You did and I think it was when we were out on tour with the beastie boys. We were doing like uh, we were rocking the vote. Oh, they were rocking the vote and we were just sorta coming along time around, we were opening up for the beast is an ena and I was like stomping across the stage and then I just like stopped in between too big. Like you can also walk on top of the big speakers that are out there. Right. Yeah. And I like stopped in between speakers and I went down all the way to my hip.

Speaker 5:          00:38:30       No, but uh, the adrenaline bounced me right back up and I just, I kept on rock and I'm pretending as though nothing happened. And I think that might've prevented it from going viral was that I recovered too quickly, but it was pretty intense and I came very close to breaking my hip. One of the great, you remember cones and one of the great falls we had during a show was our guitar player and he was shredding, he was shredding the Electric Guitar. So look to the heavens melting phases and he's walking back and many trips all over again is just a direct kind of, he had a, he had to get right back up though and continue rocking. He was, do we have video videotape of that? We should might be on youtube, but luckily there's been no serious injuries on a tenacious detour. That's good. And when you fell, were you, were you like, uh, injured or you were just, he came right back. I was sore and bruised, but now the show must go on and we had a show the next day. I think it was fine. But yeah, I felt it. The dings and there's like, there's this one video of Justin, like there's just a straight up whole yeah, on the stage. And this poor guy, right? The biebs went down the hall. Yeah. Let me show you went down the rabbit hole and whole, and I feel so bad for him because it's like, what can you do?

Speaker 4:          00:39:45       Oh, wearing a kilt. He's wearing a lot of layers. I don't know if it's really cold in there. It's kind of got an axl rose thing go on there. Yup. Yeah. And so Bob's your uncle in bye bye birdie. Oh God. The anticipation. Oh God, no. Why would there be a hole there? Why would there be a hole

Speaker 5:          00:40:11       guy? I fell so bad, man. Cool. Like he never had a chance. He's got to get an accident lawyer for that cause he's got it nick deep though.

Speaker 4:          00:40:21       Play that for you again. But yeah, he goes all the way down. It's never quite as serious when you weigh 112 pounds. Dot. Right, right. Nothing really hurts. That's not the normal stage. And then,

Speaker 5:          00:40:35       oh man. That last step was a doozy that had to be like for an effect or something like, well these dancers popping up through the hole, but there's the best of clothes. That's how you got it. You got to cloquet. Yeah, you've got to close the hole. How often? But he knows the clothes, the whole, everybody knows. Everybody knows. There's something I heard about you that I, that I found was interesting. I was thinking about, as you said, we, we both had this experience. We turned 13, and we said smell your later to the Jews. Yeah. But since you've had kids, I've heard that you've returned to synagogue. Well, I did feel like it was important for them to feel part of a community and I wanted them to have that experience. And uh, we did have them enrolled in a school that had Hebrew studies as part of the curriculum so it wouldn't feel like they had to go to extra school afterschool.

Speaker 5:          00:41:27       Hmm. Um, but it wasn't a good fit for the boy. We were there for a few years. This is a good school. But, um, God, uh, Dan actually so much stress dude is figuring out the right school for our kids. I've spent so much time and energy and just like anxiety over this part. I had no idea being a parent could be so hard. You thought it was going to become a public school, public school just, well, what's wrong with the public? Well, what's wrong with public school? Um, it doesn't feel like our society puts enough energy towards public education. Well, there are tragically, I feel like even though it's not fair, I feel like I have to use the resources that, that, that we have at our disposal to give our kids the best possible education. And that unfortunately does not include public school ad this time.

Speaker 5:          00:42:22       So, and is it a problem for your kids being a, does it cause issues for them being your son? Does that ever, yeah, that is a factor too. Interesting. It's, uh, you know, uh, when, when everybody knows who your, your father is, that's kind of a weird situation for them to be in. And then to not know if like their friends or friends because they're, yeah. That's complicated for it. It's hard enough for an adult. I mean, yeah. But, uh, I think my boys are, are relatively well adjusted and it was actually my son Sammy, who turned me onto your show. Oh yeah. Low three h three. How old is he? He's 12, but he's sharp. Very advanced. Very advanced. Tammy, thank you so much. I always take sam his advice and he's given me, he's given me lots of golden nuggets over the years. And, uh, and uh, and Kyle's always like, Hey, wait, how did you hear about this thing that we're doing today? It's always Sammy, Sammy, you've been on, you've been on good mythical morning and you've been on hot. Were both, were those all families? Examine Samsung is giving you good. He needs to be your manager. The best shows. Well, I believe that children are, well, hold on, back up.

