Speaker 1:          00:00:01       When it's like upside down.
Speaker 6:          00:09:21       Right? It's a comma. It's the, it's the first issue comic, uh, the cover I did and then I had seen, I grabbed harmon to sign it and I signed it. So you valued this at, I don't know. It's weird. It's like on Ebay they go for all different ranges of amounts. I've, I'm not kidding. I've seen themselves for like $5,000 and that's what that might be the most I've seen itself without the signature of the creators, like 2000 1500. But, but, but honestly I think that's the low, it's weird. I haven't looked in a while so I don't know valuable. It's pretty valuable on the Ada. But with the two sick, with both of both of our signatures, definitely pretty rare. I've, I feel like that should, that should be, that's a good one to two to raffle. Oh, that's there. That isn't a premium premium price.

Speaker 2:          00:10:07       Go ahead and tell us about this because this also your fans have been going, uh, yeah, Nana's for this.

Speaker 6:          00:10:13       So, uh, like for, for any gravity falls fans or people who have gravity falls fans in their family, I'm watching, like we released the gravity falls journal number three. We've created this limited special edition where it has black light messages and like it's interactive and it's like this incredible book. And there was so difficult to make it so expensive that Disney was just like, we're making 10,000 of these and we are never going to do this nonsense again. Like we can't even believe that anybody would buy these because they're expensive and rare and hard to get ahold. And they only made a few. And then once they were done, like for the past year and a half, my entire twitter feed every day, it's just people like where can I get another gravity falls during number three special edition cause there and I was like, they're gone. There's not another single one left on the planet earth.

Speaker 6:          00:10:56       There's only one left that I have and it's mine and I'm not selling it. And then I was going through my stuff and I found one final journal number three special edition. These have gone on Ebay. I've seen them go for 4,005 Jesus Christ. Really? Yes. And this one is rarer than those because May, the reason this exists is because this was a test. This was the very first test printing of this book, just to see if it would all work. So I think there might be like a few like typos in there. Like it's like it's a first, first edition. Wow. It's unlabeled. So it's like when you get a normal one, it's like one out of 10,008 out of 10,000. This isn't even labeled. It's off the grid. It's the rarest journal number that is a real collectible. That is a real heroes right here folks. So, uh, so yeah, just like everything else, you know, one, $1, one raffle ticket for $1, you could win this. It's totally possible. Um, but I'd, I'd hedge my bets, maybe throw some more data. The throw in like

Speaker 7:          00:11:53       half the value of what it is, what it would sell on Ebay for. What do you think that would sell on Ebay for considering it's one of a kind. I couldn't say. I mean it's been like a year since any of these were available. So, but not to mention that's literally a production that's like the first one off the presses. Yeah. Oh, it's like when they make a stamp and there's like a misprint, maybe only one of those. Those are incredibly collectable, like the, the, that stuff is accurate and I value it at right. That's like a prototype toy or something. I won't lie. I don't know. I don't know if like signing it would make it less valuable if I should just include a signature with it or something. Cause I don't want to mess. Why don't we, why don't we ask the winter?

Speaker 7:          00:12:29       Yeah. We know what to choose. Signed or not. [inaudible] is not a bad thing. I can't imagine the winter being like don't, don't put it down and touch it. And this is true. When I found out he was, Alex was bringing that I, I was like, you tried to trade up. I was like, listen, I have, I have seals of book three. I'll treat you to auction off for that fucking one that wasn't even hitting. I know, you know, it's an embarrassing sad. You're a pro. You're not too proud to, I'm a, I'm a fan and I am a collector so we are at 6,200 guys. Let's keep going. Come on, get it together. We got joe sell ended up outside fucking proper and then retaining chuck. You know what I mean? We got to get the money gone stuff. Yeah. And then Ross Butler for all you the heart throbs Justin heartthrobs for all you girls that want to get Ooh, Ooh, yeah, yeah. This sweet treat.

Speaker 7:          00:13:29       He, he's uh, he's gonna eat like a up for auction is a private message is going to kick off for an MRI. Oh No, you don't get to see as being a no, no, of course not. No, no. God cause I was going to say it's all, it's all a pg 13, 13. I actually don't even know what a little nip maybe cares. It's like a, you know, it's like a private message, you know, a or whatever you want, like a video that, that Ross we'll send Ya. And that's fair. The tweet and God blessed. Yeah. And, and, and Ross is great and, and I, I felt like that. Oh, awesome. Yeah, this will come in handy. Um, but yeah, uh, I figured, you know, he's, he's got a massive fan base and I think that could help us. Raise a good chunk of absolutely and thank you to both of you for coming together on that.

Speaker 7:          00:14:19       We also have a switch bundle with smash and that'll be signed by everyone here. No, I'm kidding. I don't know [inaudible] we've got the xbox with fallout 76 damn brought this back. I was like, really? You had to get the 76 bundle? That being said, it is the x box one x. This is the premium top of the line. New Console that won't lad like the Shitty one that I have, but they sold me two or three years ago and of course we've got the PS four bundle. That's that new bomb ass ps four pro red dead redemption

Speaker 3:          00:14:52       get. These are amazing, amazing, amazing, really good raffle. And then we realized there's so much more, I can't even list it all, but this amongst so many others is oh rick and morty original script. We have four of those. That's really amazing. And I was going to tell you if we wanted to kind of bundle some of the rick and Morty, it's too late, but I was going to say that it may or may not be too late because if we wanted to bundle it, you can just carry over the, the, the, the, anyone who bid on a certain item that bid could carry over for whatever bundle that item goes to. Does that make sense? I don't know how complicated that would be, but I just thought of that last night in his mind. But I mean, it's probably more work than it's, we have an Alex Hirsch message donation.

Speaker 3:          00:15:37       You, are you showing your Dick or are you just saying stuff? It's going to be a, an audio adventure. I'll be live ventures. Uh, yeah. Uh, for any gravity falls fans, uh, you know, I can do any voice of any of the characters that I do. I'm just like, send me, what message do you want me to say? And uh, as long as it's not like ridiculously places, I will say it. Um, and uh, yeah, same is everything. Raffle tickets for that. Oh these are very frank are completely sold out. Rep and dip X. Justin's going to steal every fucking fine. There's a ton of limited edition is who it is. This call I will not be restocked. I see some people are waiting for that. It was a one time thing. So these are the last ones. Yeah, that's it. And then we have some, I know teddy fresh one off samples of things we've tried and then decided not to go out.

Speaker 3:          00:16:31       Like for example, let me show something like, um, you have the sweater. We made these, this happy like that sweater. And so we, we tested one an orange. That's one of a kind that only exists there. We have one in blue. These are ones that we sampled but never went ahead with. This one's in blue. That one actually. That's pretty good. Yeah, that's really, yeah. I don't know why he didn't go. I think maybe you might want to reconsider them. Reconsider. So it won't be that rare breed. There's like this was another sample. This is one of a kind. It doesn't exist anywhere, but that's official teddy fresh. This one was a really interesting story. We got this sample and then when I, when we tried it on and took it off, we really liked how the inside looked. You can kind of see that's how we ended up making the rainbow one, the new one. That is basically, it was based on the inside of this sweater. That's cool. That's awesome. We liked it better inside out. Well let's just do that. Um, and, and so, so much more. You guys have to go over to the prizes page and see there's a fricking buttload of amazing prizes to win there. So with that being said, in a couple more prizes, [inaudible] 9,009 big donation, Bam. We got to get Joey Salads

Speaker 2:          00:17:50       on that,

Speaker 7:          00:17:51       right? Yeah. Uh, nothing, uh, huge. Huge. Yeah. We got a couple of like hundred dollar ones, which is pretty awesome. We're not people, people are going to get shout outs for 500 plus donations. Yeah, absolutely. So thank you. Um, so

Speaker 2:          00:18:06       also guys, if you're watching this on the Vod, you can bid on all of these items for the next week. They are going to be up. So if you're not watching this slide, rest assured you can still win all of this stuff by donating on the campaign. Uh, and the description. So why are we doing this direct relief, direct relieve beneficiary of this uh, live charity event. They are one of the highest ranked charity organizations in the world on charity navigator. They are one of the only, are they the only or one of the only Dan uh, rank charities 100 out of 109

Speaker 7:          00:18:40       transparency. They are number one. They are ranked number one. So I imagine they are the only a a 100 out of 100. They have a perfect record on transparency and how much money actually goes to people that need it. Paying out executives, it's like, it can be so hard choosing charities because like all of them are doing some good, but you don't know how much of your dollar is going directly to the people who need it. How much of it is going into like printing fliers for the company and it's like this one, like every single rating system says like, yeah, your money's going to someone who needs it immediately, that dollar raffle ticket that might get you this prize also is like directly to some of the, it's also, it's also they're, they're going to be, it's, it's northern California and southern California right there. Like hitting everybody. Yeah. Yeah. Which is great.

Speaker 2:          00:19:28       Um, and so, and so we are doing this in honor of the, of the tragedy, the tragic loss of property and life that occurred here in California from the fires. Actually, I feel like a lot of people think about what happened here in California as just a bunch of rich people lost their houses, which is, you know, true as some and to some degree here in Los Angeles. But what happened in northern California, in the city of Paradise, this was not a rich community. The 14,000 homes were destroyed, the entire city was wiped out.

Speaker 7:          00:20:09       You can't really wrap your head around just how destructive that is. Let me show you a video that, I mean, I agree, but here I pulled up some media to kind of show you guys the scope of destruction. So like this is the city. I mean it's just gone. Oh Wow. That was a wall. That's, that's a Ariel. Ariel. God. I mean it's gone. One House. Just here's dean. Yes. That would want hilarious. Well not, I mean, I guess not funny. I guess more this one. Good. Who's like, as you're panning across, destroyed home footage. The phrase, wouldn't it be funny normally? No, you're right. You're right. No, it's fucking terrible. Horrific. Yeah. My, my, my, my partner at squatch games, her brother lost every like everything. Really? Yeah, yeah, yeah. It's like, no. It's like, I don't know. I keep asking, but do you have, it's like you do, like everything is going well.

Speaker 7:          00:21:04       It's not like, oh, I have insurance. Cool. Get back to normal tomorrow. It's like, no, you're, you're, you're, yeah. It's going to be about paperwork and also all the irreplaceable, I couldn't even imagine. Like I, I, we, we were talking about like what would you grab if you had, you know, I don't know how much time, like a couple of hours, what would you grab and load up? And it's like, no matter what you're going to get out and the next several days you're going to be thinking of all the shit you forgot you're going to, cause I have the worst, that moment over and over again. Oh my God, I forgot to get the fucking whatever, you know, I don't know, 15 minutes. What do you grab? Obviously the dogs, right? Yeah, I mean that's all I really care about books. Like all my cash flow, that's the first thing. I'm just like, I have years of original art and sketchbooks, like going back to high school.

Speaker 7:          00:21:53       So it's like, yeah, like, so I would grab all that if I could. I don't even know where it all is though. That's the thing. I'm not ready. I'm not ready to hire. Like, yeah, you're, it's like, give me a second. Maybe my laptop. I probably would just because it's like there's too much shit on you guys. Keep talking. I'm just going to show foot. This is somebody just driving through and then it might blow up. Sex dolls obviously replay. Irreplaceable. I'm not going to leave them. I don't know. I don't know that I would grab anything but the dog and maybe my laptop. Yeah.

Speaker 7:          00:22:29       Well my mom, I think my mom rubbed off on me in a awful way cause like she would like throw out my childhood art like that. It was like, oh my God, like an old receipt. That's horrible. Yeah. Why would she do that? Trust me, this is a long, long, long time coming and I'm in therapy. All right. We just had a really true that I'm in there don't know that she would throw the rock art that I was super proud of that I made in high school and I left there. I have, I'll tell you what I haven't painted since. It's almost as tragic as this in a winton I in a way that's kind of helped because like I don't throw away a single sketch book. I have a closet filled with like every drawing I've done since I have like drawings from highschool.

Speaker 7:          00:23:10       Sounds like just like, it's like I don't, it's like I don't need it. I can throw anything. No, I wish she didn't throw it away. I wouldn't eat them. Like tomorrow we gotta move Ileus, pack a suitcase and I was like, okay look. Yeah, yeah, yeah. Well I feel like I'm good. That's good. That's good. I felt like healthier cause you know, take it with you when you die. You know what I'm saying? There's certain things who just said I have no, I'm not going to look out and I really don't care about like you can carry around everything you've ever touched in your life or heard about or done or, but like there's somethings that you are going to need and the majority of it

Speaker 8:          00:23:46       you're never going to think about. Even if you bring it, like how much shit is in your house there that you will never even think about. If it was gone, you wouldn't even notice. You know, I liked who were arguing for like, yeah, it doesn't matter if you lose all your stuff in front of this mountaintop. People losing their entire house. Oh, well, I mean, if you had a choice. Yeah. The difference between having everything just blinked out is horrific. Got a lot of media. Does anyone know how these started? These fires? How did the campfire start? Dan Fires, right? Well, the problem is that it's just so windy and dry. Yes. It's the combination. It's like you, if you breathe wrong, some brush, you start a wildfire or it's, it's a thing that's happening every single year now getting worse and worse. The campfire specifically we believe was started by our friends at PG and e company, mother fucker. But like I said, you could almost just like take a, a spicy shit and start a fire. That's true. But yeah, some of their equipment, uh, overloaded and caused the spark and that's what started it. I shouldn't eat. Why chewing into the mix. People talk shit about it. We'll talk good about me.

Speaker 8:          00:24:57       Actually. The problem is that he was, a lack of rain was, they're amazing. There's no rain. The Santa Ana's, which are these, we got rain like the week after like two weeks after the, it was like blood barely and not the why. Knowing the worst. It was like, come on, are you kidding me? Now you're going to rain. Well then they're like, oh, the mudslides, they're going to fuck everyone up. Will that, exactly. It's like a, it's, yeah, on the whole everything is super dry and then you get the Santa Ana's which are these really warm dry wins and it's just a fatal combination by the way. We don't know. We don't know that much about it. That's all that we, he doesn't know what he's talking about. Thank you Justin. Appreciate that. If you can just keep on supporting me throughout the, just to make sure. Have we explained what the Fuck Justin's up?

Speaker 8:          00:25:47       No. What are you doing? I'm doing um, I don't know if the camera could see this. Justin has laid out over the table. He's assembling some sort of animate figuring doll. He just showed up with a bag full of toys and just wordlessly silently just started. We're going to auction off when I'm done building these, someone's going to win it. It's like this creepy little school girl and I'm trying secret notes inside each piece. Um, hey guys, I'm going to send Joe in because uh, I have three donations for write something on Java. We have one for writing something on Ethan. So I'm going to pop that. [inaudible] was, tell me all about it. What do we got here? Their name is, uh, why zoo deep like Tommy Wiseau. Dude, why Zoghbi it's the real Tommy, go ahead and pop in on guys. Come on. We're almost to that first landmark

Speaker 3:          00:26:44       now. Justin. I did donate 1000 cause my mom wanted a drawing from you. Okay, well that, that, that was your won. I got whatever you want. I've got to draw something good. Anything, something, something not yelling as valid hook here. Here. Yeah. Why don't you join us on the couch and then when the first you can just join us here. Do we have, do we have like the, like they, they, they've specifically requested like, yes, a thing to be. All right, hang on. What's it going to be? It's going to be hard to beat. Last year in June, we right on Joey, Bernie Sanders Fan boy subscribe to Cutie Pie and unsubscribed from Jesus Christ. So where, where, where are we? I subscribe to see series. I just want to acknowledge was subscribed to a PD pie unsubscribed to two series, but since the other one was subscribed to Pewdie Pie, I figured, you know, we could, we could break that up a little bit. Thanks. We're done. It's a little redundant and the names, give them a shout out if you would. There's not much, what do you want to know? Whatever. Where could we do it? Just go ahead wherever you got space. Not a lot of room. Yeah, let's start with the neck was out there. Yeah, just like on, so just try to start, you know, riding on top of writing as we continue through the, just get in there.

Speaker 3:          00:27:57       So you've got first Bernie Sanders fan boy is that true jelly. They see my twitter somehow I suspected that wasn't true. Um, subscribe to Pud Pi's next and unsubscribed from t series is interesting. Joey's skin is, is, is not accepting the really Joey Joey, you have unusually soft hands. Do you know that? Every no law. Okay. Well does that make your hands soft? I masturbate a lot to the lotion. I got good lotion. Yeah. Seriously. Because every time I've shipped I'm shook your hand show you, I've noticed you have a remarkably soft skin. Whenever you talk about me on your podcast that you always bring up my socks because I thought it's just so bizarre. It's like I don't ever shake someone's hand and notice that they have remarkably soft skin, but you just, how many times a day do you jerk off for really with lotion? Cause that's like a whole thing. I use cocoa butter. I like, but it's all hours. I lotion my arms sometimes before, before. Yeah. That makes sense. It makes more sense. Yeah. By the way, the uh, the donors who donated for Joey is Garrett runcorn, buddy foster and solid shaggy. So thanks. Thank you guys. Thank you. Thank you. We're up to 16,000 Shag. Are you?

Speaker 9:          00:29:18       No about the Jalapeno

Speaker 3:          00:29:25       watering, but I'm like, my body can't like rejects it really. Well, if you need to take a shit we've got, you can do it in the pool. What? Uh, what else am I writing? Uh, a bribe. You can just say unsub t series and sub two

Speaker 8:          00:29:42       Pewdie Pie. All right. I like how Bernie Sanders, impunity pyre equally important in the imaginations of our donors. They're like, these are the two causes of our time. This is what matters. Tea Areas series. Now while you go ahead and so grateful, I don't know what any of that means. I have an interest. I have a human interest story. This one really touched me about from the fires. The dog waited outside. They had to evacuate. Oh No. And this dog, this dog ones mess me up, man. This dog is such a legend. Somehow survived on its own in the middle of this fire and waited outside the house for a week. This was something a dog apparently stood guard at a burn home four weeks until his own or returned CBS to Sandra Mitchell. That was the story. Look at this name of this guy now that he's finally, and then also, okay, good, good boy t series on me.

Speaker 8:          00:30:39       Paradise Fire. But she had to leave her no jokes about her name and his brother Miguel. Behind 85 people died in the fire. 14,000 homes were destroyed, including gay lords. Miguel, come on and then a few days later, face rescue workers spotted madison that is burned out home. The loyal, hey man, through the worst of circumstances being so emotional, the animal rescue worker left, so they just bought the dog and she went back to try and capture heads. Survived, founded. Just sitting here waiting. I mean, that's the heart Anatolian shepherd. It's a brain. Three weeks week, one week, one week. That's when they rolled up sweet creature.

Speaker 8:          00:31:37       God, Gaylord was allowed to return home for the first time in almost a month. How does she brought Miguel with her and they didn't know if the dog was okay or not treat. The dog came running in additional looking at warmed his heart. I need him. He's like, oh wait, hold on. That's a heartwarming story, but I just have parts. Let's, I want to pick it apart. Dissect that emotion. So it's like, how much time was she given to evacuate? I want back. Well, it paradise. The fire was so, a lot of people parish because it was so fast. I don't wanna I don't wanna I don't wanna I don't want to do whatever answer is most heartwarming. My dogs would be like the fucking number one, the t series. Well, she's an old lady. She can't carry that little old lady. Miss gala was outside. It was out, you know, roaming free. Yeah. Two series. Let's do it here. Thank you for, I don't know what that means.

Speaker 3:          00:32:40       So yeah, it's fine. You guys done it? Okay. It's, the donations are going up fast. You guys 17,000. Let's me. Once people see t theories on your cheek, they're like, oh, I could, there's some real estate. Look guys, this amazing face. Real estate money donations are blowing up. Left cheek, forehead. Forget [inaudible] almost 25,000, 25 k 25 k the first hot pepper. You were raising a lot of money. Yeah. You don't have to, uh, Jalapenos nothin. You need the, uh, the Carolina reaper if we raise 100,000. So that's something you should feel really proud of. I'm proud that I'm so like not looking forward. I know we got a problem with um, with his mic. Oh, he's Mike with Joey's. Mike. Sorry I haven't lean. Lean up to one of your guys. Mike, if he's talking to a microphone and throw me in the corner. Well I'll fix it in a second, but we care one or two times. You can talk into my mic here. Can you hear me now? No.

Speaker 3:          00:33:50       Yeah, yeah. You want to, you can use mine cause I'm drawing anyway. Yeah, you can go ahead and meanwhile, have you guys bring a chair meanwhile? Um, what are we up to right now? We're at the total right now. The total right now is 17 and a half thousand. I mean like, I know we raise a lot of money last year and I should be like desensitized to it. But like that's an amazing, that's amazing. Well and I think the donations that you guys gave and the prizes are, they're amazing. They're warrant. So you get to give money and when, incredible, beautiful thing. Oh Great. We've got another one to ride on me. Congratulation. I got another one. The writer who's the next person. By the way, we also have this, there won't be any sweat this this year to drip it off. It's, it's cold and this year it is frosty.

Speaker 3:          00:34:39       I, last year they started to melt but these are going to stay for a long time now guys, we have the c o of direct relief joining us on a call later on because last year we're going to really lay, sent us, we're going to end up make really, I'm not sweating, but he will be, um, I have an email here from them where thatF is. It is my question. Oh my God. I thought I had it all organized, busting open these mystery snacks. By the way before, I don't know what these are. Justin brought them. Where did you get this stuff? Um, Japanese. Uh, why is it not here town? Oh, I'm in the wrong one. It almost a quarter mill. Last year. Yeah. Last year we raised 240 that was the dog off stream we got, so here's the letter from direct relief that I got from them before we went on this livestream here today.

Speaker 3:          00:35:32       They said, hey guys, just want to drop you a note and let you know how grateful we are for your sport. They history last year was by far our biggest online marathon and we can't tell you how much this means to us. We're excited to have our CEO calling in later day, but please know that you always have an open invitation to come visit our new headquarters and distribution factory and Santa Barbara. Just let us, yeah, you Yada, Yada, Yada. Thanks again from Ya. Boy Kevin, you know Kevin, he's like our new headquarters. Be flossing. No, I would have been sober. Look at your calling Kate Bay, so there you go. Dylan. Good when and great prizes. It's all happening now as we inch forward to this first milestone, we had 18,000 guys. Let's enjoy a holiday video together. What I want to can real quick before you do that to me.

Speaker 3:          00:36:18       We have a $500 donation from spoon and he would like to just put the label papa on your forehead. Uh, now that you're going to be a dad. All right. Sweet. It's not even like trollie or mean. That's so much more respectable than I love come last year they'll trickle it. Oh my God, this is really good. Yeah. It's some kind of like a, was that a cherry flavor like crunchy but gets blue raspberry. It's gets kind of like you want to try that fan on. Does it have carbs the best? Uh, while you were about, I mean, you're going to shit everything out anyway. That's true. Like I wouldn't worry too much about what you eat in a way. A $500 donation from Cameron booster and they didn't actually leave anything to write. They just wanted to shout out to his girlfriend Chris Mcmurry and her beloved cat, uh, tight Tenneco's titanic. Titanic. No, Alex.

Speaker 3:          00:37:28       Oh wait a minute. And they hold on. I'm dropping the lincoln discord. If you could throw this up on the screen real quick on my book because this is a beautiful cut. Oh, just what they want us to show the patents. Show that titanic. Show that kit. Whoa. Look at that cat. Yeah. That's a cool cat. Is that photoshop? This looks so beautiful. What do you think that natural radio, gorgeous cat's looking at in that picture. What do you think it's thinking about man, that's a, that's thinking about America's future. Yeah. It's like where are we headed for president know? He's replacing Tucker Carlson the planet. Thank you. Got Cameron. Boaster beautiful cat and shout out to your girlfriend Chris. Guys, we're inching closer to this. We're at 19,000 joey. Good. Pucker up your asshole because we are about to get on a wild wild ride. Now let's watch a Christmas video that I saw on youtube today.

Speaker 3:          00:38:21       That is one of the greatest things I've ever seen. You guys know this thing's going absolutely viral. Five 15 million. It was supposed to only a couple of days ago. This is mark rope rubber. This is, you're going to love this. [inaudible] can tell them. You've seen this, Alex. I've seen it. I haven't seen this. So as you guys know, box theft is a huge problem today. People going up to your head and especially around the holiday, they go up to your door and they steal your package. So this guy was tired of this happening and what he devised was a bomb, a glitter bomb to go off with a camera in the box so he could record there. We had the wrong people get called. Now this is going to cut it. Now this guy, this guy is a, was as a former NASA engineer.

Speaker 7:          00:39:06       Yeah. Like being sent to Mars. It's half with the wrong guy.

Speaker 3:          00:39:11       Exactly. Yeah, yeah, exactly right. Having fun making glitter bomb packages. So great. He does this a bunch of times and he captures just unbelievable footage. So let's, all right,

Speaker 10:         00:39:23       I may be biased, but sometimes in your design,

Speaker 7:          00:39:27       and it doesn't just throw it up, literally four cameras capturing live and it also has, um, barb on, but as a fart bomb also the fart bomb is just incredible. First, the glitter shoots out. This has been really hard bump shoots at like every 30 seconds. So they have to get rid of it when they realized, because at first they're going to be like, Hey, what is this? And then it keeps going. So amazing. So the, and then the best thing about this is that I expose, this guy's got to mass produce these and sell them. Yeah, it was about to say I would buy it the most fine grained glitter in the world. Impossible to get out of carpet.

Speaker 10:         00:40:00       [inaudible] package has been moved off the property. So I put it out on the porch and now all that was left to do

Speaker 3:          00:40:05       what's his weight and he could have done a better wrapping job.

Speaker 10:         00:40:08       Okay. So I was at work and I got a notification that the geo fence we set up had been tripped. So then I checked the cameras and sure enough the package has gone. So I checked the GPS and sort of tracked it and it appears they're in a car because they seem to leave my house pretty quickly off. It seems to stop in a parking garage, which is where I'm headed to now. And if you're new here, this isn't a prank channels. So I am completely out of my comfort zone. Rubber by the way, this legend and there she is.

