Speaker 1:          00:00:05       Welcome.
Speaker 7:          00:13:18       See Ya.

Speaker 5:          00:13:23       By the way, it should be noted. She didn't even take a breath. Now let's see. Oh, like can I tell you what's crazy is that this got me into a spiral. The quicksand and there's a video online of this, uh, I think he's like a brittle British journalist where quicksand is out in like the aisles, like somewhere close. And he's like, he's like, all right. So the quick son, he is pretty dangerous. And what I'm going to do is I'm going to, I'm going to demonstrate how you get in and out of quick sand. I've got all of the safety guards, we're going to be fine. So first of all, you get in, you wiggle around a little bit, all right? And then you go in a little lower. While this was happening quick, does that mean a lot quicker than I thought? All right. All right, maybe we want to start getting me out and they spend three hours trying to get them out of quick. You, he is terrified. And he was thinking and how high up does it go? I can't, I honestly think it gets to his chest, but he can't breathe and he's like having, and I'm watching this, I'm watching it like, you know there's Russian kids that hang off the side of a building. Yeah Dude, I'm watching it like that going like I'm going, it's long usually by no he doesn't die.

Speaker 5:          00:14:26       He's like holy. I started doing, I started doing a solo podcast because of videos like that where I do too. I do one with like, but the open tabs open and I just do open tabs of shit. I like of like shit I'm interested in. It's always flash floods but like, but like I, that kind of stuff blows my mind. Like when you find a video like that and you're like, oh no, I mean I love that open tabs right away cause I always like a million. Yeah. So it's a fun, it's a fun game that we used to play. I used to play with guys is like you'd go in and just open your browser like this and grow. Go ahead. Ask me what I've been googling. Someone could just flip through and be like, oh, tell me about Kevin and being, I go, oh well beans, the guy that's not, you're not in studio.

Speaker 5:          00:15:11       Oh, tell me about rich Eisen. Oh, tell me about, all right, so, right. But yeah, so that's the podcast. But I love finding a good video on, I never imagined in my whole life that I, and I feel like I've seen everything. So I'm wondering, do you have any other strange, bizarre phenomenon is that you're on to youtube right now that's really piquing your interest or your penis? Oh Dude, I'm old. Can I tell you the cool, one of the coolest things I've seen at all? Do you ever heard backdoor cow backroom casting couch? That's a porn, right? Yeah. I saw one of the outtakes where the girl says no. Oh, then it was so awesome. Wait, that's not, that's the owner is, that's not the point. Nothing happens, but it's so awesome. Why are you here? She just sits down and he does his spiel. This, you've heard the spiel. So I'm a, I'm not the director of myself personally, I'm just a casting guy. I send this out to the producers, they'll hire you and they just want to make sure he can form a camera and that you're comfortable. She's like, yeah. He's like, so what I'm gonna ask you to do is first undress. And then the best part of that whole video series is that look on their face where they're like,

Speaker 4:          00:16:18       okay, that's the only reason I've ever watched it. And the one girl goes and he's like, what? She's like, pay me now. And he was like that. And then you see him on his heels, like, that's not how it works. Um, she switched it on and this guy who has been so competent for the old series is like, no, you got to get engine ever go anywhere. No, they never go anywhere. It's so great. I was like, more of them. I just, I think on youtube too,

Speaker 5:          00:16:47       a backroom casting couch fail or something fail. Oh, it's on pornhub better not click. Yeah. Tony Robbins. I can watch any video he does because he is a sociopath. Tony Robbins freaks me out because on one hand like he, I get it. Yeah, I've heard him. He's got like this magic. He's like, he is a sociopath. He's got that charm. He's a, he could make you eat poison apple sauce and catch a fucking comment behind the moon or whatever. He could do that 100% he's got to be scary. He's got a video of him showing off his house in Fiji. Right and he's showing it to the camera and it's just like, do you ever like the best way to say this is like, do you ever have a friend who gets genital warts? Then every conversation they have, all they do is kind of slide in statistics about how common general

Speaker 4:          00:17:40       told you the day of genital warts are. Just like you don't want to force people have HPV. HPV is very common. Very, very common. Wait, wait. He is an interesting,

Speaker 3:          00:17:50       I go to the very end and watch the way he makes going on. I can't see it for some reason. I'm not ready. But you was covering the, let me try to address that. Okay. What? He's right here. I'm, I'll tell you, I can remember. He's basically saying it's got heart. It's a very integral part of this community. That's really his family. They call him big boss, but this is what a family who calls him big boss. Everyone calls him big pause. Everyone that children called him big box. Oh Tony, that's fucked up. But the best part is he forces everyone to stop what they're doing. Come out to the driveway and sing a song to him and he stands in the middle as they sing at him and play the guitar and you look at some guys like, I've got to get back to cutting trees.

Speaker 3:          00:18:35       Okay, Tony, let's do this. You just play a little bit and you'll see them sitting into apples though. He's in great shape. By the way, I'm answering all this and I understand that he's never sold himself as anything other than what he is. Okay, well, being hypocritical is out. We watched the documentary lugs. It's pretty incredible. The thing is like there's a documentary on Netflix about him that was a definite puff piece, but you can't help but aside the insanity of it. So as hard as they try to make him look like a saint, you can tell how weird it is also. Oh, he's good. Right? Dipping pool outside his house. Paul, he's got a little, he's got a little trampoline that he hops on. Yeah, he makes the girl break up with her boyfriend on the phone. I was like, dude, hey, what's, what's life going to be like when she gets out of here? I'm to get that roller and he calls back. He's like, what the fuck was that? And she's like, sorry, we're okay. Sorry. I just got peer pressured into doing it on live TV. I didn't mean that at all.

Speaker 3:          00:19:38       He's like, he does this shit where it's like, it's pretty broken afterwards. Fuck. That part fucked me up. I was like, that wasn't cool at Tony Robbins, but it's like he does this. He's like, you know, he's not good for you. Right. So you're going to call him right now while everyone's watching. The camera's on you and tell them you don't love him and you never lie and you never loved it. It was like, Whoa, he does that for me. I go and buy here. Here's the biggest problem is like I know self help gurus like I know them and I just go, what? What about the day before you were sell Po ruin? You were looking for help like yeah, I just know they're walking paradox and you know this guy's the most fuck. I mean if this guy, he's got a fuck dungeon, he's got, there's he, he has like nine different beds around his house and he just keeps going. This was my old ward bed where my beautiful wife and I are low. Okay. My beautiful wife. Okay. Your wife like tell me this is where we make love.

Speaker 3:          00:20:43       No, this guy's crazy man. It doesn't have like gigantism he's just got, he's got like a disease that makes him like huge and it's voice crazy. We couldn't kill him if he was passed out in the hotel room with bats. Okay. He's not much bigger than no, no. He, he has gigantic cism or things, so he's a massive man whose teeth fit in his mouth, like he doesn't have his baby teeth. Oh, is that true? Baby teeth when you're beginning is a hormone thing. There's something wrong. There's, you know, he's in great shape. He's got to be on testosterone. Yeah, he's killing it. Which means big boss.

Speaker 3:          00:21:23       His boss asked me about my family and then I'm going to reply the way. Tony Robbins Fan. Tell me about your family. They call me big daddy Kane, which means I'm the boss. He laughs like it's like not his idea, but they're like a dad. He's like, excuse me. But he's like, keep it going big. You mean big daddy boss? The way he just laughs at that was so creepy. They call him big bosses. I'm the big boss, so when am I going to do paper? Everything. We've watched them sing to her. I mean, you know, this guy's a god complex. Gotcha. Okay, we'll be ready to go in five minutes. These like, dude, I got shit to do. He's like, oh, he's doing this. I don't know. I'm not comfortable with it. Let's black face it up for him before he gets out of here. I don't know about this. [inaudible]

Speaker 3:          00:22:22       big bosses. Everyone kick your shoes off, put on your Hawaiian shirts and they put flowers in her hair. So you think those guys had them in there naturally? No Dick tire staff gathers to bid tony feel well just spontaneously but of love and compassion Jews cause they're going to miss him. They're going to mess cleaning up after him and taking care of them and take the cards cause such a joy and a pleasure getting his breakfast ready. Seeing that he only had half cause he's only watching silent. The throwaway brand new way. Don't fuck it. Don't you eat that? He goes, don't you fucking eat that? Throw in the garbage. Total hypocrite. Because this is exactly how I behave if I had this much money hiphugger because, well he acts like he's Saint John The divine. Yeah. You know who look, he's just like, get me the fuck outta here.

Speaker 3:          00:23:20       Damn, this is amazing. Why did they even try to spin it like it's just coming back home. See, oh wait, this is just his house. This is just, these mother fuckers just work at his house. This isn't a resort. This is your house. These are your slaves. He had slaves. Yes. Fiji slaves. I think their employee meet out front. Mr Tony Big Daddy's leaving 7:00 AM me there dress. Bring your little up our fan and we've got a baby. Hold up a baby in the shot. You know what happens when you miss 7:00 AM they just spontaneously met on the driveway to say goodbye.

Speaker 3:          00:24:00       Why would you show this off? This is embarrassing. This is embarrassing. This is embarrassing. It's scary. It's terrifying. Dj caught it in The Bahamas or resort there all the time. This is his house. He's probably their one month a year, if a month. I mean, think of his schedule. There's no way he's making it all the way to feed. Do they have to pay per view? I've watched this. He's really in love with his wife. No, but it's not sex. It's about I have to pay their tribute to the king. Oh No. You know back in the day the king got to fuck the bride before the groom. That's what's that called of fornication under can send to the king fucking he's fornicating under the king. Oh, interesting. By the way, if we do get end up in a, in a hate spiral in life, Tony robins has never pulling us out. We do need self help or they'll be like, I'm glad you got there. He's at boss is leaving. Do you want to sing for me? He's like, maybe you luck if I fornicated with your wife first. Like shut up Tony. She got you own slaves. Beautiful, beautiful.

Speaker 4:          00:25:21       They make them rehearse this. These are just, these people are looking at your house and they were hurting songs. The lyrics are never worked for him. It was

Speaker 3:          00:25:45       really something, man, I'm glad you shared that you have are. I have to stay. You have gems. You you bring gifts. This is a gift. I appreciate it. I love this so much. This is really the stuff that I live for. Business insider. They really cracked this store. I mean he got in trouble recently for like a me too thing. What was it like? You said something at one of the conferences where, what was it like in common? It was like a victim shaming thing. I'm not familiar because I'm not familiar with it. Yeah, that'd be here. That would be the best thing. Cause that's not misquote. Let's keep totally, no, we do it. Just go for Magid, Lee. I just start every state. Allegedly, I'll call the show allegedly. So let's take a quick break and we'll come back. Okay, Tony, you are not going to believe this footage of Tony Robbins. He tude allegedly stay 10.

Speaker 2:          00:26:48       Do you know what I value as much as anything in this life? What? My Dick and my balls. Okay. You wear a nice shirt, you wear nice pants, you got to feel good in your clothing. Right? So why is it that people think they can neglect underwear? Why is it that when your dick and your balls are probably your most prized possession, the calm, the jewel's for a reason, you just throw on in whatever you've got, that's unacceptable. And me undies knows exactly what I'm talking about. That's why they make the softest, most breathable and credible fabric with book designs that are a total blast and a total breeze to were so comfortable, so incredible. Me undies. Oh, how comfortable can undies be Ethan?

Speaker 2:          00:27:31       Micro modal. Do you understand how soft and luxurious this is? Balls and Dick need a place to live. That's me on these creed. That's her mission statement because the ball's in the Dick Nita fomen. Thank you. Did I just sniff underwear? They're cleaned by the way. I'm like that. Good. Here's the deal. They got to, they've got add new membership plan for all those dirty, whole written disgusting underwear you've hung onto. Throw that crap out. Each month Mandy's released a new exclusive print that only members can get. Collaborations with. Artists, brands, unique designs. You're going to want to have it members pay less for everything on the Mandy's website with special member pricing. That means you can get a second pair. Whatever you want, you're going to be paying the less than any of these other schlubs membership comes with no strings attached. Switch any dang time.

Speaker 2:          00:28:26       Cancel any time. Skip a month. You know they've got that 100% satisfaction guaranteed. Boy, if you don't like it, send it back and they'll put it in the incinerator and give you a full refund. Can't beat that offer. Or can you cause here's a better offer. First Time purchasers. When you go to [inaudible] dot com slash h three you get 15% off and free shipping on your first order. It's a no brainer. Folks. You got to know money back. You got the money back guarantee. You get the best underwear ever made. You get a 15% discount. That's me. Undies. Dot cubs slash h three me, [inaudible] dot com slash h three all of you guys don't have an ell like me to dress me every day and before I had an Ila, I needed all the help I could get. Stitch fix is your virtual Ila. Here's how it works.

Speaker 2:          00:29:27       You go on their website, you answer a bunch of questions about your taste, your budget, all what kind of garments you like. Look, as I say, garments now, I own a clothing company. I started saying garments, you go, you tell them everything about yourself and then all of a sudden they put together a wardrobe. A stylist, okay. Someone with taste unlike you, puts together a style for you in your budget, wonderful clothes that you, they then send off to you to try on. You try it on, you see if you like it, guess what? If you don't like it, you send it back. You don't have to pay for it. It's convenient as it gets. You've got someone with taste helping you out. This is not your mom and your girlfriend did. You don't have because life is tough and sometimes you need help. That's what stitch fix is all about, so you can look good.

Speaker 2:          00:30:16       You know, it's like it's a catch 22 you got to look good to get the girl you need to go to look good. Stitch fix is breaking the vicious cycle, okay? That's what it's all about guys. That's why I think it's a great service that you're going to freaking love. Stylists fee only $20 which is applied as a credit towards anything you keep, so pretty much free in other words. All right, here's the deal. Hurry the stitch fix.com/h three that gets started right now. Keep all five items in your box and you'll get 25% off your entire purchase. Nice. That stitch fix dotcom slash h three stitchfix.com/age three break the cycle. Get the girl look. We all spend a lot of time in front of screens. That's just what we millennials do. I was born with screens, but now I'm finding out, I read, I heard this report just last week that the blue light emitted from screens.

Speaker 2:          00:31:24       Oh, can cause strain. It can mess with your vision. Well now they think that it can actually cause cancer and loss of vision at old age. Are you freaking kidding me? These blue lights need to get the frick out and that's what these Felix gray glasses are all about. They have technology embedded in the lens to block those nasty blue lights from getting in those beautiful, precious eyeballs of yours. I do always feel like tired at the end of the day and like my eyes are tired. It's the blue light. They're like little isis particles and you're the free world. Your eyes are the free world block him but up a wall. That's what these glasses do. Seriously. Um, their design. Okay. To Stop the strain, prevent the cancer and to keep you doing what you love, which is watch Hentai at 3:00 AM to 8:00 AM every evening while your parents sleep.

Speaker 2:          00:32:17       Keep doing it and love what you do. I'm sorry. I do watch Hentai though. When you're sleeping, you just don't know the call back. Um, guys, protect your self. You don't need a prescription. Their glasses are available and nonprescription readers and they just launched prescription lenses so everyone can benefit from wearing these beautiful technological amazing glasses. Guess what they're made of? Italian acetate. The same glasses that the big boys where you're a big boy, aren't you? These are beautiful and stylish and they're made an ad cow. Well, I don't know if they're made an Italia, but they're made with Italian acetate.

Speaker 2:          00:32:52       So, Oh, if you don't want I cancer, I dunno what bigger of a cell you can get the nat. Go to Felix gray glasses.com/hp to try pair Felix glasses today. Sit down for an evening at the computer. Get a pair of these, try it on and see if your eyes don't feel a million times better. That's Felix gray glasses.com/h three felix gray glasses.com/h three build a wall and keep isis out. Those are the blue lights in your eyeballs are precious. Last bastion of democracy. And we are back. Tony Robbins, shocking footage that you will not believe at the Democratic National Convention who the, this is the best way to find man. That is huge. Just to give you a scope of, um, the amount of people that come and watch this guy with gigantism talk express himself as giant heart. You know what, at least these people are going into a stadium and saying, I'm broken. Right. Like, as opposed to other people, what other stadiums fill up with people that are broken that don't, they don't let you know. Yeah. Right, right. You're right. You, by the way, and again, I just want to emphasize, okay, we're goofing on demand. Tony Robbins. I watched that documentary. I was like, wow. Elaine said that's a really nice thing to do for yourself to go there and learned about yourself. That being said, he does own slaves.

Speaker 3:          00:34:21       So you've gotta take the good with the pad. It's like goes like, uh, what was the big play that just came out? Andrew Jackson was Alexander Graham Bell. Alexander Hamilton. Hamilton. Andrew Jackson. Was it Hamilton? Was it

Speaker 2:          00:34:39       Hamilton? Black? You mean in real life? Yeah. Was he the president? Hamilton was

Speaker 3:          00:34:47       by the way stomach. There was a white guy. And don't fucking judge be fine. You one the comments either right now I knew the answer to this or of a bird. I didn't know either. No, he wasn't black. He was a white guy. He's one of the founding fathers. What am I crazy? I just talk cause you could freestyle. He was, he was, however he was Puerto Rican. Wasn't he Puerto Rican? No, but he is. He was born in like Puerto Rico. Wasn't Hamilton with a man that got shot by.

Speaker 2:          00:35:15       Yes. So he got, he died in a duel? Yes. Do they put that in the play? Yes. Really? Yeah. Wow.

Speaker 3:          00:35:22       Does it, I'm with Tupacs who shot Ya tied up kind of. Yeah. I mean not exactly, but it's pretty hip hop. Where does it drive button? He's like, Oh shit. And then shake night

Speaker 2:          00:35:38       comes out and fucking sets off of those. A grenade in the audience.

Speaker 5:          00:35:41       Oh, all right. So we admitted these people, it's good for them that they're going out and they're getting help. God bless them and it's great to, Tony can provide that kind of help for people. But there's a big but but, but

Speaker 2:          00:35:54       also, well also, well s and the slave thing like let's just say, oh he's not that woke. He's not that well yeah, but he can say, but you know, it's like these retreats, they cost like $10,000 and people are like getting loans and selling their shit. These are poor people that are looked, are desperate, you know, to improve their lives. I'm like, Tony, you're a rich man. And He, what he would say is it's important to make that sacrifice so the experience is more worth it for you. It's easy for him to say when he's getting $10,000 hairs, he would say the same thing but not important for you to maybe fire maybe 15 could we more look that up man, man, how much did it is? 10,000 Yup. It's his business mastery. I mean maybe he has different ones, but that's the ultimate retreat. It's like a week long. They even give you lunch. They even give you lunches. Well they give you a loan

Speaker 5:          00:36:50       lunches. I better not. I know,

Speaker 2:          00:36:54       but Tony would say the same thing. He's like, listen, if it's you're not paying me,

Speaker 5:          00:36:58       I need this shitty line. Really not going to be worth my time. Okay, I'm going to flip on you and I'm starting to side with Tony. I liked it as $10,000 make it hurt. Earn it. That's what he says. He says, I was like, you know what? That's fine.

Speaker 2:          00:37:10       And that's such a nice thing to say when you're the one receiving the money.

Speaker 5:          00:37:14       My wife the other day said, I can't give you blowjobs anymore. Your Dick's too big. And I was like, well, I can't argue with that. Wow. It's the same logic that Tony's giving is. You should always pay more so that it would work more and you're like, hey, it does make sense.

Speaker 2:          00:37:30       Losing the logical connection as he is she, she's saying that Tony doesn't want to do it. No, he's saying and so

Speaker 5:          00:37:36       brilliant marketing. I am charging so much that it works. If I, if I charged it, wouldn't appreciate it. So if your wife says, I don't want to suck your Dick Anymore because it's too big, then you're, it's, I'm in the same place as if Tony robins customer, because he's Big Dick him. He's Big Dick at him. He's going, I'm sorry guys. If you had small Dicks, I can put you all in my mouth, but you've got such a big, you're like, right, right, right, right, right. But the way my Dick's not that big, right? Sure. Yeah. Yeah. That's it's genius bucket marketing, right

Speaker 2:          00:38:08       guys, I'd charge extra for my shows because I know you'll remember that. You'll remember me for a long time. As you pay off that debt over the next couple of years, you'll remember every time you make that payment, every time you get on the bus and go, I had to sell my car story. You'll go, oh, that's right. You're like, man, now, now I don't have a car and I'm still depressed. I'm thanks Donnie. No, I dunno. God bless him. Right? But anyway, we were talking about this clip. We failed to find it. Guys, I baited you on that

Speaker 5:          00:38:36       break. We have nothing to show you. Well we, what do we have here? We got nothing. I mean, we don't have too long to find the moment. Let me, let me paraphrase. And 11 you had said,

Speaker 2:          00:38:46       I remember what he said in one of these giant auditoriums. He said they were talking about me too, and he said, you know, it's gone too far. He says, I think me too was too much about the victim. And you don't want yourself to be the victim. You need to keep control of your own life. So all of these people being like, me too. Me Too. It's like you need to take control for your own healing and your own life and stop being the victim. That's fine. I get where he's coming from.

Speaker 5:          00:39:13       I could see why people would defend it. I get it.

Speaker 2:          00:39:16       He offended people. He said, for example, it's gone too far. I work with ceos who just told me this anecdote. They said, I had two people applied to be my secretary. One was a very beautiful woman who was more qualified and the other was a dude who was less qualified than another beautiful woman. And I hired the dude because I don't, I think it's dangerous to her. Beautiful. Yeah,

Speaker 5:          00:39:37       and they didn't want to be near an attractive woman. There is. And I was like, Whoa, how about just don't fucking grab her tits or how about, don't ever mention that out loud. Just hard the dude and be like, well, I guess he could fight it. And Tony, and then Tony was like, by the way, this guy tim, something who works for Charles Schwab said this to me. I get, I understand. I understand. I understand what he's saying. I worked with the young lady, Jessica, Michelle Singleton, very talented, uh, in Cleveland at the end of the night, the club gives me like 12 beers, cause I'm going back to my room, all I gotta do next day eggs go off to a rover, morning glory. They've got rovers, got a big festival. That's all I got to do. Go out there and party. And I say to her, which I'd say to any comic, I'm in the elevator with her.

Speaker 5:          00:40:19       And I'm like, I'm about to say, Yo, let's go to my room. Because I said that to any comment. Yeah, I can't say that anymore and I don't. And, and then part of me goes, yeah, but she's just a comic who's going to talk about comedy and you're like, you know, everyone knows Erin. So I get it. We're getting out of the elevator and go, I made it so fucking uncomfortable. I was like, so I'm married, but, and she's like, oh my God, where's this going? And I'm like, no, hold it, hold it. And then I'll put my finger to her lips. No, no. I made it so uncomfortable that he was like, I need to be right now to hear the rest of his speech. And I was like, listen, I would just say the day, the guy, but like I want wanted somebody to drink with.

