Speaker 1:          00:00:00       Two three. Yeah, my name on it.
Speaker 2:          00:04:33       they couldn't believe it. Um, they were out of a fucking job. They thought. So anyways, is that what I'm doing when it comes to like dubstep boy, that shit like I guess I should be into it. I Dunno. I like these guys. Truth and salvage company. I, I, they have my stamp of approval. If it means anything. I saw them when they opened a for the black Crowes where the fuck were we? Somewhere in La. I don't know what. So I don't know if you like that kind of music. Give these guys a shot. If you're into other kinds of music, just keep listening to that shit. I don't give a fuck, but I don't need to hear your fucking reviews of it. Okay. I'm just suggesting this is our defenses being on Twitter makes you, because no matter what you suggest, you could just say something simply, simply like, you know, ice cream is delicious and then you will curry flavor. You get it all that she will, you know, the fucking someones inverted it, you know, and he's got to deal with these fucking cunts then as it's coming from a con. All right, so whatever.

Speaker 2:          00:05:42       I feel bad cause I only mentioned Bill Smith and a band and I probably just fucking created a bunch of infighting in their van. Right? If you're in a fucking band, you got to be riding around in an event, don't you? Isn't that how it works? Um, anyways, let's plow ahead. Shall we people I am, I am still here in New Orleans. As you can tell the quality of this podcast, the audio, the audio, at the very least, okay. Is A, is much better than last week's because the lovely Nia I actually sent out my bow is strip or the chord, whatever the fuck you call it. And um, so at least she can hear me. At least you can hear the attempts, you can hear the big swing and a miss. And I gotta tell you something. I actually was actually rooting for Alex Rodrigues this week. You know, I really was not because I liked the guy that cause I'm all of a sudden a fucking Yankee Fan. The bed bath and beyond of the major league baseball community. Um, I just really yeah, the uniforms look like towels. Very nice towels, but towels nonetheless.

Speaker 5:          00:06:54       Okay.

Speaker 2:          00:06:54       I'm sorry I'm drinking some water here. I burned my tongue. Isn't that the fucking worst? I actually, I ordered room service. I got a grilled cheese and tomato soup as old people do. And um,

Speaker 2:          00:07:07       I uncovered the tomato soup, which was way too fucking hot and I had the grilled cheese there. So I'm an American. I can't just eat the grilled cheese. I've got to take that grilled cheese and I got a Dunkin into the fucking piping hot tomato soup, so I stick it in my fucking pie hole. Big Bite of that shit. It's a lava hot. So what do I do? I use my brain, my brain says, hey bill, that's like a, you're not gonna have much tongue left if we don't do something about this. How about grabbing some Colt? So my right hand was like, oh, I got this and reached over to that nice ice cold glass of water. But the, the, they had plastic on top of its cellophane so it wouldn't spill when the lovely brought it up to the room. So my right hand's like, you know, this ain't going to fucking work. And then the rest of my body went into panic mode and I went boom. And I just spit out, spit it out instantly. I thought it was actually a smart move, but I immediately started laughing thinking that that would have been the greatest vine ever or one of a nice one anyways

Speaker 2:          00:08:12       is a bill burr each burns tongue is that it was, you know, can you actually do a vine where it's actually just one thing. It's not a bunch of Shit splice together. Actually, I know what the fuck I'm talking about. I'm just saying it burned my God damn tongue. All right. People just trying to tell the story.

Speaker 2:          00:08:29       A fucking puke that thing out. Like, like you have a see a snake when it's in the middle of eating and all of a sudden you walk up to it and it's like, oh fuck, I think I'm going to get eaten. And then it's just sorta opens his mouth in that Yak comes out of it. And then the snakes sitting there like, now what's up? Huh? You want to do this? Um, basically walking up to a snake while it's eating is like what happened to me when I went to that buffalo bills game with my patriots hat on. And they waited till I was taking a piss. All right. With my Johnson out. And then they pushed me in the back. Cause that's what they do up there in the city of lights. Other than eating the fucking wings and losing Superbowls, they wait til you get your dick out in Buffalo. Don't ever forget that. All right? So when you go up there to the falls over there in Niagara, all right? And all of a sudden you get that sensation that you've gotta take a piss looking at all those. Just know, just know that the great grandson of Joe [inaudible] or whatever the fuck you said his name.

Speaker 5:          00:09:31       Okay.

Speaker 2:          00:09:32       You know Fred smartlist junior, my fucking pushed you in the back is all I'm saying. All right. Not trying to cause any static with that great city.

Speaker 5:          00:09:43       Okay.

Speaker 2:          00:09:44       Formerly great city, that city that will rise again like Cleveland, like Detroit, like de Moines. Um, that'd be tell you guys how much I love those cities. I like, I'm a fan of architecture and when I go there I always just look at, I'm like this eventually this fucking place is going to blow up in a good way. I mean that in a hip hop kind of way. Look at me, look at me straddling the fence of my whiteness. Um, this is another sign that I'm getting old. I have a real problem with that new Kanye West album that, you know, cause I want to settle down and be a fucking parrot and all that type of shit. So I look up to other people that finally fucking do it and I'm thinking, Whoa, is this guy going to, you know, it's easy going to be changed somehow with this new fucking album. And it's just still talking about losing his diamond ring in some girls snatched. Isn't that what it's all about?

Speaker 5:          00:10:42       I Dunno.

Speaker 2:          00:10:45       Sometimes I glad I looked the way I look and I was never able to enter the club scene other than to be ushered quickly back out the side door. Um, anyways, what are we talking about here? This is the Monday morning podcast and um, IOP having a nice August. The summer's coming to a close, but you know, this is the golden age of global warming waters. A little warmer. It's just starting to tickle your toes, but you don't have to worry about getting eaten by a shark yet and you fucking living room. So, you know, I think you might get an extra three weeks, three weeks of the summer.

Speaker 5:          00:11:23       Okay.

Speaker 2:          00:11:23       You know, what's the greatest is the football season is starting and you know, I've become a huge college football fan over the is. And a, I actually realized that my Lsu Tigers, my adopted. Okay. Before anybody bet rouge gets mad at me. Like, man, you ain't from prepare you I from air. Nope. They Call Him York targeted our targets. Um, cause that's what everyone in the south sounds like to me.

Speaker 5:          00:11:48       Okay.

Speaker 2:          00:11:48       All right. Whether you do or you don't, you do in between ringing ears. Evidently they're starting their season and their guests who they're playing, guess who's back in my life. They're playing. They're playing those jackasses on the kickoff day. I know Alabama's playing somebody else. Uh, I don't know who the fuck their plan. Alabama. Can you believe those? You see what those cuts did this week? You see what they did to fuck in the Aggies, you know that came from them. That horse shit about Johnny Manzel sign and Shit. You know that came from an Alabama booster. You know what did you know it, you know why? You know, I think it came from them cause they're fucking scared. They're scared that skin that's skinny motherfucker is going to run all around the field like the white Michael Vick. Alright. And he's going to fucking beat their ass as again. I actually saw the replay, the end of the game last year, where a Jesus Christ, you never saw sadder looking faces when they cut to the stands after that interception, right down there in the end zone.

Speaker 2:          00:13:01       Tremendous. Oh, look at that. I'm looking out on the Mississippi River that goes a paddle boat. Whether it was Tom Sawyer once, you know, way back in the day when food was fresh and everybody was dropping the n word, every other word, right? We will exterminate the Indians. Oh, what a beautiful piece of history. Um, all right, what am I doing here? Is it time to do a little, a little advertising? Would you say? Well, I don't give a shit. I'm in control of this thing, right? I'm running, I'm running this motherfucker fucker. All right. Dollar Shave club, everybody. You know, there are so many things in this world that irritate me. Canadians, fans, script tattoos. People will get to the front of the line and shoot the shit with the ticket agent rather than just getting their fucking id out and getting on the Goddamn plane.

Speaker 2:          00:13:46       I was so many things late in the world that irritate you. Why would you ant let raisers add to it? What I'm trying to say is stop milking your razor blade. Okay. I know you're, I know what the brand name razors. I was this to be a bad week or read and come on bill. Pull it together. It's the first quarter. All right. We already burned a timeout. Fucking ghetto. The Mirror. Um, I know with brand name razors, you're used to paying outrageous prices and exhausting those rages razors until they start to look like rusty soda cans. Let it go. It's time to move on. Dollar Shave Club delivers amazing quality blades to your door for just a few bucks a month. Never think about it again. They send a pack every month for just a few bucks. You can change your blades every week. Trust me. Your face will love you for it.

Speaker 2:          00:14:38       I'm, I'm using it right now. You should do it too if you want to. I'm not trying to force you to do anything. All right. You want to keep shaving with that, that rusty thank. Go ahead, do it. It's your face. Uh, joined dollar Shave Club, shave time, shave money. You get it. Go to dollar shave club.com/bird that's dollar shave club.com/burr or click on the dollar shave banner@thepodcastpagebillbird.com and also, I, you like me, do you like watching TV? But you want to watch it on your own damn time. Hulu plus everybody. It's the best way to do it. I'm sure you've tried hulu.com, but I want to tell you about Hulu plus the next level, the first class, if you will, who will plus let you watch thousands of hit shows anytime, anywhere streaming on your TV or go with you on your smartphone or tablet.

Speaker 2:          00:15:29       Why stand in line or ride a train and just stare at your feet or maybe chat up some girl and get laid. Why would you want to do that when you can be watching your favorite shows on Hulu. Plus, Hulu plus is a great way to binge watch your favorite shows. Hulu plus has tons of episodes from great comedies like SNL community, modern family, South Park, family guy, and thousands of other shows, and guess what? Hulu plus, it's only seven 99 a month. That's seven 99 for all the shows and movies you can watch. Catch up on current shows, binge on an old favorite or catch a great movie. You can do it all. Where on Hulu plus right now you can try Hulu plus for a couple of weeks free on me when you go to the podcast page at [inaudible] dot com and you click on the Hulu plus better or go to Hulu plus.com/bill please make sure you use Hulu plus.com/bills you get an extended free trial and so they know that I sent you.

Speaker 2:          00:16:22       It helps us keep the lights on and gives you a better deal. One more time for the extended free trial. Hulu plus.com/bill Oh, look at me starting off slow coming back, killing those reads. Um, alright. What the hell am I? Let's get back to the podcast. Got a big couple of weeks coming up everybody and I want to thank everyone who went out and bought tickets for the show. I'm doing co headlining with Brian Regan, who's Kitten kitten who I'm opening for the guy. Um, we're doing a show at COBB's comedy club. It is all sold out and uh, the money is going to charity and a, I can't wait to do a Brian's Ben, one of the, uh, I dunno how long you been doing this. 21 years. I've been a huge fan of that guy since the first time I saw him and I've never got to work with them in this capacity. So I'm really, really excited about doing this. And uh, I'm actually also really interested to see how his fans react to me and my filth.

Speaker 2:          00:17:24       Um, all right, so that's, that's on August 27th and then August 28th. All things. Comedy Network, the network that I've started with a Almay, the daily show's Al Madrigal, Emmy Award winning. Al Madrigal you like that? I have a friend that won an Emmy. I knew I used no al Madrigal when it was owl al Madrigal. Now when I talked to him, I have to go, excuse me, Emmy Award winning Al Madrigal. Yeah, me, him and some other guys. We all started this comedy network called all things comedy. Um, just cause you know we saw podcast blowing up in artists always create scenes and then they never end up with the money. The business man comes in and a, we own your podcast and we get all the money and you get great exposure. Go Fuck Yourself, have fun and behind the podcast music on VH one. So we created like a co op where everybody owns this shit.

Speaker 2:          00:18:21       We all come together like a cap side ship trying to keep the sharks away until the fucking coast guard comes. It's called all things comedy and we're doing a live show, our official kickoff of this wonderful network that I'm going to begin blogging on. I've already written a blog. Um, and we're going to get that up hopefully sometime this week. And, uh, that's going to be an August on August 28th at Largo. It's going to be featuring as many people from the, uh, the all things, comedy family. Al's going to be there. I'm going to be, their top pop is going to be there. I believe Tom Segora, we've got a, and those who aren't are going to try and make videos. It's going to be a great night. All right. It's at Largo on La Cienega here in Los Angeles, August 28th. All right. Back to the God damn podcast. Um, so anyways, uh, the past couple of weeks I've been talking about the food down here in New Orleans saying how delicious slash unhealthy it is and how you can't find fucking Kale, excuse me, as a drink, more cold water for my fucking scalded tongue, blah. Um, I actually bought a juicer this week to somehow combat all the fried food that I've been eating. And a, I started drinking that shit that, that guy and uh, uh, fat dead and kind of sick, whatever the fuck is called, fat sick and nearly dead.

Speaker 3:          00:19:42       Okay.

Speaker 2:          00:19:43       Just sick, fatty with dead fucking something, whatever. Um, I've been drinking that Shit, man. I gotta tell you something that's delicious. Not only is delicious, you crave it after awhile and uh,

Speaker 3:          00:19:57       okay.

Speaker 2:          00:19:58       Yeah, I think I dropped like four or five pounds. Good pounds too. You know the flabby once I was joking on Twitter saying how I was in, I was in buttoned down shirt shape and I actually want to get into like, I want to be in shitting down no shirt on shape.

Speaker 3:          00:20:18       Okay.

Speaker 2:          00:20:18       I Dunno what, I know bill Cosby did a bit on this, but he's, so what the fuck happens when you sit down? You stand up and look sideways and Mariella Guy, you know what? That is a bad, dare I say it's kind of cue shows that I like the occasional snickers. Right. And you should, they're pitching it yourself like you're in an old, old school, special k commercial going on. Right. That's not that bad. It's not that bad. Then you just sit down and like three of shit just lands on your thighs.

Speaker 5:          00:20:51       You know,

Speaker 2:          00:20:54       for the life of me, I can't, what is, what happens? The hip bones move up to your fucking man tits and everything just gets blown out. I have no idea. But sitting down without a shirt on, you know, that's, that's the truth moment of your fucking physique that you're going to see all day. Stop standing up, sucking in your gut. All right? You want to see, you want to see the damage you've done. Maybe you're not ready for

Speaker 5:          00:21:20       all right.

Speaker 2:          00:21:21       This is like the ring. When you looked at that fucking chick's face, you judges opens up and you land in a fucking walk in closet. Oh my God. I don't know what happened to me. I'm not even that bad a shape. So I said, fuck this. I got a juicer. And um, I just did a quick gig up in Chicago, came right back, this private thing. Um, so I don't know. I ate halfway decent up there. I did find a Vegan restaurant, but then of course they had had some Chicago Pizza. Um,

Speaker 5:          00:21:53       yeah.

Speaker 2:          00:21:54       So now I came back and I had my little fucking grilled cheese sandwich and tomato soup. So now my body is starting to pull me back to the, to the bay, the dark side. And that's what I've really learned about trying to stay in shape. It's all about keeping your brain out in front of your body.

Speaker 5:          00:22:15       Okay.

Speaker 2:          00:22:16       Keeping your fucking wits about you.

Speaker 5:          00:22:18       Okay.

Speaker 2:          00:22:19       Like this shit, it's like food. You don't, when they need to say food is a drug, I didn't believe him, but I, I'm totally convinced of it now. It's like when you're reading bad, when you just go on like a three month bender have just eaten bad and in your head like, Oh God, I got to stop by of fucking cheeseburger and you just keep going and then that makes you want cookies and all that type of shit. It's the food equivalent to like locking yourself in a Roman just free basic for three months. That's what you doing. So when I tried to do, when I'm eating, eating bad like this, I just talked to a buddy of mine outside of the business who's trying to lose some fucking wait. I was trying to tell him that like you gotta keep your head out in front of it and just go like, I want that, but I'm going to eat this. Even the in, in, in that moment when you're looking at that apple as opposed to that fucking glorious, whatever you're looking at, right? Toasted roast beef and cheese with the fucking pickles and the chips and all that. The last thing your body's like, that's fine. Just what the fuck I want. And you got to reach for that apple.

Speaker 2:          00:23:27       You got to fucking hit that, that crack pipe instead. And I'm telling you the second you get two, three bites in, you're like, oh thank God, thank God I did that. Then you fight cause so from what I've, what I've read the braid little, I've read your body is actually craving nutrition.

Speaker 3:          00:23:46       You know,

Speaker 2:          00:23:48       that's why we eat Chinese food. Like fucking 35 minutes later, you're hungry again because your body's still craving nutrition. There wasn't like a fucking ounce of it in that shit, at the risk of getting sued by that entire fucking continent of China country. Go Fuck Yourself. Um, so that's what I would say

Speaker 2:          00:24:10       if you could try to do, that's what I'm trying to do as I'm trying to keep my head out in front of us. So I got that grilled cheese sandwich and I got to tomato soup and I said, all right, I gotta get back on the fucking Green Gumbo here is, I'm calling it because I'm in New Orleans and uh, that's it. I'm back on that shit for the last two tomorrow morning to wake up and make another one. Bingo. Bango I'm trying to do two a day. Jewson and then one day having the fucking, uh, you know, a healthy dinner and then I'd go on the treadmill for a half hour. There's no fucking way you're not going to drop away. All right, so there you go. So stop doing those stupid ass fad diets. EA. It's the fucking cornflakes died. Oh, I do it. He could plagues. They can eat as much as I wanted. That bullshit veggie eventually.

Speaker 3:          00:24:56       Okay.

Speaker 2:          00:24:57       You don't really, I think the really, it really is, is not even like, it's not even the fucking diet. It's the, once you get to your weight, what do you do then? You know, once you get down to your weight, at some point you're going to be looking around. It's like he got out of jail and there's some ice cream right over there. You're an adult. You don't have to go more. Right? That's how you become a fat fuck as an adult. There's no one to say you had enough cookies. So on you fair enough. Boots put on a condom. It's all on you. You gotta be your own fucking parent until you get a lady and your life. And then she starts fucking nagging at you. [inaudible] get out the rug ass. Fuck you lady. Where did you become so angry? Um, so that would be my advice when you're just on, if right now, if you listen to this shit and you're on a bad fucking road, I'm telling you one of these days in the future, you're going to wake up, you're going to be sitting down on the side of your bed, you're going to glance it to a mirror and you're going to be like, what the fuck? What have I done to myself? You just stand up real quick. You can try to suck it in and try to deny the truth that you just saw.

Speaker 2:          00:26:20       Hear that? That's the steam engine coming back on the fucking racist genocide. One Oh one. Um, the fuck am I to, yeah, just make yourself eat an apple or just eat a fucking salad. You gotta you gotta turn that you've got to turn the boat around.

Speaker 3:          00:26:38       Yeah.

Speaker 2:          00:26:38       That's what I'm trying to do.

Speaker 2:          00:26:41       I've got to do what I fucking went back up to like almost a buck 90 and now back down to like the mid one seventies. I got to the fucking worst. Just trying to lose like 15 pounds is the fucking worst. I can't imagine people who got, uh, got to lose more than that. So, uh, you know, I don't, I don't know how this became more of a weight loss podcast. Um, but I think it's working enough. This guy actually sent me a letter. He said, uh, podcast success story, Dear Wilbur, you sir are a god amongst men. Ah, Jesus, I wish that was true. He goes, I used to be a depressed piece of shit. You're a, your typical, the world is against me. Nobody likes me. Nobody wants me fucking moron. That's who I was. But your advice on stepping back and making fun of every negative annotation I have. Is that a word? Did he write that

Speaker 2:          00:27:33       d type that correctly? Or My homeboy annotation, I dunno not to make you depressed again. I don't know how to spell. Um, he goes, I have fucking change my life. I'm 80 pounds lighter. I got a great girl and I've gotten two count them two promotions. You're a comedian. You're not obligated to be Oprah. Amaury but you still make a difference. Thank you, sir, for knocking me back into cohesion. Uh, you probably make 20 times more than me. I doubt that sir, with the two big promotions there. Um, but I know, but I owe you a drink next time I see you. And if you're in Canada or being town, you stay classy, sir. Wow, that's great. Good for you sir. Look at that. He turned it around somehow. My negative, whatever the fuck my shaming, my fat shame. My for shame has been working. Um, all right, enough about that shit. So that's what I'm doing. I'm drinking the, I'm, I'm doing that fat, sick and nearly dead juicing thing and it's like all green stuff. It's Kale, celery, a couple of handfuls of parsley, cucumber, Zucchini, and then alignment to take the bitterness out. And uh, I get tell you it's fucking delicious. I love it. And um,

Speaker 2:          00:28:52       I dunno, I think I'm going to incorporate this in every couple of months. Just go back to that. Well, just juice for like four or five days just so I stay out in front of it just so I don't have to have sit down one day and have that fucking beach ball. I got a thing on my button down shirts. It's the one, two third button down. When that button's starts to look like it's doing the iron cross between both sides of my shirt. That's an amazing guy. He fucking jerk off. All right. And then what happens is they lay off the beer and then I just start slamming whiskey. Like that's my initial when I've, we've begun our initial defendant until our dieting is, I go from drinking Pale Ales to whiskey. I really am a freckled mess. All right. Um, so anyways, I had a lot of downtime last week. Um, I wasn't working. I had a couple of days off from my episode of Glee. Um, it's really long episode. You, I can't believe how long the film in this book. You know, I guess this is how they do it over there. I'm to sell a hell of a budget.

Speaker 6:          00:29:58       MMM.

Speaker 2:          00:30:00       I got into one on Netflix and I started watching a Ken Burns the war. I know. I'm like, that came out like five, six years ago. If you haven't seen it, if you like me and you late to the party dude, like that's my recommendation for the week. It's a seven potter on World War II. Each one's is about an hour and 50 minutes long. And I know that sounds like I just told you to watch every episode of lost.

Speaker 6:          00:30:25       Um, just,

Speaker 2:          00:30:29       it's effortless to watch this thing other than the amount of times you have to hit pause and go, Jesus Christ, I haven't done shit with my life. That's what, that's what it makes me feel like. I can't,

Speaker 5:          00:30:41       okay.

Speaker 2:          00:30:42       I can't even begin to, uh, you gotta you just gotta watch it. You've got to watch it. And what's great is it really ties the whole war together. Where for me, I've always seen like, they'll always do stuff on it, on the history channel that there'll be talking about the war in the Pacific or they'll talk about the blitzkrieg or they'll talk about d day and occasionally they'll talk about northern Africa, but this thing kind of goes in chronological order of the whole damn thing. And um,

Speaker 5:          00:31:16       okay.

Speaker 2:          00:31:16       It's, it's, I don't know. I can't explain it. It would be like, what the fuck was that movie that they showed and it showed it backwards and the guy tattooed shit on his arm. I can't remember what the fuck it was. It's like finally seeing that thing going forwards.

Speaker 6:          00:31:32       Um, it's just,

Speaker 2:          00:31:35       it's unfucking real what? Jesus, I'm too stupid to fucking just go. Just go watch the God damn thing. Why don't you people 17 years old lying saying they're 18 and just going out on the front lines and just listening to these fucking Bob's whistle again, seeing all your friends getting blown up and just, just having to resign to fate while this one's either going to hit me over it. It isn't, and I'm still going to be fucking shooting at these guys.

Speaker 6:          00:32:01       MMM.

Speaker 2:          00:32:04       They, that the stories that they see, they talk about that, that the guys who were flying over on the bombardiers before they had the escorts and Shit and you had to do 25 fucking missions before, you know, you had basically completed your obligation and nobody had ever made it past 14. It's a fucking suicide mission. And, uh, they had a guy who actually survived the ship because he was in that little fucking skylight at the bottom of the plane and he got shot the fucking arm and went through him and killed one of his buddies and I don't he, and then he still went back, flew another one and got shot again. And that's the thing that I, that basically saved him was because he kept getting shot

Speaker 5:          00:32:44       okay.

Speaker 2:          00:32:44       That he wasn't physically well enough to go back up in the God damn plane again. And you know, and I actually have the fucking nerve to be afraid of flying. I'm landing in fucking El Paso, Texas going, oh Geez, oh gee, there's nobody shooting at us. I never felt like such a fucking pussy in my life till, I mean, I feel bad enough when I watched like a UFC event, you know, or I watched one of those, uh, the one of those shows about going to prison, you know, I, I watched the training for UFC and I would be like that the I three times kicking that, that heavy bag with my leg, it would be all bruised up and I'd be like, it stinks. I want to get out of here. It just, can I be the guy who washes the tee shirts? Can I mop up the mat? The Mat that you guys wrestle on, you know?

Speaker 5:          00:33:38       Okay.

Speaker 2:          00:33:39       I Dunno. He just, whatever. Ken Burns the war and he's done a whole bunch of documentaries and now he's doing one right now that is, uh, that's about the Vietnam War. Now I'm all paranoid that I said his name wrong. You know, all of a sudden that sounded like some guy in Espn, but that's Candy Maine, right? Yeah. Ken Birch. There we go. All right. I've got the right guy. All right. He's the one writing one right now. He's, uh, making one right now on the Vietnam War, which I'm definitely gonna Watch. You know, he already made one on the civil war, so I'm like, I'm going gonna fucking watch all of these things. And then, uh, I dunno, six months later I'll forget most of it. I'll probably combine a couple, two or three wars. I'll get drunk and I'll just start spewing out information about Lincoln speaking in a, he would Jima. All right. Anyway, let's get on with the podcast. Highly recommend that if you, uh, if you get a chance, if you have seven hours to kill, I highly recommend that if you have chicken pox, it'd be a great way to, uh, forget about the itching for a good seven hours. Um,

Speaker 5:          00:34:43       yeah.

Speaker 2:          00:34:44       What else? Oh, tonight. Oh, last night.

Speaker 5:          00:34:47       Okay.

Speaker 2:          00:34:48       This is weird because I'm taping this on Sunday. Um, right now I'm taping this Sunday afternoon, New Orleans time and uh, I'm actually really excited obviously because, uh, the season five, I guess the second has of seasons, season five, the breaking bad premiers tonight. Did I start like 12 sentences there? Let me try that again. These seasoned, the second half of the season five series premiere of breaking bad starts tonight.

Speaker 5:          00:35:20       Okay.

Speaker 2:          00:35:20       Do you guys ever wonder why it never became a game show host is cheesy as I am. Or like ever like hosted the family feud or was standing next to Billy Bush [inaudible] like they have to read stuff.

Speaker 5:          00:35:33       Okay.

Speaker 2:          00:35:34       You know, I know I have the head to be on. I don't have the hairline, but I do have the head, you know, I fuck it. Who gives a shit anyways, breaking bad. It's coming back tonight and I can't fucking wait. I thought there was only five episodes. It's just fun. What? There's eight. So I'm psyched about that. And um, I've already, I think I've already gotten past the sadness that it's ending and I'm just talking as a fan. Forget about the fact that I used to, you know, get in there every once in a while. Um,

Speaker 3:          00:36:05       yeah,

Speaker 2:          00:36:06       I can't wait for this thing to come out on box set and, uh, and just go back and just go through that whole thing again.

Speaker 6:          00:36:17       MMM.

Speaker 2:          00:36:18       A couple of months back, I actually watched the first two episodes of breaking bad and just seeing, you know, Cranston's character, Walter White has the hair and he's just meeting, uh, Jesse for the first time. Do you know, I heard, I don't know if this true, but I heard that Jesse was actually, that character was gonna. They were gonna have him killed in the first few, but he was such a good actor, uh, Aaron Paul that they are, and they liked the character so much. I don't know if that's true. I should stop fucking making up shit. I think I remember reading this. Like what, why would you do that bill? Why would you, it's one of the few bridges you can actually cross in this business and now you're going to burn it by putting out misinformation. What the fuck is wrong with you? Um, anyways, I was, I was somewhere at killing time. Oh, yesterday when I was in Chicago.

Speaker 3:          00:37:07       Okay.

Speaker 2:          00:37:08       And I was a in the hotel and they had a marathon on of those doomsday preppers

Speaker 6:          00:37:14       and uh,

Speaker 2:          00:37:17       they're all fucked. Do you know why all those doomsday preppers are fucked is because they're loners. They might survive some initial shit. They might last a month, they might last a year, but they're just, instead of ripping the bandaid off like me and just getting fucking, you know, bludgeoned to death within the first 24 hours

Speaker 2:          00:37:46       or vaporized from something blowing up that that's, that's my doom state plan. My Dooms Day prepping that I do is that I live in probably the most dangerous city that you could possibly live in as far as earthquakes, as far as the water supply, as far as the fucking inability to get the fuck out of there. I really should get a helicopter license and tried to go on Ebay and buy some fucking use chopper. Cause other than that I'm fucked. But there's, there's a, there's a piece that you gain from just being completely fucked is you just saying, what am I going to do?

Speaker 3:          00:38:24       I'm fucked. All right.

Speaker 2:          00:38:28       Oh, I get a great idea. I'm going to sell a doomsday prepper,

Speaker 6:          00:38:34       um, kit

Speaker 2:          00:38:37       for people who don't want to prep and what it's going to be. It's going to be a beautiful locket that you where they'll have a mail once, a little more masculine, like put some spikes on it or some shit for male or female and when you open it up, there's one little cyanide pill in there. There you go. You just off yourself. That's all it is collapsing. There's fighting in the street. You just pop it in there and that's it. It's over.

Speaker 6:          00:39:06       You know

Speaker 2:          00:39:07       you want to live in beyond dead body patrol going out there with the fucking scheme as gone, having a barrier, all those cuts before they give out disease because that's what you're going to be doing if you survive. If you're a low level human like myself where you're really not bringing anything to the table, if they let you survive, if they decide out of the fucking glue to let you survive, that's what you're going to be all that's going to be your first fucking jobs.

Speaker 6:          00:39:35       Okay?

