Speaker 1:          00:00:00       Some bus, seventh, 19, 41, a date which will live in infamy. Perfect.
Speaker 2:          00:04:54       and to be fair to principal, if you could have gone to him and shown him the ramifications of what that one day a week due to the world, I think he'd be horrified. He wasn't trying to unleash a global world war. He just became the latest example of someone pulling the trigger in a giant historical game of Russian roulette. A trigger that had been pulled several times already with nothing happening. Who would have thought that the time that prince it pulled it, that would be the time that the metaphorical revolver pointed at the skull of the old world, shot a bullet into its brain. Perhaps Princip in his compatriots would have thought that you know sometimes when you're trying to create a new world, you have to utterly destroy the old one and the people in that old world. We're not naive about the potential for someone like a principal to do what they did. I mean Otto von Bismarck, one of the greatest diplomats of 19th century Europe, perhaps the greatest diplomat, Germany ever produced, famously said that if there was going to be some giant global conflict, it was going to probably break out because of some damn fool event in the Balkans.

Speaker 2:          00:06:15       Governor Lowe Princip shot two people in the city of Sarajevo smack dab in the Balkans. A place that Otto von Bismarck had famously said was not worth the bones of a single Pomeranian Grenna dear. It would cost a hell of a lot more than that and prince, it becomes yet another example in history proving to us that sometimes when it comes to something like terrorism in this era, by the way, when we tried desperately to keep weapons of mass destruction out of the terrorist hands because we're afraid they'll be able to kill more people with such weapons. We forget that sometimes. It's not about how many people you kill. Sometimes it's about who they are and often it's not the terrorist act that changes the world. It's the response of the victims, you know, that does Gov reload. Princip killed two people and he did so in a way that almost makes you believe in fate

Speaker 2:          00:07:15       and truthfully, I'm not much of a faith believer, but one of the things I like about history is how it forces me to challenge some of my own preconceptions and certainly make me think about other possibilities. I've always thought, for example, that history unfolds for chaotic reasons. We that it's somewhat random that millions of people going about their lives and their own ways with trends and forces acting upon them and people in important positions making decisions and all of this together creates a dynamic that's completely unpredictable. As I said, somewhat chaotic and random and unfolds into the future. I think my logical side of the brain appreciates that sort of viewpoint. The problem is is that sometimes history confronts us with events where the logical part of, at least my brain wants to flip sides and wants to logically defend what I consider to be the more illogical point of view.

Speaker 2:          00:08:10       In this case, the logical part of my brain will sometimes shift and try to defend something like fate or destiny or predetermination. Those to me are the two ends of the scale chaos on one side and randomness on one side and fate and predestination on the other, and there's this weird twilight zone where the two sort of intersect and that event that happened in late June. Nineteen 14 is one of the best examples you'll find from history where you know the. The logical side of your brain stands a pretty good chance of flipping and trying to defend the illogical position that this is somehow predestined. I mean, let me challenge you with a similar kind of analogy. Assumingly Harvey Oswald did kill President Kennedy. What if someone showed up right when he had the rifle and he was aiming at in the room where he was forcing him to sort of Scotch.

Speaker 2:          00:09:05       The whole thing screwed up. The whole assassination attempt at the last minute, you know, Oswald's storms out of the Texas book depository, angry that is well laid. Plans have been destroyed and he goes across town to his favorite restaurant and he goes and he gets himself a bite to eat and when he's coming out of the restaurant, angry at how his day has gone right in front of him. Within five or six feet, stopped below him. Is John F Kennedy's car with Kennedy in it close to Oswald and on the far side of the president, his wife Jackie. What are the odds of something like that happening? What would you think if it did? Just a weird coincidence, Huh? On June 28th, 19, 14, Gavrilo Princip and about 20 other guys. This is a true conspiracy show up in the city of Sarajevo with murder on their minds. They want to kill the the governing figure.

Speaker 2:          00:10:05       I'm in Sarajevo. The person who is sort of the Prince Charles plays the same role. Prince Charles plays in the British monarchy right now in the monarchy of the country that are the overlords in Sarajevo country that doesn't exist anymore. Called Austria. Hungary and Austria. Hungary is led by a really old, very well loved guy named Franz Joseph who's going to die soon because he's very old and the person who will take over when Franz Joseph dies is this guy coming on a visit to Siri, afo the Prince Charles of his country. Although unlike Prince Charles, who's role is completely ceremonial, this guy will actually have some real power when he gets the throne and for some you know now when you look back on it looks like a stupid reason. This guy whose name is archduke Franz Ferdinand, has decided to go to Sarajevo and watch military maneuvers which happened to coincide with the anniversary of the most emotionally important, heart wrenching, you know, battlefield lost in all Serb history, the battle of Kosovo way back from hundreds and hundreds of years before this time period.

Speaker 2:          00:11:11       Certain nationalists and the Serbs are very, very patriotic. Even today, even more so back in 1914. Look at this as a slap in the face to them, sorry. A Vo is Slavic and should be part of at least a Pan Slavic country or maybe part of Serbia. There had been Balkan wars for the last decade, you know, concerned with many of these nationalistic questions who should own these areas and it had been in the hands of the Ottoman Turks who the slavs definitely feel, shouldn't have been running the place. And it was transferred to the hands of the Austria Hungarian empire, which the Serb nationalists still don't feel should be running the place. And now the archduke was coming on the anniversary of this historic defeat. You know from the Serb nationalist viewpoint to rub their nose in the fact that Siri, Eva was still held by a big non slavic empire

Speaker 2:          00:12:02       and they're going to make Franz Ferdinand pay for that and in the remarkably similar situation to the Kennedy assassination, Ferdinand's route for his motorcade is published ahead of time. He's going to be arriving and going down the main boulevards in an open car with his wife sitting next to him. He's 20 or so assassins line themselves up at various intervals on this parade route and planned to kill the archduke as soon as they can. The archduke car is either going too fast or there are too many other serves in the crowd nearby. The first few assassins, so the first few assassins don't try to make a run at him. Eventually he passes. One guy who runs out from the crowd with a bomb, really more of a hand grenade would be a good way to describe it today, and he flings this hand grenade at the archduke open car in a very athletic maneuver.

Speaker 2:          00:12:56       The archduke sees it ducks behind the door of the car, the hand grenade thing bounces off the car, hits the concrete on the street, and the fuse doesn't detonate until the next car in the motorcade has passed over it. It explodes. Some 20 people are badly hurt in a blood on the street. The whole thing. Chaos. The crowd scatters. I mean obviously you know, the parade is over. The would be assassins shoves a cyanide pill into his mouth and runs down into the side of the street and jumps in the river, but the cyanide pill is defective and only makes them vomit and the river is only about six inches deep. So they capture him very quickly and run him off to be interrogated. And basically the whole day is now scotched. All the other assassins along the parade route have had their chance, spoiled and everybody breaks up and goes their separate ways. The crowd dissipates and the motorcade, you know, takes off in a couple of different directions. The injured or taken to hospitals in the archduke goes to the local magistrates residents to lodge a complaint.

Speaker 2:          00:14:00       So you think, okay, there's a bullet dodge literally, so after complaining to the local authority is the archduke decides instead of just leaving town, I mean, you know, he almost got killed, but instead of leaving town in a very heroic sort of, um, movie decides no, he needs to visit the people injured in the bombing, just going to go to the hospital and he gets back into the open car with his wife and they speed off toward the hospital to talk to the wounded and comfort the wounded. The local authorities are worried, as you might imagine. So they give him some extra security, including one guy who was, I'm a member of a local aristocracy account named France Bon Herat.

Speaker 2:          00:14:44       And her rock takes a position on the running board right by the archduke side of the car and they speed off for the hospital. Now no one knows where the arch duke is going now. None of the people who were would be assassins or anything. This is not a published route. Nobody knows that the archduke is heading in this direction. So the car drives toward the hospital. Meanwhile, you know Gavrilo Princip has gone to get a sandwich, mean his day has been totally destroyed. He couldn't have been in a good mood. He must've felt like they'd failed somewhat and the driver of the archduke car not really knowing the route very well, charged down a street, realizes he's on the wrong street and reverses the car, but this is 1914 and cars are relatively new and simply reversing a car could stall the engine, which is exactly what happens. He tries to reverse the car, the engine stalls, and there it is sitting, not moving, and they're trying to get it started again and out of the restaurant where he'd gone to get that, I guess you could say constellation Sandwich to make them feel a little bit better about how his bad day went. Steps Gavrilo Princip who looks up and sees his target from a little while ago, five feet away from him, immobile and slightly below him in an open car

Speaker 2:          00:16:02       and he whips out his pistol and shoots him and his wife. What are the odds of that happening? It's considered to be one of the most wild coincidences in all of human history and we sometimes forget because it's such a monumental historical moment that this is still a terrorist attack and it was quite upsetting to either witness or lived through.

Speaker 2:          00:16:33       Part of what makes these things seemed so unreal is that we only have grainy black and white footage of even the events before that you can go see movies where you can see the archduke and his wife getting ready to go into the motorcade and you get an idea of what they looked like and it's all kind of moving a little too fast. The way those old fashioned movies were and everything and it just doesn't look real. But you can go and you can see pictures because they have saved the tunic that the archduke was wearing that day and you can see in living color that this was a bright light blue tunic and the feathers on the helmet he was wearing were bright green. I mean, it must've been the most colorful site imaginable, but after princip fired the most colorful site imaginable became a lot more gory. Because there's a tear in the tunic where the bullet exited the archduke neck and the tunic is covered and what is unmistakably. Even 100 years later, blood and blood has always been one of those things where when you see it in living color, there's nothing like it. I tend to believe human beings are programmed to react to that specific color, you know, always, and the difference between seeing blood in black and white and blood and color is there's nothing quite like that.

Speaker 2:          00:17:48       The person who was closest

Speaker 3:          00:17:49       to the whole thing was count von [inaudible], who was on the running board, not doing that great of a job apparently at security, and he says, as soon as the shots were fired, they reversed the car

Speaker 2:          00:18:03       and he later testified this quote,

Speaker 2:          00:18:07       as the car quickly reversed, a thin stream of blood spurted from his highness, his mouth onto my right cheek. As I was pulling out my handkerchief to wipe the blood away from his mouth. The dutchess cried out to him. For God's sake. What has happened to you at that? She slid off the seat and lay on the floor of the car with her face between his knees. I had no idea that she too was hit and thought that she had simply fainted with fright. Then I heard his imperial highness say, Sophie, Sophie, don't die. Stay alive for the children. At that I seized the archduke by the collar of his uniform to stop his head drooping forward and asked him if he was in great pain. He answered me quite distinctly. It is nothing. His face began to twist somewhat, but he went on repeating six or seven times evermore faintly as he gradually lost consciousness. It's nothing. Then came a brief pause followed by a convulsive rattling his throat caused by the loss of blood. This ceased on arrival at the governor's residence. That to unconscious bodies were carried into the building where their death was soon established.

Speaker 2:          00:19:08       End Quote, and as a way to sort of prove that the old adage that one man's terrorist is another man's freedom fighter is true. The spot where princip was standing when he fired those fatal shots are immortalized now in the city of Sarajevo. With a plaque and the actual footsteps, you know, in metal on the ground where the spot was to Serbs, this guy was a hero and to his compatriots who all realized that they were like Desperados at the time. They all realized that they would be immortalized too,

Speaker 2:          00:19:48       and the actual circumstances by the way, where this plot was hatched are worthy of a spy novel and it's hard to believe it hasn't been romanticized to some degree. But nevertheless, if you ever do the definitive big screen dramatization of World War One, the whole story. I think you want to start your movie off with that scene inside that Belgrade cafe obscure place Kinda run down lit only by candle light with a group of 19 and 20 year old guys at a table. I always have to remind myself how young these people are not old enough to legally drink alcohol in the United States is how old these people are. And then we're told by people who were there that what happened is one of their number comes in the door, sits down at the table with them and has a package with him. And he opens up the package and inside is only one thing, a newspaper clipping. No, no, no, not signed it by anybody. No directions, just a newspaper clipping. And the clipping announces

Speaker 4:          00:20:48       the imminent visit of the archduke Franz Ferdinand to Siri, Ava, one of the people who was at that table and lived to grow older and write about his experiences after he'd had time to go from terrorists to Patriot, a guy named Jeff Church. And if I mispronounced that by the way, let's just get used to that. This is going to be perhaps the most linguistically and essentially challenging show I've ever done. And I'm sure to mangle many beautiful languages, uh, first and foremost French. So my apologies to all of you in advance. I'm sorry I have limitations and you're going to hear them all. I'm bored. Shoved Jeff Church wrote years later this about that moment in history that will turn out to be so very important in a way that you can't imagine anyone at the table then would have known they didn't know they were pulling the trigger again and that Russian roulette game.

Speaker 4:          00:21:42       And they certainly didn't know that if they were, that was the time there was going to be a bullet in the chamber. So you have to troll, you know, after the fact, quote, a tiny clipping from a newspaper mailed without comment from a secret band of terrorists in Zagreb, a capital of Croatia, to their comrades in Belgrade was the torch which set the world of fire with the war in 1914, that bit of paper wrecked old proud empires. It gave birth to new free nations. I was one of the members of the terrorist band in Belgrade, which received it. And in those days I and my companions were regarded as desperate criminals. A price was on our heads. Today, my little band is seen in a different light as pioneer patriots. It is recognized that our secret plans hatched in an obscure cafe and the capital of old Serbia have led to the independence of the new Yugoslavia, the United Nation set free from Austrian domination.

Speaker 4:          00:22:37       And to quote now, ever since that time, people have been wondering how connected that group was to outside entities. No, they just a bunch of small little self organized terror groups put together by a bunch of young kids, or are they working for a larger entity today? We would ask whether or not they were an example of state sponsored terrorism. Was there a power behind this group arrival power, I mean in to understand how big of a deal this could be in a Europe that was already kind of unsteady and stressed in terms of stability. Imagine the United States president or a president or two from now. We don't want to be controversial down the road is assassinated and we have all the shock and anger and desire for retribution that comes with that and then very shortly after an assassin is captured, we figure out that that assassin is working with the intelligence service for our most antagonistic enemy. I mean, think for a second how America would have reacted if Lee Harvey Oswald had been a hit man for Moscow and that came to light, which by the way is not that outrageous thing to consider. When you look at Oswald's ties to the Soviet Union and Cuba,

Speaker 4:          00:24:01       think about how the American people would have reacted regardless of what the facts were if they thought that was the case, and it's interesting to note that that's only a year after the Cuban missile crisis, a year after world war three is potentially dodged. What do you think the leaders of the United States after Kennedy is assassinated, are worried about in terms of worst case scenarios? Do you think it might have occurred to them men who by the early 19 sixties had grown up during and in the immediate years after the first World War, do you think they might have been seeing in their mind's eye history, repeating itself? A world leader killed by a gunman in an open car with his wife sitting next to him in public by a young person may be working for a foreign government and then having the world spiral out of control despite what the major players may have wanted. Do you think the people around Kennedy might have worried a little about how that might have turned out? Because those guys in that cafe very well may have been working for the Serbian intelligence service. There's been a lot written about this. No one knows for sure.

Speaker 4:          00:25:20       They certainly have ties to groups that the United States today, if we were ranking groups from 1914, would probably call terrorist groups like young Bosnia and another one called the black hand, and these groups had ties sometimes to the Serbian intelligence service, so you can believe the historian where the investigator, you want to believe it's a hot button issue. Nonetheless, it isn't so important. What really happened, just like it isn't so important whether or not Oswald was working for the Soviet Union. What's important is what did the people on the ground effected by this think was happening. The US public thought Oswald was a hitman from Moscow. What happens then? The Austrians thought the killing of their heir to the throne was an active state sponsored terrorism, and if it wasn't, they were going to make the case that it was anyway. There's really no doubt that the Austrian Hungarian Empire wanted to deal with this Serbian problem that had been bedeviling it for some time, once and for all, and to be honest, it's hard to blame them. I mean the Serbians and the Slavs will counter with the idea that the Austro-hungarian had not possess this territory for very long. Bosnia Herzegovina and places like Siri, Ava had not been Austro-hungarian for a long time. Nevertheless, you try to think of what nation state on the planet could put

Speaker 2:          00:26:44       up with the nation over their border fomenting revolution in their country and eventually killing their public figures. I mean, imagine if you're an American. This happening in the United States. Imagine say Mexico creating instability and unrest and fomenting subversion and revolution in places like southern Texas and southern New Mexico and southern Arizona and southern California, and then eventually these revolutionaries that have been Egged on by the Mexican intelligence service kill a major US public figure. How long do you think United States will put up with something like that? The reason it becomes so important though is because of all the many controversies in the story. One of the most enduring and important is who's fault. Everything that's about to happen is you know, if this is a civil lawsuit, trying to figure out who's responsible for damages is a key part of this story and the Austrian Hungarian Empire is in a position to decide to go or not to go to war.

Speaker 2:          00:27:50       That seems to put them in the driver's seat. Responsibility Wise, there are Austrians though, living at the time who basically say, what choice did they have? Take this Austrian writing after the war as a perfect example. He talks about archduke. Franz Ferdinand is one of the best friends the slavs ever had, and in effect, Ferdinand actually was counseling his government to treat the Serbian problem more lightly because he was worried about it's sparking a general war. When he was killed, it was seen as an extra perfidious act because the Slavic folks had killed a person who had been, you know, one of their better friends in the Austrian government. The Austrian that I was telling you about a second ago after the first World War wrote this quote, when the news of the murder of archduke Franz Ferdinand arrived in Munich. I happened to be sitting at home and heard of it only vaguely.

Speaker 2:          00:28:53       I was at first seized with worry that the bullets may have been shot from the pistols of German students who have indignation at the heirs apparent continuous work of Slava. Ization wanted to free the German people from this internal enemy. What the consequence of this would have been, was easy to imagine a new wave of persecution which now would have been justified and explained in the eyes of the whole world. But when soon afterward I heard the name of the supposed that assassins and moreover read that they had been identified as Serbs. A light shutter began to run through me at this vengeance of inscrutable destiny. The greatest friend of the slobs had fallen beneath the bullets of Slavic fanatics. Anyone he says, with constant occasion in the last years to observe the relation of Austria to Serbia, could not for a be in doubt that the stone had been set rolling whose course could no longer be arrested.

Speaker 2:          00:29:48       Those who today he writes, shower the Viennese government with reproaches on the form and content of this ultimatum. It issued do it an injustice. No other power in the world could have acted differently in the same situation and the same position at her south eastern border, Austria possessed in an Oxford and mortal enemy who had shorter and shorter intervals, kept challenging the monarchy and would never have left off until the moment favorable for the shattering of the empire had arrived and quote. I actually agree with that and it makes me uncomfortable because the Austrian writing that statement after the first world war is the man most responsible for beginning the second adult Hitler.

Speaker 2:          00:30:32       The one line that I think Hitler Eridean though was his line that this stone had been set rolling, that nothing could arrest because something could have arrested it because something had been arresting it. There's a reason that the ostrow Hungarians had an attack. The Serbs are ready, and the reason was that the Serbs had a very powerful friend, the Russians who considered themselves the traditional protectors of the Slavs and the Serbs were not alone. Most of the powers of Europe had at least one and usually more powerful friends and allies. This was the era in European history and it's often used as an example of one of the main reasons this whole story unfolds the way it does. This is the era of a very complex web of alliances that bind European countries to each other. It's perhaps the most enduring work of Otto von Bismarck can.

Speaker 2:          00:31:26       We mentioned earlier the 19th century German diplomat, bismarck played a very large role in the foundation of modern Germany, but he also played a huge role in creating a system of alliances that both expanded, you know, Germany's possibilities while at the same time preserving a general peace in Europe. There were wars between Napoleon and the first world war. There's no doubt about that and some of them were directly the fault of Bismark, but there wasn't a general European conflict involving all the major powers and let's not forget that this is an era that we would today call a multipolar world, which is hard for us to understand in an era of one or two super powers. Europe during this time period had at least five first rate power states, Britain, France, Germany, Russia, and the Austrian Hungarian Empire. Many people throw in Turkey and Italy to which would make seven. These states all, we're bound to each other with complex alliance systems and complex is the way bismarck wanted it. Bismarck had set it up so that basically no matter what happened, he was in the driver's

Speaker 4:          00:32:40       and this worked unbelievably well, especially for German interests, but for European interests as well as a whole for a long time. But by the time 1914 rolls around this genius who create this system that's so complex, only he knew how to run it. I've taken whole courses on Biz markie and diplomacy from professors who spent their whole life studying it and they don't know why he did some of the things he did while he was running it. It was fantastic. By the time 1914 rolls around, he hasn't been running it for some time. He'd been fired by the leader of Germany and now this complex machine that the genius of Bismarck had created and run was being run by people who couldn't, you know, carry his jockstrap is what we used to say. It was inevitable that something like that would break down the reason that the Austra Hungarians didn't just march into Serbia, you know, the minute they found out that the Serbs were responsible for killing their heir to the throne, is that they knew that would mean war with Russia and that is something that the ostrow Hungarians were not prepared for.

Speaker 4:          00:33:49       At least not without checking with their main friend on the world stage and finding out, you know, what they would do in that situation. Their main friend on the world stage was the German empire. Now the German empires attitude is very interesting. The first thing I have to keep reminding myself about the German Empire during this era is that it's relatively young. It's a new country almost. It was only founded in 18, 71. I was like 40 years before this era and it wasn't just a new country. The minute it was proclaimed and that's how it happened. You didn't proclaiming England, you didn't proclaim France, but Germany is a modern nation. There was like a day where people signed papers and okay, the next day as of tomorrow, Germany exists and the minute it existed, it was the most powerful land power in Europe with a larger population than France. Traditionally the greatest land power in Europe up till this time period and a larger faster birth rate and more industry, and how destabilizing would it be in our world today if a couple of different nations of moderate power signed a piece of paper tomorrow that united them into one country and that one now combined country was the most powerful country in the world.

Speaker 4:          00:35:03       Even if it was just the most powerful land power or the most powerful see power, you can see how a bunch of nations that really didn't deserve a lot of the perks that the super great nations claim for themselves might all of a sudden do that once they turn themselves into a super nation in 18, 71 with the creation of Germany, the Kaiser, right? You have an instant great power on the world stage. It was Prussia on steroids with a population like eight times as much and the rest of Germany with the militarized on the Prussian model with the Prussian King.

Speaker 4:          00:35:38       That's a very destabilizing thing and when that country begins to demand some of the perks that the other great powers have, you know, have their own France, Great Britain, they've got all these colonies, all these other things, little Holland to them looks like they've got places all over the world. What's going on? Sort of a factor of just having been there for awhile. If you were around during the age of exploration and you had a bunch of ships out there, you were getting colonies. Germany didn't come around until most of the good stuff was taken. Was a cause of instability. Germany worried about being encircled. That powers all around them that didn't wish them well. His Neil Ferguson, I'm in. The thing that I really thought was was quite wonderful because here in the west, those of us who fought the German empire famously said that they had this sort of paranoia about being encircled.

Speaker 4:          00:36:27       They were always worried about being encircled. We'll look at them on a map. They're born in circle there in central Europe. They've got enemy is all around them. Neil Ferguson said they weren't paranoid about being historical. They were being encircled and they were worried about an upcoming war and up until Otto von Bismarck goes away, he had neutralized Russia. That was one of the main things in his diplomatic alliance system. Keep the Russians happy. He said it in a five superpower world. Make sure your country's one of three. Right? So it's always three against two and Russia was always to be kept on your good side when he was sacked and basically the foreign policy begins to be heavily influenced by the German Kaiser. The Emperor Kaiser Means Caesar, by the way. So imagine you know, calling your Emperor Caesar in 1914. In any case, the Kaiser was a strange guy. He sacks bismarck because bismarck's kind of talking down to him and is kind of running the show and he's an old guy by then in these much revered and you know, how do you grow into your own man? Would that guy hanging over your shoulder? So he fires him and he allows that machine to make vital mistakes bismarck never would have made with that diplomatic machine. Vital mistake, number one, he lost the Russians. He intentionally drove them away basically

Speaker 4:          00:37:44       right into the hands of the French, the historic German enemy, the one that they had beaten in the Franco Prussian war in 18, 78 slash 71. That allowed them to proclaim the German empire, which they did in the French palace of Versailles, which is sort of a rub your nose in it kind of thing. The Germans and the French assumed they'd fight each other again someday. Now the French were allied with the Russians and now the German fears of encirclement had become a reality. The Germans had been trying to plan for what they're going to do with a war, you know, against an enemy to their west and another enemy to their east at the same time. Right. How do you do that? And now the situation in Australia boils over and the Austrian say to the Germans, listen, if we get into a war with Serbia, Russia is going to attack us.

Speaker 4:          00:38:31       If Russia attacks us, where do you stand? And the, this is controversial, but traditionally the Kaiser is supposed to have told the Austrians to go for it. Get Serbia had done now. And some historians. Again, this is all very controversial. Everybody has a different opinion. Um, but basically the idea seems to be that the Kaiser believed that if it was done quickly enough, the Serbians could be crushed before the situation spiraled out of control in Europe because even as moderately intelligent, we'll put, we'll give them some credit that the Kaiser was, he knew that Europe was a powder keg and the key thing that had to be avoided was this process almost a machine, the cranking up of a doomsday device that everybody who'd actually been present when the thinkers who dealt with the Doomsday Device explained what the doomsday device did, understood that once the trigger on this thing was polled, it was going to be really hard to turn it off.

Speaker 4:          00:39:29       So if the Austrians could conquer the Serbians before the Russians, you know, flip the doomsday device switch, they would all be okay. Again, a lot of controversy on this because this is again another one of those places where the war guilt question hinges. Did Germany tell Austria to go crush Serbia? And who cares if the Russians attack everybody? But of course the problem wasn't that it would just involve the Russians attacking everybody. Because of that complex web of alliances we talked about earlier, other countries, we're going to get dragged into the conflict. This was something that was well understood by the intelligent heads of Europe. Take for example, the British prime minister. During this time period, Herbert Asquith Asquith wrote a letter, a private lender that's coming down to the history books right after Serbia receives the ultimatum from Austria that's so important and ask with writes, quote, Austria has sent a bullying and humiliating ultimatum to Serbia who cannot possibly comply with it and then demanded an answer within 48 hours failing, which she will march.

Speaker 4:          00:40:36       This means almost inevitably that Russia will come to the scene and defensive Serbia and in defiance of Austria, and if so, it's difficult for Germany and France to refrain from lending a hand to one side or the other so that we are in measurable or imaginable distance of a real armageddon. Happily, there seems to be no reason why we should be anything more than spectators and quote. Well, that turned out obviously to be wishful thinking on the British prime ministers part, but historians like Neil Ferguson who write revisionist works like the pity of war, have suggested that if the British had stayed out, we'd have a better world today for all sorts of reasons. I mean, he knocks off many of the biggest events of the 20th century. The most horrible saying this never happens. That never happens. That never happens. If Britain stays out of the war, Britain can stay out of the work as they don't have a hard alliance with anyone.

Speaker 4:          00:41:25       They're not caught up in that web of alliances will not too much. They have an understanding with France and understanding with enough wiggle room so that there was a lot of talk in Britain about do we or don't we get involved in this whole thing? This whole thing was something that hadn't happened in a hundred years in Europe, a general European war. It hadn't happened since Napoleon, since Waterloo, and that war was so terrible. Not just that we're the entire Napoleonic wars and the wars of the French revolution. That era from like 1789 to 1815, so awful in terms of military destruction that a lesson had been talked to the, you know, crown heads of Europe and the lesson was, was not as much of a game anymore. It's no longer, you know, these small private armies that we move around our European Chessboard and Oh, I lost to you so you can have this province and then on next time I'll beat you and I'll take that province back.

Speaker 4:          00:42:22       You know, nobody was trying to topple over their regimes. It was, if anything, gentlemanly warfare, if there's ever been such a thing, it's been called in the history books, limited warfare or restricted warfare. There was an Italian historian named Ferraro 1933 who talked about how, you know, that era of warfare was the kind of warfare where you know, the leaders of countries can actually have fun. Going to war. War was something you just sort of did, like pheasant hunting, at least in the minds of some of these guys I'm Ferrara writes, quote, restricted warfare was one of the loftiest achievements of the 18th century. It belongs to a class of hothouse plants, which can only thrive in an aristocratic and qualitative civilization. We are no longer capable of it. It's one of the things we have lost as a result of the French revolution and the French Revolution was when warfare, God, at least in the minds of the Europeans, have this era, you know, really serious, you want a war, then we're going to go to war.

Speaker 4:          00:43:31       The crown heads of Europe attack France after France went all revolutionary, and you have to understand how much of a shock that was. Historian Gwynne Dyer has a great way of describing it. He says, to understand the shock of the crown heads of Europe when the most royal of European countries, the French were overthrown by leftist revolutionaries. He says, you have to imagine if Maoists toppled the US government today. Maoist of course, being a very hardcore communist group. Imagine them toppling today's US government and beginning to govern. He goes, that's how the crown heads of Europe felt about the French revolution and how destabilizing it was seen. So inevitably, the royalty of Europe, which is almost all of Europe, clashes with this new republic in France and coalesces into an alliance and everybody attacks France and they do so with their private mercenary armies and they run into the entire French population, a people in arms because France started by losing.

Speaker 4:          00:44:32       You have to imagine a state where the entire underpinnings of the state have been broken down, including especially the army. And then all I mean pressure rush Australia and Great Britain. All these powers in Europe attack France at the same time and you're stuck with. I mean like a bit of your army leftover. The artillery stayed with the people. So the old French artillery was good, but you've got this mishmash of an army with officers. You don't have any authority. It's crazy. And France is about to be defeated. And then as only you know, totalitarian regimes can do, they basically tell the people of France that the war is now everything. Our entire focus, the entire society exists only to win this war. The decree of the French national convention in Seventeen, 93 said, quote from this moment until that in which our enemies shall have been driven from the territory of the republic.

Speaker 4:          00:45:26       All Frenchmen are permanently requisition for service in the army's. The young men shall fight. The married men shall forge weapons and transport supplies. The women will make tents and clothes and serve in the hospitals. The public buildings shall be turned into barracks, the public squares into munition factories. All firearms have suitable caliber, shall be turned over to the troops. The interior will be policed with shotguns and cold steel. All saddled horses shall be seized for the cavalry. All draft horses not employed in cultivation will draw the artillery and supply wagons and quote. In other words, the entire society was mobilized for the war effort. This was not something that the other countries did. In fact, most of the royal, you know, leaders of Europe could think of nothing more scary than arming and training your population. Oftentimes, they used their professional militaries to put down rebellions by their population.
