Speaker 1:          00:10          Hey
Speaker 2:          06:44          One long drag and stupidity crashed over his mind. Simplicity. Yes. The end of all thought. He passed the pipe to shelly who seemed to have given up her protests at site of the drug. She was thinking, well, finish this tomorrow and took a drag for herself, a sweet repos. She nestled herself into the crook of his arm and together they sank into the red round cushions of the couch. Nothing moved. The television was tuned to one of those channels which only plays music probably because shelly couldn't afford a full entertainment package. The noise was faint, but Mac caught enough to discern which channel it was he needed to have heard it. Though shelly only ever played one station this late at night, particularly when she was dosing city reflections. Istation, unlike any other, it's sole purpose was to catch old frequencies that had been broadcast and set bouncing into the city sound maze of a trillion buildings.

Speaker 2:          07:37          You might hear something on reflections that had been played a thousand years ago in a province you would never know the name of, but who could say after all that bounding and rebounding, if what you were hearing was the music as it was originally recorded, who could say if it was even music, it might just a well has been, have been modulated. Police sirens or distressing those maybe the arrhythmic calculations of an ancient supercomputer. It gave people a sense of communion anyway. It helps them forget the size of the city or else feel the magnitude and its full capacity. Mack was proud that his district set the places he had heard of had invented something like city reflections. He wondered if other places had it to the music, pulsed over the room, cautiously like a vessel signaling. It's approach a port in a low fog, and they allowed that strange melody to fuse it's essence with their own, both of them being so dissatisfied at that moment with the state of being required by human mind.

Speaker 2:          08:33          Molecules mingled with wavelengths were twisted and strewn mislaid shuffled around, transmuted and exchanged, and if afterward only the music remained so what? The drug was in full effect. Mac kept raising the volume because his ears kept adjusting and he wanted it to be loud. What was he trying to death and what? Scab? Light question still itched at him under all that noise? Yes. His secret. Wish for shelly not to answer, he couldn't have been in his right mind. This was exactly what he wanted and being here with her weight on him. Six months of uppers and the knife's edge stress knife's edge stress of [inaudible] card rooms had set a system on a dangerous tempo. What was the motive for going to that whole? He couldn't remember what we didn't want to, but loan end did that to you. It was the kind of place that magnetized it's population.

Speaker 2:          09:25          Even the slightest relaxation of purpose would be enough to persuade an Erin traveler that it was time he ought to go home and it is sometimes said that wherever alone inborn folk go in their lives, no matter the distance or duration, they always die in loan end. Shelly's daughter Lisa awoken by the music that could not be loud enough, trudged into the living room and found her mother completely stoned on the couch with a man of whom she had only the faintest recollection. Lisa knew very little about drugs, but enough to knew, know what it looked like when you were on them. Shelly seeing Lisa and her peach colored pajamas clutching a teddy bear that had been patched and repatch dozens of times, shot up from the couch and tried to act authoritative. Lisa, why are you up? Do you want some water or do you need anything?

Speaker 2:          10:10          I don't mean to yell at you. The music was loud. She said I couldn't sleep. Her eyes were fixed on Mac, who smile, suggested friendliness, but she had been fooled by looks before she chose to distrust him. Haley said, remember me? All she said was, can you turn it down please? And the little girl walked back to her room fainting all the disappointment of a mother. Mac. You asked, turn it down. And he did. Oh, this is a disaster. Why don't I let you ruin everything? Fuck, fuck. She knocked the porcelain jar off the coffee table and the little blue tablet spilled and we're lost in the shaggy fibers of the carpet in that very moment, shelley grave swore off Zena friend to forever. So mortified to what she thought her daughter thought she was. But this was her character's nightly promise. And like the other was never to be kept.

Speaker 2:          11:00          Please go. She whispered and left him there. Instinctively mack went for the tablets that had been strewn in the Sylvan Rug, uh, tasked that prove more difficult than it should have. The drugs still had a strong hold over him now instead of no thought ideas came swarming into his head like beads converging again and again on the same conclusion. My reality is on a loop, never had he felt more sure about something than this. He rewound the day in his head and played it over. He did the same with the previous six months and before repeated occurrences of the same night this night, laid out like sardines in a tin and it all seems so pathetic. The did he have no control over this sad circle of events. He looked down at the handful of blue tablets and new at once that they were the root cause of his problems.

Speaker 2:          11:47          He heard it to the kitchen, desperate to maintain control over his mind before the other part, the stone sucker part could reclaim it. He lifted up the dirty plates in the sink and drop the pills into the disposal. Yes, cut off the supply. Eliminate the opportunity for desire to prey on the weaker self. No indulgence. He exhaled and out came everything bad, overcooked fish wafted from the nearby stovetop. Mac. Wondered again, where did Shelly get fish from? He was sure that she didn't have the money for food. That rare sense memory set off a tiny projector in his head, a tangled dream of gatherings at his uncle Warren's restaurant on catskill street. Birthdays, anniversaries is six. His sister's graduation from the University of Praxis, that dreadful resection after his mother's funeral when he drank too much and actually accidentally told Mr Hoy con that he was fucking his daughter.

Speaker 2:          12:38          She's a tigress bruce. Real rough, but watch out for those nails as Shell Hoy con fired him on the spot only to rehire him a week later, after many apologies and his promise that he would break it off with shelly forever blaring yellow light the sun. No passing district police or was yellow. The municipality detail so fucking hard to keep track. Koten was lawless. Free from that bewildering rainbow of authority. The light there was always the same color, harsh white, raining like a God over octagonal octagonal card tables, concealing the eyes of your opponents and turning the heads of emaciated amateurs like Mac into small, chalky skulls. It was also deliberately organize to throw you off balance by who the hell you knew that going in. At least there you can really lose yourself at least there. You could piss in the streets, whichever authority it was. The light broke.

Speaker 2:          13:33          His trans and Mac was suddenly overcome with a wild hunger. He scraped the burnt leftover fish from the skillet and slapped it onto a dirty plate in the cupboard. There was a bottle of Bourbon. Another odd thing to find at Shelly's. He ate slowly like a beast, staving off the urge to devour it's prize in one great bite. Fish after all was nothing to sneeze at and Bourbon, the life of a king. His uncle love Berman always had a glass with dinner. Maybe she got the gift from Warren, uh, the fish for more and as a gift. But, and the truth was there

Speaker 2:          14:08          on his plate in his glass, mocking him. The clever bitch fish every night if she wanted it, free alcohol all in exchange for turbulent sex and the occasional dose of Xeno. He rushed at the thought of all that full acid skin perspiring, greasy. And what did they say about him in bed afterwards? That he was a joke, making a fool of himself. Could they guess when he'd returned a broken record? That boy he heard it loud and clear in the kitchen. Silence no more. He scrambled into Shelly's bedroom, found her curled up in a ball under the covers and in one vicious motion kicked her from the bed. But the wait was wrong. He felt it immediately to light. The small body crashed into the far wall. At first, the little girl scream came as if from far away and then. And then it was right there, cleaving him into shelly found her daughter strewn on the floor like a ragdoll.

Speaker 2:          15:01          The girl's neck had hit the protruding window sill and this sent her into severe convulsions of bent nerve. Probably appendages thrashed against the pho wood paneling. Quick sonorous studs, Lisa, Lisa, she nailed over her daughter. Completely helpless. You weren't supposed to touch a seizing person, right? She couldn't remember. Mack was in shock. His leg, his legs moved as if by another brain slowly out of the room. His body was taking the necessary steps to extricate itself from the repercussions of this horrible accident and accident. That's what it was. Could he be blamed for it? Really? Images spilled into his head randomly. Uncle Warren drinking bourbon from a perspiring glass. The gruff sniggers have better gambler. Something strange. The strap, the scratch on his mothers coffin. How did it get there? Oh yes, yes. There was a rock hidden in the shovel of dirt. He was supposed to dump over the casket at drew, a line directly above her knees or her shoulders. He couldn't recall what side the head was on, and Lisa twitching like a broken doll.

Speaker 2:          16:04          He found himself in the kitchen again, standing over the sink. Lisa seizure was only a faint tapping in the room. Beyond Dalen the disposal. He could see the small pile of blue tablets. Why had he gotten rid of the Xeno? Think of the money. He was throwing away stupid to throw away all that money. He would need it now. He reached down the tapping ceased silence and then city reflection boomed from the living room. Television. Mac turned around to see who had turned it on, but nobody was there. A contract auto voice called out strange lyrics, the creaking of the tented sky, the ticking of eternity. I saw and heard a new atlast the how and why, of all things past and present and forevermore. The universe, cliff to the core, lay open to my probing sense and augury. That's what it felt like. Had he succeeded in derailing the looping story. Yes. Mac turned around to the sink and was startled to see shelley there standing before him. Her face as cold as the night. I'm sorry, he said or did she say it? Her finger was flushed on a light switch, but he observed no light turn on or off. When he flipped it, moisture on his cheek. Mack looked down to see his hand being torn apart by blades, so swift and sharp that at first he felt no pain and then the pain came and Mac ludgate saw the whole thing.
