Speaker 1:          00:00          Hmm.
Speaker 4:          06:01          Hey everyone, I'm glad you don't think we're misinformed by appreciate. Well, I think if there's drinks, so like I was listening in, Jen, when you were talking about the kind of things that you feel like conservatives disagree upon her or think about, I think you were discussing a radical sect of conservatism. What is promoted is not, but that is not what most people are relating to. If you, if you went out in the, you're associating yourself with those values so you there you have the white supremacists were like, we are a Christian. You have the, unfortunately that's not what most people use. The same thing with, I mean most of those people are great. My biggest problem right now is that each party is painted with one broad stroke of everybody falls under 10 things challenge.

Speaker 6:          06:41          At least the reason I didn't come in cause I don't think the other side is missing, but I think we're informed differently. Exactly. It's interesting. Social media allows you to interact with people. They're very, very different. You guys friend me on Facebook, you'll see I'm friends with more people that disagree with me than agree with me. I don't care what you believe. I'm really, really, really interested in like eight wise, like I believe this, well why I believe this? Why, why, why, why? And, and that's, that's something that only happens when you develop a friendship or a lot of interaction.

Speaker 3:          07:12          Yeah.

Speaker 4:          07:18          To be in the mirror

Speaker 4:          07:27          and to think about that a little bit. It's like, you know, you might love your child but not be happy with how they're acting right now. And I see things that upset me and embarrass me about how we are and yet our possibilities, the way we respond to people all over the world are coming to our values. I'm still proud, but not maybe as proud as I used to be. There's a lot of freedom in what you can say. And I think there's a lot of power in that because I know a lot of people in other countries, um, if they say anything about the government, like they'll disappear the next day. And I get to, um, not only voice my opinion, but also live it, being able to do whatever you want to do, make who you want out of yourself. That's really awesome. I was surprise my son.

Speaker 3:          08:24          I thought the

Speaker 6:          08:26          idea of how this was going to be, that there would be more polar, it rise. The more agreement and I see it more centrist.

Speaker 4:          08:33          Most people do agree. Why? I don't think Trump borders represent all conservatives are all republicans. No.

Speaker 6:          08:40          Then there a big population though.

Speaker 4:          08:42          I think tonight, today I was pleasantly surprised everyone because I think that centrist Messenger may be that I agree with you, but I also hold my beliefs and I respect that. I think that's something that we need the, it should be happening more and more because I think there's so many conversations where I keep up with this crazy person talked to, they think there's no,

Speaker 2:          08:56          it's we disagree, but that's okay.

Speaker 4:          09:00          I didn't expect to to be super argumentative where you know, we have to be on civil about things because you know people, people are going to think differently and if you can think for yourself and think about the position you're in, it's very hard to argue with somebody and it's very, very, very, very hard to really dislike somebody just because they believe something else.

Speaker 2:          09:19          But I was happy to hear, uh, all of us, it kind of be on the same level really as far as social issues. Like, I mean, as far as being people as opposed to like, this is my side and this is what I'm right. You know, and that's much better. I was pleasantly surprised. It's okay, I'm going to Facebook or anything in it, right. Because you see the name, what's it go wrong?
