Speaker 1:          00:00          Yeah.
Speaker 2:          08:53          men's vulnerability is an endless source of mockery in mainstream comedy and vulnerability that results from sexual violence is no exception. I don't want to go to jail. I know. You know what happens? A handsome guy like me in jail and Ron's a drape. We were also great. Just keep your mouth shut and try not to cry to cry. Crying ticks to set up the idea behind the joke. Here. He is as obvious as it is toxic that men who aren't tough or manly enough to avoid being victimized are pathetic and therefore deserving of ridicule or worse. Hey guys, did you think he's anyone's girlfriend yet? He's been in jail for three hours. Of course he's had one we'd go out for then punch lines about men being sexually assaulted usually revolve around the idea of a man being made subordinate to another man and therefore forced into a role that is stereotypically feminine. I am never going on a Beta. Same emasculation jokes are supposed to be funny because in a patriarchal culture like ours, we're meant to think that there is no greater humiliation for a man then to be treated like a woman.

Speaker 2:          10:14          We'll talk extensively about the 2005 hit comedy wedding crashers in part two of this video series, but the movie deserves a mention here as well because of how it frames one of several sexual assaults committed against Vince Fonz characters. The basic setup is that Vaughn, as our lovable chauvinist suddenly has the tables turned on comfortable. I'm not going to want that. What's the reason? It's your typical gross out comedies scenario design could make audiences laugh, squeamish Lee at seeing straight male characters thrust into awkward sexual situations with other men. There's an underlying homophobia running through scenes like this, which is connected to some extreme levels of anxiety around straight male sexuality.

Speaker 2:          11:13          Oh pop out at the right moment. The insinuation is that if a man is sexually harassed by another man, Jesus Christ, it means he's perceived. Yeah. As gay and being perceived as gay is supposed to be deeply humiliating for straight men and open your mouth guards to go about getting your Dick sucked up. You're the ones who escaped for sucking Majid. I will report to you. You will go to jail or you won't have to pretend to be gay because your assets will be busier than a test bench and a plunger factory. Despite what media may tell us. It's critical to remember that being sexually assaulted has absolutely nothing to do with someone's sexuality just as it has nothing to do with their masculinity.

Speaker 2:          12:08          If the perpetrator is coded as a gay man or a character of ambiguous sexual identity, then sexual assault is usually framed as a product of some uncontrollable sexual desire, which then works to demonize gay men buying directly, linking them to predatory behavior. I have a question. Are you single? Uh, I'm not gay. I don't care. You're a hunky and I'm what they call predatory gay. It's made worse if as is often the case, the rapist is the only gay coded character in the whole production. All of this contributes to the long running pattern in Hollywood where gay sexuality is framed as a clear and present danger to straight people, which it isn't. Queer sexuality is not a threat to straight people. Rapists are a threat to straight people just as they are a threat to people of all genders and all sexualities. In 2016 the Metta Ironic Superhero movie, Deadpool, starring Ryan Reynolds became the highest grossing r rated film in history and one of its opening scenes provides us with a good example of another common media pattern, the scared straight style rape joke and our general direction again, and you will learn in the worst of ways that I have some hard spots too

Speaker 8:          13:42          that came out wrong.

Speaker 2:          13:48          The punchline here revolves around a male superhero weaponizing the performance of an ambiguous queer sexuality as a form of intimidation. The joke comes from the same place as the overprotective father. Freak out. Whatever you do to my daughter,

Speaker 8:          14:06          I do to you.

Speaker 2:          14:12          You want, it seems like this end up accidentally illustrating an important point because it's not just the act of sexual assault itself that functions as an instrument of domination and control in our culture. Get in. It's also the threat of sexual assault.

Speaker 9:          14:28          You know what turned out means nothing? No Sir. It's when a straight dude rolls into prison and gets his ass fucked. Then becomes a girl. Big Boys would come in and push a little more like you down. Maybe stick a textbook in your mouth and go to fucking town. What that happened to you? I don't think so.

Speaker 2:          14:45          Sexual assault is in many ways simply another form of violence and leveraging the threat of that violence as a deterrent to keep young men and boys in line is a frequent theme in media.

Speaker 10:         14:57          Well, you better keep though. Damn mouth shut. Oh No. You're going to be going back to the showers and the only speed you're going to reach is 88 dudes. Bow.

Speaker 2:          15:10          Probably noticed by now that a lot of this comedy has something in common he did involves prison rape.

Speaker 8:          15:19          Wow.

Speaker 2:          15:23          Prison rape jokes are so pervasive in mass media entertainment at the phrase, don't drop the soap has become a routine sight gag. Despite the insinuation of anal rape, don't drop the soap. Punchlines have also found their way into children's cartoons. Where do advice don't drop the soap got balloons now, God, I'm one of the reasons these rape jokes pass under the radar is because for straight adult men of able body and mind, the possibility of being sexually assaulted isn't a real concern in their everyday lives. The one exception to that, and it's a big one. Our street adult men who are incarcerated, prison rape is a rampant, horrifying problem that destroys lives.

Speaker 11:         16:16          Okay?

Speaker 2:          16:16          Each year, over 200,000 people are raped or sexually assaulted while in prison in the United States.

Speaker 2:          16:26          It is important to remember that just like on the outside, sexual assault in prison should not be confused with consensual sex between prisoners. Do you know what they do to soft, bald, overweight Republican's in prison? Earnest. While the vast majority of the comedy we've been looking at invokes the rape of straight men. In reality, it's queer and transgender prisoners who are most likely to be the targets of sexual assault in prison. Many prison rape jokes also carry with them some explicit racist overtones. It's no accident that punchlines regularly involved white men being threatened with rape by a big scary black man. So I've got new volunteer, Huh?

Speaker 10:         17:13          Well, let me tell you cupcakes. What's your first day?

Speaker 2:          17:20          It don't expect no flowers afterwards. Scenes like this one are built around the racist idea that black men are more brutal, aggressive or predatory than other men, and that therefore it's black men specifically who pose a special threat to white men's masculinity. So it was a beautiful white boy like you doing in place like this. Terry crews, his story about being sexually assaulted is so powerful because it that scary, intimidating black man narrative. Before his personal evolution, some of those scary characters were even played by cruise himself to see him now choosing to speak up and be publicly vulnerable challenges those racist media myths about black masculinity.

Speaker 12:         18:06          When my assault happened, quite honestly, uh, I probably would have been laughed out of the police station.

Speaker 2:          18:20          It's not unusual for police officers or other authority figures to be shown engaging in forms of dark comedy that involve the sexual violation of men procedural style dramas in particular, frequently to pick law enforcement officials, threatening male suspects with rape as a way to get them to talk. Do you have any idea what it's like in sing sing for a guy with your limitations? You're going to be the poster boy for bitch of the month. When are you not getting the dice?

Speaker 4:          18:53          Nope. It's how it goes. She's selling rolls the dice. Nah, it's made days. You get to play his girlfriend. Prison guard isn't an inmate. I hear. They make you prom queen and every night is prom night. You talk now and we'll make sure you're not putting him with the general population. When I get it

Speaker 2:          19:10          to see the look of love and a meat wranglers, I had a damn make some spoiled rich kid is no celly.

Speaker 4:          19:15          Look on the bright side. In prison, you want to have to pay for dates.

Speaker 2:          19:20          Writers seem to love these extra judicial taunts and use them as a source of Shodan. Freud out

Speaker 4:          19:26          shot him. Freud, it's German. But when you feel good because your enemies anus has been violated,

Speaker 2:          19:34          the quips are designed to elicit a satisfied snicker from viewers at seeing the bad guys

Speaker 4:          19:39          square. It's up. Could be started at felony or you could be shared. So this filler rod here, you'd like that. Would you see there? You're already making friends.

Speaker 2:          19:50          For some reason, Denzel Washington has a lot of dialogue to this effect in his filmography.

Speaker 12:         19:55          This time next week I'll be sucking down Pina coladas and a hot tub with six girls named amber and Tiffany, more likely

Speaker 13:         20:02          taking a shower with two guys named Jamal and Hey Susan, if you know what I mean? And here's the bad news. The thing is sucking on, it's not a Pina Colada. You better have some divine intervention, buddy. You better have some k y you're going to need

Speaker 4:          20:22          you a term of no less than four years in a federal prison.

Speaker 2:          20:28          So why does this matter? Well, the harsh reality is that rape is one of the unofficial but widely sanctioned ways that criminal justice institutions punish undesirable prisoners, especially Queer men, trans folks, and people with mental disabilities. You know, do you know what this means? Don't you

Speaker 2:          20:53          make no mistake? The powers that be allow prison rape to happen sometimes too passive facilitation and other times through direct participation. It's part of how the prison system maintains control over men's bodies and sexualities while they're incarcerated. There's just one of the thing I've got to check. The type of police brutality as comedy that we've been talking about here isn't designed to critique or aluminate the widespread of uses of law enforcement. Even when police officers are shown as humorously and competent, the jokes are still made at the expense of those being victimized by and large audiences except these sadistic punchlines because of who the rape threats are directed at. You know what happens? Pretty boys like you go up to the farm, low stage charges. We look at that. I've got some 11 as long as it's criminal suspects being victimized and likable, authority figures doing the victimizing, then it's widely seen as criminals getting what they deserve.

Speaker 4:          22:08          You want to know about anarchy. You don't tell me what another bone is going to make sure he's been your prison time when you're big and it has a nice big smile on some context here,

Speaker 2:          22:17          what he say and tell the whole story. I'll try new ways to be an entrance. I don't know. Brothers inside of till your guts up, fucking you stupid. When it's a cop drama. The lead characters are generally presented, has tough guys for occasionally tough gals who are being tough on crime.

Speaker 8:          22:37          He comes for you middle of the night when you're least expecting it, you do me a favor.

Speaker 2:          22:46          This is often referred to as reciprocal punishment or Karmic justice.

Speaker 4:          22:52          Nice petite white boy like you, the federal penitentiary. I, let me just put it this way. I don't think you'll be able to remain anal retentive for very long.

Speaker 2:          23:01          It's a morally a parent, but widely accepted idea. Best encapsulated by the idiom. An eye for an eye, a tooth for tooth. Don't you feel kind of bad for them? Sure. I feel lousy for her. He's a murderer and he should pay for it with this life. No. He should be doing 60 years in a prison, breaking rocks and making special friends with Roscoe, the weightlifter. Yikes. The quality of mercy is not Buffy. Sometimes these karmic rape plot lines involved villains being sexually assaulted

Speaker 4:          23:31          with a weapon

Speaker 2:          23:35          or alternatively raped by a large male animal. The word for this is injustice. The word for it, his revenge. You know where you're going. This crew, people in a very uncomfortable place. Now, it should go without saying that rape can never ever be a form of justice. When media frames the sexual assault of men, even bad men as getting what they deserve, it perpetuates a culture of rape. Acceptance. Pinos not some penis means you could go to jail. Where are you could get some pain.

Speaker 3:          24:19          Yes.

Speaker 2:          24:21          It also makes prison rape seem inevitable, which it's not. There are solutions to the prison rape epidemic, namely keep people out of prison, which means working towards mass d incarceration through a combination of decriminalization and a focus on education and rehabilitation programs instead of locking people up. But with every casual prison rape joke, it makes those goals more difficult to achieve.

Speaker 3:          24:52          I'm trying to talk about sexual assault. It's not like that's a new topic in comedy without a rape drugs forever, but it's just like those jokes have usually been like, that's the full joke in an audience, because that's a taboo word will have a response. None that comic. We'll hear that response. Ooh, I have done a good joke

Speaker 2:          25:15          as comedians like Cameron Esposito and Lindy West have pointed out, it is possible to tell jokes about rape from a survivor's perspective where the punchlines target rave culture. But that's not what's happening in the movies and TV shows we've been looking at here. Oh, oh no, no, no, no, no. I'm, I'm actually getting married as we've seen again and again. The targets of these jokes are the victims of sexual assault and harassment. You're ready cause they're here. What cubs.

Speaker 3:          25:48          Oh.

Speaker 2:          25:53          Which is why when actors, writers or directors try to defend this type of comedy from criticism, there are arguments. Don't hold any water.

Speaker 14:         26:01          Anytime you're doing any comedy, somebody is going to do somebody who's going to go, go do, do the face. Oh my word. But that's kind of what we do. We provoke, we prod, we, we, we also show a mirror up to what's already existing out there. You know,

Speaker 2:          26:19          the idea that these comedians are somehow bravely pushing boundaries or fearlessly transgressing taboos by telling prison rape jokes. He is pure self delusion. So now he comes, God wants to rub your face. Ha, I liked his hair. He's breathing on you. That's disgusting. But guess what? You can look forward to 10 years of it. When Will Ferrell or Kevin Hart or Adam Sandler or any other famous comedian amplifies dismissive and toxic ideas about rape in their comedy routines. It's not meant to raise awareness and it's certainly not designed to hold up a mirror and give voice to rape survivors. Let me guess. You drop the soap, please take that out of my ass. They're acting out these rape jokes because it's an easy way to get cheap laughs, Charlie. And the price of those laughs is the further trivialization of rape in a culture that already doesn't take survivors serious things.

Speaker 15:         27:18          Okay, so you were violated by two people while you are under the gas. So what?

Speaker 3:          27:26          Yes,

Speaker 15:         27:27          single.

Speaker 2:          27:28          Well, at the same time as we've talked about reinforcing a whole bunch of aggressive ways of thinking around race, masculinity, sexuality, and criminal justice. Beyond that, these jokes also give people permission to continue silencing and shaming survivors. Brian, if you don't mind, we'll start thinking up by prison rape jokes immediately. If Hollywood writers and Comedians really want to break taboos and push boundaries, they could try treating survivors of sexual assault with a measure of dignity and empathy because that would be a guaranteed way to shock their audience.

Speaker 2:          28:11          Thanks for watching. Now I know this can be a difficult and intense topic, so I've left a bunch of resources and additional information in the text below this video. I want to thank all of my scripted visors for their invaluable feedback in writing this episode, especially Reverend Jason Liden, who founded an organization called black and pink, which is dedicated to supporting queer prisoners. You can find that link in the description below as well. In part two of this discussion, we'll shift focus and talk about media where women assaulting men is played for laughs. If you'd like to support my video series, you can do that over on Patrion and I've left a link to paypal in the description below. See you next time.
