Speaker 1:          00:00:01       Let's do it for
Speaker 3:          00:03:46       And tell approached me. They're saying, hey, I had this idea for a restaurant I'd really like to beat you, know, you to be involved. And I said, say no more, just tell me what you need. Because I do think before of a weird thing to approach someone with a man thinking about open up a restaurant. Yeah, I need this drummer. Yeah, right. No, I think he was just reaching out to friends and family because he was, he was oprah's chef and he was ellen degeneres chef and he was all these like, you know, really high profile people is Vegan chef when they would, you know, do a Vegan diet for however long. Some, some forever, some just like a two week thing. But uh, I think he just got to the point where he wants to do something for himself. And then crossroads was born and I knew how good he was.

Speaker 3:          00:04:32       So I just told him, say no more, tell me what you need from me and I'm there. And then it just, you know, I think it's been five years now. Well it's got a fantastic reputation. I know a bunch of people that have eaten there and they love it. Well it's not because of me, it's because of talent is food for sure. Yeah. Talents. Scott, the Sh, the chefs that are just, you know, the best know how hands on were you in the, were you just one of the people promoting it? Like how hands on were you with the construction of it or nothing with like the decor or anything. He would run stuff by us like hey check this out, tell us what you guys think of this. As you know there's basically menus change every season so it's not the same menu all year long.

Speaker 3:          00:05:12       So as we prepare for the next season's menu, he's like testing it on us, the, you know, the season prior. So he'll be bringing out dishes and, and letting us try it. But yeah, he curates the whole thing. That's interesting. So when he gets his food, when he's preparing his food, is he getting his stuff directly from farmers? Like how, how is he getting his food? Yeah, directly from farms. Yeah. So he has to curate these relationships with these farmers and just like go visit them and find out how they're growing their food. Yeah. And, and you know, you'll be all set with a menu if it's fall, but then those same vegetables aren't in season so he has to rethink everything for the next season and not kinda repeat himself. So he really, he's really got it down to a science. And how long has he been Vegan for? I don't know how long.

Speaker 3:          00:05:59       Tasmin Vegan. I've never really asked because it's got to be incredibly difficult to be a Vegan chef. I would imagine being a regular chef was difficult. But when you put all those restrictions, you know, and just have to make things taste interesting and different and yeah, I think that's where chef Scott comes in because he's actually comes from a meat background. So he was working at Italian restaurants in Italian, Mediterranean restaurants that cooked everything. So it was infusing this Vegan obviously like lifestyle of eating with, you know, chef Scott's tastes as well, so I think he had to think that out to where it would appeal in and mediators would eat there too and not really notice a difference because I agree, you know, sometimes I'll be on tour and you go to a Vegan spot and I'll take my bus driver ran or my, whoever's traveling at me and they're like, oh man, this is rough.

Speaker 3:          00:06:49       You know, like they can't stand it. Crossroads is not one of those spots where you're thinking about like, man, I might not enjoy this meal. There's some good spots in la. Has some great spots you ever go to follow your heart in the valley all the time. Great spot. Yeah. That's the spot. Close to home that I love. Like follow your heart. A shout out to Erewhon. Erewhon has like good vegan options. A Chef Ito who has a spot in downtown called Allach who took a vow of silence 22 years ago. Yeah. Well a special man. Yeah. Twenty two years ago took a Valla silence. And these done. No more talking. No more talking. What in the fuck is that about? Yeah. So he just communicates if, if he has a lot to say or write it down, but you just read the lips and I know what he's saying.

Speaker 3:          00:07:34       But he, he shows up to. Oh, that's so crazy. Yeah. He takes a lot of photos so he'll show up to like punk or rap, whatever, whatever show I'm playing. He's in the pit with this camera, this silent guy who doesn't say a word and it's his cooking is phenomenal. So. But yeah, La, we're spoiled with great. Great being in restaurants. That's a fucking trip. Twenty two years of no talking. Yeah. He also does like this juicing where this year he juiced for 189 days with no food. Wow. What did we get down to? I think he was. Yeah, he lost about 20 something pounds. Fuck yeah, he does it every year. Wow. Yeah. He's trying to vanish, right? Let's try to not talk. I don't think I could do it. Intermittent fasting is like as much as I can do. Yeah, I do that every night, but that's the vowel sciences frequently that silence is freaking me out. Yeah. He and I, I've never really pried and kind of like asked a bunch of questions. Why? Because they even have to write a lot. Yeah, that too, but no, I've been around when people ask him, he just said he wanted a time out for 22 years. Yeah, that's a serious fucking time. I don't know how old his homeboy. He's got to be probably in his fifties, so almost half his life. Yeah, what the fuck man. But he spends Christmas with me, spend Thanksgiving with my family and I. Oh, that's cool.

Speaker 2:          00:08:56       Everybody just smiles at them. Yeah, everyone just smiles and waves. Basically. He'd be a good guy to sit next to someone who's on coke. Totally. They would just talk his ear off. He just be sitting there all silent night, blah, blah, blah. Fuck man. That is. I've never even heard of anything like that. Does he make any noises? You Whistle? No. I've heard him snort one time when he was laughing so hard, but that was about as close as it gets, so he doesn't laugh out loud like, ha ha, ha ha, wow. Nothing terrible comedy club audience member. Yeah, it would be rough.

Speaker 2:          00:09:32       He has a march to. It's called March of silence. That happens once a year where you have a bunch of them that basically, you know, that are basically marching for the march of silence for like the cruelty of animals and whatever else. So I like to have him on the podcast to see how long you talked to them for. Yeah, just to see what, what it would be like. That's so strange. It sounds cool. I love that there's people like that out there though. I do. I love hearing those stories like the world needs him. You know, like when you said that I got excited and the guy has been salvatore. I'm like, Whoa, you know, there's something about that. It makes you go wow. I was talking Hella loud when I first met him and he was like, I can hear you, you know, because it was trying to wrap my head around, you know, no one did an introduction going, hey, this guy's silent.

Speaker 2:          00:10:20       Oh, they didn't tell you? No, I had no idea. So I'm talking really loud and he like, he like just whispers to me like mouse to me. I can hear you. And I was like, okay. Then I just figured out over time. Wow. Silent by choice. Who? Yeah, that's heavy. What is he involved? Like heavy meditation or Buddhism or anything very strange like that? Yeah, he meditates. I think he has like a lot of kind of Buddhist, a kind of qualities like kind of. I think he, if he had to lean in some kind of religion or practice, it would be that. Wow. Yeah, that's intense. That's a serious commitment, man. I couldn't even imagine going 22 days without talking a day I think. Any, any, anything? I think we'd catch ourselves. It being very hard. I was going to get my tonsils and adenoids removed because I have sleep apnea because I have a fat neck.

Speaker 2:          00:11:16       But uh, I found a mouthpiece that I couldn't sleep with that keeps my tongue from falling over because I have a. When when your neck is thick, your wind hole is smaller believer, not because the more muscle you put it in the small year your whole gets. And then if you have a big tongue when you lay back, you can actually block your airway. Wow. Yeah. And so friends that I know have had their adenoids, their tonsils removed, and they actually take some of the soft tissue out of your, your passageway so you can breathe easier. But the problem is you can't talk for like seven days. Oh yeah. That would probably be real for. You may wonder if wide neck, you know,

Speaker 3:          00:11:54       like the, the, the, the Internet phenomenon has the same problem. I get like I must sleep terrible. Yeah. His neck starts up here. It's crazy. As next starts at the top of his ears and works its way to his shoulders. Tonsils out is a, uh, it's a bum out. I did that. Did you, did you have taught politeness or now you knew what I had is I had, I was smoking tons of weed. Right. But I would smoke backwards, like I love the woods. So yeah, everything is right here. I got them right here. Yeah. So I'd smoke about 20, 20 backwards a day. Yeah. And I was recording an album with the transplants and I turned to skinhead rob and I was like, Yo, I think I think I have something like something's lodged in my throat, like I could barely breathe right now.

Speaker 3:          00:12:41       And um, kept smoking, didn't even, you know, didn't I didn't really know what was going on. And then I went to the hospital that night and they rushed me to another hospital to get my tonsils removed because they were like twice the size of they should be. And then I had a throat infection and then it comes to find out I had what's called the bear to soft goods, which is like precancer lining my esophagus from smoking and I don't know, I guess just abuse over the years. So that was, that's what led to my tonsils being pulled out. These are serious, like when you think about this, like you probably shouldn't smoke too many of those because it's just plain tobacco. I love, I love them though. It got to the point where I couldn't smoke joints. I couldn't smoke out of a bong a pipe.

Speaker 3:          00:13:25       It had to be a backward. That's where I am. Yeah, that's part of it. I like them. Did you ever smoke cigarettes? No. Cio date. I smoked a lot of cigarettes and then I quit smoking cigarettes. Just smoked weed and then I discovered backwoods and I was kinda getting a little bit of both. Still getting the tobacco that I missed. Um, but yeah, yeah. My friend already said that he started smoking spliffs in England, you know, and when he was over in the UK, the next, the weed with tobacco and he got totally hooked on tobacco again because he had quit cigarettes for years and then he started smoking the weed mixed with tobacco and before he knew it he was smoking cigarettes again. Yeah. So he smoked while he was over there and then he quit soon as he was done. And then came back to you.

Speaker 3:          00:14:07       US? Yeah. I feel like they just started smoking. Just pure weed over there, Jeffrey bearish for years. It was both. Yeah. I don't understand that. Like, how'd that, how'd that work out over there? Yeah. So illegal over there too. It's like Jesus fucking Christ. It's 2019 fellows times when I used to fly over there we'd have to take tons of wheat to our nuts just, just to be able to. And in our road cases just so we could smoke over there because they had dirt, weed, you know, it was horrible. We'd. But yeah, it was a pain in the ass. It's fucking dangerous bringing that stuff overseas though. If you get arrested. That's. That's serious. Yeah. I brought it aside. Bring it everywhere like that. And we went to tape a gaff tape. Jesus man, like you teared up the first layer of your nuts off when you go to grab your weed.

Speaker 3:          00:14:56       But yeah, we would do that. And then it's a commitment though. Yeah, I actually brought it. I made the big mistake of not bringing a bunch, but I got to Iraq. We went to Iraq for like right when the war broke out. What was it? Like 2003 or 2004 and we were over there and, and a scandalous Esteban oil, the photographer, he's over there with us documenting the whole thing and I pull it out because we're at this airport and ball rain, but I feel like it's a field and no one's going to mess with us. And he's like, hey bro, look, look at, look at the back of your fucking passport. Look what it says. And it says right there, like, you're basically like they'll kill you if they, if they find, you know. You brought any drugs and direct or you know where we were a ball rain, so I did away with everything and I just kind of took up drinking and I'm not really much of a drinker but do you still smoke weed?

Speaker 3:          00:15:47       I don't know. I have a friend who's like a dear friend is like a cool, like young doctor named Dr B in San Diego and I called them. He actually removed my, my tonsils and then like a week later I found out I had what was called precancer Barrett's esophagus. I said, what does this mean Dr [inaudible] should I just like, Kinda like, Kinda like toned down like how much I'm smoking? And he's like, no, this means this is your warning shot. Like pay attention, stop smoking esophageal cancers. A rough one to killed Christopher hitchins. Really? Yeah, that's a, that's a rough one. That kills a lot of fucking people. Once you get it and you're gone, I think it kills. Like think hitch said like 95 percent of the people get it now. Yeah. So I felt like he, he's always pretty honest with me and I just stopped.

Speaker 3:          00:16:36       Like I love CBD. That's pretty much what I mess with now. But that's all. Do you find a lot of people use cbd and they fund that? It alleviates anxiety and let them sleep better. Do you find that? Yeah, as long as I take like triple or quadruple the amount that it says to take on the bottle because I feel like what I take, if I take what the proper dosages, it doesn't do much, but I'm one of those people whose minds racing constantly. I'll get home from the studio at one or two and I'm just like kind of like figuring out how long I got to sleep before I get to wake up my kids and go to school and I just sat there with my wheels spinning and less. I use cbd and then that kind of helps. And then I had. I have what's called trigeminal neuralgia.

Speaker 3:          00:17:20       Have you ever heard of that? No. Oh, it's the fucking worst. It's called the suicide disease because basically all of your nerves in your face or firing all at the same time, so it almost feels like what you feel when you think you need a root canal or you have like a tooth that's messed up, but I got trigeminal Neuralgia and I've only had four episodes, but when I do get it, I use cbd and it. It's been amazing, but if you look it up, a lot of people go actually go to a dentist, get a bunch of root canals done that they don't need or they don't know how to treat it, and usually people kill themselves. Whoa. Yeah. It's gnarly. I didn't really know about it. I just was home with Dan. I was like, what the fuck? Like my face is burning. It's miserable

Speaker 4:          00:18:05       pain condition that affects the trigeminal nerve, which carries a sensation for your face to your brain. If you have trigeminal Neuralgia, even mild stimulation of your face, such as from brushing your teeth or putting on makeup may trigger a jolt of excruciating pain. Holy Shit Man. What is the cause? What causes that?

Speaker 3:          00:18:24       All different things they thought like mine, I maybe got mind from impact, like from my accident and then maybe little sparring that I've done has, has triggered it. Also dental, when I get dental work done, it triggers it so. But the CBD stops it cbd in it. If it's really bad, there's um, this medication called Gabba Pinton. Uh, and I feel like that's been a real great way to kind of mask the pain. And what once the Gabapentin calms the nerves kind of duds the nerve. Twenty four, 48 hours it's gone. If it's a really bad episode of it's not so bad,

Speaker 4:          00:19:02       it just keeps it away. Well, they see that a lot of nerve diseases are inflammation caused. So sometimes like if you change your diet, you can, you can smooth some of those out, like lower the sugar intake and some of the other things that might be causing inflammation. Did they give you any advice like that

Speaker 3:          00:19:19       now, but around the same time I figured out I was allergic to gluten, which I really thought was horse shit, whatever. I was like, yeah, right, okay. Yeah, we need to be gluten free. Um, then I tried it and the doctor I had seen said, well you really got to try it though. You got to commit 100 percent, you got to give it at least like two to three weeks and see how you feel. And I did it and it was a game changer. Like I felt normal. Whereas I'd have a lot of ups and downs depending on what I was eating and I'm still eating clean at the time I was still eating Vegan, I'm eating, you know, whatever. But a lot of a lot of us can't digest or, or kind of our bodies can absorb the gluten.

Speaker 4:          00:19:58       Yeah, well it's. Have you ever had pasta in Europe? It's very different. Oh yeah. So much shit in ours, you know, so much. Well it's the Maynard Maynard Keenan from tool. He explained it to you because you know he runs in Austria in Arizona. I didn't know that. Yeah, he's, he's the guy's a fucking wizard man. He's got his own winery runs in Austria, but he said that when we subsequently looked it up after he told me this in the, uh, early turn of the century when they were growing wheat, they experimented and change the wheat to make it more dense so that you could get more yield out of an acre. And so by doing that they changed what, how your body processes it and is more complex gluten's in like a stock of wheat, like an old old timey wheat like you would get like in Italy or France or something like that.

Speaker 4:          00:20:48       It's a different wheat. It looks different. It's a much more scrawny looking plant. And so if they had an acre that you don't get nearly as much wheat. And so in America we said, well, boogers boater and we made it bigger and better and thicker and your body has a much harder time processing it. And that's why people get so much inflammation and leaky gut and all these different ailments that people get from bread and pasta in this country. It's because of this much more complex. We. But I buy pasta overseas. I buy this, I'm God dammit. I'll say the name of it. It's I, I found out about it in Italy that they sell it in America. Just for that reason. Yeah, because I can eat it and if I want pasta, it's not that disgusting. I'm fine. I love Pasta. I do too, but it's just, it's something that I've found if I eat a lot of it just fucks me so I have to make sure that I don't.

Speaker 4:          00:21:42       Let me find it real quick and I'll pull up the name of it and I felt like leaky gut, it was like a hoax. I was like, what are you talking about? I've never even heard about this, but I feel like it's legit and they're spot on about that. It's called Morelli, Morelli Spaghetti and it's from Italy and the type of wheat that they use, it's a very different type of wheat I get. It tastes different. It doesn't blow you up as much. It's A. I think somebody explained it to me like what kind of wheat you're looking for, but what I found is that I've tried the gluten free pasta and it's like, you know what I like better than gluten free pasta, Spaghetti squash, spaghetti squash with Marinara sauce. It's fucking delicious. And I actually sometimes like it better than pasta, but um, they sell that at Erewhon all the time in the hot part.

Speaker 4:          00:22:32       It's spaghetti squash is outstanding. Yeah. And it's guilt free, you know, you can eat it. You, you're not thinking you're bloating yourself up. Yeah. But we've ruined pasta. We ruined ruined pot. But you know, it gives you that feeling, you know, that feeling you get after you eat a lot of it, like, oh, that's what that is. Or your body's like, what the fuck am I doing with this? Yeah, you're immediately tired loaded. But if you eat an Italy, you don't get that feeling and you look at those people over there, they're not fat. It's weird. It's true. Yeah. They're walking around all over the place and they're eating pasta and Europe. Everyone's walking or riding bikes. Yeah. Americans. Well, that's the thing about France to France, when they're eating those baguettes, they're, they're eating it with this very rich butter that's like a grass fed butter. It's a dark yellow butter, so it's very high fat content. It's got a lot of essential fatty acids in it just you're just getting in. It's a different kind of bread to and meanwhile they're not fat and they're drinking one and they're not fat. Like it doesn't make any sense. Yeah, agreed. Standard American Diet. It's just fucked up, but I've always wanted to ask you that about like the drumming because I mean everything that I do

Speaker 2:          00:23:46       like everything repetitive, whether it's boxing or even archery. A lot of people get injuries and archery just from repetitive stress from just pulling the bow back over and over again. I'm like, God Damn Travis, this, your whole fucking thing is repetitive. It's like I see you every time I see like my, my shoulders hurt,

Speaker 3:          00:24:04       my elbows hurt. Now I'm in my first week hurts. My first week sucks. Like on tour, really like getting acclimated because even practice rehearsals are not a show. It's just a different intensity. But, but yeah, as long as I trained for it, I'm cool, I kinda like boxing has helped so much and I don't box because I think I'm a tough guy or I think I can beat people's asses or whatever. It's really just for functionality, like so I can play the drums the way I want to say. And I started doing it for that reason. Well No, I started when I knew my son was being born, like when my girlfriend at the time was pregnant, I woke up that morning, I ran to the freeway and back like twice and then I wouldn't found a boxing gym. I walked into 10 goose. I actually walked into John Prays who used to be Tyson sparring partner, um, and it was like 2005 to 2003.

Speaker 3:          00:24:59       And then I started boxing. I just walked into 10 goose and I, I started jump roping and hitting pads and I don't know, I just had this urge to want to like box and be better. That's so interesting. Like just knowing that you were going to be a dad, I just wanted it to be better. I wanted like, immediately I just thought to myself I wanted a lifestyle change, I needed to evolve and I needed to know how to protect this little human I was bringing into the world and I knew I needed to change my lifestyle because I was

Speaker 2:          00:25:31       kind of out of control. Wow. It's an amazing thing that happens to you when you become a father. It's a weird switch that goes off in your brain that you can't really describe to people that don't have kids. Yeah. And it's even weirder when the switch doesn't go off. So like, you know, you see people who are horrible father's parents and I just don't get like, how didn't, how did that switch turned on for you? You know, how like the ones who don't want to be around the kids freaked me out the most. Yeah. They just don't want to be. They just want to be away all the time. I just, I don't get it. I don't know why.

Speaker 3:          00:26:06       Yeah, I couldn't imagine. But yeah. And now I love boxing. Like it's one of my favorite things to do. I've been doing Muay Thai a little bit more because I can kind of save my hands because it's not good on my hands in any way, shape, perform.

Speaker 2:          00:26:18       How so? Just the impact over and over. Do you feel professionally wrapped? You get umbrella correctly, but it still bothers my knuckles hurt. Really? Yeah. Are you using big heavy gloves? Yeah. What a one ounce gloves are you using? I think there are 14 ounce. Maybe she'd switch to like 18 or 20. Yeah. Get a thicker padding in the front. It'll protect your knuckles better and it even gives you a better workout really because you're pushing more weight. A little heavier.

Speaker 4:          00:26:44       Yeah. Pushing more weight and you'll have more, more impact. But another thing I would say is, um, get a bag. That's a water bag. Water bags are fantastic. Have you ever seen those before? I've seen him at the gym. You get awesome fucking dig into those things and it's, it's minimal impact, but you still pushing the same amount of weight, you know, through throwing the punches. You can still explode at the same amount of force, but you know, you're sinking into that bag. And so a lot of people with tendinitis find that that's a way better option is another. Um, uh, I have two bags out there. One of them's a fair tax bag and fair texts makes it's a Moitai bag, but it's softer. And the other one's a monster bag. The monster bags are really hard, dense, dense as fuck. So I like the combination of the two, but the fair one is good.

Speaker 4:          00:27:31       If I'm injured, if like my shoulder's bothering me or something like that, I can dig into that bag and it's not going to have the same jolt is hitting something solid and hard. So if you're having problems with your hands, that's what I would say. Another thing you can do is they make wraps that are gel wraps. You slide them on your hand, almost like a glove. Yeah, that's what he just told me about as I trained with. Yeah, those are great. Yeah. And then that on top of the heavier glove, I bet it'll stop all the hand stuff. Yeah.

Speaker 3:          00:27:57       I'm going to try that. Yeah, he just told me about that. That'll protect my knuckles a little bit more because I find if I lift weights I never get big. Like I never look big, but I feel kind of stiff and just slow. It's the worst feeling ever and I did it one time right before tour I had, I was living in Cheviot hills for a little while and I was working out at a gym over there and it was all bodybuilder guys and I would train with one just to like be pushed and I got behind my kit and it was the worst feeling ever. The worst. I felt like it was in slow motion, so I figured out like I need to train how I want to move when I'm actually playing the drums.

Speaker 4:          00:28:33       Weightlifting is fine, but you have to do it lightly. The thing about weightlifting is people want to do it to failure all the time. You know, do 10 sets of this and five sets of that and go to failure every time. Come on, push, push, push, push. Don't do that. You shouldn't do that. I subscribed to the Pavel Tat Salini method. He's a famous Russian Kettlebell instructor and his philosophy is that you should do more sets but less repetition. So like say if you could do a weight and you could lift it 10 times, don't lift at 10 times lived at five. He lifted 10 bucks going on my voice. All this talk about esophageal cancer. My Voice is rebelling, but if you say if you could lift something 10 times, lifted five times and just do more sets and give yourself a lot of time in between sets because if you're training for strength, you can do certain things like kettlebells and specific where it's strength but it's also endurance.

Speaker 4:          00:29:32       But really if you just want to do strength, the best way to do it is to do a short set of a few repetitions and then do multiple versions of that. Like take a long time off like five, 10 minutes and then do another five reps, five, 10 minutes, do another five reps and then do it again in a couple of days and then do it again instead of like once a week where you just blow your body out and then you're like, ah. That feeling where you can barely move. That's terrible. It's not a smart way because you don't recover as well.

Speaker 3:          00:30:01       Yeah. And you ended up getting hurt or having to take a day off. You know, what I started doing was with this one trainer named Don, we figured out kind of like a metronome workout. So you're actually like a tempo workout where you're training to a tempo so you have to do high reps, like you know, you'll stay to a minute and maybe the tempo is like, you know what I mean? So whatever. Even if it's quick and you're not doing everything like exactly technique wise, really slow and you know, it's, it's kind of like making sure you stay up with the tempo, which I feel like really helped me with staying quick and fast with drums and more endurance, you know?

Speaker 4:          00:30:38       Yeah. That makes sense. Like his drumming a young man's game. I mean, is it like athletics where as you get older, drummer slowdown?

Speaker 3:          00:30:47       I don't know. I haven't. I played just as wild as I did back in the day. And how old, you know, 43. You look great. Thank you. Don't look 43. Yeah. Max Weinberg told me one time he was, he watched me play and he was like at a show or blink played and he's like, I don't know how much longer you can play. Like that real hard dude. He's like, you're going to need back surgery. You play like you rabies. Just smashing the fucking drums. So knock on wood, nothing has changed and I've just a play exactly how I always have, you know. Um, I don't even want to think about a day where I have to play any different. Sure. It'll come. But do you get massages? Yes. That'll help. Yeah. Massages, epson salt baths.

Speaker 4:          00:31:29       That's where the tank comes in. Play, man. That thing looks amazing. The tank is all epsom salts. Look at you dude. You're fucking crazy when you watch that. I watch you play. And I would just go, how the fuck is this guy? Maintain this pace because everybody drums differently. You know? I mean, it's really interesting to watch people's different. Especially my friend bill burr really got into drumming and uh, you know, he's, he's really into it and I like watching them play and it's, it's interesting to see someone take something up and get better and take lessons and learn it. But the thing that really strikes me is how many repetitions are involved. Like as you're doing this, like the, the amount of times you're hitting these drums is fucking insanity.

Speaker 3:          00:32:13       You got to pace yourself. If it's a two hour set, I know like, oh, this is a verse of the song. I can kind of. This is not a big, big part, you know, you can kind of show, but it's like around, you know, if you're doing around, look up at the clock and you realize, Oh wow, I still have two minutes left, we'll pace yourself and you know what I mean? Yeah. That's kind of how I approached shows, but. But the goal is to train so much before you even get on tour that you're not even having to think about that. You're just playing the show exactly how you want to play. It's almost, I imagine it's like that with fighting where you envision what you want to do in your head and you're in the shape and you know the technique to execute.

Speaker 3:          00:32:50       You don't have to think about our like, oh, I can't do that. I'm not. I didn't practice that enough. I'd like to be able to just do whatever I'm feeling and not be like, Oh shit, I don't know how to do that or I'm going to get tired if I do that. I don't want that to happen. You know? So that's the goal. It's just being able to execute what you have. The idea in your head won't musicians have to have discipline because you have to practice. It's one of the things that makes you guys so unique in the entertainment world. It's like, I mean, I guess maybe actress have to practice standup comedians. We only practice in front of an audience, but you guys have to fucking practice. We don't go through your show before you go out. Now I write, I write and I listened to recordings of old sets, but I don't like to sit in front of a mirror goal.

Speaker 3:          00:33:39       Hey folks. Yeah, don't do that. I don't know anybody because it would feel so weird when you go up to do it. It would feel rehearsed, right? Yeah. That's the last thing you want. You got to be in the moment. Same thing happens with a. If you practice too much as a band and the ego, try to play those songs and act like you're having fun. That happens. So I try to practice a lot on my own and I'm not even practicing those songs. Just kind of just drill. You know, like Sam Kinison used to have a joke about the beach boys about, uh, they're, they're going out there playing a wish. They could all be California girls again, like Jesus fucking Christ. Whereas like it becomes a job that you don't want, that you want it to be fresh and exciting and you want it to be something that you're really in the moment and really thinking about.

Speaker 3:          00:34:23       So I make up new shit on the spot too. That's the best is I just make up new fills or just try to reinvent the songs to the point where even like Marco looked back at me and be like, whatever, like that's the best, you know, just kind of freaking it on the fly and even to the crowd it's like, whoa. That's cool. You haven't heard that before. So that's like after two or three months of being on tour, you do stuff like that. Yeah. When you get off tour, do you consciously give yourself arrest? No, I'm busier at home than I am on tour on tour. So lavish man like you have, you have someone saying, I mean you do have people kind of waiting on you hand and foot somewhat, you know, like a catering, you know, ready if you want to eat or hey you got to go do an interview 30 minutes before you go onstage, a cars outside waiting for you after the show, taking you to the hotel.

Speaker 3:          00:35:17       So that doesn't happen at home and at home I do so many other things besides playing the band. Like I produced a bunch of rap artists. Um, I have crossroads, I've clothing companies, I have three kids. It's way busier at home. Tourists, tourists. A vacation. That's interesting. Yeah, for me. Wow. Because I don't know how to say no either. Mind you, I have a lot of things I love that I love doing so I can't complain and be like, Oh I hate going to the steer. I hate doing this. I love it all. I just kind of love it all so much that I have trouble saying no sometimes.

Speaker 4:          00:35:52       So when you, you're, you said you're managing or you're producing rap artists?

Speaker 3:          00:35:57       Yeah. How many? I'm like, I'm in the, I'm in the studio right now with this group called suicide boys who are awesome. They're from New Orleans and we have a eap coming out that's called a live fast die whenever and we just finished over the weekend, so, or yesterday. So it's, you know, you go in there at noon and you leave there at four in the morning every day until you're finished because they're only in town for a little while. So yeah, it takes a little bit. Um, and then like I worked on xxx temptations album, uh, before he passed away, uh, I work with like smoke per, I'm Vic Mensa, a bunch of different artists.

Speaker 4:          00:36:36       Do you like sap because it's a different genre, helps you mix it up a little bit. You're just a big rap fan is why obviously you're wearing an ice cube.

Speaker 3:          00:36:44       Sure. Yeah. I grew up, I actually listened to rap music before. This isn't any kind of music at all, like beastie boys and run DMC and public enemy in the far side and Krs one. That's what I grew up on. And then I discovered I loved metal too. I'd love to slayer and king diamond and then then I discovered a band called minor threat and the descendants and black flag and bad brains and I just liked it all. And then my dad listened to jazz music and country rebel music, so I was born in, raised on like Johnny Cash and buckles and everything so and I kinda learned to love it all and I had people around me when I was young when I was first learning how to read music that just kept embedding in my head like you got to listen to everything catches me, can just learn one thing. So I was actually taught how to play traditional jazz when I was really young and then I taught myself how to play everything else. That's fucking cool. Yeah. But that's always loved everything. That's nice.

Speaker 4:          00:37:40       You have an appreciation for all those different genres too.

Speaker 3:          00:37:43       Yeah. It'd be like if all you did was UFC commentating, you'd be like, I'm going to go crazy. Like this must be so much fun for you and all of your other endeavors. Like same thing, like if I was only making, you know, punk rock records or pop punk records or whatever it was, I think I would go insane and it's been like that for, for years, you know?

Speaker 4:          00:38:03       Yeah. I think different people. I think some people, if they're just doing like baseball commentary or something like that, they're fucking happy as shit. They love it. They just want to do that. But there's some people like you or maybe like me that they need different things. Yeah, I will go crazy.

