Speaker 1:          00:00:06       We're meeting
Speaker 2:          00:20:52       When thinking about about, uh, uh, characters, uh, here on earth and, and, and, and recalling their lives, it's always by looking at the east. It's always by looking in the light of the east. And from this point of view, Dante really retreats that most incredible metaphor that is available among the mystics, medieval mystics. And I'm thinking, or thinkers I'm thinking of even bullied. He was Casio doors. I hope they're not just names for you who think, who, who believes that you can only think that we in the West, a western in Clyde can only think by looking toward the east. That the way in which we can be orienting ourselves is by trying to capture that, the source of that light. And I mean this in the most metaphorical and as we shall see, the widest sensors, uh, possible. But that's all he's saying now.

Speaker 2:          00:21:48       But at the same time and the language, it's incredibly hard, has shifted between the first paragraph and the second paragraph that which seems to be the excitement for the light. And now he's experiencing again, it's Easter Sunday. He and he understands that it's direction. This is going to hit him very, very strongly now. Uh, but it's also an allergic. That tonality is Lhi. And the idea of what we have laws that widowed region of the Northern Hemisphere, uh, the sense of the sense of general laws, though it's a provisional privilege for him to see all this. But this indicates, it introduces that the, the, the extraordinary tension poetic pantry in purgatory, the dialectic between excitement for the future and then log for the past pilgrim is called in between and we shall see the consequences between this is zero, the level of, of, of tonality I would call it, but we shall see what this really means in a, in a moment.

Speaker 2:          00:22:53       This Dante approaches now, um, I had drawn my grade race and so on. Uh, this is lines, uh, uh, 25 when I had withdrawn my gaze from them turning to the stars, turning a little toward the other pole where the wind had already disappeared. I saw beside me an old man alone, worthy, but his looks of so great reverence that no son owes more to a father. His beard was long and stretched with white and his hair the same. Uh, double trust falling on his breast, et Cetera. This is going to be the encounter with Keto. And I want to talk about Cato. Wow. Let me just give you a real bit of, uh, extra, uh, Don Teske information. I mean, in a way this is, you probably do not know that this representation, we call it, uh, this, this, uh, the script seal of the old man with, uh, the, the, uh, with a beard or white street with whites.

Speaker 2:          00:23:56       But on two sides really is the, the paradigm, the model that, um, Michelangelo writes a Michelangelo follows in his conception of Moses, though Dante doesn't lose sight of the fact that this is Kate or just a little piece of how Michelangelo Red Michelangelo read this particular particular meeting. So who is this Keto? And Dante describes as an old man, and we also know that he's a Roman pagan fat. He's in Raleigh, a pagan. He's a man of laws. The first thing that he wonders and he says, pattern of who are you that have fled you? It's, these are, these are just, uh, are, are people who have tried to literally escaped from prison, the eternal prison against the bright scream. He said, who has guided you or who was your lantern in coming forth from profound night that holds the perpetual blackness, that valet of hair or the loss of their best?

Speaker 2:          00:25:02       Very Roman. This is the room and tradition of the law, right? How the loss of their best, in a way, this is a man, was a stranger to the world of purgatory. Strictly. It certainly doesn't seem to understand that there may have been some grace. It may be Dante and his guide that here out of some providential intervention, which has not, not to be explained by Lowe's or by natural or by the laws of nature or by Ben men. Men made laws at the loss of their business, broken or has a new decree. He wonders, been made in heaven. Uh, that being damned, you come to my clips, my leader Virgil, the two Romans talk. Now I'm for myself. Then I answered him. I'm sorry. Uh, the Nance with him or myself. I came, not a lady, be Trish recapitulation of women fair. No one descended from heaven for whose prayers a sucker.

Speaker 2:          00:25:58       This man with my companionship. But since this is a wheel to have it made more plain, how intrusive stands with us. It cannot be mine to deny. Denied. This man never saw his last hour, but by his folly was only a twit. That little time was left to run. I will send to him and have shown him all the guilty race and our purpose to show him those spirits that cleanse themselves under the I charge how I have let him would belong to tell the there descends from above virtue, which aids me in bringing him to see there and to hear the made please lead to be gracious to his coming. He goes seeking liberty, which is so c so dear as he knows who gives his life for it. And the reference is clearly to Katelyn himself who historically historical failure actually committed suicide, uh, in the civil war and refusing to take sides between, uh, Pompei and uh, uh, and, and Caesar as it's told in the great epic.

Speaker 2:          00:27:08       By looking the Roman Spanish poet who wrote the so called civil war, uh, a tax that is, uh, uh, very polemical between in between or among other things, uh, with, with, with Virgil that notice it since death for it was no bitter to the, in Utica, in North Africa where the did sleeve, the vesture, the body and which, um, in which, which is a great day, we'll be so bright. The terminally dates are not broken for us, for this man lives in minus, there's not buying me, but I'm of the circle limbo. Where are they chase the eyes of Marsha, his wife, who in her lopes still praise the holy breasts that are hold her for thy known, for her love, then do, are inclined to us, allow us to go through the seven kingdoms. I will report to her kindness if that deigned to be spoken of there below.

Speaker 2:          00:28:09       And he responds, Marsha, so please my eyes. While I was younger, he said then that whatever kindness she sought of me I did. Now that she dwells beyond the evil stream, she not move me more by the law, which was made when I came forth from thence. But if a lady, et Cetera, et Cetera, um, it, this is an amazing, uh, from insubstantial terms and amazing beginning in the poem because Dante Meets Cato, who redefines. We are being told there that he's an old man, a pagan and the suicide there traits that virtual singles out bleakly referring to his adventures and that clearly contradict the, to purgatory. Purgatory is a Christian canticle this is Easter Sunday. Why have it inaugurated by the presence of a pagan who knew nothing of the, of, of the incarnation? Why have it? It's the, it's the, it's the Rome of every new life.

Speaker 2:          00:29:16       Why started with the suicide someone who we saw what Dante thought to the suicide when in a, in a complicated way, throughout, in fair, there were a number of suicides inhabiting various aspects of various, uh, regions of hell, but especially among the Er with the violent against nature and inferno 13. And so an old man as suicide and the Pagan. Why does he do a figure that he drove out of the, the world of up of Lucas? Um, what we are told about him. This, it's usually whenever you have representation so that beyond, you always have a young man, for instance [inaudible] or is this is a kind of day, the Latin term meaning a young, uh, in the lien for instance, it's always a young man or a young woman welcoming to indicate the, the renewed life. No, the novelty, the freshness of our life.

Speaker 2:          00:30:09       Uh, you certainly don't have an old man and you certainly do not have a suicide. Now the question, the suicide is probably the easiest to, to determine cause Keto suicide. It's a suicide for freedom. And let me say a couple of things about freedom because it's, um, I call purgatory really the, um, the domain of freedom. It's really the place of freedom that he begins here explaining as it were, political but also moral state. It's a political because it's, it's, it's, it's a refusal of the disarray and chaos brought in by the war between pump brought in by the war between Pompey and Caesar. At the time of the civil war. But it is also a moral state because Cato decides to put an end to his life in a sort of sacrificial move as if to draw attention to the, that the, the, the way in which the state had been, uh, killed, had been destroyed by the rivalry between this two, uh, these two great figures who have not opposed, but they'll have a rivalry about power.

Speaker 2:          00:31:24       That freedom is the fundamental problem. It's a woman issue at me. Just say non paid wants us to think of it at, at, at the very beginning of Purgatorio in pagan intellectual terms, freedom, uh, the whole, the whole precatory ends up with a pilgrim regaining and being crowned as he'll say with the attainment of free will. So the whole poem really moves this idea of from uh, uh, Keto search for freedom, personal freedom, and the pilgrim attainment of freewill. Now there is an obvious relationship to begin with between freedom on the one hand and, and, uh, I would say the future on the other, right. Uh, the poem begins with the future and now we are going to decide what are they, what is the virtue of the future? You cannot conceive of freedom unless you have an idea of the future. You cannot con you understand that the connection between the two of you cannot conceive of a novelty unless you have an idea of the future.

Speaker 2:          00:32:25       And unless you have an idea of freedom, the notion of originality is actually even poetic. Originality is impossible unless it's tied to a certain idea of freedom. It treats you poses the more so that the attainment of freedom really means a poetic originality ideal of the future. The notion that things can be different if I am a slave to the past, if I'm a slave to a political order, if I am a slave to my own vices, internal as internalized as that quest can be, then I really have no freedom. Keto embodies one who refuses living if living means living in a state of tyranny to, uh, civil war violence and therefore to the possibility of a moral life. Okay, so that's easy to determine. That's easy to explain. I even think that the notion of the old man can be expanded. Dante wants to draw attention first of all, that somehow this search for the future, he's, it's, it's not, not an alternative to the past.

Speaker 2:          00:33:30       It grows out of the past so that we, we, he's rejecting the idea that there may be some sharp distinction between the two and that the seeds of the future I don't really contain in the past few years, such as an old man, a Cato. The third problem is the question of his being a pagan. And this brings me back to that, which is the project. Dante's project in the, in progress toward the project is that there is, he must make a careful distinction, which center Graston could not make in the city of God. Damn. We'll make it. That's his, that's Dante's, uh, target polemic or target are Gustin really distinguishes between the earthly city and the heavily city and the heavily city may live on earth, but it's really a pilgrim church going on told, uh, told the beatitude and the encounter with God. The earthly city is corrupt and in many ways, uh, not assimilable to the, the world of a, of the redemption.

Speaker 2:          00:34:32       This is, this is may if you are at another stint eons and you have very supple view of a, and may strike you as crude, but I don't think that it really, it really, uh, violates the essence of that dual idea between the earthly city and the heavenly city. Dante is literally talking against the Augustinian dualism. There is in nature that is within the pagan secular historical world. There are seeds that can become crucial for the making of the political, for the making of a new moral life that will be really consonant with not dissonant, with in a chord with the redemption and the Christian redemption that he will be actually seeking. Keep this very much in mind, a sign of this incredible tension time, the meaning of freedom, the value of the pagan world. The insistence on the secular as as a capable of producing some kind of a seed for the future emerges really in the second paragraph, wouldn't.

Speaker 2:          00:35:38       Finally a virtual tool bend, uh, to the, the harshness to temper the harshness of Keto says, look, let us go through bills. I know your wife very Italian. I know your wife and I'm going to go very back. This is to say, you know, uh, I know who you are, so do me a favor because I'll be doing that a favor. Let me go and Marsha, let Marsha. I would go there and they'll tell her what a great man you are. What a good man you are. What he's doing. He's appealing to Kato's affective memory and it is an appeal. It's a solicitation that Cato refuses. She can do nothing for me. He refuses to be determined by the past. You see the ambiguity's they're running through. Dante understands that you have to go some, the poet in the figuration understands that you cannot really have a sense of the future without being rooted in the past.

Speaker 2:          00:36:34       And then here you have Cato who can only make sharp distinctions. She can do nothing about me. I could tell you that this is a very, the appeal to Marsha, they appear to Marcia's memory for, for Cato can become also a cook is full of ironies. And I, I, I would only tell you or I will take us to too far a field. I can tell you that in effect in the history of Cato, Marsha had left, Kato had asked Taito to divorce her because she wanted to marry somebody else and that the death of the other, the other husband, Marsha asks Cato to take a bag and she will. And Dante is the accounts don't recounts this whole story in the banquet and views it as a sign of the extraordinary generosity of this man. So the th th th th there is all of that law in the, in the background of this reference to Cato, but from our point of view, then it is a question of the power of the power of memory and the limits and the limits of memory.

Speaker 2:          00:37:39       And then finally, um, uh, the, he will go home saying, giving some Mar Keto, we'll go on, uh, giving us some, some mum, uh, rules that he has to follow in the process of cleansing. You go and wash yourself from the stain of in. I, he will tell him and gird your loins. They will be there. Uh, he would mention a go to the desert of shore, uh, therefore, uh, go and, uh, uh, this is the last pattern of the dawn is the dawn song was overcoming the morning breeze, which Fred before it. So that I described far off the trembling of the sea. We made our way over the lonely plane, like one returns to the road. He is lost until he finds it seems to himself to go in vain when you were a part where the do resist the sun. And being in shade is little dispersed. My master, Jen's relate both hands out, spread on the grass. I therefore aware of his purpose reached toward him. My tear stains cheat. That's the ritual of purification, uh, which he had appealed. We must undergo. And on them. He hoarded, restore the collar, which have I did an in me, we came down on the Deseret shore that never saw men sale its waters after had experience of return. Whom are you supposed to over here? Here. What is the reference tool? Andy Buddy.

Speaker 2:          00:39:02       Absolutely. Absolutely. He makes it very clear. The Cato and your listeners out of the two pagans that he said difference, he intrudes. He in Sydney, Wade's a distinction big within the body of pagan culture. You listen to on the one hand and his own transgressive search for knowledge in the belief that it really, there is no knowledge without some suppression, which is, which is considerable and and worth would be worth considering. And on the other hand, uh, the, the, the experience of Keto himself. Now here we are here with that different at different pagan there he girded me as the other head bitten. That's a phrase that comes straight out of infinite 26 or marvel for as the lonely plant he chose such did spring up again immediately in the place of where he had parked it. So Dan has to gird himself that way.

Speaker 2:          00:39:54       Jordany man would, whenever they undertake a journey in antiquity, it all, whether this, the biblical journeyman or the Romans, the gird that they fought this Gerbil around themselves, uh, they, they, the gird their loins. It's, it's, it's, it's a moment of gone payment of, of self, right. And that, and that's the ritual he has to, to undergo. Uh, from my point of view though, the emphasis falls on the power of the natural world to the store itself because immediately, and it's an emblem of the resurrection here now, but it's still, we're still in the natural world. That is no, no element of grace nature. The, the, the plant in an inversion of what had happened in, in federal 13. Uh, the plan is, uh, is, arises again this born again, and then we'd come to Ken to, to, uh, the, the, the, the situation changes somewhat.

Speaker 2:          00:40:48       But, uh, let me just begin another point of, uh, it starts with another search for orientation. And I mean that in a, it's an easy pawn, the east, the Orient and orientation for the pilgrim. And now it becomes clearly Jerusalem and you will see the reason why it's going to be Jerusalem in a moment. Well, one reason why they didn't just say it immediately because has nothing to do with the, this has to do more with a, let's say the myth about then with the text is that hell and purgatory is at the antipodes of Jerusalem, uh, against the feet of Jerusalem. Jerusalem was known as the, the, the, the navel of the earth. And now we are in, it's in purgatory, uh, edits antipodes it's always starts already. The son had reached the horizon who's meridian circle covers Jerusalem. So Tillerson will become the point of reference with its highest Poland and night circling opposite.

Speaker 2:          00:41:47       It was issuing from the Ganges with the scales which fall from her hand when she exceeds the day, etc. I was white, the rosy Chico Federal Aurora with her increasing age where turning orange, we still beside the sea, those that ponder on the road, who go in heart and embody linger and extraordinary image of this location of being both being body and mind and the wear of a break between the two who have expectations and hopes of moving ahead. And yet they're kept in place by the heaviness of the body. And low is on the approach of morning. Mars glows or ruddy, uh, through the thick vapor. Slow in the west of the ocean floor swore appeared to me. May I see it again, a light coming so swiftly over the seat that no flight could make it match it. Speed. Uh, and here he sees a boat, a fast boat, um, bringing, carrying the souls of Penitence who, uh, reaching the banks of purgatory.

Speaker 2:          00:42:58       Uh, they're very opposite to what we saw with children's boat in how the boat of you remember of, of the sinful, uh, souls. Uh, and then an angel of gardens. And then as the divine bird came, told us more and more, he appeared brighter so that my eyes could not bear lines 38 a cast them down. Uh, and he came on the shore with a vessel source with the enlite that the water took in nothing of it on the poops too heavily steersman such as the blessedness, assuming that written upon him and more than a thousand spirits set within. And they sing a song he Nexi to Israel, the Egypt toe. So on, according to the vulgate one 13, it's the song we're in, which the Jews are remembering their exodus from the bondage, the slavery in Egypt to the, um, to Jerusalem. That's it. That's really the story.

Speaker 2:          00:44:06       This book of Exodus in Exito Israel, Egypt, you understand retrospectively that reference to Jerusalem that gives a kind of unity to the whole Canto. It's a song. It's a song that are, uh, a number of things about this. The only, the only text that Dante sites textually sites, he made references to the Bible all time. But the only text of the Bible that done through really sites literally in pigs from textual, it is always the book of Psalms, probably an acknowledgement that it's poetry. Uh, and, and that he responds to that poetry. But I spatially he does so and our only, because it's the probably the text where for the first time we have, we have a representation of subjectivity in western Western consciousness. It's the story of someone who is looking inward and finding out the diseases of, of, of self, the appetites that passion's et Cetera.

Speaker 2:          00:45:06       That may be what reasons in say is engaged in that kind of a, he himself appealed and was engaged as sort of quest. But there is another reason I believe because the psalms are basically lyrical recapitulations of the story of exodus. So that Dante's saying that exodus is the figure that the divine comedy is the lyrical representation of the story. The Biblical story of exodus that he too, that is human history is engaged in that search. A search from slavery to liberty. So, let me just pursue this a little bit from another point of view. In Canto one of Pro Victoria, we saw that the presentation of Roman political, moral liberty. Now we have an idea that the whole of history is really engaged in this exodus, a journey toward liberty, two types of liberties, a Roman one and the Jewish one which Dante wants to connect.

Speaker 2:          00:46:06       It is as if he understands that there are two traditions, both of which are based on a quest for liberty, that there is a sense of in both of them though in different ways, a sense of beginning that he must try to harmonize. He must try to explore and probe in depth. What do they mean and what are they about in one a kind of legal idea, uh, moral political idea of liberty, Cato that comes to a point of self destruction. And the other one, the question of spiritual exos, by the way, a second thing I can say about this reference to, uh, the, this psalm one 13, is that Dante uses it as the basis for explaining his use of allegory. You remember that I spoke about the allegory of poets and allegory of theologians and that the difference was the historical basis of the narrative, sort of exos for dentist historically.

Speaker 2:          00:47:05       Uh, true. It's an event. So this gives a kind of biblical Figaro Aura to Dante's representation or they go record a presentation at least. Uh, and the third thing has to say is that the story of exodus in many ways embodies, um, crystallizes the real intellectual issues of what is this photo of exos about horse. They leaving behind the house of bondage or as they call it, the house of bondage. Uhh, they taking along the gold of the Egyptians, which really means the secular knowledge. A secular knowledge is also part of what we must carry with us in the journey toward freedom. That's that's, but it also means that they stay in the desert. The Jews stayed in the desert for 40 days. They feel that they're abandoned by Moses who has caught up to receive the tables of the law. And what are their abandoned, they engage in idolatry.

Speaker 2:          00:48:11       This is the story of exodus story of the people caught between I dollar tree and revelation and promises and prophetic promises, prophecy and idolatry. And the ideology shows itself as a statement or as an experience of nostalgia. That's what the, the making of the golden calf is a statement and way of, you know, desperate is, they may be because they are now leader less and they will be for a while. Then they engage in a, uh, an act of a desire, a longing for at least the safety or what they perceive as the safety of their dwelling in Egypt. Mindless of the fact that the were in bondage. This is if safety, the safety of living where preferable to them even in, if that is a safety, uh, uh, provided, procured and in the shadow of a, of tyranny of bondage. So you see this as a, these are the concerns that Dante we'll have as it comes into a program.

