Speaker 1:          00:00:00       [inaudible].
Speaker 5:          00:06:39       or why you might need it. Okay. Okay, good. Hello, let's hear from you. But I have a background in literature and early, late medieval, early modern studies. I'm interested in how women use the Christian narrative to, um, to get all 30 and autonomy for themselves, sort of 1300 to 1700 things. So I'm looking at how this change before and after the reformation, how the narratives changed. But I, um, I left at the end of my masters. I was intending to go back and do my phd in medieval manuscripts. Um, but it's just got, I keep going earlier and earlier because it is so difficult to get away from the ideology. I'm, I'm interested in medieval manuscripts, but not overwhelmingly. I want to look at social history, but it's so difficult to do that because there is a pressure now to do so anachronistically to read it through gender ideology of today.

Speaker 5:          00:07:48       So I have to accept that the reason I was going to do medieval manuscripts is because I can translate and transcribe and this is something objective that I can do. I can produce an edition of texts which aren't readily available and explain them. And that's the only real way that I'm able to look at religious writing by and about women, men and the objective way. And it isn't really I want to do. So I stepped away for a year and in that year I started writing about about postmodernism, about feminism, about liberalism and ideology. And then it just got to be so much to do with that. But I, I haven't gone back at all so involved in, in writing about what's going on right now. And so that is,

Speaker 2:          00:08:39       I see, well it's interesting because you, you talked about

Speaker 5:          00:08:43       your, your belief that women in the

Speaker 2:          00:08:48       mid stages of development of the Christian Church we're using, the idea is to actually liberate themselves.

Speaker 5:          00:08:54       And too, the examples from margery Kempe to Emilia Lania and we're looking at very different ways in which you know it within the Catholic narrative, for example, women would say, well God speaks directly to me. He is the patriarch. It gives me a certain or sovereignty to disagree with a patriarchal if I'm with my husband. And then later after the reformation, there was a slightly different emphasis in which women, you know, everyone can interpret the Bible and that includes women. So there was a different kind of authority there too. So that, that's generally been what I've been interested in, slightly different ways that women have approached biblical texts, biblical narratives and um, and, and yes, and use them to, to challenge sort of mainstream interpretations. And um, I make some, make some pretty good arguments. Well, I mean the Alanya certainly did not recant, mostly sweetened.

Speaker 3:          00:09:58       Okay. So why don't we start by why are you guys telling us what the genesis of this project was? Let's outline the project itself that the sequence of papers that you wrote and let's talk about the genesis of that as well. So take that one. It's really kind of kind of interesting. I don't know if your audience would know this, Jordan or not, but all three of us, you know, we're writing a bit within what might've been considered the new atheist vein and working within that. And then I was working on a book trying to answer my big kind of early 2010 his research question, what do people mean when they say, God? I was writing a book called that I eventually titled Everybody is wrong about God. And I, Peter called me one day while I was working on either the book itself or the research for it.

Speaker 3:          00:10:47       I don't recall the specifics at the time, but he called me one day and said, you know, dude, dude, I think I'm going crazy. I keep trying to tell people something that's as obvious as can be to me. And somebody has to believe I'm not crazy. Everybody thinks I'm nuts. Please tell me I'm not crazy. And so I said, you know, what is it? And he said, um, I look at the way people in gender studies use their scholarly can and the way they produce that, the way that they refer to it, the fact that it seems disconnected, uh, in a literal sense from what's going on in reality. And it feels like it's their Bible. It feels like it's a holy scripture for something like a religion. Am I going nuts? And as it turned out, the reason I started writing the book, everybody's wrong about God, was partly to answer my big research question, but it was also because I noticed that the community built up around new atheist activism, which called a Selfie.

Speaker 3:          00:11:44       Atheism community showed almost all of the symptoms of qualifying as a religion at least from like Durkheim's perspective and maybe even from some others. So I immediately latched onto what Pete said and I said, no, you're not crazy. I think you're probably right. I think you are absolutely right that the scholarly Canon in gender studies and so on is operating like of book of faith for something. But I don't know exactly what this is. And so we got curious about that scholarly cannon kind of from that point. It wasn't long after that that the infamous feminist glaciology paper came out, uh, where the, uh, few four or five researchers published a very well funded study showing or claiming to show that that glaciology is inherently sexist all the way back to its roots. Um, back to, you know, the intrepid explorers of mountains and polar regions.

Speaker 3:          00:12:44       And all this. So it is justified by being a big, tough guy in the 19th century or whatever. And that apparently somehow this masculinist bias hangs over. And so the answer to this is to put feminist art projects as part of place for science. And it just apologies as part of glacier science or else it's racist and sexist. And I, I mean I remember reading the paper lightly at the time and thinking there's no way this is real. And Peter and I had a phone call, we started looking at new peer review on the twitter at the same time. Oh, you should never look at that. Oh my God. So

Speaker 2:          00:13:20       we've, we've actually got two issues here. Then let's say no all of a sudden because yeah, there's a, there's the, there's the issue of what's going on in the social justice oriented academic disciplines and then there's a deeper issue of how people view the world individually and collectively. Yes. Through the lens of a belief system and the probability that that belief system will take on something approximating the trappings of a religious movement. Yes. So that's a deeper question. I mean, one of the things that I discussed continually with Sam Harris when we have our series of debates was the question of the inescapable realty of something approximating a religious framework to orient people in relationship to action in the world. Cause I like, I happen to believe that a framework like that is inescapable. The question is not whether you're going to have one, it's which one you're going to have and what is it going to be rooted in. And I mean, one of the things I think that both meet you and Dostoyevsky warn people about in the late 19th century was that, um, what, what, this isn't a quote from either of them, but it's something approximating someone else whose name I don't remember. Um, he who believes in nothing will end up believing in anything. And there's something, there's something in that that's extraordinarily deep as far as I'm concerned. All right, so you were interested in religious phenomenology and then you guys started to see that, um, as

Speaker 3:          00:14:52       far as you were concerned, a variety of different causes. I academic or academic movements were taking on the trappings of a religious, they were starting to look religious in their approach and in their application of their beliefs right on the, on the social justice end of it. Right. Community for example, was definitely engaging in of course they had kind of their uh, their unique vocabulary that they speak to one another end and identify one another by, uh, which is kind of like an ecclesiastical vocabulary, but if social justice and then they were definitely involved, what, what they call political correctness is in practice, virtually identical to what you see with people crying. Blasphemy. Um, so these parallels started to stick out at the same time, the way that we started looking at the real peer review twitter account and the way that they seem to be producing their knowledge that they could then refer to virtually replicates special revelation, the, they came up with their ideas, they believe that they came from some morally backed source of, uh, of goodness and then put them forth.

Speaker 3:          00:16:07       And then were they were, were morally vetted and given an epistemological status they didn't deserve. As a result can, why do you think the sources, the sources at the time I had no idea, but now after having done the project, I think the source is actually what I've come to call a postmodern mythology. That our social reality is conditioned upon use of language and representation and it's all done in service to power dynamics that underlie how society works. Those power dynamics are trapped up in identity and um, mediated primarily through language in, in media identified the sources of that. And not only me obviously, but I've identified the sources of that beliefs with the French postmodernist movement. Fundamentally, other people trust some of it back farther to what's essentially something approximating a Marxist doctrine, which is the doctrine of which is the doctrine of power relations, I would say. Sure. We'll have any criticisms or further comments on that. Let's call it genealogy genealogy or Lynn or Helen. Helen. Helen. Good.

Speaker 5:          00:17:14       Yeah, no, I, I largely agree with the idea that we had, uh, uh, quite a profound epistemic shift in the late sixties with the rise of the postmodernists. I disagree with people who crying kind of relate this closely to Marxism. I, I think it's clear that they, they have a common ancestor and that they have certain ideas in common. But if we conflate Marxism and postmodernism too close to the, on more than those yeah. That, that sort of oppressor and oppressed group, that surge of them. Um, false consciousness, these sort of key ideas which really worth floating around at the same time and they've come up in the same place. If we conflate those two closely and we are not looking at the really profound differences in epidemiology in which Marxism was really trying to continue and modernist project, it was totalitarian, it was objective, this most of the, and it went sort of in a straight line and the, if there was a word for the extremes of Marxism, it, this totalitarianism, if there's a word for the extremes of postmodernism, its disintegration. It's fragmentation. So we're looking now at something very different, something very intangible that is coming in and, and it's saying we cannot access and objective truth. Everything is created in discourses, empowers us in systems of power and privilege.

Speaker 2:          00:18:40       So why in the world is power privilege then like, I mean it still seems that the postmodernists are willing to assume that the pursuit of power is, first of all, it's obvious that everyone's pursuing it, but it's also okay for those who don't have it to pursue it. So it's not as if they've abandoned the idea as far as I can tell of a, of a linear narrative towards some end, the end seems to me to be power. And so why is that justifiable from the postmodern perspective, given that linear movement and Mehta narratives aren't justifiable

Speaker 5:          00:19:17       because of the change that happened in the late eighties so when socal for example, he, he did his hopes. What he was looking at was this collect sort of pure postmodernism. This I'm very sort of intangible idea that an objective reality context is that we can't grasp anything, that everything is a construct. But what happened in the 80s gradually was that this just after prolific amounts of writing, it just kind of fizzled because once you disintegrated and dismantled absolutely everything and it's all in a mess on the floor, you have got no where to go with this. So we started seeing then the rising materialist feminism, first of all, um, and then within sort of critical race approaches, intersectionality in queer theory in post-colonialism particularly, we started seeing a change towards, okay, so everything is a cultural construct, but we can't address anything if we don't accept that a certain group of people in a certain place at a certain time experience certain things. So what we're looking at now is an objective reality that oppression and systems of power exist. But hmm,

Speaker 2:          00:20:29       everything else is socially constructed. So the fundamental power,

Speaker 5:          00:20:35       but that construct has power. Yes, it is objective. It true that power is benefiting straight white men and disadvantages women of color, trans women, et Cetera. So this, this was the change that happened then. So now it's politically actionable. And this, I mean, it couldn't Kimberle crenshaw put this most explicitly when she said it's politics applied to postmodern theory.

Speaker 2:          00:20:56       Okay, so we want to get this straight because it's very, very important. So you just, you distinguish the postmodern movement from the Marxist movement because the Marxism Marxists, we're still moving in a single direction. And you considered that still a part of the modernist project, you acquainted Marxism and postmodernism in so far as they both adult, let's say an oppressor, oppression, oppression, narrative. Yes. Although many other things do to, and often that that's quite warranted. I mean the, the American revolution for example, was an oppressor, oppressed revelations. There was no doubt, there's no doubt that power and power differentials exists. The issue is not, there are other realities that might be considered truly yes wallet and whether it's reasonable to reduce everything to a single dimension of motivation. So the postmodern project collapses into its own nihilism and something emerges out of the ashes. And that's the assumption that a transcendent reality does in fact exist, but they only defining feature of that transcendent reality is the existence of power in the existence of power differential. And that's associated with identity. But then then the question becomes, there's, there's a question that goes underneath that even, which is, well, why is it, why is it that that is accepted as the fundamental reality? Because there's no rationale for that. And postmodernism itself, in fact, auditors should criticize them.

Speaker 5:          00:22:29       Did they, do they do it very much? And then this is the argument that goes on repeatedly with the old style postmodernist saying this isn't postmodernism. And so are we. We've tended to call it applied postmodernism, John Nurse to build it, the poem wage cluster because it's just a set of ideas about identity, about power, about privilege, about language, the importance of language and um, and, and hierarchies and things which have come from postmodernism, which have got politicized. And then within activism have got condensed into kind of user friendly chunks and further bastardized. So we can't, we can't take this away from postmodernism. It didn't come from anywhere else. But neither is it the, the, the pure sort of deconstructive or poststructuralist or any of that at that whole sort of massive range of theory that that existed from the late sixties into the mid eighties that that died. It sits, gone. It's fragmented itself as it was always bound to do.

Speaker 2:          00:23:34       So to drive to your question about why or how they justified this change, um, I'll just say we called this,

Speaker 5:          00:23:44       this set of disciplines

Speaker 3:          00:23:46       or approaches, grievance studies for a reason. It's about grievances. It's the politics of grievance. So they feel aggrieved, therefore they feel justified in trying to disrupt power. They see that exists and declined power for themselves. It's social revenge. That's what they're, that's what they're animus is. That's their moral justification for, for continuing to fragment and to chase. The very thing they say is, you know, the great corruptor of man, which has power.

Speaker 2:          00:24:17       Okay, so it doesn't, so it doesn't really matter if this is true, and I do, I have some sympathy with that claim. It doesn't matter that there are philosophical incoherencies within the structure, within the intellectual structure at all. What matters is that there's an animus and a motive, and the motive is fundamentally something approximating revenge. Why? Why would you say, look, why would you say revenge and not justice? Like, and, and this, this goes to another issue, which is all the Asley, all three of you oppose this movement. And we've already decided in this discussion that it's something like the revenge of the mar marginalized, but the marginalized could well object. Well, this isn't revenge. You only see it that way because you're part of the privileged power group and it's actually a search or a search for, it's a search. It's genuine search for justice, social justice orientated that that's what we have to remember.

Speaker 2:          00:25:14       This is speaking on behalf of women and racial and sexual minorities. Most members of every group did, do not ascribe to it. They're, they're politically diverse. So it's, um, that's a good point. That's a good point. So that's one of the reasons that, that the claim for the pursuit of justice is invalidated. It's that there's no evidence whatsoever that the activist types who dominate these disciplines are valid representatives of the communities that they purport to Stanford. In fact, if you surveyed the communities themselves in any reasonable manner, then the communities indicate their lack of agreement with, with this way of looking at the world.

Speaker 3:          00:25:54       Yeah. Yes, of course. There is also the, the, the complicating element that nearly always appears that you do have kernels of truth on both sides of that discussion. There are legitimate questions of justice that are being tied up into this. And then there are legitimate reasons to see it as being motivated primarily by something approximating revenge or grievance or reparations or something like that. And they get intertwined. And as you were mentioning with anytime you're working with postmodern epistemologies, there's no reason to expect consistency. They reject consistency as, as, as a bug in the system. Uh, they're unrepentant that unrepentant about being inconsistent.

Speaker 2:          00:26:35       That's no small point. And, and I think people watching that, that point needs to be punched hole. So Jim, could you speak to a little about that? Well, yeah, it's um, the, the idea that you would be consistent is

Speaker 3:          00:26:51       one of the ideas that would be caught up in the western philosophical tradition, as they would phrase it. It's caught up in the exact tradition that was bred of white and male power. And so that needs to be disrupted because that power inherently from the perspective of this Worldview, that power inherently corrupt, but more importantly in inherently always asked to preserve and maintain and legitimize itself. So the demand for consistency becomes itself an act of oppression against people.

Speaker 2:          00:27:21       Exactly. That all seems reasonable to me. So, so look, so, so here's a peculiar thing and it's an observation of something approximating, let's say it's Friday, a notion of projection. The people who are pushing this viewpoint, art, legitimate representatives of their communities in any real sense of the matter. And they push a particular viewpoint that has very little academic credibility as far as I'm concerned. And, and is primarily concerned with political activism and with the obtaining or the justification of obtaining power. Now we could assume that this is being done on behalf of the people who are putting forward the doctrine. And so to me, see, I've come to understand that part of the reason that people claim to their belief systems is because they have, the reason they have the moral authority to occupy the hierarchical position that society has granted them is because they're regarded as experts in a, in a belief structure.

Speaker 2:          00:28:25       And if the year that their claim to that expertise is questioned in their moral justification for occupying their position is eradicate it and it's their position gives them purpose in life and that protects them from uncertainty and anxiety. It's not the belief structure itself. You see it's for factor there experts in the belief system and that justifies their position in the hierarchy. So they put forward this claim to continue justifying the fact that they occupied very perversely. And this is the fruit of the projection is so very perversely, the very positions of power whose existence a credit sucks. This would be a university professor types in particular that seems reasonable to you or, or is there something wrong with that?

Speaker 3:          00:29:09       Oh, the courts actually with what I've drawn from reading John Height for example, who talks about psychosocial, a psycho social evaluation and the way that human beings do that with one another. How we identify where we stand in our social and moral hierarchies, uh, and how we, where we position ourselves and others each other in relation to one another. And that one of those three dimensions he named divinity. And so that would be the part you're speaking to. So we gain, we gained status in the hierarchy through our closeness of kin. So if you and I are friends, you rank me higher than I probably deserve because that's how humans do. And we gain status by reputation and that's why we care what Michael Jordan thinks about politics. And we gain status by, um, our moral standing, which is what John Height called divinity. And of course he explored it primarily in the happiness hypothesis with regard to his trips, I think the India and seeing a traditional religion and then comparing that directly against the so called weird societies in Western democracies.

Speaker 3:          00:30:10       And, uh, I think that what we're actually seeing in a lot of these cases as we're seeing partly at least people are acting out. Um, what, what often gets conflated with religion in fact is that they're acting out the need to fulfill or participate in that third dimension of psychosocial evaluation. Although in secular societies we throw out the, the explicit religious structure for it and we have to find it in other ways. So that's what you're actually talking about. They, they occupy a Mo, a moral expertise, not more likes for TC gives them standing within the prevailing moral and Social Maloo. And then that defines their place in the community as in both in terms of prestige and in terms of hierarchy

Speaker 2:          00:30:53       standard. They're basically acting out precisely what they're accusing all other disciplines of doing control, irony and the differences to see. The thing is, the difference as far as I'm concerned, is that if you look at a discipline like engineering, which I think is perhaps as close to the polar opposite of this, this might be managed. One of the things that engineers do is look at the world in a certain way. But another thing they do is build bridges. Exactly right. That's right. There's an objective real world, uh, direction to their, to their philosophizing and their beliefs that results in something of tangible and university recognize benefit to the community at March and something that can fail. Yes. Right, right, right. Also, that's very important. Okay. Now, okay, next issue. So now the first issue, first of the next two issues saying is why is it that you three found herself in a position where you decided to take this on as a critical project and why is it that so few other academics are doing so I don't have good answers for why so few academics are doing so. Cause I don't want to just blatantly call people cowards that I don't know. But you don't get treated well for fighting. Let's dig into that a bit. Okay. Because I think, I think cowardice is one or fear. And let's, let's start here. Let's call it fear. And let's also note that the fear is well justified, very justice. Yeah, that's correct. Right. Well Peter, you're in a great position to speak to that because look what's happening to you.

Speaker 4:          00:32:29       Yeah, so I don't know if you want to go down the path and what's happened to me yet, but I, I think you're right. Our mutual friend, Bret Weinstein said to me that academia where we had a conversation about academia self selecting for cowardice, and I think it's a process that people go through it before they have tenure, where they're afraid to buck the system, afraid to challenge ideas. They're afraid to question because who they won't get tenure and then once they do get tenure, then they won't make you a bit more climate. Yeah.

Speaker 2:          00:32:57       That's the same thing happens in corporations at the middle manager level. Like it's not a disease that is endemic to academia.

Speaker 4:          00:33:03       No, no, it's not. But it's one variable in a suite of variables that we have to take a look at. The other one is the culture in which the cultural milieu that Jim spoke about in which people are terrified to be called sexist, racist, bigot. So they don't challenge those. I'm even hesitant to say the things that don't challenge, but I'll say it like race and Iq or trans issues, trans bathroom issues. If you teach an ethics class, people won't really dig into those issues in a substantive way. But I think that there are many factors, but not just one, but it's just showing that people will come up to Jim and myself and I haven't spoken explicitly to Helen about this and they'll thank me. Yup. Oh, thank you so much. Oh, great. Can you do that publicly? No, no, no, no, no, no.

Speaker 2:          00:33:48       The same thing happened to me. I think we should talk about what's happening to you because we talk about fear. We can talk about cowardice, we can talk about justifiable cause there's no, there's no pleasure in being isolated and moms and undermine and fired. Right. So the apprehension of that is not merely coward, it's, it's, it's, it's realistic. And I'm not underestimating the potential role, the additional role of cowardice. But then there's another issue too here and I'd be thinking about, it's like, to me, many of these postmodern activist propositions are so fundamentally absurd and so academically weak that most serious social scientists and pretty much all serious stem types, the stem researchers have just ignored them. They thought they were beneath contempt and right seriously mean that because I look at an idea, you know, a brilliant postmodern activist idea like intersectionality where like patriarchy theory or like white privilege, all you have to do is spend an hour thinking through those things critically and you realize that there's out solutely nothing whatsoever to the methodologically or conceptually

Speaker 5:          00:35:03       as jen was saying, you know that that can be a kernel of Chris in things. But when they are theoretically built, I mean obviously there, there, there, there are societies in which white people are regarded more positively on average, but this is something that can be measured in three which can be looked at, which can be talked about. And we don't actually have that way. We have imaginary knapsacks and talk of complicity and I'm an epistemological environments in which white people literally can't understand what's going on. So we it, we get a big mess

Speaker 2:          00:35:38       and it's, it's, there's a kernel of truth in that and so that gives them the opportunity to kind of retreat to this sensible space where they'll say, but there is racism and that there is sexism. Well, yes of course there is. But what you're doing here with these theoretical concepts is, is not looking realistically and reasonably at that adoption. Right? It's like, okay well racism is a problem in sexism is a problem we'll say. And any form of discrimination that isn't associated with the hypothetical outcome of the project is a problem. But there are methods that everyone who's a decent social scientist knows to measure those and to estimate the proportion of the variance in the outcome problem that those issues are accounting for. And the postmodern and activist types to absolutely none of that.

Speaker 4:          00:36:30       Yeah. I mean why would they? Because they don't care about their agenda driven in their truth oriented. So there's going to be no point to even think like that.

Speaker 2:          00:36:41       Well they also can't, they don't have the methods training. Exactly. So, so that also provides additional impetus for being motivated to criticize those that do because it's a lot easier than say, seeing the reality and the consequences of your own ignorance. Let's talk about what's happening to you because I want to know about the cost that you're buried for this and then we'll go back to why you guys decided to do what you did.

Speaker 4:          00:37:04       So psu, like many college campuses has become an ideological community and I've demonstrated that I don't fit that mold and I suspect that they're going to go to great lengths to get rid of me. So what's happened is I've been found guilty of Nazi he and Irb approval. And

Speaker 2:          00:37:22       can you tell the viewers what that means and and provide some background detail.

Speaker 4:          00:37:27       Okay. Okay. So our be approval is there's a, it's to call the IRB Institutional Review Board. And whenever you do a, an experiment on human subjects, human beings or animals, by the way, you need to go through the irb and you need to get permission and you detail exactly what it is that you're going to do. And they say to you, well, you have to change this. You have to do this, don't do this, etc. And then they give you permission.

Speaker 2:          00:37:56       Okay. These systems, just a little more background, these systems were originally set up fundamentally to monitor relatively or potentially dangerous medical experimentation, but they've expanded their per view so that now it's impossible for anybody who's an academic in any institution to even interview people without seeking permission from a very vast and rigid bureaucratic structure that's easily politicized.

Speaker 4:          00:38:23       Yeah. They came out of, and they do exist for good reasons. The Nuremberg trials may lay, et Cetera, et cetera. And people were in that envelope has, has, uh, the number of experiments or the number of things are calling, are under that umbrella continues to increase. We can talk about the ethics of the RV more generally, but in our case are particularly mind that the IRB has no, Jim and James and Helen don't fall under the off season pses rv so they can't be sanctioned. I however, allegedly can can be sanctioned, so I'd been found guilty on that first charge, which,

Speaker 2:          00:38:59       well now look, let's, let's tell everybody what is published. A sequence of papers, how many papers in journals is it?

Speaker 3:          00:39:08       We wrote 27 of them were accepted and four were published on the cusp of publication, for example.

Speaker 2:          00:39:16       Okay, let's get it straight here. These are satirical publications that were published in hypothetically serious academic journals and now Peter, you're being gone after for not seeking institutional review board permission to publish studies that didn't exist.

Speaker 4:          00:39:34       Yeah, two, two things. That's the first thing I'd been found guilty of that and it's escalated to the provost and the president of the university and I believe that the provost is a former gender studies scholar and I'll just, I'll let that sit there. I do, I do. I can't pronounce the president's name to be blunt with you. And the provost is new provost. I'm not avoiding the question. I just don't,

Speaker 2:          00:39:58       that's fine. We can always put that in the description of the video. So, so what are you guilty of exactly? Because these studies didn't exist. You didn't undertake research on any human subjects.

Speaker 3:          00:40:09       They've decided that the journal editors and peer reviewers are the human subjects that we were studying. So not the studies themselves, but go up one level of Metta to the fact that we were studying the culture of um, Journal, Journal Review and publication. So the editors who are not anonymous and then the anonymous peer reviewers are considered to be the human subjects of our,

Speaker 2:          00:40:33       that's supposed to be, I suppose. I see. So that's supposed to be distinguishable from you thinking and writing about the things that you encounter in your own life, for example, which is also what now it's supposed to be subject to irb approval.

Speaker 4:          00:40:46       So, so okay. So there's a lot of moving parts to this. So we need to break it down. I wonder, I want to continue with the, excuse me, guilty of not seeking irb approval. That can include turn up to termination from my current position. And uh, I just want to speak to that before I talk about the data fabrication charges. So I don't agree with the decision, but I definitely understand the pressures that they have on them to do something. Who knows what's happening.

Speaker 2:          00:41:18       Pressures from a hope. These activist types are a very tiny proportion of the population. So, and when we're talking about pressure, what exactly do we mean?

Speaker 4:          00:41:27       Well, there was an anonymous hid piece by 12 or 11 of my colleagues published in the student newspaper, the Portland Vanguard, and they may be a small representation. I, it's unclear to me in academia, I don't think there are a small proportion of the pie. They are a large and I think that they wield institutionalized power and have weaponized things like title line against people they don't like. Um, so there's that. But I do want to say, I don't really know what's happening behind the scenes. I, my guess is these, this group is extraordinarily vocal, but what they're faced with now is a decision for what kind of university they want to be. Is it one that uses power to support freedom of inquiry and pursuit of the truth or do they want to protect social justice at all costs? And the fabrication of data thing is interesting because that's an ongoing, it's currently ongoing investigation. And again, those are very, very serious charges.

Speaker 2:          00:42:26       Let's look at it here too. There was a very big difference. Let's get this very clear between a self admitted satire, which had historical precedent and which has ethical justification, even if you don't agree with the justification data fabrication data fabrication occurs when you put Devin and you claim that it's truthful representation of a real world situation. Yeah. Obviously that's distinct from satire and comedy. Everyone understands that distinction.

Speaker 4:          00:42:56       Well, the guy, the idea is that those rules were put in there for very good reasons and that is people wouldn't use that to advance their careers, which, uh, and they wanted to hide the results so they don't, didn't want anybody to see what it was. So the problem with that is that it would, as socal wrote, that it would contaminate the, uh, research lines in perpetuity. So what the success of our project dependent upon it being revealed so that no longer applies and the idea that we would somehow, not only am I not benefited from this, but this is coming a tremendous cost to me. So it's, in my opinion, it is, uh, a grow task abuse of what it means to fabricate data. And, uh, I mean it means be interesting to see. It'll be interesting to see what happens and be in as you see when it goes to court.

Speaker 2:          00:43:52       Okay. And so, so yeah, tell me about the proceedings when it goes to court. What kind of card is it going to?

Speaker 4:          00:44:00       I don't know. I mean, first let me even take a step back from there. So if you look at the timeline of events when this occurred, and I don't have that off the top of my head, but, uh, the, the, the, when I was falling guilty from the Irb, it's been a series of, uh, of Nazi need, irb approval. There was a series of a time when the university president could just end this just like that. You can say, well, we're going to put a, a letter of reprimand in Europe. Uh, we're going to make it and it will

Speaker 3:          00:44:37       guilty of who found you guilty. That was the IRB was December 14th. I see. So the IRB is policing its own it's own policies here. Yeah. So that was for the irb charge, the open data falsification charges open and still being investigated. Uh, and that actually started I think like two or three days after we went public. He got an email and said, you've been summoned to a meeting. And we were all in Portland together at the time in October. The IRB, which purports to be an ethics committee, doesn't have any problem with the ethics of policing themselves. You might want to point that out very strongly because they're not in a position to be policing accordance with their own policies. Conflict of interest. Clearly there's something appalling about that. And it's not surprising because there's plenty of hauling about the institutional review boards.

Speaker 4:          00:45:32       Guilty, guilty. It's been escalated to the president. And again, the president could just decide just like that, you know, we're just going to put a letter in his file of reprimand and we're going to move on. And I think that the whole problem would be, uh, ended, except my guess is that there are a lot of people crying for vengeance right now against me.

Speaker 3:          00:45:53       Right? So they want to hang you out to dry as an object lesson to people who would dare to do the things that you three have done.

