Speaker 1:          00:00:03       Three, two, one
Speaker 2:          00:06:51       He's negative on July 7th and eighth for everything. For the parent compound, for the short term, medium term term metabolites and the longterm metabolites go 2021 days later. So within that 22 day window, which is study shows the short and medium term metabolites would still be showing up and there's no presence whatsoever of the short or medium term metabolites. Now again, we'll get into this a little bit more, but I think the science, what it's showing is a pulsing effect for this longterm metabolite. Meaning once you ingest, whether intentionally or not unintentionally oral Terenna ball into the body, the body breaks it down, produces short term and medium term, which is you know, visible for a short and medium amount of time. And then this end three which is produced for a long period of time. I think with the issue appears to be, and we'll get into this, the UFC program is not the only program had seen this.

Speaker 2:          00:07:49       There's another professional sports league that has seen it very frequently. You saw it as also seen this on the Olympic side, but we're seeing this strange action with the longterm and three metabolite. And the theory is it may be hiding in the fat tissues surrounding organs and maybe have a pulsing effect where it's released at certain times and other times you can't detect it. And this is not the actual substance itself, but it's a metabolite correct. Which indicates a reaction to this substance in the body, breaking down the parent compound the, the oral Terenna ball and turning it into these other things which are stored in the body. Those metabolites are not performance enhancing drugs that are the result of the breakdown of the parent drug in the body. How much time is it detectable, the actual drug itself? So pretty quick, uh, it's a pretty quick clearance time.

Speaker 2:          00:08:40       I think we're Cenk Golf Studies says, you know, maybe a week. Uh, so it's not around for very long. And that's why he conducted the study ironically enough. And I was going to go watch bicker is here last night and I just, I've had too much going on in the last week to kind of refresh mind. But um, apparently he, he knew this was part of his protocol for Russian athletes. He knew a coach that was still giving the oral Terenna ball to Russian athletes and he had a falling out with the coach. So he goes off on the side and studies, Hey, the parent compound is going to get in and out of the body pretty quick. It's going to be difficult to detect that. Let's try to figure out what stays around and leaves markers in the body for a long time. And so he developed the short and longterm metabolite tests and was able to catch some of this coaches athletes for using the oral terminable.

Speaker 2:          00:09:28       Interesting. So the actual drug itself, it's gone from the system, but the metabolite remains. Now what is the window that the, this metabolite is supposed to be detectable in the body? Cause we're talking now, what are we at like 18 months? So here, here's the show. Here's the problem is that initial ingestion, cause my question is these same longterm metabolites, these existed a year plus ago. It was more than a year. How long ago that that's the thing. So July, 2017 was your initial test. So with all the experts and we'll get through this with all the experts are telling us is there is no evidence of re ingestion and most likely this is still remnants from the July, 2017 tests. However it was to enter into a system. Um, and we'll go through some of these testing numbers that have shown negatives followed by very low level Pika Pika gram quantities.

Speaker 2:          00:10:19       You know, was that the ingestion that happened that he tested positive for in July of 2017 indicated a long term effect. Right? It was a long term term metabolite. Correct. So meaning it had already been an assistant for a year or so. It absolutely could have predated, you know, the theory the first time through was something had to have entered a system between July 7th and July 8th those negatives and this low pika gram reading on July 28th over this last year, there's been a lot of study into this longterm metabolite. As I mentioned, this isn't just a UFC issue. There's another major professional sports league that for the time being wants to keep their, their testing confidential, but they've shared that information with scientists, with Usada, with myself. They saw it on multiple occasions. This pulsing effect over a year where you'd see this positive tests over a year. We're talking two and a half years now.

Speaker 2:          00:11:13       Right. If it's a year, if they, if it's a, if in July he had to ride in the 17th and you were talking a year and a half, right? July, 2000 second half. July 17 but it could have been an assistant a year prior. I don't know. Yeah, it could have been a couple of months a year. I don't know. He had never showed up for that end three metabolite for he had been tested for it. He had been tested multiple times in the program from wrong isn't the same level, isn't it? Approximately the same Pika grams that exists today in 2018 that were there in 2017 generally if you look in and we can go over these numbers, it, it fluctuates, you know, from single digits and never gets into a triple digits to, to mid double digits. So there's some as low as nine peak of grams over that time.

Speaker 2:          00:11:58       Um, there was some at 60 peak of grants, however, a peak grant to someone because it's a preposterously small. It's insane. And you know, the, the analogy that I heard early on was, and I think John uses throw a pinch of salt and Olympic swimming pool and I'm like, okay, well that's Kinda wrap your head around. Now let's go the other side. Let's talk about something really small that we know of and how many times you have to break down that small particle to get to a peak of Graham. So one grain of salt. I mean, we all know what that looks like, right? You put that in front of you and you split that, and I'd mentioned this week, 50 million, it's actually 58 million. If you split that 58 million times a grain of salt, each one has a pika gram. I mean it's incomprehensible the detection level and how small that is.

Speaker 2:          00:12:44       It really is. It's crazy. And how many peak of grams that they find in his system. So he's gone from, and I'll, I'll read through it here. So here's, here's since the initial appearance of the n three metabolite, here's what John's tests look like and those peak gram reading. So the first one was collection date was July 28th, 2017 he had a concentration of ADP grams. However, let me caution and I'll read something from an expert. When you get down to these pika gram levels, um, the science is somewhat inexact because it's such a small amount. So the variable, the plus or minus, you know, can be anywhere from 2030 I've seen in, in some instances, 50 or 60. So what this scientist name, his name is Larry Bowers. Um, he was formerly the, the Usada Science director. He's currently retired and independently consults. Before that he ran an Olympic, uh, Olympic Committee, a accredited laboratory at the University of Indiana.

Speaker 2:          00:13:46       The guy's got 20 to 25 years of anti-doping experience. Here's what he, he told me about, uh, you know, when you're, when you're analyzing small picogram levels, although the two lab, a respective laboratories report a concentration, I would caution against becoming too fixated on the numbers. First, the numbers are really estimates of concentration and probably should be considered a range of about plus or minus 20 picograms per ml. And he said the December 9th result would be in the range of John's and we'll get to that between 60 and a hundred second while the adjustment of concentration by specific gravity attempts to deal with the variability of urinary excretion rates, it is an exact, it is inexact and adds variability to the estimates. Finally, and most importantly, science has no clear understanding of the variance of urinary excretion of drugs at ultra trace concentration. So basically saying, look, I mean we have a general idea how this works in science but and I think this instance comes to play, be real careful if you're to be the guy with the pseudoscience out there saying, wait a second, John jumped from 20 to 60 from September to December and that means he re ingested it.

Speaker 2:          00:15:01       What he's saying here is slow your roll on that. That that it's such a small incomprehensible level that we don't really know what those variances are going to look like. Now I think if we saw jumps and John from single digit eight or nine peak of Graham to multiple hundred digit Pika grams, there would be a concern and maybe some meat read administration, but the experts I've speaking to when you're talking variability of 10 2030 40 it's not that significant at the peak of gram level. What is the window where this longterm metabolites starts to express itself? Like what you said, there's short term and there's medium term. This is the long term. How long does it take before the law? That's a good question. I, I don't have the answer to that. And maybe in rich hank hubs report here and I would encourage those that are at home, you know, playing playing scientist at their computer a, the journal of steroid biochemistry and molecular biology.

Speaker 2:          00:15:55       A Raw Chekhov writes a report detection and mass spec spectrometric characterization of novel Longterm Dehydro Chloro method testosterone metabolites in human urine. I'm not sure when that longterm metabolite, how long it takes to to show up. Here's the problem though with this substance. He did a real brief study. My understanding is administered it to himself. That's the only study that exists. Oral Terenna Ball, DH CMT to my understanding is not approved for use for human consumption consumption anywhere, anywhere in any country. So you can't have clinical trials ethically in the medical world because it's just not legal to give this to human beings. So, you know, we're, we're already kind of behind the eight ball here and that, you know, as compared to other substances where you can do clinical trials because they're readily available, would be a per prescription or whatever. This substance is not, the substance was created by the East Germans in the seventies and eighties and was part of their state sponsored doping program where they were doping their athletes.

Speaker 2:          00:17:02       Can you correct me if I'm wrong, but I believe what I've read is that this is particularly effective when people are cutting weight. Yeah. I mean, is that true or is this just more, I don't know about that. I think some may be confusing to rentable with oral Terenna Ball. Two completely different substances, actually. Very important. Yeah, there's, there's very different effects on the body. There's very different windows in terms of detection time ex explain that. Yeah. You gotta be really careful in this world of performance enhancing drugs. There's names that are interchangeable. There's different, you know, chemical names where you change a little bit of that chemical name. It could mean mean a completely different substance. There's instances where the chemical name is different, but the substance is actually the same. So when trying to compare two substances, you know, make sure if you're at home

Speaker 3:          00:17:50       doing that analysis, you're comparing the right ones. Straight Terenna ball is different than oral to rentable. What is the difference? Uh, yeah, I, I can't tell you, I'm not as familiar with Toronto ball other than it's not oral to ball. So, but there is a difference in terms of the detection window. Yeah, there would be, I mean, different substances create and throw out different metabolites. Um, and different substances have different detection windows. So I haven't done my study and research on straight Terenna ball other than knowing it's different than the substance here. So, uh, Gregory reaching cough, that's how you say his last name, right. He was the only guy to do an actual verified study? Correct. Now is this study been, is it been peer reviewed? Yeah, I mean it will, it's, it's published in the Journal of steroid biochemistry and molecular biology. So in order to get something published, it needs to be peer reviewed.

Speaker 3:          00:18:40       So it's, has it been replicated anywhere? Not that I'm aware of, no. So it's just, so we have one study, which is really fascinating. So we know that w first of all, we know this is an effect of steroid. We know it works. Yeah. These Germans I think show that they wouldn't have been using it. Um, it, it's not a difficult, it's not an easy, easy substance to get ahold of. Look when it's not approved for use anywhere in the world, um, it's only available on the black market. Um, so you'd probably have to go to China to get it manufactured or you know, research chemical supply company that's not supposed to be provided to, to humans. Now, I'm certainly not attributing this to you, but there were rumors, this was one discussion. Was that one of the possible ways he could have ingested this.

Speaker 3:          00:19:25       Um, and let's be very kind. John Likes to party. Okay. One of the things about partying is people do cocaine and one of the things about cocaine is sometimes cocaine is cut with creatine. One of the things about creatine is oftentimes you're buying cheap creatine. I spent a little, one of the things that we've had with on it on, it's our, our products are all third party verified, but in the initial goings when we tried different manufacturers, especially for Alpha brain, we found there were other trace elements that were in Alpha brain that weren't supposed to be in there. And it's because of the vats that they mix these things up with. And one of the things that we had heard was that creatine oftentimes is made in the same place where they might be making oral Terenna Ball, they might be making animal, they might be making a bunch of different things and trace amounts of this stuff can get into the create team and they use creatine to cut cocaine with, is this, is this possible or am I just, yeah, it's, it's absolutely a theory. I don't, you know, I, I, I can't sit here and said that happened, but I will have heard similar things. I have heard similar things. I know for a fact, based on my previous career, I worked closely with the DEA. I was with the FDA, I worked cases involving street distribution of recreational drugs, including cocaine. I know for a fact that creatine is one of the most common substances that cocaine is cut with because as a similar look, some more color, some more feel. So getting back to

Speaker 2:          00:20:47       Mclaren's arbitration decision, I mean this is publicly available records, I'm not saying anything new, but Mclaren addresses at least John's lifestyle around this time. And he says the athlete openly admitted to Usada that prior to and for a period of time after the reporting of his second adverse analytical finding on July 28 2017 the athlete used illicit so called street drugs, including cocaine now, okay. For me to sit here and say, hey, that's where it came from. I don't know that. What's the time period? He's talking about the, the athlete admitted, um, that prior to and for a period of time after the reporting of a second adverse analytical finding on July 27, 2017 admitted. So before that test and sometime after. Okay. So does that make sense though? If it, it's cut. If that's what where the, the source of it is, does it make sense that that would show up as a longterm metabolite?

Speaker 2:          00:21:45       Doesn't it need a long time in the body to digest or do we not know enough about the window of time? Yeah. I don't know if we know enough about the window of time. You know my, my theory and looking at it is even if there's a small amount of the oral Terenna ball in that it's going to for a period of time, show that parent compound at a small peak of gram amount and the short and midterm metabolites in the small peak gram amount. We have never seen those in the history of Johns testing. It's only this longterm metabolite. So that may be indication that it occurred. Maybe even prior to what we're talking about here. Is it something that could be accentuated in some way by the weight cutting process? I absolutely think that could be a factor. Um, there are studies not necessarily with this, but another substance clomiphene and look, I want, while I'm cautioning people to be careful about comparing different substances, the commonality between Clomiphene, which there are multiple clinical studies on cause it is approved for use to be distributed to humans and oral Terenna ball is or both chlorinated.

Speaker 2:          00:22:56       So they both contain a chlorine atom on the molecule. And there is a recently published study on clomiphene and its excretion rates. Um, again for those at home that want to look it up. The study was published in the endocrine society publication. It's pure reviewed, the name of it is hpt axis affects and urinary detection following clomiphene administration and males. So what they did is they basically, you know, got a group of males, um, gave them a one month, um, cycle of clomiphene, you know, I think 25 milligrams a day and then have them get off and then continue to look at their year and up to 261 days after. And what you saw and what you see in this study is that pulsing effect. So, you know, I'm looking at some of the studies subjects here. Um, subject one on day one 21 still showed 147 Pika grams of clomiphene day one 28 showed 174 pika grams.

Speaker 2:          00:23:59       Day One 35 shows nothing. He's below the minimum courting, uh, reporting limit. And then day one 49, he's back up to two 36. There are one, two, three, four, five, six out of I think 12 subjects in that study that showed this pulsing effect of this chlorinated substance coming and going again. You know, it's, it's different than oral Terenna Ball, but it has that common factor of being chlorinated in this study. They do talk about, um, a fat tissue called the, let me look this up and make sure I got this right. Adipose tissue, this is fat that surrounds the internal organs. It's one of the last things that the body burns when it's going, you know, starving itself and going to fat. It protects those organs. But yeah, you look at these, you know, extreme weight gains and cuts that the UFC athlete goes through.

Speaker 2:          00:24:55       I don't think you're going to find possibly another human subject anywhere that goes through putting weight on other than maybe that, I don't think Olympic wrestling matches with an MMA fighter, um, goes through, at least in my experience over these three or four years talking to those in the Olympic world. I think we're at the extreme and it's, it's something obviously we've talked about before, we're trying to curtail, but you know, there's, there's clearly never been a study for anybody who dehydrates and readwrite hydrates themselves to the extent that some of our athletes do. You could never find, there would never be anybody with any ethics that would support a study because some of that dehydration exceeds World Health Organization standards. So there's no studies out there, you know, on this stuff. But clearly, you know, looking from afar I, I'd say that it likely has some impact over what's being released by this adipose tissue.

Speaker 2:          00:25:48       We should certainly talk about that in the future, about the, the weight cutting aspect of it. So, but this adipose tissue loss at extreme weight cuts could potentially be the reason why this stuff is excluding itself. It's, it's definitely a theory out there. What about micro dosing? So here's the thing with microdosing microdosing has done with indogenous substances. So only test, well, I mean someone could try it with something else, but the reason you microdose with endogenous substances is there already produced in the body, right? So the theory of, okay, I'm going to microdose oral Terenna Ball, we'll oral Terenna ball still producing these short term and longterm metabolites in theory, whether you're taking a hundred milligrams or one milligram of oral Terenna Ball, those excretion rates of those metabolites are still going to be consistent. They're going to be in a much smaller level or a way to those excretion rates.

Speaker 2:          00:26:44       Is there a way to mask that in some way? I'm not aware of any, um, I'm sorry. The only study we have is Gregory, correct? That's it. Correct. But you know, just taking it from a common sense approach, it's certainly, you know, those that know about micro grossing know that you microdose with endogenous substances, things that are already pouring in the body so your body knows what to do with them. Those what to do. And you're fooling, you know, not only are these metabolizing and there's no metabolites of them, but you could also be fooling the biological passport. That's the concern I think and why people microdose. So you saw it as looking not only testing for specific substances, but our testosterone epitestosterone ratio is going up. They're looking at at blood values, how many young red blood cells, how many mature red blood cells.

Speaker 2:          00:27:32       So microdosing and those two areas wouldn't set off alarms in the biological passport world. Um, I've never heard personally of microdosing of exotic his substances that are not found in the body. Microdosing and my understanding has done with things that are endogenous body for people that are not familiar with this terminology, we were just talking about microdosing performance enhancing drugs because a micro dosing in today's world is a very common thing with mushrooms and Lsd. And a lot of, I mean I saw a ton of microdosing in the, in the cycling world that was test towels, testosterone, epo, hgh, all those natural occurring in the body and said, I don't produce any really a red flag metabolites if you do them. At very, very small levels. They'll, the parent will clear quickly not produce any metabolites and will not throw off the biological passport analysis. Um, is there a what you mean when Victor Conte came out with a clear and all that stuff with ball co, they were fooling people.

Speaker 2:          00:28:34       Is it, is it, I mean one of the things that we've talked about before is that it's a constant race to try to keep up with more advanced cheaters. It is. And, and you know what's interesting in this, I mean, if I were to talk to you and maybe the first time we did talk a couple of years ago, um, it, it's come a long way from them, but clearly if I would have talked to you 15, 16, 17 years ago when I got my start in the anti-doping world, I would have told you definitively the testing is way behind, you know, what's being used out there. Um, they were testing, able to test to multiple nanogram, um, limits. That's as far down as we can go. Now they can go down to single digit Pika, gram. There's another professional sports league out there that recently had a one pika gram and three metabolite case.

Speaker 2:          00:29:19       I mean do the math coming down from you know, four or five nanograms, which used to be the lower limit now to one Pika Gram ten thousand twenty thousand times. I am almost under the theory that the pendulum has swung maybe a little bit too far in the other direction and that that certainly is part of my job to the UFC. Look, I want catch every intentional cheater that's out there. I want to make sure we have a rock solid program, use all the latest and greatest, you know, um, techniques to do it. But I also want to keep an eye on it to make sure it's being administrated fairly. And when you're getting down to detection of one, you know, single digit Pika Grams, I have a concern that what kind of level of sensitivity we're talking about. Are we going to talk about environmental contamination where you walk through a room and somebody has just opened a container of something and there's, you know, minuscule powders in the air.

Speaker 2:          00:30:15       There are documented cases that some of the regularly prescribed prescription drugs, specifically diuretics are getting in water supplies in some areas. You know, you get a lot of old people on them that flushed their old pills down the toilet. There's documented cases of it getting into the water supply and being detectable at that peak at ground level. So you've gotta be really, really careful about that. And I think, you know, this case exemplifies that you saw it and, and really the world antidoping agency world and community are aware of that. Um, you know, with greater sensitivity and testing in my opinion, because you know, makes greater responsibility to be objective and look fairly at what really we're doing here when we're detecting and that small amount. But this, this task of John's where he's testing for the same level of peak of Graham's today as he was in July of 2017 is it safe to say that this is unprecedented?

Speaker 2:          00:31:18       Repeat that again, that John's test for the same levels of peak of grams of these metabolites in 2018 that he was testing for in 2017 this is unprecedented. No. If the answer's no, it's so maybe I'm precedent and in the UFC program, but what the United States anti-doping agency did over these last five or six months as they reached out to the science community outside the scope of the UFC, they reached out to other professional sports organizations. They reached out to otherwise water laboratories and what they were seeing was multiple instances of this pulsing effect where over time you would see a reading, the next test it would go away and the next time you'd see that reading again, maybe back up to or even above this much time was correct. Yes. So you see that in the, in the clomiphene study here too, I mean almost 260 they stopped the study, what it was still appearing and Pika gram levels in some subjects and they stopped the study at 261 days.

Speaker 2:          00:32:20       And you see those numbers I was reading to you. See this one subject at one 74, he's negative the next time and then he pops up to two in the two hundreds after. So it's actually more than the time before. Again, apples and oranges, different substances. But the commonality here is chlorinated substance. So is the, is it safe to say that this is an emerging science and that we're still learning and understanding this as we go along? Absolutely. It's still very young. Look, the first, you know, the 1984 Olympics in Los Angeles were established the first drug testing laboratory by Doctor Catlin. Um, so really, you know, in the scope of science going back to the earliest days, then are talking about, you know, what, 30, 30 years, 30, 35 years. Um, again, when I started off in this 16 or 17 years, the science still wasn't good.

Speaker 2:          00:33:13       They were unable to detect anything. And the peak of gram level, um, again for reference, very interesting. So the, the Wada, the world anti-doping agencies accredits laboratories across the world and they have certain standards that those laboratories must meet or to retain that accreditation and keep that accreditation. So they have a technical document called the minimum required performance levels of their laboratory. So would they tell the laboratories is you must detect these substances down to this amount. If you can't get them down to this amount, then you can't have an accreditation from water. So the class of substances that oral Terenna ball would be in, um, which would be other anabolic agents, the required minimum level that they must attack two is only two nanograms. So look, watch, it even says, as long as you can get to two nanograms, you can retain our accreditation.

Speaker 2:          00:34:13       Well what's happening is an arms race in these laboratories, they're saying, well two's the minimum standard but I can get down further. And you know, these are private entities that you know, are looking for customers. So to be able to reach out and say, well even though a lot of tells us too is as low as we need to go, we can go down to one pika gram. I think in a sense, maybe you need to slow the reigns on that a little bit. That we're getting too far and too sensitive of a level of detection when it comes to implementing a fair program because you can't determine where a one pika gram co came from. You could be breathing again, contaminated air, drinking contaminated water. It gets real dangerous when you get down that low. Now how does this reflect on past suspensions? This is a what when you, you deal with something like, look, let's bring up Frank Mir for example. Didn't frank near also test for oral, turn the ball. Okay, I want to get back to Frank Mir but let's, let's go back to John and this instance and why you saw it. It has come out and said, look, this is not a violation. So if you go to the Wada, the world anti-doping code, there's a section 10.7 0.4 0.1 are UFC program. You know, basically mirrors that and we're bringing that up on the screen there. So for purposes of imposing sanctions under tab 10.7 and anti doping rule violation will only be a second

Speaker 3:          00:35:38       violation if the anti-doping organization can establish the athlete or other person committed. The second anti-doping rule violation after the athlete or other person received notice pursuant to article seven et Cetera. This is what's known as a double jeopardy clause. The sanction test positive for something and if he's test positive for the exact same substance that is still in his system a year later or whatever the amount of time is, you don't include that as a new positive tasks. One more thing has to happen. Science has to determine that there hasn't been a real administration so test positive for the same substance and science says based on all the numbers we see, there is no evidence of any readminister ration and the non evidence of the readministered nation is the lack of short term and medium term singling. Never ever. And John's or an issue though that this is only one test that gregory would shank goes test is the only study that showed at these medium and short term metabolites exist.

Speaker 3:          00:36:39       It's the only study, but I think then if there's only one study, you have to go to anecdotal evidence. Right? Why don't we do studies on UFC employees because we're all Toronto Ball. He'll do it. Oral Terenna ball is illegal to distribute what's due to Mexico and any country throughout the world. It's really eagle. Every contracts go, they just let you do whatever you want to do. I don't know, maybe we can look into that, but shelby may be out for that. And that's the reason for living there. Um, I, I have a problem with that in that we're relying on one study. This seems to me to be like a, a critical thing that could affect, I mean we're, we're, we're, we're hoping and we're, uh, we're putting faith in this study that this is the only way that these metabolites express themselves. Is it possible that, what, that these be like, you see what the pulsing effect that you see positive effects and negative or positive results and negative results that these short term and medium term metabolites don't always express themselves and that what we're considering a longterm metabolite could in fact just be a metabolite.

Speaker 3:          00:37:49       Yeah. I, I mean, I guess it's possible, but what are you, are you going to sanction and athlete again because you know, potentially it's possible. And then the theory of that universe. You can't do that. Let me read it to you real quick. What, what these experts came out at and terms of readministered ration. So Dr. Daniel Eichner runs the Salt Lake City. It's called a smart sports medicine research testing laboratory, or smurter. They're one of two water accredited laboratories in the United States. The other one being a ucla, um, again, one of the most respected minds in anti-doping phd chemist. Um, his answer in terms of readminister ration, um, was this, and you very rarely see scientists at his level talk in a absolute absolute. So there you go.

Speaker 2:          00:38:36       And here he says, there is no evidence that Dh cmt has been readministered that's in writing to us. So very definitive on that, right. Um, you saw it as science director now, Dan Daniels independent even of Usada. So those who criticize, Hey, you saw it as in bed with the UFC. Daniel lackner doesn't work for you. Soda. He runs an independent laboratory. You sought to send samples there. The NFL send samples, they're major league baseball, send samples there. The NCA, he's independent, owns his own laboratory. Um, you saw to also put out, um, a letter to us in, in writing, um, upon careful consideration of the very low concentration of the DH cmt longterm metabolite. And Mr. Jones is sample and taking into account the Human Pharma kinetic characteristics of this particular longterm anabolic steroid metabolites, uh, based on data to which you saw to, has access to and in consult, in consultation with scientific experts, some of whose opinions aren't close, you sought.

Speaker 2:          00:39:37       It has concluded consistent with prior residual amounts detected. And Mr. Jones sample that the presence of Dh cmt longterm metabolite is consistent with residual amounts from exposure prior to to that July 28th, 2017. Um, look, I'm not, I'm not an expert. I don't profess to be, um, my, my background's in finance and accounting. I traced the money back in the old days, but I know who those experts are out there in the world and these are them. Um, they're my putting these things in writing, putting their reputations on the line now and forever going forward. Um, they're never going to do something like that because you know, the UFC pays, you sought it to administer our program or because Jon Jones is, you know, a popular fighter and they want to see him fight this weekend. That's just not the way this world works. Of course in in fact it works the opposite way.

Speaker 2:          00:40:29       There would be a great benefit if they could catch him cheating. Absolutely. And you know, historically experts like this are very, very conservative when it comes to talking in absolutes like this. They don't normally do it. In all fairness. The real question is guys like you and me because we are UFC employees, so we got to handle this fairly yet. That argument, you know, and I saw that left and right that hey, jeff and joe are paid by the UFC. Of course they're going to come out and this way, but look, all these things that I'm reciting today, we do that in regards to cheating, I would either, I've, I side with the UFC on a lot of things because I support the sport. I wanted to excel. I don't side ever with cheating. If I think that there's some way somehow that someone has given an unfair advantage and this is somehow being covered up, I would rather not work for them.

Speaker 2:          00:41:18       Joe, my seven, my last 17 years of my career, my, my, my, you know, everything that I've worked for is to protect the rights of clean athletes and to eradicate cheating from the sport. I can't tell you how strongly I feel about that. Sports given me everything in my life. My Dad was a high school basketball coach. Um, it paid for my college and scholarships. It, you know, at least the good characteristics in me. I can all trace directly to sports and entering into the equation the issues of breaking the rules, the issues of the health and safety aspects when you have young, and I talked to many parents whose kids, you know, use steroids because they saw the professional athletes doing, answering that into the body when your homeowner levels are already out of control is very, very dangerous. Both short and longterm. Can't tell you how passionate I am about this issue.

Speaker 2:          00:42:09       And those out there that are saying that I'm corrupt and my reputation has is out the window. I would never ever in a million years sales people, I mean you obviously you have, but you just, you can't listen to those people because they want to find things wrong. Um, one of the things that I've said about you is you're a guy loves to catch people cheating. You like it, you enjoy it. That's not true, man. You do. I don't mind if someone is cheating and you catch them in the UFC program now with what we've established here. Absolutely. Back in the old days, and we've talked about this, look when you had in baseball or in cycling, no testing going on. Literally the organizations were looking in the other direction. I've often said that, look, I don't agree with what they did, but there's a portion of me and that's why I think a lot of these athletes respected me and share that information.

Speaker 2:          00:43:00       But there's a portion of me that said, I don't agree with what you did. I like to think I wouldn't make the same decision, but I damn well understand why you did this. You're fighting for millions of dollars in contracts. You know your teammates are doing it, you know your competitors are doing it and your know your professional sports organization doesn't give a shit because of the weakness of the testing program or total lack thereof. So in instances like that, there was, I never came away saying that guy's an idiot or an asshole for choose. And I came away saying, I kind of get why he did it. If I was 21 or 22 years old and immature, I may have made the same decision. Now come into our program here where you have an organization that cares very much, that spends multimillion dollars a year. This program has done nothing but costs the UFC money.

