Speaker 1:          00:00:07       Bikes with them.
Speaker 3:          00:02:32       Then Western civilization is not built on race. Western civilization is built on certain immutable principles. That's the basis of the book. It's the basis of conservatism to a more classical liberalism. I mean all of this is built on the same idea, which is that this stuff is not relegated to race. Like I'm a Jew. Okay. The Jews weren't part of that original white people bargain. If there was a white people bargain and you're Jewish too. I mean like come on. I mean this is all, it's all bullshit but it's it. But, and I've done open battle with the alt right for legitimately years. I mean

Speaker 4:          00:03:00       I always cite the statutes because it's a useful step, but it's true. I mean I was attacking more than than any other Jewish journalists on the line in 2016 the vast majority of that crap was from the alt right. The alt right still hates my guts. I have to have significant security around me nearly all times because of the number of threats we get from people on the alt right. And I'm being called out right by the economist, which is supposed to be a center right. Magazine in Europe.

Speaker 2:          00:03:18       Is that, that I think is the question. It's like everyone gets it. This is what the media does. They don't mind. They lie, they label, they smear, all of those things. Everyone understands that. But what is it? The economist is basically a respectable as you can center right magazine this, these are people who you would think ideologically basically line up with you. So what do you think is truly going on there? Is it purely just the quest for clicks put Shapiro's picture? I put, all right, all hell is going to bring it up.

Speaker 4:          00:03:45       I'm wondering, so what is it I tend to hold by, you know, the Hanlon's razor idea that it's mostly ignorance and not malice and I think for some of these people it is ignorance. I think that for the economist then they apologized within a couple of hours. I think it legitimately was, there was somebody writing and headline who doesn't know what the alt right is. They don't know the difference between the outright and conservatism in the United States and in Europe. The alt right is a lot closer to European right wing populism. Then the alright is to American conservatism and a lot of ways, and so I think they just figure anybody who's anti-left is all right. I mean they've labeled Jordan outright, they've labeled you outright right now, like not the economist, but a lot of people in the media will do this routine. They'll, they'll say that the IDW generally is all right.

Speaker 4:          00:04:26       I believe I'm the only registered Republican as far as I'm aware in the, in the IDW, it's absurd. People that voted for Bernie. Yeah, exactly. The more people who voted for Bernie than voted for Trump among members of the IDW, I think that's fair to say. Correct. I'm pretty sure that's true, right? I mean, I think Brett voted for Bernie. I think that Eric voted for Bernie. Uh, I know that, uh, Sam voted for Hillary like that. There are many more members of the political life voted for Gary Johnson. Right. You voted for Gary Johnson Ford. I didn't vote. I didn't vote at all in the 2016 election at the top of the ticket. So I'm not sure if there was one person who voted for Trump in the IDW, but we become outright because if you're a heterodox thinker or if you're somebody who asks questions and then comes up with with answers that specifically are designed to reject the outright, then you are suddenly a member of the outright just by taking the questions seriously.

Speaker 4:          00:05:09       And this is part of that's really dangerous, right? You see this with Steven Pinker, I think this is the best example that I saw. You remember Steven pinker gave the speech a few years back where he said, you know, the problem with the rise of the alt right is that there are a bunch of people on the left are rejecting the question and then they refused to give an answer to the question. And so people go looking for the answer and the only answer they get is the worst answer. He wasn't defending the Ansi rats the point, the whole point of his speech was no. We need to give the correct answers that people don't fall prey to the stupid crap that's being said about race and Iq, for example. But we can't ignore the questions about race and Iq because otherwise people are still going to look for the answers to these questions.

Speaker 4:          00:05:42       And what he's saying is effectively the same thing that people in the religious community are constantly saying about, you know, you see people who go to Sunday school and then it's like, well, I asked all my questions and the rabbi or the pastor or the priest, they all said, you know, you're not allowed to ask those questions. And so I left the religion. That's what pinker is saying about logic and reason in western civilized ideas that people came in and they ask these questions and instead of the questions being answered, people like, you're not allowed to ask that question. It's a very bad question. And you saw vodkas did this too to Sam Harris, right? When Sam was talking about race and Iq. And when people say that, when people ask about whether Islam has a problem with violence right then, then this is considered an outright perspective.

Speaker 4:          00:06:21       And so they'll band Jordan's book in Christ church from, from with Kohl's briefly based on the idea that Jordan has suggested that Islamophobia is an overused term and is misapplied. Right. That that's, that's also took that picture with the guy in the shirt, the human with the human, and you've done many of these and I've been on tour with Jordan. He said he's been taking pictures with about 30,000 people that, yeah, I would imagine that's a low estimate. Probably been there where he's had lines of hundreds of people course after giving a two hour lecture after doing 10 interviews during the day, after flying into the city that morning. The idea that he's investigating what everyone's wearing or that anyone is paying any attention to that, the, I forget what you think about what it would sell it unless, unless the shirt legitimately as a giant swastika or giant hammer sickle or something like people are milled through every 10 seconds.

Speaker 4:          00:07:08       I mean those generally come up, they take the picture, they shake your hand, they leave. I mean, you guys have done tens of thousands of pictures. I've done tens of thousands. I don't remember any of the pictures that I took. I mean legitimately I remember the idea was that he took a picture with this guy. Now we're going to, right now we're going to ban his book because then the Cambridge thing, which is even worse, right? That that that was even worse, but I mean even in the New Zealand thing where the, the notion that you are going to be able to crack down on white supremacy by banning speech generally is so dangerous. And listen, if white supremacy will crack down on, I'd be one of the chief beneficiaries of the crackdowns since, I mean they hate me. Right. We'll set it. I sat on rogue and I'm not going to do it again.

Speaker 4:          00:07:44       I'm being really careful about my f word. Use it. We have one of the, I mean as you know, because we're friends, one of the bizarre things is how little I on camera and how much I crossed off camera. That's a lot of f bombs off a lot of f bombs off camera. But good morning then go fucking mornings and erect. Exactly. But it's, but that mean New Zealand legitimately is now going to prosecute people who downloaded the manifesto for the white supremacist. And I thought to myself, well, I downloaded it because I wanted to read what was in there so that I knew how to rebut it. I mean, the solution to this stuff is not to crack down on speech. It was really scary. All right, so there's so much I want to do here. So just let's go with that for a second.

Speaker 4:          00:08:18       So in a case of what happened in Christ church, do you think actually that reading it does add value? Because I get, you want to understand it a little bit, at least the people that are talking about, right, but in another way, it doesn't adjust, incentivize other people to do crazy things because that it's like, Holy Shit, Ben Shapiro, all these, all these Internet people, they're going to read what I said, even if it's complete insanity. And this thing had conflicting, I openly said, don't mention the guy's name. Don't, don't repeat his, his ideas don't guys never publicly, we don't publish names of shooters. We won't do it. I, and I even instructed our people like only report on the manifesto to the extent necessary to knock down myths about the manifesto. And that was the big problem. The reason that I downloaded it was not because I originally wanted to read what the guy said because you don't want to give that credence.

Speaker 4:          00:09:01       It's because the media started immediately misreporting what the guy had said and effectively doing exactly what he told them to do, which is report on everything that I say. So to so as to divide people and then the division itself will create more polarization in society, which is what I want. I mean he says this in the manifesto and, and the, and the media were like, yeah, let's, let's do that thing, which is, you know, it's interesting which manifestos they choose to report on and which ones become irrelevant nearly as soon as they are released. I mean other show really and how they decide what is relevant. But I will say regardless of what, like I don't think it should be distributed. I don't think people should read it. But if you do pick it up and read it, I don't think that you should be arrested for that.

Speaker 4:          00:09:42       I mean, criminalizing people who downloaded a file seems to me really, really dangerous stuff because you can link virtually anything. I mean they, again, they tried to ban the bestselling book on planet Earth from the biggest bookseller in New Zealand because Jordan was in a picture with a human like, I don't trust, I don't trust anybody to regulate speech that way. Or were they looking to arrest people that shared the video also? Yeah, they're doing that too. And now they're saying they want to hold members of social media hierarchies personally responsible for distribution of bad material. This is one of the things that are pushing in in the UK is that they're trying to regulate social media to the extent that they could haul Zuckerberg in the court. And Jaylen, if certain controversial material is distributed via via Facebook. I mean this is not, it's UNAMERICAN is the easy way to say it, but it's not on European I guess.

Speaker 4:          00:10:29       Do you think that's why he's Zuckerberg? Just in the last week has sort of been hinting off like regulate me please. They actually want regulation now. Well, yeah, I think that what's happening for Zuckerberg will get them off the hook. Right, exactly. It's a couple of things. One is the, he's hoping for regulation from the United States government because he knows he's going to get regulated from the Europeans. And what he is afraid of is being stuck in this catch 22 where the Europeans regulate him on speech. And then for business reasons, he starts using those regulations as the basis for policing stuff in the United States. And then people in the United States say, well, you're policing and policing is not even, and so you're actually an editorial outlet now and you should be treated like an editorial outlet as opposed to like arguments for that or I think they should be, they should do it for, for a long time.

Speaker 4:          00:11:09       I think they should be treated like an editorial outlet if they're going to act like an editorial outlet. Um, but he, he stuck sort of between a rock and a hard place. Whenever you see a business that is calling for additional regulation on itself, you can fairly guarantee that this is a corporatist attempt to crowd other people out of the market and to avoid responsibility. And it seems to me that that's mainly what's happening here. All right, so let's back up for a second. So after the Christchurch attack, blue check, Twitter went completely bananas on you. On me, on several other people, Sam Jordan, everybody. Well, it's fun on Sam. Um, none of us have ever called for violence obviously. Of course, single one of us have no problem condemning this. Want these things to be stopped or I can see the glossed over and look in your eyes as I'm saying it, it's, it's, it's securing and

Speaker 2:          00:11:54       boring to have to say it. Um, what do you think our responsibility or our, our duty to respond to some of this is? Because it seems to me it's getting haywire, the people that when someone, when 50 people are killed in a horrific attack halfway across the world, when that happens, and then blue check journalists directly blame you. Let's say, let's just keep this on you for a second. It seems to me they're putting more of a price tag on your head or a more of a direct threat on your head. Then anything that you have ever said.

Speaker 4:          00:12:24       I mean, I think that's true. I think there's not much I can do about it. I mean it there, there's certain material that obviously is libelous and theoretically you could take legal action, but I'm a public figure. That means I'm going to take plenty of slings and arrows and that's fine. I mean, that's, that's part of the debate. I'm the one advocating that we should be able to speak about this stuff as much as you want to. It's one thing for the economist to label me a label that is clearly not true. It's another thing for people to draw the attenuated sort of connection between. I've criticized Islams violent tendencies across the world without saying that every Muslim is violent or, and certainly not saying that any Muslims should be treated with violence. I mean, I've never sent any of that stuff. But if you want

Speaker 2:          00:13:02       Jewish theologians and Catholic theologians, Christian theologians have been arguing about what's in the Bible and what it all means. And all of those things specifically be insane.

Speaker 4:          00:13:10       I specifically say, and I've been saying this for as long as I can remember, I do not analyze the Quran. I do not analyze the religion of Islam because you can go through the religious tax of virtually any religion, including my own, and find stuff that is deeply uncomfortable and ugly. And that's why I believe in a reinterpreted structure. I mean, I talk about that in the book and we'll get to that, I'm sure, but it's, but the, but the fact is that the balance between reason and revelation is very key to my thinking. And so I don't look at the Quran and go looking for versus to take the, I'm not an Islamic scholar. There are many people who are there, they're moderate and reform Muslims. So I've had routinely on my radio show to try and talk about the reinterpretation of Islam. They're much better situated to do that than I am.

Speaker 4:          00:13:46       All I can do is point out that by polling data, there are a lot of Muslims across the world who believes some really radical things that if any Christian believed them, the media would immediately say, this person is a radical Christian by any definition. So I point that out and suddenly it's, I'm saying that what now I'm just, I'm calling for violence against people quite don't know. So who do I don't, I don't know what they, not only, I don't know what they think, but they're allowed to think whatever the hell they want. You can think what you want without being subjected to violence. I don't know how they act. I don't know any of that stuff. I mean, it's its absurdity on its face, and yet the attempt is of course, to be, I mean, you and you saw the media do this, they immediately shifted from what happened in Christchurch is the result of people who are critical, particularly of Ilhan.

Speaker 4:          00:14:27       Omar, you actually saw this, right? There's this move to say, well, if you call Ilhan Omar an antisemite, then you're contributing to just the kind of Islamophobia that lead's what happened in Christ. It's like, wait, hold on a second. I defended Ilhan Omar being able to wear he job on the, on the house floor. I think that's a good thing. I wear a funny hat all day long, right? Like that's fine with me. I don't care. I think that's good. I W I came out originally against Trump's originally formulated Muslim ban when he was like, yeah, no Muslims coming in. I said, this is, this is counterproductive and, and it's intolerant, right? I said all of those things because those are true, and then it was, but if you critique the fact that Ohana is clearly antisemitic, then you are leading like this is an attempt to curve out a to it to carve out speech, right? It's an attempt to say you're not allowed to criticize x because we don't like you criticizing acts, and if we can blame this thing over here on you, then that allows us to silence you on this particular issue.

Speaker 2:          00:15:14       So what tactic may be or some of us missing to clean some of this up because I agree that basically what's happening here is there, there is these people have been incentivized for anytime anything bad happens, you blame a few people that have some influence. So let's say you blame Peterson and you and a couple of other people because it's like, oh, you guys are helping wake up people to their own thoughts and to how to live their own lives by their own volition and, and all the things that are in this book. So there is every reason to attack you because this is what

Speaker 4:          00:15:41       slept. And it's also, and it's also an easy game because the fact is whoever has been very productive in the public sphere, I'm sure has said things that they don't like. Yeah, I mean, I like this. I keep referring to it because it's true. I have a running list of crap that I've said over the past. I've been doing this since I was 17 years old and now 35 so more than half of my life, I have been doing this. I've written legitimately millions of voters, can't remember everything I wrote. I've written a column a week since I was 17 years old. Right? I've written legitimately thousands of columns at this point and I was writing like eight pieces a day when I was at Breitbart and I was writing for pieces a day for daily wire for years on end. I don't remember everything. I remember I had 140,000 tweets.

Speaker 4:          00:16:14       I remember everything that I've tweeted. So if somebody points something out to me, I'm like, yeah, that was bad. Then I'm just, I'm happy to say, yeah, that was bad. [inaudible] you wrote a piece for daily wire, the rest here basic and I update it, I do update it will remind me and they'll be like, yeah, this is a bad too. I'm like, you're right. That was a bad tweet. I did it back in 2008 and it was a dumb thing to do and I'm sorry that that happened. It's like, I don't remember all that stuff, but uh, but it's, it's really a bad faith attempt to take down people who are not like, this is what Tucker Carlson rightly pointed out when people were coming after him. This was not an attempt to make the public space battery. It was not an attempt to wipe out bad speech that was happening in the here and now because we don't have a time machine, right?

Speaker 4:          00:16:47       We can call up stuff from 15 years ago like they're digging up interviews from John Wayne has been dead for 40 years. It's like, well I don't know what you want from John Wayne. Dude's dead right? We can't take up a skeleton and asking for an apology. If I say something now that you don't like, then we can have a debate over that thing. But if you are digging up something I said 15 years ago, all I can do is either say I disagree with me from back then or I agree with, and then we can have a discussion about what I think now. But I can't, like I don't have a time machine. So this is all bad faith, uh, and it's, and it's really pretty hideous. It's one thing to dig up something somebody has said in the past and then say this fits in with their generalized worldview, right.

Speaker 4:          00:17:21       But to take something out of context and then say, ignore all contrary evidence and then just say, well, this is the world view because I want this to be the worldview so I can suggest that they're outside the Overton window and we don't have to deal with them anymore. That's, that's how glean that's, that's what's happening. I mean, even though there's this video that was going around and it got a bunch of heads from some lefty who had taken, legitimately taken, I mean openly taken stuff out of context. Yeah. And put it into video to suggest that I was calling for the murder of Muslims. And it is a lie. It is a full on full stop. Absolute bullshit lie. I mean he took, he took a section from an asteroid that I do for a second amendment group called the u s concealed carry association in which I say that citizens should be law abiding, citizens should be armed and they should have concealed carry permits because if you are going to be victimized by a crime, the government can't stop that so you should be able to defend yourself.

Speaker 4:          00:18:09       He took the part where I say the government can't stop this and connected it to my video about how many radical Muslims that are on earth and then suggested that what I was saying is that you should arm up and go kill Muslims because there are a lot of violent thinking Muslims on earth or extreme Muslims on earth that now I'm suggesting that you should preemptively take action because the government can't protect you. I mean he was legitimately taking too disconnected. Thoughts on two separate topics, cobbling them together and then suggesting that was my position. It was just an open line. Was this a public person? Is this, or, oh yeah, I know this is a public person than actual roof. Is it human? Yeah, this is a human. So what do you do with a case like that? Okay, you can defend yourself on yet we've all done this, but I'm starting to think that that's not enough.

Speaker 4:          00:18:48       And it's an odd place. And I had Robert Barnes here are a couple of weeks for the lawyer and it's like, it's an odd place for the free speech guys to be going. We have to figure out what are the legal protections around speech because it's so not. And I, and I hate it, like in the worst position for me to possibly be. Right. And yet here we are. I mean you just defending herself. Well, the guy's just going to keep doing it. You get him clicks. Congratulations. Right? And that, that is what it is. You know, I'm loathe to either change libel or defamation laws in the United States. I prefer that people say more rather than less. I think most people see through this nonsense. And I if I didn't think that, that we couldn't really have republic is the truth. But it's, but yeah, I mean it's, it's obviously deeply to serving and as a good person, the first thing that happens, you know, if you're trying to be good, like I'm, I don't think, I think I'm a person who trying to be a good person.

Speaker 4:          00:19:35       And I think most people who are trying to be good people, when you are critiqued, the first thing you think is, okay, is that true? And your first instinct is did I do something wrong? And then the more you think about it, like, no, I didn't. This is just bullshit. So I mean other than just calling it out when it occurs, I'm not sure what else people can do. And even giving an air time is a problem because then it just drives them to double down in response and then suggest, no, no, no. Now he's lying. Now he's lying because they, they want to read into what they, what they want to read in. You can't have a good faith discussion this way and it's not meant to be a good faith discussion. How much do you think is just they want to take you out versus just they want to scare everybody else?

Speaker 4:          00:20:09       Like it's pretty clear to me they're not going to take you out out of fear. Right? They're not going, I mean, I think that it's, it's two. It's two things. One, there's always the pipe dream that there'll be able to take somebody like me out, but I think that it's about more than that. It's about making sure that people who are considered inside the Overton window won't even have a conversation with people like me. So Andrew Yang comes on my Sunday special and it's great. I mean, it's a really tolerant civil conversation. I took his ideas seriously. I read his book, I let him speak his piece. It was really nice, very nice guy. I've invited every major democratic candidate and on a judge had suggested that he was going to come out at one point and then he just never has responded yet. I'd love to have them on

Speaker 3:          00:20:48       and ask him some questions and it would be very civil because the Sunday special is a very civil place. Uh, and that's, he got Yang has gotten excoriated by the left for even coming on the show, right? Joe Rogan has me on his show and he gets hit by the left with you're having on that white supremacists, Shapiro, you're going to get hit just for having me on. That's the way this works. Because if they can alienate enough people by saying, okay, well we can't give them, if we can d platform everybody, then it's an easy way of avoiding actually having to regulate. What you do is you just make a deeply uncomfortable and so we sort of, you know, do I really want the flack of having on x, Y or z if that over to the window, I guess I've got to go this way.

Speaker 3:          00:21:23       You keep moving it left right to the point that any that everybody is outside of it and the truth is that that's an effective tech specifically because there isn't Overton window. I mean it does exist. There are people I wouldn't have on my Sunday special. There are people who I wouldn't, I wouldn't appear with. Yeah, I mean I've said that before. And so because that's a little murkier of a line, it's easier to manipulate that line. It's easier to say, okay, well since we all accept that there is this Overton window, then we can use that Overton window and shift the line here and there. Now it's interesting that the Overton window is constantly shifting, as you say, left in every direction. Meaning that you can express the wildest, most insane views on the left and still be considered well inside the Overton window. And if you are as Heterodox as Sam Harris, a Hillary Clinton supporter who has said a couple of heterodox things like I like, I want to look at the evidence on Iq and then analyze how much of that is environmental and how much of that is genetic.

Speaker 3:          00:22:14       And I want to look at how much that affects disparities overall. Or I'm saying that Islam has a relationship with violence globally speaking. Those heterodox opinions mean they're, I mean they're, they'll rule out Sam before they rule out Maxine waters, right? That's the way that this works. So they'll rule out anybody, Christina Hoff summers is too far right for them. She's, she's a white supremacist now, but they'll keep expanding that all the way to the point where anybody's wild opinion is acceptable. Like the right is routinely throwing people out for expressing opinions that we find unpleasant outside of our norm. Right. When Steve King came, finally said kind of openly, the white nationalists comment to the New York Times, we throw them out. I mean we took away as committee assignments and I donated the Max to his opponent. I raised money for Kevin [inaudible] who's running in his district.

Speaker 3:          00:23:00       Right. And, and the left's response was why was he even a part of you wants took a picture. I took a picture with him right before he said any before he said that stuff that was open. Right, exactly. And so that's what it becomes is well, were you once nice to this person? And it's like, well that was before. And also you guys are roots like Louis Farrakhan is still a person who meets with members of the Democratic Caucus. Like what, what, why is it the, the window only shifts in one direction. I'm not going to listen to people who tell me about who should be inside the Overton window when they legitimately refuse to throw anyone outside the Overton window, no matter how vile they are. Ilhan Omar just got defended by the entire Democratic Congress after saying for three antisemitic things in the course of seven weeks. Right? She was defended by the Democratic Caucus and left with our position on the foreign affairs committee

Speaker 4:          00:23:46       because they're, they're afraid that their own tactics will be used against them. So I would imagine in Biden's getting it now, I mean I've been calling this river and it eventually will happen to Bernie to, it has to happen. That's, that's the nature of the beast. How much of this though do you think is that bike? Cause I see this now cause I get a lot of former former lefties, let's say, uh, even some who've been on this show who publicly, they're like this thing the left is just burned. We get what it is. But publicly they won't say that they've shifted or that they're evolving or that if you're an old school liberal you, you can actually be okay with a lot of conservative ideas are conservative people because there's a protection involved. If you're basically a democrat or on the left, Joe Biden can run around with a gazillion videos of sniffing girl's hair and grabbing people in all of that.

Speaker 4:          00:24:34       And yet the people that were going crazy over cabinet, I have nothing to say about that, that there's just a protection. You get as a lefty that you simply don't get and it's, and it's comfortable not to raise your head above the water line. I mean I like, I like tell the story of that on my birthday. So I have a lot of a lot of friends in the media or people find friendly with, I wouldn't call them friends because of this, not because of the people who I am acquainted. Question is would they consider you a friend? That really is the question because it's my birthday, right? I routinely wish people, I disagree with happy birthday online. It seems like a basic thing of courtesies. It's, it's someone's birthday there on the left, fine, it's your birthday. Happy Birthday. People will text me on the left happy birthday.

Speaker 4:          00:25:11       I can't do this publicly. They will not tweet happy birthday because they are afraid that if they tweet happy birthday, they have then given me the credence of I was born in, therefore I'm a human being and they're going to get hit with how dare you wish this terrible person, this, this orthodox Jewish neo Nazi. How dare you wish that person happy birthday, right? The the, the effect of being duped. Lost is a thing. I mean the d the d plus thing I thought was so telling and it was so, and everybody knew gut level that if you said that a person on the other side is a human being that you got hit. But it's funny, I don't get this from the right, meaning that I say Andrew Yang is a human right. He's running for the 2020 nomination. I treated him really well and things, an intelligent guy.

Speaker 4:          00:25:44       I think he's a nice guy. I've said about buddy checks I've never met. He seems like a nice person. Like I, I, I will say that about the vast majority of people who I disagree with on the left and they're nice people who I disagree with. There's some more badly motivated and those people I tried to avoid, but the vast majority of them are like people you'd want to hang out with and seemed like nice people he can have a conversation with. When is the last time somebody has ever said that about somebody on the right there a nice PR by Joe Biden. You Recall? This actually happened to Biden. So Biden said this about pence, right? He said pence was a nice person. Yeah. And then Biden got hit so hard that he backed off of it and he was like, well, you know what? No one can hold the beliefs that Mike pence can. It has and still be a nice person then. I'm sorry we can't have a politics. If the idea is that we are that you are my enemy, then we are no longer even operating in the same sphere than my politics make me evil. But your politics make you a nice person. How am I supposed to have a conversation with you on that basis? So do you think then that Biden is the last chance for any Democrat to be somewhat centrist or decent for all the disagreements you may have with Biden? I mean, even

Speaker 2:          00:26:44       the last one I think is seen not only with the pen thing, but he had to dealt double down with a whole bunch of something as Politics Hillary yet. But he's on the apology tour. But, but when you see how radical the Democrats have gone, and again, this is like everything I was fighting against for all these years, you know what I mean? Yeah. This was like, guys, this is going to happen if we don't start fixing it right now. I don't even think it's my job to fix anymore. Right. It has to just sort of burn. It's just, it just is. That's a very unfortunate, because I think as Jordan would say, you need a certain tension between the right and the left. It's as equal tension, let's say. Um, but do you think Biden's like the last chance for that, for anything that's sort of,

Speaker 3:          00:27:19       I think the carver school democrats. Yeah. Carving out his soul right now. And so we'll see where he stands by the, I mean they'd taken basically an ice cream scoop and gone through his innards with this. And I just, I don't know how much in Biden is going to be left at the end of this. I think Biden's initial instinct, and I really don't like Joe Biden as a politician. I think he fibbed a lot. I, I don't like his policies, but I think his initial instinct before he gets political is that he can talk with people on the other side of the beltway was friends with McCain cane for so many years in all of this. I think that this is being beat out of him in the primaries. Yeah. Because it's just unacceptable. I was hoping the same thing was true about, about Buddha judge, right.

Speaker 3:          00:27:53       I was, I was hoping the Buddhist said she was going to be that right. He said something like, you know, I don't like the position of Dan Cathy, the head of chick fil a, but they make good chicken, so I'll eat there. And I was like, well that's refreshing. Isn't that a nice thing like radical. I know, but that was the, that was the only moderate thing I've heard in the entire Democratic primary and now booty, Trisha switching. And it's, again, Mike pens hates me, my pencils out to get me because he's a bad guy. And if Mike Pence thinks that I'm a bad person, what he's really doing is he's rejecting God because God made me the way that I am. It's like whatever. Mike Pence, his views on the sinfulness of homosexual activity, Mike pence has treated booty guys really well. I mean there's a bunch of records of him like when Buddhist edge was activated in the military, pence personally called him up to wish him best of luck in all of that. Like he's never said a bad word about Buddhist Asia. As far as I'm aware,

Speaker 2:          00:28:37       our friend Rick Grinnell, who's the ambassador to Germany who's gay, the right has only good things to say about Mike Pence. I'm not saying that everything Mike Pence says or believes would line up with everything. I believe. Of course Trump has also been president for two plus years or they come in for the gays, right? It's a, you bring anyone with

Speaker 3:          00:28:53       beautiful. Then the fact that [inaudible] has to make up a fake Mike Pence. Yeah, right. Where we're pens is now his enemy and out to get him is just, it's really telling about the, the polarization of politics and the attempt to shift political differences into character assassination. This idea that pence disagrees with me about same sex marriage and therefore he actually hates me and it's like, well, you have no evidence whatsoever that that is the case.

Speaker 2:          00:29:15       Like you're allowed to hate other people as long as you don't want laws that are different for them. Right. And will are allowed to hate people. It just is right. I don't have to be me and her until to know.

Speaker 3:          00:29:23       I mean I, I, and, and I think more importantly, you are allowed to dislike the behavior in which others engaged as long as you are not attempting to compel them to either engage or not engage in behavior like this is way I think that there's a fundamental distinction that every religious person understands and a lot of nonreligious people don't. When it comes to issues like homosexual marriage

Speaker 4:          00:29:42       or same sex marriage, which is, I don't like a lot of things that people do. I'm a religious person, right? That means that there are a lot of things that Jews do. Like you don't sell it. You don't take off Shabbat. Right. And actually been trying to a little bit more. Right. Well that's good. That's good. Cause I want to get off my phone, but bottom line is you or anybody, anybody else, lots of Jews don't celebrate Shabbat. That's a sin from where I sit. Right? That doesn't mean that I just like you. Right. And I send all the time, right? I violated Shabbat before, either by accident or a while ago when I was in front of on purpose. Like th I do stuff in my daily life all the time where I think, am I missing the religion? Not a perfect human being. Well, this is it, but this is the religious thing. Religious people understand that nobody is. And so when we look at somebody engaging in a behavior that we deem sinful, it's not like we're sitting there all day going, oh, I'll look at that center. It's like, well, right. That's, that's human beings, right? We all sit and that's what we do. And as long as I'm not trying to compel you not to engage in the sin, what do you even care like? It's, it's

Speaker 2:          00:30:31       confusing to many times. Have I said to your face, I actually don't care what your most personal belief is on gay marriage. I genuinely don't care. I know this will be clipped a zillion ways to sound people. Now your head's get the tolerant left, don't have Reuben's. You know, and it's like, but I, I really mean that. I sit on your shelf. You were out there right now. If you were campaigning for people that wanted to flip gay marriage or, or every day you were doing diatribes about how evil gay people are and then we would have a problem, right? But by you taking the libertarian position, you and your, and maybe from, from your moral center and we'll, we'll get into that shortly. You're not thrilled with it. Okay. I guess what I live in a country with people that I don't agree with,

Speaker 4:          00:31:12       and this has been my perspective. I mean, I said this on on Rogan show, this is like they're legitimately millions of people in this country who believe that I will go to hell because I don't believe in Jesus. And you know what I think about that. I don't care. I don't care. Like it makes no difference to me. Fine, you're not coming after me. That's the best thing that's happened to Jews and thousands of years that people are coming after. So like good. You don't believe what you want as long as you're nice to me and as long as you are and as long as you, I don't even think you have to be nice. Well I know, I mean, but I mean as long as you are at, yes. First of all, you don't have to be right. I mean like you may civil as long as you're correct.

Speaker 4:          00:31:43       I mean, right. And as long as you're not using the government to compel me to do things. And when I say nice to me, I mean if you're not like people, look, if we're talking about if I like somebody or not, if you're overtly mean to me, I'm not going to like you. But when it comes to politics, as long as you're not trying to come help me, I don't even care whether you like me or not or I like you or not. I mean that's a, this is why in my view, libertarianism is maybe the only way we're ever going to be able to be able to survive this stuff. Because if we don't leave each other alone, we're just going to club each other and to submission.

Speaker 2:          00:32:08       I mean that's why I've been ranting and raving about all this. All right, so let's, let's shift to the book a little bit. So I really enjoyed it. And then this morning you put up a or a Prager, you put up a video that basically is in conjunction with the book. So first off, the title, the right side of history, that's what the left always saying, right? When you may not phrase. So let's talk about that for a second. Because that's what they always say. Every time a conservative or any one on the right remotely says anything. They always say you're on the wrong side of history, right?

Speaker 4:          00:32:36       No Mama most famously used that to talk about same sex marriage. Right. If you were anti

