Speaker 1:          00:01          Right. All right.
Speaker 3:          28:21          My political rights means deep, deep, deep hypocrisy. Ms Dot government too. Government. So that's all true. You can blame the left only on hands. You know people about how bad am I allowed to swear on your progress? Where away bring it people who voted for Donald Trump. There has to come a point where you just say, well, fuck off. If you're voting for Donald Trump, you have a greater pet. We moved Sean. We will not, we will not give up on you with your fellow citizens. But there comes a point where you said, well, to hell with you, you know, you are peddling. The difficulty is, and is. It does come. I can't. If you're very confused about this, we've now go the worst type of, uh, of leftist leading or opposition parties later who's like a caricature. If I had to write an example of, of the worst of the leftists and Britain, Jeremy Corbyn, Jeremy, Jeremy, yeah.

Speaker 3:          29:19          The only good thing about them becoming a believer, his books I wrote are now selling like hotcakes, but I mean by selfish point of view of science is, is you've got a terrible rights in America with trump in France who's national front in Sweden and Denmark and all these places a pendulum and, and he's popping all over your, no interest because immigration integration, Paul, because the European, a single currency as being one of the greatest economic mistakes. Um, and then you go left in a space where a principal should be certainly embracing. You've got this kind of geographical, a good girl. I'm with, um, uh, any organization, how as a fascistic uh, as long as it sound. So you didn't who? Lots of people who are feeling a bit political politically homeless over here.

Speaker 2:          30:10          Yeah. Does it all feel like a perfect storm to you? What's going on right now, and again this, this is the stuff that's after your book when we talk about the refugees and some of the economic problems in Europe and this, you know, dealing with radical Islam. It was going on while you were writing the book obviously, but it seems, it seems to me we have like five things right now that are all working at the same time. Then you toss in social media, you toss in that. We see videos from everywhere now we see, we can see beheadings, we can see bombing, you know, so you can see, you can see religious violence and you can see state violence all the time that we really have all of this happening at once and it's leading to a, to a very strange place.

Speaker 3:          30:50          I think one thing Dave, we can say with certainty that whoever it was a full of Berlin Wall was the end of history history. If over boy was that a stupid thing to say and you can't, you can't. Let me get back to the point I made. She was stopped at the weirdness and hypocrisy and the awful betrayal of people you get on. People who call themselves the left comes, were like, don't have a socialist alternative you like to have in the Soviet Union falls. Socialism collapses across the world. No one believes that anymore. And that, that was fine for awhile. If I may generalize it a very Glib way, uh, that was fine for awhile because capitalist, and we'll call it what you will, seems to be a great success story, seemed to work. That's why I it for Carolina was not an idiot when he said, well, ever since the crash of 2008, that system of liberal capitalism has failed.

Speaker 3:          31:54          And that's why you've got this feeling of perfect storm. Too many things coming, as I said, what is it is not entirely. There's a wonderful phrase by the Italian socialists, Antonio Gramsci, you own despair. The new cannot be born in that interregnum. Many strange, strange forms will appear. It seems like that we don't know what comes next. We're not sure of what we've got. We're not sure it works anymore. I'm not sure it works, so yeah, or Ms Dot middle class America. Americans watching your program have their payers and going after the super rich are getting richer. The American dream doesn't seem to quite work anymore. Even with it with a bomber. Listen, not quite clear where. Where are the old challenges for that? Aren't you get these strange boredom's a free case forms, which is when I wrote about cork. Yeah. As I said, people just kept saying for your neck, neck, neck that suggest they suggest on the friendlies. Well now it's on the main screen.

Speaker 2:          32:50          Going to that point. What about some of the tactics these guys use and I want to talk a little bit about Chomsky, but first we can talk just sort of in the more broader sense. When I've seen the way these guys debate or the way they treat topics and you know, again, everyone is racist and all that. They don't seem to mind if they get caught in lies. They don't. They love just throwing out the bomb and then we let it spreads like wildfire on social media and you know, there's that famous saying, you know, it takes one second to lie, but it takes a lifetime to get it back or whatever. And it seems that a series of these guys, they love this and I don't know, look again, I'm not on the right so I can't really. I don't like the right. I've never been part of the right. So I police them differently, but I don't want to see this from my guys. So what do you think about just the tactics that they're using?

Speaker 3:          33:37          One question to you, a plain speaking, open heart. It doesn't behave. Any bathroom that people

Speaker 2:          33:45          look, they don't look, I'm, look, I'm dealing in America with trump right this second with over the top bombast city. So, and again this is why. Look I'm a guilty liberal in that sense that sometimes I feel bad. I spent so much time on the guys on my side and then I'm afraid, you know, people ask me all the time, am I afraid that ultimately this will strengthen the right? But I, but to me it's like, if we don't stand up now, well then the game is over. We just hand it to the right, which is what's happening. I think with trump.

Speaker 3:          34:14          Uh, well, um, there is a long tradition of, of, of lying on the left, you know, if you go back to, to Stalin, he, he golfs gullible people to believe in show trials where people confess the croc impossible crimes that were committed. So there is bad. I'm less, I'm less interested unless concerned about left and right. Then this, here is something that happens when with new media, you know, have stapes, uh, here for two years, I think is a pretty bad thing. Uh, I think his main audience seems to be little girl, and this could be reusing material to write, but you know, uh, it's, you know, it's a bad day. You've got nothing to do. You got no ideas. I know I'll turn on Fox News is, is we're pretty lucky. You've now got states, Russia and Iran most notionally producing propagate the gamble. So beggar cater to pushing whole truth, conspiracy theories, lies, you know, gets shot down over Ukraine.

Speaker 3:          35:24          There's television channels in English who are pumping stuff out. So you were around as wants, if you're on the left in America, you just have to go on and on about something. Nixon was posting downs or something in the Wall Street Journal reading something on Fox News. And if you're only in America, you were complaining about New York Times, you know, deliberately covering something up. Now you suddenly go whole states, uh, with their secret services at foreign offices that propaganda arms behind him pumping material include west, which is instantly taken up by both the far left on the roads case. It's very difficult certainly in Britain. So as I say, things have gotten much much earlier than they have in America is very, very difficult to tell her. Um, uh, uh, the people who support boosting, for instance, in Russia today, you've got marine Le Pen doing it. Who is the lead for French far right party. You Got Galloway gallaway who's just screening as combination of left business. And Mr Griffin, I mean, and so you've got a kind of merger of the extremes against liberal democracy and they're both equally Kim Kardashian that both equally sinful nature raw. What matters to the most is, is building conspiratorial narrative.

Speaker 2:          36:49          So in a lot of ways we really could blame sort of mainstream media for this craziness, right? Because it seems to me that for a long time, mainstream media, which had no competition before the digital age, they did such a poor job that then they handed everything over to the digital side and I think for awhile the online media for the first few years of it, I think they did do a really nice job in breaking stories and getting out information that you wouldn't, that you wouldn't get otherwise. And now it seems like the gloves are off and now it's, anything's true. Nobody knows who to trust.

Speaker 3:          37:20          Yeah. Um, yeah. But there's a lot of truth now except some kind of binary division between new major in Obj. It's good journalists and it's a problem. Dave, if you are me to go and observe a or a on the time, do you, you're talking reports on the La Times a and something that you've done a terrible job of. You're allowing all these, a crank. These fruitcakes sees a Flim, flam merchants from all over the world or to walk all over you. The man or woman the La Times was, it looked like, oh, business models collapsed. You know, we're trying to staff your rows and in Peking and Beijing and you know, give me a break. Yeah, we can. We can. We can barely get a report or you know, up the road, San Francisco, the business model for if you like serious, a serious farmer, as good as it is, getting harder and harder, sustainable.

Speaker 3:          38:23          Surely La Times and newspapers and across America are to my knowledge from having met him and we work on them. I'll to try and keep it going. But Indian, the lack of money talks, money talks. That's the silence that comes from the lack of money is a silence between. Yes, yes. This debate, so the gap is being filled and what worries me is it's not people talking rubbish or people talking drivel is they always have is where are you going to get the reliable report? So what is happening in Peking, Beijing? Where are you going to get the reliable pull reports on how coaching is manipulating a European opinion that's getting harder and harder to.

Speaker 2:          39:09          Okay. Well, as it, as someone that I consider an expert in this space, how do you decide who to trust? I, I really don't know anymore. I, you know, I follow a lot of different organizations, right? Left middle, know as reputable and some off the deep end and I try to pilfer out some knowledge and some truth and I try not to only follow things that reinforce my beliefs, which is another huge problem with social media has given us. But how do you decide who to trust?

Speaker 3:          39:34          Well, you probably got accused me of being horribly old fashioned stuff, but I mean there are student organizations I trust, you know, um, I still trusted off trying to newspapers and Alexis because I know there's a very, very strong editing process there and it's opinion pages are sap for us and what have you. Now that may changes as the business model for journalism goes down, but I still don't.

Speaker 2:          39:57          Well, look, they had an op Ed on the front page for the first time in [inaudible] 95 years.

Speaker 3:          40:00          Just disgraceful. Disgraceful. Yeah. Let's go around the wheels, go round and have a dinner. So we don't want your bloody opinions. We also say, give us some news.

Speaker 2:          40:10          I've read a paper that had that on the, on the front of. All right, so let, let's back up for a second. Let's talk for a few minutes about Noam Chomsky because you talk about him a bit in the book. It's not a tremendous amount but you. But I have a friend, uh, who is on what I consider it in this regressive group. And a lot of times we'll be debating back and forth about this stuff and I'll, I'll be giving him as much historical knowledge as I have and as much factual knowledge as I have. And then he'll sort of always end everything by saying, well, I don't really know about that, but I read some Chomsky and I'm just kind of giving back to you. And I think you sort of hit on that also in the book that there's just this belief in this guy that maybe isn't fully warranted or he's been. He's been very good at waving off the things that don't quite agree with his worldview.

Speaker 3:          40:56          It's interesting for two reasons. I mean, he was an old guy. Come on, shout them down. But I mean he's adopted some pretty disgraceful positions, a massive Bosnian Muslims. And so going along with people who are 1990 and going along and never missing is wrong. And building this very. Trump's, his writing is very poor writing, so stands for English, but it builds is very dense web of light. Your friend wants your in your like, uh, a fly in the. Whether it's very to go out, so that's. That's kind of a a fishing. You say in America, you finished this man. This is. This is all from a point of view. It sort of made up and actually when you figured out what he's doing is quite disgraceful, but here's why Chomsky was worth diversion. Chapter two is it is what kinds of. You are young on an American campus and you get your.

Speaker 3:          42:03          Can you read all his books and you think, well, what kind of society are you aiming for? There is no social vision. There's nothing that the grasses and socialists to run through American history from the 18 eighties were recognized. So just say, this is all just saying Americans, shit me, me, shit, America. We probably would never have happened. The pilgrim files, we probably have churned down at Plymouth Rock and gone back to England. The whole thing is a disaster. Everything it does is wrong. The thing is alive and you think, well actually ridiculous World Vision, funnily enough. Here's the thing. It's really easy to buy into because you didn't have to commit to anything if the regressive left. And so I really liked that phrase, well, let's take the regressive left. Skin left the post socialist left. On the one hand it has very little to say positive and that's, that's kind of easy for everyone to sign up to.

Speaker 3:          42:59          You just have to think that Washington is a pile of shit. But I mean Washington DC is a pile of shit. Well that's sure as you know, the State Department doesn't have, is doing fine. The CIO is wicked. And so instead of having a left wing, you had to make really positive commitments for, you know, 40 years ago I couldn't have come on your program and said, I'm a socialist, right? I'm a socialist. I. And you're already said, oh nick, he's associate if that sounds good, we'll go along and I say I wasn't massively high taxes or I want to nationalize this and that. And people who would it be an agreement? We said we'll back off and say, hell, I don't want anything to do with this. You know, this guy is threatening my Livingston. Now you just have to say that, uh, everything you read is ally, uh, your government's evil unless been, unfortunately, that's actually because the flaking, so few positive policy commitments as Chomsky does.

Speaker 3:          43:57          It's certainly very easy to go along with him. You know, I get into the hands of people here in London, which is a very expensive city for the rich people I know. And that books find them Chomsky on the, on the, on the, uh, on their shelves. And that's big because funnily enough rules, suppose radicalism that kind of left without a positive program with just the critique is no threat to them. It's no fretful wealthy. He's known knowing fractally pamphlets. They were friendly bankers on Wall Street. You know, it's something. Lots of people when they quite justifiably often pissed off at government or because you know, they, they, they've got a conspiracy theory mind though because they will look friendly. Everyone can sign up to that January left wing program is hard. The genuine left wing program make friends and enemies, but this kind of pseudo life, this regressive left. It's terribly easy, easily even too easy I think for any successful political movement.

Speaker 2:          44:56          You know, it's interesting because I was really embedded in it for a couple of years and I guess I hadn't pieced this all together what you're talking about, but right now, but part of my frustration was that we never talked about solutions. We always could talk about problems, right? It was always, you know, the American industrial complex and and bombing and race and whatever, but there were never solution so that, that does get to what you're saying that it's

