Speaker 1:          00:00:02       We
Speaker 3:          00:14:49       So all 16 of you guys say that he's this stuff and you say you've got to George. I just not feeling it, so I'm not going to do it, but he's a moron. So would you say that this is one of the cases that part of the problem, and I think this is a through line through everything we're going to discuss for the next hour, is that I don't know who to believe anymore. That's become a thing. So James Clapper, who you just mentioned, he's the same guy, the same CIA director who sat in front of Congress and said that we're not spying on Americans remember, and he was scratching the top of his head because as they say in Seinfeld, when you're lying, you touch the higher up you touch on your face and the bigger the lie is, and he's great. And he says, we're not wittingly spying on the American public.

Speaker 3:          00:15:24       We now know that that wasn't what he said was, I gave the least untruthful answer I could give, but later on he admitted it. And so to me, as far as I'm concerned, he's. He's legitimately honest guy. Well I guess he gave the least honest answer. He least untruthful and least untruthful. But it wasn't I guess I guess. But it wasn't truthful. Well, it was classified. It was classified. He wasn't supposed to talk about it, but. All right, so without, without getting too caught up in the words though, but do you think that's part of the problem that we just don't know who to believe anymore? I don't believe our government officials. We barely believe the media. Well, I have my own issues with government, but my thing, my problem with the Iraq war is that Republicans failed to say what I've said and defended. Even Jeb Bush is not defended that properly.

Speaker 3:          00:16:06       He was asked when he first started running. What do you think about the rack? Wah, Wah, Wah. But I, I mean, honestly, if you can't even defend what your brother did, how can other people do it? So I think Americans have forgotten why we went there at one time, 73 percent of the American people's support at this war. You have to remind people of why you've, why you've gone to war and remind people what the reasons are and people have forgotten it. Now they have this vague idea that George w Bush overreacted and, and went in there and depose somebody because he just didn't like him. Uh, and uh, that's why we were there and let's not do that anymore. That's kind of how people have given the cliff notes version of what happened and it's unfair. So what would you say to the people that would argue that isis wouldn't exist right now if we hadn't toppled sit down because he at least had for all the horrible things he was doing in the bath party.

Speaker 3:          00:16:51       We're doing terrible things and they were executing people and throwing gays off roofs and uh, you know, using mustard gas on the courage and all that stuff, but at least he was keeping a sort of lid on the actual craziness that we're seeing right now. Um, my, my problem with that is that we don't know what Saddam Hussein would have done had we not gone there, even though we didn't find the stockpiles. There were two people that George W Bush sent to find the stockpiles. One was named David k, the other was named chuck doll for both of them said we didn't find any stockpiles. We screwed up. However, this guy was going to reconstitute his WMD program and reconstitute his nuclear program. When the heat was off, so we would have had a dope deal with him. Anyway. The second thing I say is that President Obama pulled out all the truth because he ran in 2008 and said the Iraq war was a dumb war.

Speaker 3:          00:17:36       We never should've gone there. Over the advice of Hillary as secretary of state over the advice of his secretary of defense, Leon Panetta, over the advice of his former secretary of defense, Robert Gates, over the advice of the joint chiefs. He pulled out all the troops. He was warned, if you do this, there'll be a vacuum. He did it. Anyway. Ray Odierno is a member of the joint chiefs. He just retired and he gave a speech when he retired and he was asked if he. Does he believe that we should have left people there? He says, yes. Have we done so? I said, it could have been dealt with, so in my opinion, however you feel about it, when Obama walked in, inherited this mess, he should have made it better and not worse. He made it worse. So in a way you're, so you're sort of blaming both sides, right in that, in that, or I guess I would blame both sides.

Speaker 3:          00:18:18       I want put words in your mouth. I would blame both sides here and that we went to the wrong war and then by Obama leaving the way he did, even though most of the Americans very clearly didn't want to be there anymore and when he ran for president seven years ago that his whole thing was, we're going to get out as soon as possible, but that then created the breeding ground for this because we didn't leave in a in a sorta. I'll go halfway with you. We didn't go into the wrong war. Went to the right war for the right reasons. I think the intelligence was good and I think the problem was when Obama came in, he wanted to get out so quickly that he did not realize what the aftermath would be. And I'm not the only one who said this. Robert has written a book scathing attack, the most scathing attack on a sitting commander in chief by a former member of cabinet member I've ever read, and he even recently, just a few days ago, Dave said that Obama's national security and foreign policy advisors are dangerously naive.

Speaker 3:          00:19:08       They see the world through this prism that they want, which is why the Benghazi thing happened. The reason that mid godly thing happened as Obama's running in 2012 a GM is dead. A GM is alive. Osama bin Laden is dead and Qaeda is on the run. Therefore, Ben Gazi was not thoroughly defendant because they thought that the Libyans were happy with us because we got rid of Gaddafi. Yeah. Uh, and so, at least in my opinion, the Obama Administration sees the world through their prism of this ridiculous idea that if we are nicer to people and reach out with an unclenched fists, they will reach out in kind. The world doesn't work that way. We have bad people who hate us and we need to deal with it. Right? So I'm with you on that part for sure. Because look, if you think back to the big speech that Obama gave in Cairo, which was the, everyone said, this is the reset, this is the, we're going to be different.

Speaker 3:          00:19:55       We're going to try to deal with people in region less with more with discussion. I mean the Middle East especially, but most of the world we were in more of a precarious place now than I don't think any part of the world is better off with Obama in a. and I think that you look at polls now, George W Bush left office, uh, in the, in the low thirties. I don't think any president has been that unpopular in my lifetime. You look at polls now, more people like George W Bush didn't like Obama. Obama's rating is at 45 percent. Bill Clinton's at this juncture in the seventh year of his term, he was at 65 percent. Most American believer on the wrong track economically. And most Americans believe we're on the wrong track in terms of foreign policy. Yeah. Alright. So I don't want to get too lost in, in just foreign policy. So last thing on this is a lot of what you're saying sort of sounds like neoconservative stuff to me is there, can you be a libertarian and a neoconservative?

Speaker 3:          00:20:42       I mean, I know this is what you're getting to before. This is sort of why you don't like Ran Paul, but do those things seemed like they have nothing to do with each other and yet I know that there's a lot of people that do sort of get what you're, what you're saying. Well, the term neoconservatives and to me as a four letter word is a term that people invent to, to malign somebodies position. I see the world realistically. I think we have enemies. We need to deal with them. Uh, I did not believe, as you did just now pointed out that we should have gone to war in, in Libya. I don't believe in doing anything unless it's consistent with our national security interests. When Jimmy Carter, for example, uh, through the Shah of Iran under the bus in the seventies, what was that all about?

Speaker 3:          00:21:17       He did it because he wanted freedom. He wanted to liberate the people who are behind bars, the same people we now call terrorists. Uh, these are the ones that Obama force the shaw to let out of prison and they ultimately topple the regime. What's that all about? It's not our job to impose democracy. It's our job to make sure that countries are not our enemies. Our countries are doing things that are consistent with our own national security interest. That, that's my problem. Right? So you don't want to nation build, you want to do things that you consider sort of defensive posture. Correct. We went into a, a, a Haiti I think during Bill Clinton's administration because they were having difficulties, not our job. Uh, I want to get this right. So I'm gonna. Look at my notes for this. According to this, uh, you are black, is that correct?

Speaker 3:          00:22:02       That is correct. Not African American. That's not a term I like you. How come you don't like the term as ridiculous? I was born and raised in America. I've never been to Africa. Uh, how, why am I an African American? Most of my people that have been here longer than most of other other people in this room, uh, yet most people don't have a hyphen. Uh, you know, I'm an Italian American, Greek American, Romanian American. It's an absurd term. It's a term that Jesse Jackson almost single handedly cram, cram down the throats of our media. And after Jackson began to talk about why a black should have some connection to Africa, all of a sudden New York Times, La Times, all of the media began using that expression. It's the excellence. Yeah. I mean, I personally don't use the term African American that much because one time I had a guest on the show and I referred to her is African American.

Speaker 3:          00:22:46       She said, well, I'm actually Jamaican. So, you know what I mean. So I guess that that goes to your point. And I remember reading one time, Dave, somebody, uh, uh, was given a description of some suspect who had done some crime, was running away, uh, and uh, he was described as an African American. How do you know where he was from? Goodman from Africa coming from Jamaica, from Canada. So what are they going, what, what do you make of that when someone like [inaudible] I know you really rail against Jesse Jackson and, and these guys on the left that use, and I want to talk a lot about identity politics. So the guys that use these phrases, what are they going for? Their. Well, their goal, the goal is to tell black people that were victims that uh, discrimination and racism remain major problems in America when in fact they don't, uh, and uh, they want black people to vote for the Democratic Party.

Speaker 3:          00:23:31       The Democratic Party gets a 95 percent of the black vote. Uh, and the reason they get it is because blacks are convinced that the number one issue facing the country right now is social justice, racist, white cops, uh, discrimination, systemic racism, microaggression, whatever, a new word that come up with and as a bunch of nonsense. And number one problem domestically facing this country is a breakdown of the family. And uh, President Obama said it, I didn't have a black kid or kid, not just the black kid. A kid raised without a dad is five times more likely to be poor and commit crimes nine times more likely to drop out of school and 20 times more likely to end up in jail. So you're far more likely to end up in jail without having a dad than you are because of a white racist cop. Right? So, but you wouldn't not acknowledge that there are some systemic issues.

Speaker 3:          00:24:14       And give me an example. Tell me what you think the most instamatic racist issue is. What is it? Well, I would say that because black people in most cases, in many cases we're descendants of slaves. That racism as a, as an institution that in 2000 a certain amount of it just exists. Two thousand and 15. That gives me the most blatant racist example you can come up with right now. Um, I think you could probably find evidence that in general cops or the cops are more willing to shoot if the perpetrator is black. What's your date of Nyu? What's your basis for saying that last year will look. I know a lot of people would say, look what's going on. And I know what they would say, I'm talking about what the facts are. Nine hundred and 65 people were shot by cops last last year and killed four percent of them were white cops shooting unarmed blacks in, in Chicago in 2011, 21.

Speaker 3:          00:25:05       People were shot and killed by cops. Uh, in 2015 there were seven a in Chicago, which is a third black, a third white, and a third Hispanic. Seventy percent of the homicides are black on black, uh, about 40 per month, almost 500 in the per year last year in Chicago. And 75 percent of them are unsolved. Whereas the black lives matter on that, the idea that a racist white cop shooting unarmed black people is apparel to black people is bs, is complete and total bs. And, and the reason for these so-called activists saying this is the assumption that racism remains a major problem in America. The media, CNN, especially MSNBC runs down whenever a black cop shoots somebody, uh, and, and uh, and it's, uh, some, some march on Washington. It's ridiculous. A black people, half the homicides in this country are committed by and against black people. Last year there were 14,000 homicides.

Speaker 3:          00:25:55       Not talking about suicide. I'm talking about homicides. Half of them were black. 90 six percent of them black on black. Of that 7,000. Where's the black on black lives matter. People on that. So there's where you would say that this is purely because of social justice, purely because they want ultimately for people to be angry enough to just keep voting democrat. That's right. And where's, where's the evidence of a lack of social justice when a black suspect is killed by a cop? Believe me, the media's on it. People are watching it. Uh, and uh, and justice will, will for the most part to occur in Baltimore where Freddie gray was killed. Freddie gray died in a van, I shouldn't say was killed. Died in a van. Yeah. You have a city that's a 45 percent. Black City Council is 100 percent Democrat. The majority of city council is black.

Speaker 3:          00:26:44       The top cop at the time was with black. The number two cop with black, the majority of the command staff is black, the mayor is black, the age is black. Uh, and yet here we are talking about racism. I mean, it's, it's absurd. It's absurd. So it's funny, I find myself caught in between this a little bit as a liberal where I want to always try to defend the other. So in this case, the other being black people, I'm always sympathetic to that. And they, uh, yeah, yeah. At the same time I hear you laying out a pretty solid. Well, these are just the facts. I'll tell you something else too, that was just a study, a university of Washington, uh, and it turns out cops were more reluctant, more hesitant to pull the trigger against the blacks black suspect than a white suspect. Uh, probably because of the fear of being accused of racially profiling and the fear that the civil rights establish it was going to come down on him.

Speaker 3:          00:27:31       So if anything, uh, whites are more likely to be shot by a cop under, under certain circumstances than a, than a, than a black person. And in last 30 or 40 years, the number of percentage of suspects killed by cops who are black has declined. Seventy five percent. However, the percentage of whites killed by cops has flatlined. Yeah. And so if anything, people are more concerned about shooting black people for fear that they're going to be called racist. And almost all every one of these incidents, whether it's Eric Gardener in in New York who died because he was selling loosies and we resisted arrest, whether there's Tamir rice in Cleveland who hit, was twirling around the gun, whether it's Michael Brown in Ferguson who had just a committed and strong arm robbery. Almost every one of these incidents involve somebody resisting arrest. Why don't you just do what the police tell you?

Speaker 3:          00:28:16       My Dad said, when I get pulled over, had my hand at 10:00, have my hand at 2:00 say yes sir. No Sir. Make sure my paperwork is in order. And if I feel the cop is mistreating me, get a badge number and deal with it. Later on. If Jesse Jackson and Al Sharpton and Obama and the whole group of them told black people to do that, we'd have a lot fewer of these things to deal with in the first place. Yeah. All right. So, um, with the, uh, I'm hearing a lot of what you're saying in here. So as a black conservative then who now you've, you've laid out your case there, but you haven't laid out yours. I asked, I asked you to name the most important example of racism and you gave white cops going after black people and I, and I told you, gave you the facts for that.

Speaker 3:          00:28:55       So that's nonsense that you must have something else. What else does it, if you think racism remains a problem in America? Give it to. Well, I think it remains a problem. How do you not even tell me it may not be systemic in that we have. It's not like you're not being hired because you're black. There's no systemic reason, you know, legal reason that, that exists, that kind of thing. But I think that racism as a general, uh, I need some. I need some. I need some specifics that you gave me, the white cop thing. What else? Give me another example. What do you think is a problem? We'll, we'll, uh, as a black conservative telling me how to know you, how do you get people to come around? You're, you're the one who made the assertion that racism remains a major problem in America.

Speaker 3:          00:29:30       I asked you to give me an example. You gave me white cops going after blacks. I, as far as I'm concerned, you didn't hold it up very well. It was the other argument you have. What's the other thing? Well, I don't know that it's systemic in that in the sort of macro sense, I'm not an ad. I know that. I want to know what it is you're, you're talking. No, no, that, that's exactly what that's. Believe me, that's 100 percent. You're not getting into school bs that we have a race. We have affirmative action. So a black person with a, with an sat and a GPA of x, we'll, we'll get into a school faster and easier than a white person with an sat or a gpa of x. and if going to, going to school is a route to the middle class, you can make an argument that blacks have an easier route to middle to the middle class.

Speaker 3:          00:30:10       If you're talking about a black poverty, um, the poorer you are, the more accessible loans and grants are for you. Uh, the, the, the, the problem, the biggest burden that black people have in my opinion, again, is the percentage of blacks, 75 percent of them that are raised without fathers, uh, and that has every other social negative consequences connected to it. Crime, uh, not being able to compete economically in the country, being more likely to be arrested. That's the number one problem facing the black community. And when I hear people telling me about systemic racism or unconscious racism, I always say, give me an example. And almost nobody can do it. So, so the family stuff. So I'll follow your logic there and family stuff. What can actually be done about that then? Because that's a big reverse. The welfare state, uh, in 18, 90, 1900, you look at census reports, a black kid, believe it or not, with slightly more likely to be born to a nuclear family than a white kid.

Speaker 3:          00:31:07       Even during slavery, uh, a black kid was more likely to be born under a roof with his biological mother and biological father. Then today what's happened is we launched this so called war on poverty in the sixties were literally, Lyndon Johnson sent, people were knocking on doors and I lived in the sixties and people knocked on doors uprising. Women of their availability to welfare provided there was no man in the house. And we went from 25 percent of black being born outside of wedlock and 65 to 75 percent right now. And you look at how much money that we spent on welfare, uh, in the lines are parallel. It was a neutron bomb dropped on this country and not just in the black community, but on people in general. Uh, at one time, only about five percent of whites were born outside of wedlock. Now 25 percent of whites are born outside of wedlock.

Speaker 3:          00:31:52       I was in college in 1970 and there was a report called the Moynihan report. Uh, the Negro family, a case for national action is written by liberal by a man who became a Democratic senator for from New York. And at the time 25 percent of black kids are born outside of wedlock. He said, my God, this number is, is horrific. If we don't do something about it, it could get even higher. Well, fast forward 25 percent of white kids and now born outside of wedlock. It is the number one problem in this country. And what we've done in my opinion, is we've economically incentivized women to marry the government and we've allowed men to abandoned their financial and more responsibility. And now we have this. So do you think the left has done this? Right? Okay. So do you think then that as a, as a black conservative, that the biggest issue is it's impossible to have this conversation, right?

Speaker 3:          00:32:36       Right. Like the stuff we're talking about right now is rarely discussed in the media. You know, people, you've written some books about it and people talk about it every now and again, but we rarely have this discussion because, and this is where I will agree with you that the left has made language such a problem and everyone's so trigger warnings and safe space that we're afraid that if you have this conversation, that somehow I'm going to come off racist. You know, that's not where we were, where we don't have the conversation. We don't have the conversation because the left within have to look in the mirror and go, Jesus h Christ, look at what I've done and they don't want to do this. I've had a radio show for almost 25 years. I've invited Jesse Jackson on 50 times 60 times. I've invited our sharpened on that. That number, a maxine waters, another loud mouth, black woman around here with running around talking about racism.

Speaker 3:          00:33:20       She won't come on my show either. They don't want to deal with these issues. Why? Let's have a conversation. If I'm wrong, tell me I'm wrong. Tell me how I'm wrong. Give me your data. Give me your facts. Tell me what you got, and I could quote the, the Brookings Institution, which is a liberal think tank and the Heritage Foundation, which is a conservative think tank and they will both tell you that there's a relationship between crime and bad schools, uh, and going to prison and not having a dad. So this is not just a liberal kind of thing or conservative kind of thing. It's a real world kind of thing and they don't want to have that conversation. I have never heard a reporter ask Obama about the connection between the rise of the single parent household and the rise of, of, of welfare spending. I've never heard anybody ask him that question.

Speaker 3:          00:34:00       Not one time. Yeah. And so as far as I'm concerned, is this, this, this, this, um, desire not to have this conversation for fear that then will cause you to rethink your assumptions. A psychologist would call that cognitive dissonance the, the, this, this anxiety that you feel when you have had your assumptions challenged and you don't want to do it. It's uncomfortable. Yeah. So how then would someone like you or someone that believes in what the things that you're talking about, how do you wrestle away a little bit of the narrative from the black lives matter folks, because obviously you tell them, I tell the true care about the same thing. Of course I do. I tell the truth. I talk about, uh, the number one cause of preventable death for young white men is car accidents. The number one cause of preventable death for young black men is homicide committed by other young black men.

Speaker 3:          00:34:45       I tell the truth, I give the facts and the facts are racist. Yeah. So facts or racist Hashtag facts are racist, right? So, uh, you know, I'm friends with, uh, another black conservative, David Webb, you probably know Sirius Xm and he's a Fox News contributor and I had been doing a progressive show awhile back and I was on with someone and they didn't know him personally, nor knew that I was friends with him and they kept saying he's the token black guy on Fox right now. I'm sure you get plenty of token boot licker, uncle Tom, sambo, sambo. Tom Coconut as in Brown on the outside, white on the inside, a Oreo same concept, a the antichrist, and you've got a hold of because they've got to maligned somebody like me. I am a bigger threat to their whole ideology than almost anybody else. A black guy who does not believe that he's a victim of black guy who believes in hard work and personal responsibility.

