Speaker 1:          00:00:01       No.
Speaker 2:          00:05:21       All right, we're back, baby. Joining me this week is a radio host, columnist, editor and chief of daily wire.com and most importantly now to Time Ruben Report Guest Ben Shapiro. Welcome back. It is here. I thought you would be the right guy to have for the first show in our new studio. I don't know what you're thinking, but sure. Well, because a lot has happened since we last spoke. Probably A, I'd say roughly about a year ago and I was with you on election night. You had me over at the daily wire studios and we had a great time and we had some beers. You were reading a lot of m and M's. Oh yeah, and that sugar intake. Now,

Speaker 3:          00:05:58       the thing that I found most interesting was that you did not like Hillary, right? Fair to say. Did say, and I think she's awful. Not Like Hillary Clinton clearly do not like Donald Trump. Right. So, so far I'm good. Yeah, you're, you're right on the money. That's so watching you throughout that evening, the rollercoaster of emotions that you were going through, going from when I sat down, when it's still a good for hillary to then it's starting to look like trump then realizing it was inevitable, but before they called it and everything else. I mean you went through every emotion alone. Bizarro world. Yeah, it was definitely, it's definitely weird because you know, I was, as you know, I was sort of rooting for both of them to get left adrift in a rowboat somewhere. But unfortunately one of them was going to be presidents of the United States.

Speaker 3:          00:06:41       So there was, there was a bit, there's a lot of up and down and going on, meaning that I was overjoyed that Hillary was not president of the United States. Anything that kept hillary out of the White House. I was very happy about. And then I looked at who was actually entering the White House and I went, oh this, I have some, some trepidation about not, not sold on the, on this whole trump thing cause I hadn't been, I didn't end up voting for either of them. I left the blue at the top of the ticket blank. Neither of them fulfilled my basic requirements to be president of the United States. So now you know, I was wrong about where I thought trump would be. I thought trump was going to lose just like everybody else who is looking at the polls from nate silver to Larry Sabato and uh, and I was clearly a 100% wrong on that.

Speaker 3:          00:07:16       So now I just hope that I'm wrong about him as a person and a president because if I'm right, then it's going to be a long four years. I have a feeling that no matter what happens, it's going to be a little no. I for sure. Whether he does good stuff and people come along for the ride or whether he does bad stuff and they don't get as good stuff, then I can feel good about it. Right? Like I'm hoping that he does some good stuff. Yeah. At this point you have to do. Right. Even if even if you like any of his positions, he's taken over the moral center that seems to do root for him as the president. So I root for him to do good things. I don't like the phrase people use this with Obama also root for him. I don't read for trump, I don't refer Obama.

Speaker 3:          00:07:51       I didn't root for Hillary. It's not a team sport there and I like the white sox and the bears and the Celtics. I root for them. I would like to see them win. But in politics it's not just about winning, it's about what you do to win. It's about the policies that you implement that constitute winning. Like how do you actually gauge winning? So for me, when, when trump makes a bad deal, that's good for him politically. That sounds something I'm in favor of. Right? I'm not rooting for him, even though it helps him politically and I'm rooting for him to do good things. So I'm rooting for me. Right? I'm, or even from the country, I'm rooting for him to do the things that will help the country more than makes I'm fine, but help that'll help the country. Uh, but what I fear is that I think people are rooting for him or rooting against him.

Speaker 3:          00:08:28       And if that's your, I sent this on my podcast today. If, if your moral center is basically good for trump, is good for the country or bad for trump is good for the country, you need a different moral center. So that seems to be the place that we're at right now. We're trump said I'm going to win. I'm a winner. And that that force of will was almost enough in and of itself, an amazing bank, Hema winter. So he's your version of winning, which would be, uh, you know, having certain, uh, ethical code, whatever, whether we agree on all, every little policy is irrelevant. But can you win on that anymore? Now that we've seen how trump won. Do you honestly think that a conservative can when you playing the game that's out there? I do think that, I think that some of the things that trump did, and I said this very early on, I mean very early before he started kind of making an ass of himself repeatedly.

Speaker 3:          00:09:18       I said that actually there was a good shot that he would be a better nominee in terms of winning than Marco Rubio because I thought that he spoke a moral language about politics. A lot of the other candidates didn't mean he can go look back at my speech, I gave it University of Missouri in like October, 2015 and I said the trump might be stronger, especially among blue collar whites in states like Wisconsin, Pennsylvania and Michigan. So I got it right then. I got it wrong and your later right. Um, but, but the, but the idea there is that trump speaks in terms of mortality. He, there are good guys and bad guys, whether you agree with his mortalities and other things, but for politics, for him, all politics breaks down into good guys versus bad guys. Unfortunately, very often it's just I'm the good guy. Everybody who opposes me is the bad guy.

Speaker 3:          00:09:53       But that's a way that people think about politics. And I think that if you had the actual proper moral, you know, content to that sort of narrative, then yeah, you could still win based on that. It's so funny that everybody sort of, because everybody's a binary thinker. Uh, everybody broke it down into a, trump is the only one who can campaign aggressively. He's the only one who can speak this moral language. Now, I wasn't against trump campaigning aggressively or speaking this moral language. I just thought that he was applying it incorrectly. I mean, if you watch me into Bain, I'm constantly applying moral language. I'm constantly aggressive, but I disagreed with trump. You can, you can do both at the same time. So are we at a point then of post truth? Because if you look at what he says now, again, most of the criticism I get right now is that I'm being too kind to him.

Speaker 3:          00:10:35       Yeah. I've been saying for weeks now we have to see what happens. I can't get outraged about appointments yet. I have to wait to see, you know, you can get a sense of what's going on. Know. That's right. I'm not allowed to see what happens, but I think that's right. I'm not, I'm not outraged about the appointments. Um, you know what he does and what he says. I can be outraged by it. And I think that there's an incentive structure that has to exist or if he does something bad now, now I criticized him. The argument was made during the election cycle for people on the right. Well, if he says something bad, Shh, be quiet. Hillary might get elected. Right. And my view was, that's not my job. My job is to, is as somebody who actually believes in something that's truthful. My job is to say what I think is true, whether he's saying it or not, but now, especially post election, Hillary is no longer in the picture.

Speaker 3:          00:11:13       So the question now is if he does something that's false, are you going to call that out? Even if you're a politically on his side overall. And that's, that's the real question for me. So my job, I still is the same as it ever was. When he does something good, I praise him when he does something bad, I don't, which really is not what many people, people don't want that. Now people, people, people, I mean, it's fine. Do they not want it? Because I suspect they wanted, it's what I'm trying to do. I know it hasn't, it hasn't hurt me, you know, with, I think with most people, most people are refreshed when they hear somebody like you or like me say, okay, here's the truth. You know, and I'm putting my own political interests aside and the interest of the person who's at risk here.

Speaker 3:          00:11:47       Uh, then here's, here's what's true and here's what's not. But there's a large contingent that's going to resist that in a major way because it, again, it has become such a team sport. It has become, well, if you say something bad about trump, then you're a cock and you're in, you're undermining him. And it's like, well, again, that's a, Bill O'reilly said there about George will, George will criticize the carrier deal, and Riley comes out and he says, George, will's just undermining. Trump said, wait a second. He's not my dictator. He's my server. It's not right. It's not the opposite. I'm not his servant. He's my servant. He's a public servant. Now I know that he's been in private business his whole life, but he was running for the job of public servant. Now it's his job to serve the interest of the American people. It's not my job to serve as his political interests. Yeah. And so, you know, it's, it's been very weird to watch people kind of invert that. Uh, and I thought that that was unique to the left. So I've, I've been disabused of that pretty radically. Yeah.

Speaker 2:          00:12:31       Yeah. So that, that's really interesting. And maybe, maybe my, uh, feelings about what's happening with the left just kicked in a little bit more a little earlier than yours have kicked in about the right thing. And that's true because you are seeing this and it's pretty obvious. I mean to me the issue will be that once these trump people who have been offered, you know, against political correctness and free speech and all of this stuff and say what you're feeling about about which I'm for all of them, but once on January 20th, once, those are the guys that are in power, will they be as uh, for fighting the power?

Speaker 3:          00:13:03       No. Somehow suspect. No, no. I mean Kellyanne Conway today, right? I mean Kellyanne Conway was out there criticizing a, I think it was a bret Stevens from the Wall Street Journal. Bret Stevens from the Wall Street Journal was making fun of Carly Fiorina cause she went to trump tower and he says like five minutes ago you were saying it was the worst person who ever was and he was making fun your face. And now here you are at trump tower and Kellyanne conway tweets back at Bret Stephens and she said something like, that's really sexist. What do you think? And then she tags Rupert Murdoch, right? Who owns the Wall Street Journal, right? And so is this the way that this is going to go now that we're going to go to the bosses of the people who we don't like what they're saying,

Speaker 2:          00:13:33       right. That's someone literally in the incoming administration tagging someone. Yeah.

Speaker 3:          00:13:37       Let me, Sean Hannity did the same thing today. Somebody red state criticized him, didn't like something that he did. So he immediately tagged the heads of sales. The communications. It's tones, red state. I mean like is this something that we want to engage in? I, this is, this is not like I disagree with people all the time. I generally don't call for them to be fired. Right? I mean that's it. That's it. Sometimes like there was a point where I suggested that there there should be, if someone, if they've left us, we're going to apply certain tactics. Then you have to apply those same tactics to people on the left in order to create a sort of mutually assured destruction. But that's not what's going on now. Now what's going on? As you criticized certain people and those people just say, you ought to be fired just for the criticism. In fact, I've never blocked anyone on twitter. I don't mute anybody on twitter. So all of the, all the evil terrible tweets that I received, I've never called for anybody to be banned from twitter, even though you know, I was, according to the Adl, the number one recipient of antisemitism or one line this year. So I mean it did, but I've never, but that's not my thing. But watching people on my own side do it now, it's like, well, you should shut up because, because trump, no, no, sorry. That's not the way it works.

Speaker 2:          00:14:35       Yeah. Can you win that battle? I mean, yeah, I think you're right.

Speaker 3:          00:14:40       Exactly. I mean, as you know, you wouldn't be in this business. I wouldn't be in this business if I didn't think the battle we're winnable. I think that in the afterglow of a, of an election, it's very for people to get past the team sport of it and the, the warm feeling and the excitement. So I immediately, I mean, as you mentioned that night, I kept going from excitement and trepidation and excitement and trepidation to, oh my God, I can't believe this was the election. And, but a lot of people just went straight to, we hate Hillary Clinton so much. Everything is now hunky Dory. No problems anymore. Trump's here, I alone can solve. And I think that'll last up until the point where the pedal hits the metal and then we'll see.

Speaker 2:          00:15:16       Yeah.

Speaker 3:          00:15:17       What kind of policies he actually implements and whether people are willing to stand up my bed is that a lot fewer people will be willing to stand up, uh, and, and not back in when he does bad things then, then you would have thought a year ago.

Speaker 2:          00:15:28       Yeah, I guess we shall see. Um, what, what's next? What? Okay. So he becomes president, he starts doing whatever he's doing the left automatically, and this has been my funeral along is if you demonize someone to the point where even if they do good, you have to keep demonizing them because if he's a racist bigot, even if even if it reads to speak, it does good things for the economy. Well you can't be nice to him, right? Because he's, he's the scum of the earth. What happens after this? Because it seems to me that I think we're going to start seeing more of a trend of violence and you know, the state coming down on more violence, like it just seems like this is where this has all been led up to and he's the guy to to lead the fight against.

Speaker 3:          00:16:09       Well, I mean, the level of radicalism that's emerged on both sides in terms of the, the wild and tolerance for people with different political opinions is pretty extreme as you're saying. Ah, you know, I think that if Democrats were smart, they would actually see this as kind of an opportunity. Do that. My guess is that trump's gonna govern as as more of a centrist Democrat. Then he has is a hardcore right wing Republican. I mean he's talking about trillion dollar infrastructure packages and he's talking about tariffs and he's talking about a lot of Bernie sanders kind of policies. He's a populist, right? That's right. And so you could win. So what you could see Democrats is doing is doing exactly what they did to Herbert Hoover. If it, let's say if things go bad, right? Let's see if things go well, he'll be reelected because of president who's president.

Speaker 3:          00:16:44       When things are going well, generally is reelected. But let's say things. Let's say for the sake of argument, things don't go well. Let's say that just as as every eight to 10 years for the last several decades in this country, there's some sort of recession and Democrats blame trump for it. What they could do is they could campaign on triple tripling down on the populism, right? I mean they actually have that opening now, whereas they didn't before and they could actually do Fdr to hoover. They could say, you know, hoover kind of implemented a lot of soft fdr policies and then fdr came in and tripled down on everything and get selected four straight times. You could see Democrats doing this things shift really quickly in the country. And Hillary did win by about 3 million popular votes. So this isn't quite the, the massive majority that Republicans are banking on.

Speaker 3:          00:17:23       Um, but I do think that if their, if their rhetoric is this extreme, you know, during the campaign the question is going to be whether they ratcheted up or whether they sort of ratcheted down and wait to see what happens. I'm seeing some of both. I'm seeing some about that. And so yeah, because I hope you're right. Like Harry Reid for example, came out and he says, so far trump's not not that bad, which is something that should make conservatives a little concerned. But Harry Reid says that you could see Democrats move in that direction. He's not that. And then things collapse. Oh, told you he was that bad. Right. But the other, cause they want to get some liberal policy items from a lefty policy out of it. But on the other hand, what's going on in university campuses and the, and the sort of extreme response, uh, that I think is going to get a lot worse. I think Democrats in government will likely treat him with more moderation after the election than they did before the election. Because that's sort of been the pattern. But the typical public is going to treat this is like we're, we're now in an end of times politicking.

Speaker 2:          00:18:15       Right? So I guess that, so that's an interesting distinction that the sort of leadership, whether it's the media or the political leadership, may be willing to work with them in a certain way. What they've ginned up something yes. In the populous that they may be can't control.

Speaker 3:          00:18:28       Exactly. And actually you're seeing that battle play out in the Democratic Party right now. You've got the people who want to double down and all the kind of identity politics, rhetoric like Keith Ellison, right? He's going to double down on that and he's going to keep saying racist, sexist, bigot. Homophobe let's get our coalition Together. The Obama coalition will run somebody who's not an old white lady. Next time we'll run cory booker, Kamala Harris, and then we'll just sweep back to victory using this new coalition that's demographically growing. And then you've got people like Joe Biden and some of the old guard Democrats who are saying, well, hold on just a second. Like we can actually, why are we abandoning all of these, these blue collar white voters who are voting for us until very recently, right? A lot of these counties went for Obama the first time. And why don't we, why don't we try to draw them in by maybe working with trump and then if he, and then, and then hitting him when we think that he's over overly selling something or hitting him when things go bad and so that, that conflict will really play out at the DNC level.

Speaker 3:          00:19:18       Uh, and that's, that's a fascinating,

Speaker 2:          00:19:19       yeah. I mean, I would bet everything that they're going to go the Bernie Ellis and rooms dump everybody else. Do you think there's any room for those people that you know for a gym where Biden, those happened to be two older white guys, but he's been anyone in that general line of thinking blue dog Democrat is that right

Speaker 3:          00:19:34       now Jim Webb, right. I think Jim Webb's toast biden still tries to straddle that gap a little bit and he gets away with it cause he's part of the Obama administration. Yeah, but it's, yeah, I think they're going to be gradually drag to the left cause again in our entire life the left has been gradually drag further and further to the left and I'm waiting to see the moderates since Clinton. They've been, yeah,

Speaker 2:          00:19:53       that's the thing. I think for a long time that the right got dragged further in front of the right. But this election, clearly they weren't. No, they weren't. They were dragged the left actually pretty hard. They weren't, I mean trump doesn't, it's obvious he doesn't care about gay marriage, I don't think. No, I don't think he cares about abortion, cares about weed. I think even some of the tax stuff I think is going to be a little more, you write the ending, at least centrist Democrat, I think he's going to govern a lot more like Bill Clinton. Then he, then he would govern like Ronald Reagan. That's the danger though. If you demonize somebody to that end point and then even if they are with you on so many of the things that you've been screaming about for so long, you're, you've painted yourself into that.

Speaker 3:          00:20:24       Yeah, I think, I think that's right and I think the Democrats have painted themselves in a little bit of a corner except that they're just banking on the growth of the Obama coalition. They keep looking at the demographic numbers. Yeah, and they keep thinking, okay, in 2020 40% of all voters will be of the millennial generation. Those people broke heavily for hilary, so what's to stop us now and demographics are not quite destinee. I mean demographic.

Speaker 2:          00:20:47       What a sad way

Speaker 3:          00:20:47       that would be to live as a society that we would only be following the demographic trend, but that's what we are right now. We've moved in such a tribal direction too. I mean it's easy to look at this election cycle and look at did he went on policy? I don't think that the trump one on policy so much as rejection of tribalism in favor of another sort of tribalism. Like if you look at how blue collar white voters voted in this election cycle by percentage white, we're a white working class. People voted more for trump than Hispanics voted for Hillary Clinton and people are constantly talking about the, the idea that Hispanics are voting block. Okay, well then so are white blue collar people presumably and they voted precisely the reverse. They will be 71% for trump. That's it. Again, I don't have a problem with people with any group voting, however they want to vote, but if, if it starts to look like a voting block, like our group interest, solidarity, I don't think that's, that's totally what's happening, I don't think is a bunch of white people getting together and going, oh, we've got to vote against this black and Hispanic people.

Speaker 3:          00:21:40       Right. Just like, I don't think that it's all Hispanic people getting together. We need to vote against the white people, but it, but there is that, that growing sense that you're going to vote inside your own block and it, and that is not a good thing. Do you think that's actually real though? Because every time I watched John King with the Magic Wall that I'm pretty sure he's having an affair with commercial breaks, but every time I watch them do that and said, well, the white working class people here in the black people here in the Latino people here in this whole thing. And it's like, not only does that actually sort of sound racist and I don't know, it doesn't mean it's actually just pinning everyone by these, these traits. Uh, but it also doesn't sound logical. I don't think, and maybe I'm really wrong here, but I don't think most people vote on the color of their skin or no, I don't think so either.

Speaker 3:          00:22:22       But I think that they vote like their neighbors vote. And so and so if they see that their neighbors are voting a certain way and there's a certain revenge politics to everything, and this is not unique to one group, it's like the system has screwed us. This is the system has screwed us is one of the ways that politics dies, that that notion, the system has screwed us. And I don't just mean like the government, if you can show that the government is specifically disadvantage in your group, that's one thing. But when you just say the system broadly is screwing us and it's to us as white, blue collar workers, or it's us as black people or it's us as Hispanics, that's a really damaging thing. And, and that I think is, is rising pretty dramatically. And, and that's partially because the only way that politics operates, and I've spoken about this at length recently, uh, but the, the only way that politics actually operates and the way society operates is through building of the social fabric.

Speaker 3:          00:23:10       The idea that we are individuals who are going to treat each other as individuals. We're not going to treat each other as members of groups will have to spend so long breaking people down into identity group politics that the Wright responded with it's own form of, okay, well screw you, we're, you know, you've already boxed us in. So okay, now that we're in the box, we're in the box. Like that's what it is. Right? It's almost like they're, they hated it for so long, but now they're embracing it. You sleep. Right. I've tried so hard to have the left back away from some of this stuff. Yeah, exactly. Exactly. And I'd like to see the right back away from some of this stuff. I think that's what a lot of the outright controversy was about because they're really open about the tribalism. But I mean, there's no question that, that some of what trump was doing was, it was a quasi tribal appeal.

Speaker 3:          00:23:44       Right? I mean when, when he was talking about tariffs, for example, the terrorists that he's talking about, you know, he, he, he's saying that he obviously they're, they're equally applicable to people living in the United States, but really who he's talking to, and everybody knew this and it was repeated ad nauseum in the media was he's talking to white, blue collar voters from Ohio, Pennsylvania, Michigan and Wisconsin. And when you say to people that you can indirectly tax other people for your benefit, which is what a tariff is, but it's okay for the white people, but we also don't like the welfare system for the black people, then you start getting into some really, you know, kind of interesting political territory and the idea that it was a totally race free campaign by trump is not true. I mean, it just, it wasn't like the, the fact is that Donald Trump was making a, not overt references to race, but he was making subtle appeals on the basis of race free campaign or there people, I think there are people, yeah, I mean Kellyanne Conway to go to example, right?

Speaker 3:          00:24:34       She says, she said there was a big debate between her and Jen Palmieri from the Clinton campaign and Jen Palmieri, he said that you guys were pandering to the outright and Kellyanne Conway said, you're, you're accusing me of being part of a campaign that would pander to the alt right. And Jen Palmieri. He said, yeah, and, but Kelly entered the who? Me, me, what? And it's like, oh yeah, you a little bit. And yet at the same time, the Democrats were pandering to everybody keeps saying, we don't exactly, don't talk about race, but every other line was raised. Exactly. And so it's, and so you have both sides playing the same game now, and none of them are playing inside the mentality that we're where I exist. Which, you know, you put it outside the conservative box for a second. I am essentially a radical individualist in the sense that I think that people ought to be treated as individuals.

Speaker 3:          00:25:16       They shouldn't be treated as part of groups. And so treating voters as part of a group or a classical liberal. Yeah, that's right. That's right. And did have that. Sure. Unlike the European style classical limmer. Yeah, I mean except the, yeah, I mean with, with some really like the conservative thing enough that even to say that I know, I mean I'm more, I'm more kind of a conservative libertarian mashup than anything else. I think the government sucks at everything, right? I mean like we've talked about same sex marriage before. I personally against same sex marriage, but I don't think the government has any business in it. And personally, again, smoking marijuana, I don't think the government has pretty much any business in it. If you're not creating extra analogies, I don't think that the government has any business messing with you. So that's why I can sit across from you and you can say that and it doesn't bother me because at this point you're not trying to stop either one of those things.

Speaker 3:          00:25:56       Right. Exactly. Why? So you can believe what you want to believe. They said that this is, I know I'm supposed to be offended. Right, exactly. But this is, this is the thing that is so funny. I was talking to somebody one time and they were saying, you know, as a, as a religious person, you think homosexual behavior is a sin as a right, as an Orthodox Jew, right? It's in the Bible. I think it's a sin. Here's the beautiful thing about America. You don't have to give a crap. You don't, you can think I'm an idiot. That's fine. Right. Welcome to America and, and yeah, you don't use seriously can completely disregard everything I'm saying because I'm not trying to use a gun to enforce my opinion against you. And actually you're not even trying to use the Bible because, right, exactly. We're not trying to govern by the Bible. That's, that's you're saying. That's right. You're saying you have your private belief. Right. Exactly. Exactly. We lose this ability to have the private league because did you see this about a week ago? Uh, buzzfeed did a piece on the two people from that

Speaker 2:          00:26:44       Hg TV show. Blanking on the show. I watch it sometimes. You want to be one of the gains couple. Yeah, the gaines, Joanna, and what I can remember, I don't want your child, but yeah, they, you know, they do this house flipping show. It might be great flip or flop or, or whatever it's called. Uh, but the point is that what it is, so I've watched the show many times, they strike me as two completely benign, whatever. Find people like their jobs seem like these people. And the whole piece in buzzfeed wasn't that they go to a church that's against gay marriage. And I thought this is the worst kind of smear job nonsense. Exactly. And, but when did that become, okay, so what? They go to a church where we don't know what their beliefs are on it and I wouldn't care actually.

Speaker 3:          00:27:24       Right, exactly. And even if they believe that as long as they're not manifesting that in discrimination against gay people, who gives a crap, right? I mean, this is, this is ridiculous. I mean, first of all, the idea that HDTV is short on pandering to gay people isn't, it? Is Patently insane. Okay. My wife watches HGTV. We learned all about, but let's, let's, uh, but it, it is amazing. I mean that sort of thought policing. Uh, I mean that's existed for a couple of decades, probably since the 60s for the left. But the fact that it's starting to exist a little bit on the right is what frightens me is, is the, the thought policing, uh, that I see because policies become a loyalty test, but it's also

Speaker 2:          00:27:56       so selective in what everyone does. Because I would guarantee you mentioned Keith Ellison a moment ago. I'm going to guess that the mosque that he goes to is probably the mom is probably not for gay marriage, but buzzfeed I do. I'm just guessing on that. But I'm pretty sure that that's majority mosques are not yet probably 99.9% of mosques in America or not. Okay. That's fine. They can have their personal religious belief, but buzzfeed would never do a piece on that. If anything, they'll whitewash everything he's ever said about fire can and everything else. Right, exactly. So that just shows you how the media has, and I

Speaker 3:          00:28:26       again, they did, they said that they were fine with, with Obama's excuse. Then you went to a church for 20 years where Jeremiah Wright was preaching the most insane crap imaginable from the pulpit. And they just went, okay, well, you know, that's his church and nobody says he has to believe that. And I said, wait, wait a second, why does that, that's okay for Obama, but it's not to confirm gains. Yeah. Obama is like the, he's going to actually run for president. Like if at any point the guy's views are going to be relevant, you would think it's more of that then, I don't know, are you gonna knock out a, a barrier and create an open kitchen concept on HIV baby? Right, right. It's a, yeah, it is. It is. It is pretty, it's pretty wild how far things have gone. Um, and I'm hoping that, I think that a lot of people who are hoping that trump is going to be a blow back against that, that, that there'll be less thought policing, uh, under trump. But that also has to apply to trump, right? Right. Then has to apply to trump himself and it has to apply to the chief.

Speaker 2:          00:29:10       When Kellyanne Conway's tagging people, the bosses on twitter that they don't like, that doesn't, that's not a good thing.

Speaker 3:          00:29:16       Let me, Donald Trump was making those noises all throughout the campaign. Right. He said he wants to rewrite libel law, which for people in our business is like, I mean, all we do all day is sit and give opinions on people. And the idea that we're going to be sued for giving those opinions, uh, is, uh, is pretty frightening thing in the United States.

Speaker 2:          00:29:30       Yeah. But it isn't so much of that though, and I think you've already said this, but that it's just a reaction to the lunacy.

Speaker 3:          00:29:36       Yeah. Trump's reaction and the reaction to him is reactionary. There's no question, but reactionary politics is bad politics. Right. You should have the, the reaction to the left has been breaking people down by, by race and by identity. Politics is not, well, screw them. Let's do identity politics too. If they can do what we can do it, you know, that's not the, that's not the way they got to play the game. I mean, it's, and if you think that's the only way we can win, then we're bound for a European style politics. It's the end of American politics. Like what America used to be about was the idea that as individuals, we disagreed about a lot of things, but we agreed that we were going to be treated as individuals, or at least that was the, that was supposed to be the promise that we were attempting to fulfill. Uh, in Europe, it all breaks down according to demographic lines and you just have a battle between the big government right in the big government left and are you going to let in immigrants this time or you're not going to get let in immigrants this time? That's, that's, yeah. And I think that we're in danger of moving that way. Just we're going to, we're going to show it and freight our way right into something really ugly.

Speaker 2:          00:30:26       Yeah. In a weird way though, this presents a tremendous amount of opportunity, right? I was telling you right before we started, I was with you a couple of weeks ago, a Dennis prager had a, had a fundraiser and I thought he gave a really great speech about basically saying the world is in a really nuts place right now and maybe we have to find allies and other places. And that's what I think I've tried to do. So there is for all the chaos of it. Yeah, there's some real life.

Speaker 3:          00:30:50       I mean, I hope so. I hope so. And I hope that it's, I think it's a good opportunity for a, and when I do my podcast, I actually keep a physical shoe on the side and I, and I hold it up and I say, put this on the other foot. Right? Whenever it trump does something. So you just put this on there that with Obama did this, how would you feel? And it's a good opportunity for people on the left to do the same thing. I think that if we all sort of take the shoe and put it on the other foot, like now you're very upset with what trump's doing, but how are you with it? When, when Obama was doing it, if you think is bad, when trump's doing, and maybe it was bad when Obama was doing it and for the right, if you were really pissed off about it when Obama was doing it and now trump's doing it, maybe you should be pissed off when trump's doing it.

Speaker 3:          00:31:20       Ah, and if everybody applied, that sort of intellectual honesty I think to, to whatever our politicians do, we'd be significantly better off. Because the fact is that it's the team sport of it, the ruins it, it's a team sport of it that where you end up with, I'm going to root for, for my guy, just no matter what he does, no matter what rules he breaks. And this is why I've said it's not seems more politics is not team sport. Like as a white sox fan, there was a catcher who caught for us named Aga presents gate at aeg presents. He was a player that everybody hated and still hates in the major thing plays to the braves. Now they despise him cause he was this guy who had like cut any corner to win. And when he's not on your team, you hate him. And then he's on your team and you'll love him. Right? Yes. Anything in order to win. The problem is that when you apply that to politics and it's, if he's on my team and he'll do anything to win, that's awesome. Yeah. Well except for it isn't because now you have to, you have to be standing up for people doing bad things.

Speaker 2:          00:32:07       Yeah. And that's the strange thing. I mean, look, if you were for all these people that are upset that Oh, trump might be a warmonger or might be against the press neck, he might be, but at this, but hey, he didn't run certainly on on a pro war policy will be, Obama has been doing drone strikes into Afghanistan, strikes in Pakistan, ask Edward Snowden how he's been for press freedom and all that kind of stuff. So regardless of what, how were you feeling? Terrible for press brakes. It's like, wait, nobody, why weren't you guys saying anything that you'd have a little more right. Yeah. You'd have a little more weight to your words now.

