Speaker 1:          00:00:02       During
Speaker 3:          00:09:53       Yeah. And that's, that's a good example. The second one is, you know, if one of the, the, the sort of the best gifts you can get in Singapore for like tourists to bring home that, that people usually get is a t shirt that says Singapore is a fine city and on it they're all the different fines that you can get, like you can not eat on the, on the public, the public train systems and it's just a country with very strong rule of law and all sorts of, all sorts of rules that you can't do this and you can't do that and everything under the guise of maintaining social harmony.

Speaker 2:          00:10:29       No, I assume it's some level that probably works right at some level. The social, Huh?

Speaker 3:          00:10:33       We have not had, you know, radicalization of our Sunni Muslim population. Not, not as much as any other country actually I would say. And it's been largely, you know, you've had, you have Christians, Hindus, Buddhists, Muslims, living very harmoniously together. We've not had any incidents. So there is something to be said about, about the methods of top down, institutionalization of social harmony. The problem is that manifests itself in sedition laws, blasphemy laws, and as recently as last year, it was used to throw a 17 year old blogger into jail for wounding the the feelings of religious people. All he did was a say some stuff about Jesus Christ and twink, at least 20 grown up adults in Singapore felt offended enough to file a police report and they threw a 17 year old and to Dale.

Speaker 2:          00:11:28       Right? So we've talked a little bit about what they've done to bloggers in Bangladesh and Singapore and you've connected me with the Bangladeshi blogger who I'm going to have on soon. These are the people that we need to be caring about more, right? Because these are the people that you guys could have been had you not left. Yeah, I mean they. I mean everyone knows like whatever one of these, one of these folks get killed or like what happened in Bangladesh

Speaker 4:          00:11:54       or do I be a good job? We know that these guys are the solution. We know that they stand for the same values. What we stand for, and we know the data, the best counter they created. The best counter narrative to extremist I the, like the Sam Harris of Saudi Arabia. Yes. He's an intellectual who has advocated for great values that in a country that is as extreme as Saudi Arabia, they wouldn't have changed the world in Saudi Arabia. That is one of the main exporter of Wahhabi ideology that killed the bungalow bloggers that, that created the Taliban, which a country that has nuclear weapons. Um, so yeah, I mean we have to, they are our best resource that we should always continue to help them as much as we can and whenever we can.

Speaker 2:          00:12:38       Yeah. So when you were there and you saw this sort of authoritarianism, when did you realize, all right, if I'm gonna Express what's in me, I may have to leave.

Speaker 3:          00:12:49       I started realized that in high school, um, in, in, in Singapore, many, many of the best schools, like at the top, you know, in academia, um, they were religious schools, you know, it's just like a sort of a stage of the colonial era. When the British came, it was a British colony and, and you had all the missionaries from France, from, from, from Europe. They came to set up schools to educate the locals. And so this became associated with a economics like high academic standards. So I ended up going to, you know, a methodist schools which were associated with a very high academic standards. Right. Did you grow up methodist? Yes. And I did. And I did. So, so the religious, the religious schools, where are quite a force to reckon with in Singapore and in producing graduates. And I guess I realized that, I mean this is a country that is very self enforcing in terms of political correctness.

Speaker 3:          00:13:49       If you can't, you know, there's all sorts of rules and you, the reason people don't, don't do something or don't litter is because there's, there's a fine waiting to happen. So, so the motivation to, to do something or to not do something is completely extrinsic. So we're all self policing each other. And I, I sort of, you know, bought into the, the, uh, sort of ideal of the United States, the first amendment, the freedom of expression, freedom of speech because I was always that rebellious, you know, skeptic in my circle, in my religious circle and, and school, which is pretty much overlapped at that point. Um, and that's when I realized I need to get out. You really need to get out if I, if I need it to, if I want it to broaden my mind and fulfill that.

Speaker 2:          00:14:40       Yeah. I'm curious when you hear the phrase self policing in a place like Singapore and their self policing because of fines and sort of this authoritarian thing. So one of the things I've been saying on the short time is that we now self policing

Speaker 4:          00:14:52       ourselves in America. So it's not coming. You know, we always used to fear the idea that the government is what's going to come in and take away our Frisco. But now it's we're doing it to ourselves and what's happening in academia, which I want to talk to you guys a little bit, but when you hear that, does that make you crazy knowings from where you came? Exactly. Nineteen 84, but four people, right? It's backwards. It's something like 1984. Yeah. I mean, to be honest, I, when I, before I came to United States, I had like a very good image of what, like when I came to America, the people, especially the people who believe in St Louis with as I am the secular liberals of the, of the West with just give and I will say at first because the movement has changed. Write something on the left has changed over the last couple of years.

Speaker 4:          00:15:38       So when you moved here, I'm guessing maybe it was a little more welcoming. I mean it was, I mean it was welcoming, but I thought it would be more welcoming. I didn't know that there was this huge splits. The fact that if I can, if anybody can be advocating for same sex marriage in a, in a western country, it's totally okay. But the moment you talk about it in a Muslim country, it becomes, yeah, yeah, yeah. And I didn't know about these dynamics that when you talk about the same values that the American liberals that have cared for when you move it to a universal or another country, you would immediately be called a racist. And so when I got into that, I started getting attacked left or right, or like, oh, what I'm saying is that I support same sex marriage. And they like, oh well that is a form of colonialism.

Speaker 4:          00:16:25       And I'm like, no fucking getting made because you're saying the same thing for like the United States. And I just said that I believe that gays are humans. Even in Iraq, like I, I think they are humans. They breathe and they have the same DNA for human beings are really out there stuff. So, so like I don't really think of myself as a radical person. Like I think that I'm advocating as. But the moment you just shifted to a different culture, quote unquote, because what I found very difficult here is that because we are minorities coming from, um, the majority dominate here, so I'm a minority all the time. But when it comes to color of my skin, I'm the majority. So here in America, there is this concept of the authentic voice when it comes to minorities, is that there are these stereotypes, whether it's from the right on the left, like if you are from this specific race, these, the issues that you should care about the most in this specific order.

Speaker 4:          00:17:20       If you are a Mexican, you should care about immigration and, and so on. And if you, if you are Arab, they expect this image about, okay, he's an, he's a young man, so he must hate the west. He must be very angry against the United States about what Bush did to Iraq. And they must hate capitalism and he must all this stuff. So if you don't fit into that narrative, you're immediately going to be attacked as some sort of like uncle Tom or which is itself racist without them noticing it. Right? That's what I keep saying. They're actually using real racism because they're not judging you by what's in your mind. They're judging you by what they think of King is like rolling as a grave right now because it's like the. So, so that's actually one of the most difficult things I found over here is that how come you don't subscribe to my order date?

Speaker 4:          00:18:10       My notions of who you should be. Like I'm like I'm individually as you are and, and, and now like we can see it in the US elections in which I've seen many people on both sides I would say especially I would say on the far left who are like, how can you as a, as a black, not support Bernie or something like that. While black people have, they have, they have agency and they may rush rationally think of supporting one person over the other. Like you can disagree with them, but that's completely fine. But to say like, why is he as a black person, you don't say that about a white person, they'll say like maybe support trump, but like coming again from white people on the left see a critical race theory from like White Guilt University of California and they are suddenly now experts of race relations and what the dynamics of the Middle East are. Right? And they project themselves as being the intellectuals. So that's really interesting. And because we talked so much about the Middle East and we talk about extremism and Islam and whatever, I see a very specific reason why you get something like that. I'm curious, having left Singapore, having, you know, believing in secular values and atheism and all that, do you find some of that, that soft bigotry of low expectations

Speaker 3:          00:19:22       that we talk about? No, I don't. In fact I'm probably a beneficiary of have high expectations, right? I mean, so anyway, that joke that Chris Rock made at the Oscars with the little kids. Yeah, with the little accountants and, and you know, for some reason the, the, the Asian community was really up in arms about that stereotype. Even though it's a positive three positive stereotypes. So w, what did you feel when you heard that? That's good. Okay. So I did get into some online fights about this because again, his face all says because of your race, you know, like seemingly Asian person, you should be finding this thing offensive. You shouldn't laugh at it. You should, you know, a sale and rally against an end sort of, um, deny as stereotypes. Forgetting that this is in the context of humor. Um, and, and the same thing with what Sarah, Sacha Baron Cohen said about the little minions, like, that really blew, like even Jeremy Lin, the basketballs got into that and I think it's just, you know, I, I was asking people rhetorically like what, what happens to comedy if, if you just take all stereotypes out of it, you have to be angry at South Park.

Speaker 3:          00:20:37       You have to be angry at snl. Everybody.

Speaker 4:          00:20:40       I mean, this whole season, did you guys watch South Park this season? I mean, this whole season, I think it might've been the best season ever. Literally

Speaker 2:          00:20:48       the entire season was dedicated. Watch it. Well, there you go. So the whole season was dedicated to fighting these exact ideas. Right,

Speaker 3:          00:20:56       exactly. And, and the thing about taking a fence is, you know, I always ask people like, who creates the offense, the offense, the person who offended by the person who feels the offense, who is the one that actually created it because it doesn't happen in a vacuum.

Speaker 2:          00:21:12       Right? So there's a particularly interesting notion with what you're saying because the stereotypes. So when Chris rock brought out the three, or was it three? Yeah, three. One of them was actually had a Jewish name, so. Right. So the Jewish people weren't angry, so just for people that didn't see it. So they brought out three Asian kids. One of them had a Jewish name and they were supposed to all be like accountant from price waterhouse. So they're all supposed to be really bright accounts, blah blah. But so the stereotype that they're using is a positive stereotype. The implication is, oh, these are educated kids that are going to go on and be good at math and they excel academically. Right. So when, when people were upset with you or when you said I'm okay with the humor in that the people that were upset, what were, what were they saying? Like did they feel that that's causing some sort of backlash? Yeah,

Speaker 3:          00:22:00       so the, they don't like the perpetuating of the model minority and they think that that sets up a standard where now every agent has to live up to that. I think they're reading too much into it. You know, it's, it's, it's just a reflection of, of stereotypes that have a grain of truth in the case of have a leg who made that joke about. He said, well, you know, this, this Oscar's is all about diversity, but what about them? Little yellow guys, you know, who, who have the little dogs? And then he paused. Everybody laughed, right? So everybody assumed that he was talking about Asians and then he said, oh, you know the minions. So the job was actually on you because you are the ones who did the stereotype thing. And, and I don't think people, they just reacted to that. They will like, oh, leg saying, you know that Asians have small, small dogs, and I was just like, well actually this is the anatomy of humor and if you don't know Ali g as a character and, and, and how he's playing off his humor, he's actually saying you're the one who

Speaker 2:          00:22:57       stereotyping. So just to be clear, he did something really clever there because he took you one way or made you laugh and then immediately takes you the other place. So you're right, it's on you,

Speaker 3:          00:23:06       on you. You're the one who stereotyped left and you thought that he meant Asian people. So

Speaker 2:          00:23:10       I think all of this is directly linked to the authoritarianism stuff, right? So you came from an authoritarian government. You were not allowed to say, you know, I'm a, I'm a free thinker in a secularist. You've, you've laid out why you can't, you know, lived under an authoritarian rule and now we see this happening here and I'm firmly, I firmly believe that we are in like some really murky waters in America right now and in the West in general. So what do we do to fight this? Well, I mean there a, I think I do my step because now it is, is coming to our lines here and it's happening over there

Speaker 4:          00:23:46       and um, when it comes to what's happening over there, I mean, I think the best solution for is to support the values that I think to be on the right side of history on this battle between authoritarianism and I would include a theocratic fascism in the end, the umbrella and uh, and the values of John Stuart Mill and Jefferson and, uh, the values of, of the free man. And you think,

Speaker 2:          00:24:13       do you guys think that those are values are the left anywhere? When you think of John Stuart Mill or classic liberalism? It seems to me that that's not even a value. That really.

Speaker 4:          00:24:21       Yeah, I mean the last has shifted and the right has shifted. Like now we live in a moment. You can look at the elections, then you can see for yourself like we live in a very polarized. I mean there's, there's no discussion about everything. Like you can start by whether it's Islam or abortion or gun control or a glass of water. And one of the things like, well the things that I like because like it's like a, it's a dogma and like you can actually know someone, someone position from abortion about abortion and gun control, but ask them questions, right? Or don't like what do you think about abortion? And then you can actually know that a position on gun control, because it's like now is like this polarization of like dogmatism of the 10 commandments of the left, the 10 commandments of the riots. And so I think that both sides have kind of lost principles. I've even the quote unquote the right. I mean they are supposedly about the free market, but they want to police people's, a vagina and a job. They are not as, they're not as a free, uh, they as they claim to be. I mean they want to police marriage and marriage equality. They want to police a woman's reproductive rights and the stuff and the left one. Supposedly they'll. The guys are free speech one to how the police.

Speaker 2:          00:25:33       The sad part here, if we're jumping onto the political side of this, that the one guy who wanted smaller government, the one guy who wanted rand Paul who wanted, who's as close to a libertarian that we're going to get into the mainstream parties and I had Gary Johnson on here a couple weeks ago who's running under the libertarian ticket. Unfortunately. Good luck. Good luck for that. Unfortunately, we still don't have a legitimate, truly legitimate third party yet, but I think that after the craziness of this year, I actually think it's possible for 20 slash 20, but is that the real fault? So we focus on the left, but there was a moment that they're right. Could have said, all right, maybe this is the guy that we should listen to because he's got some of our principals and then they kicked him out after one bad caucus.

Speaker 3:          00:26:14       I think it was actually Islamic extremism. What was going on in the Middle East that really did rand Paul's campaign in the rise of Isis and, and you know, the, the havoc that was racking the refugees. It's sort of, it's sort of implicated that the United States couldn't be isolationists and the libertarian position is to just, you know, hold back. So I think that's what kind of killed. I'm rand Paul's Rand Paul said.

Speaker 2:          00:26:39       Yeah. It was interesting because when I had Gary Johnson on, I didn't know what his policy was on because

Speaker 4:          00:26:44       of the libertarian really you can, you don't have to be so like just like this and so ron everything. So when I asked him about some Middle East stuff and some foreign policy stuff, he actually did feel that there is still a role for the United States. Didn't really lay out exactly what it was really interesting. I mean with the Libertarian Party as well, as I mentioned, there's this concept of isolationism which are very strong in the. But I thing is like if you're not interested in the Middle East and Middle East is interested in us, but what happens in the Middle East doesn't. It's not Las Vegas. Like what happens in Iraq doesn't stay in, even though we have the same mother between Vegas and Iraq, but one thing that does, that's, that doesn't stay over there. And uh, and that's one thing is Islamic extremism and I mean because one of the good things about Islam and I always admitted like it is the least price that's religion and it is very universal and it always talks about universal values.

Speaker 4:          00:27:41       I mean one of the famous quotes of Prophet Mohammad in which he said, but there's no difference between Arab and non Arab except by I'm like, I think how much faithful he is. So, so that, so the, well that's universal. Except he was saying you have to convert. Yes. Religion transcend borders is that you can be a, like the values of Islam can't transcend borders. Not like a tribal religion. Let's say like Judaism is with, with Islam. So what effects what's happening in the Middle East can effect like many people who are recruiters for Isis are in the Middle East, but the recruiting on the Internet for people living in the West. But I'm failing to see how you see this as a positive thing because it isn't that showing why it's spreading. No, I mean a. it's a double edged sword is that it's a good thing that is not racist, but it's a bad thing that is universal, right?

Speaker 4:          00:28:30       To do that as a little more bad. But back to the isolation. The isolation is believed that if we can just secure the borders, if you can ban everybody from entering or whatever. Even the Libertarians are clinical educator because they believe in open borders as the same time reducing the welfare state. So in that way we can accept more immigrants. So yeah. How are we going to deal with that? Like with Islamic extremism rising gap with the refugees coming in with people from the West getting recruited to join terrorist groups that may actually make attacks here in the west, like Paris attacks and Charlie Hebdo and even like now some like my friend just recently came from Germany. She's a woman from Afghanistan and she said like in, in some hotels telling data are telling women not to go out at night out of fear of being harassed by the newcomers and which then ultimately just strengthens the far right.

Speaker 4:          00:29:23       Exactly. Tweeted this morning, I saw, I saw an article in Germany that at one of the public pools were allowed lot. The migrants are going to. That there were, there were a lot of men that were attacking women and children, so now they're. Their resolution is that they're going to segregate by sex, so you know, weird way now the government came in and the most sort of the thing that religion would want the most. Now we're going to separate men and women and guess what? When people aren't having sex as Bill Maher would say that sort of fertile ground for extremists or extremism. I think the horseshoe theory is like one of the best way to play and sex is like not. Not also. They also theater is like how much they feed into each other is that the more people say that there is no problem with Islam, the more people on the far right will be getting more powerful because whenever, because there's a correlation between the rise of terrorist attacks and the rise of far right groups, another sunrise grows, but the need for them to get mobilized and like people like trump or people like the edl and defense league or a material upon the fronds that when the Paris attacks happened, that moment is like, let's get mobilized.

Speaker 4:          00:30:26       Let's, let's, uh, we're losing our way of life and, and stuff. So I mean this is one of the biggest issues, and we were talking about it a few days ago, is that with the rise of the far right, when they start quote unquote killing Muslims, I'd want attack Muslims and all of that. They're not all that. They're attacking people who look Muslim as well there. I mean, I, I don't have no one's Hashtag on my face saying I'm a Muslim, but even I'm not going to advocate for attacking Muslims either. I mean, my parents are Muslims, but I grew up with Muslims, I love many of them, but I don't want. So what's happening is that when people do not acknowledge the problem there is these guys are going to be and they're going to be attacking six and they're going to be attacking anybody who looks Brown.

Speaker 4:          00:31:03       Right? So that's the problem is that there absolutely are true racist, right? There absolutely are true bigots. And by the way, that's why I had Tommy Robinson on my show. I don't agree with everything he says and I don't fully understand everything about what's going on in, in the UK and Europe, but I'm trying to learn and I know he had tried to, at least from what I understand, separated himself from some of the more racist elements of the EDL and some of those organizations. So I thought it was worthy of a conversation. But I think this is a good segue to something you said earlier. So a certain in Singapore, a certain amount of authoritarianism. It sounds like it made people coexist and is that sort of on the surface? So is that sort of a, it's a very, like you got to thread that needle really carefully, right? Yeah.

Speaker 3:          00:31:42       Um, you know, it, it, it ultimately, it's, it's a political philosophy question. And also what is the purpose of government, right? Is it, is it to maintain the most stable society? Is it to raise the standard of living of most people? And do the ends ultimately justify the means because to get there, you know, their, for example, like we in 2007 we've had, have you make racist comments on your blog, you can be jailed. Um, so you're not free to, to, to make these comments and how, how else does that manifest? Right? So in the United States, anybody can say any racist thing they want, um, you'll never be thrown into jail for that anyway.

Speaker 4:          00:32:24       You might be booted off twitter, but also, I mean the word racist, I mean, it could be perceived as racist, can get you in jail. There's a subtly, what we probably all know what racism is. It could be something that they say like, oh, because people could be something that,

Speaker 3:          00:32:41       no, absolutely it's a good racism for me, but the sedition and blasphemy laws essentially protect also the criticism of religion, religious institutions from often very necessary criticism, right? It's like I can't even go there. You can't critique and, and it, it creates that climate where where people just don't question because they're afraid and they don't talk about. They just, they're a decent safe spaces right now. Let's not go talking about. I'm talking about religion. We can't, we can discuss racism very well in Singapore. It's a very sensitive. Let's not talk about it. So people tread on eggshells and, and I mean it's funny because I feel like I sort of escaped that. That scenario, like the right sort of top down, government instituted curtailing of the freedom of speech come to theu , s and slowly on campuses. What starts happening is now the left asking for the same thing the students are asking for safe spaces. What you said about the segregation in Germany, right? Essentially that's what religion is doing is creating a safe space between men and women. Yeah. So like what phase also at the horseshoe theory does come together, you know, let the left and the right extreme left the effectively are kind of achieving the same result.

Speaker 4:          00:33:54       But also like worth mentioning about like Singapore even like I can't believe I'm actually from Asia. I'm actually on the same continent and Asia and I'll try to keep that in mind. I'm judging you for now is that within a eastern cultures there is a lot of sense of collectivism and the and the concepts of tribalism that makes it easier for leaders to tell them like the philosophy of Buddhism and Confucianism that there's others respect to the leader and like, so like I said, it's generally like a culture of self in China is like a. so, so what's happening is that is open to people like when they talk about change in the Middle East and things of that sort and Jolene, eastern culture, you will see that you don't need to create a critical mass because you don't need to check most of individuals because it's a collective culture.

Speaker 4:          00:34:41       If you change the leader and the leader telling people to look at Iraq for example, within, if you look at the history of rock the last 50 years, you'll see 50 years ago women were free and some places are in Europe, you know, and the moment that the leadership change, they killed some civil society activists and stuff. The moment everybody start worshiping and then, and, and, and so on. So did you see, uh, I'm trying to interrupt, but did you see this meme about a, there was about 30 women from different countries, you saw this, 30 women are 50 women, may be from different countries at mostly Arab countries or at least Muslim majority countries showing what their, what their actual dress, the indigenous dress that is supposed to be in. It's all vibrant and they are free in their clothes and it says it's not supposed to be this.

Speaker 4:          00:35:27       And then they show with one of the things that like what ideology of [inaudible] and our hub is in what's called used to call himself. I'm not the web, it's called himself a Muslim reformer that he wanted to make all the Muslim world homogeneous and that's part of some of his success because they're appealing to this concept that Oh, we all have different than humans and a different cultures and stuff, but yet all my bringing all of you under one caliphate all under one ideology and all of them I need to order the same address and all. Many. And it's appealing to some people and not appealing to those who are cultured, but that's another reason it has been to some extent successful because it appeals to the people who want to have the collective mindset to want to be like part of one umbrella and one leadership.

Speaker 4:          00:36:12       And that's what an Arabic is called Omar, Omar, the Islamic Omar, the Arabic Omar come from, is that this concept of one leadership in one community and, and all of that. So the three of us sitting here, three secular people, atheist, right. So you grew up methodist. I didn't even know that until we sat down just now. You grew up Muslim, right? That's to some extent to where my parents are liberal, but yeah. But I grew up in a Muslim culture. Certainly in a Muslim culture. I grew up Jewish. I still consider myself Jewish, but I'm not a believer in, in a, in a magical. You don't believe in a talking donkey. I don't believe in the talking donkey or the fire. They talked to her, all that stuff and the way, you know, um, but it's ideas that brought us all here. And that's why I wanted to have youtube on together because I think that that's really interesting. It shows that these concepts are irrelevant, you know, these concepts, transcend borders and all of that stuff.

Speaker 3:          00:37:04       I really like what really interested me about sort of joining forces with Faisal, especially right now with the shift that, that he's doing with a human rights. He's focusing not just on the atheist movement or the secular movement. Well, what can we do about it? So he's now working in human rights and, and the reason I'm so supportive of that and want to be involved in that is because for me, you know, I grew up in a country where I think one of the, the, the founding father of Singapore, Mr Lee Kuan Yew, who, who recently passed away, one of the most dangerous legacies, he's probably one of the greatest statesmen modern statesman, you know, um, ever. And he's built a country that went from third world to first world in just three decades. It's a feat that, I mean, it's, it's amazing what he's done for the country, but I'm, on the other hand, he sort of legitimize this term which kind of bothers me is he says that it's called Asian values that because Asia, because of his history and culture, um, the western ideas of, of, you know, liberal democracy cannot apply and it doesn't fit well within the culture and he uses confucianism as a bulwark against that, like what he was saying about collectivism and, and so it sort of pits, you know, the West Western ideas and it says, oh, it's invalid here.

Speaker 3:          00:38:27       It can work here. And to me that is cultural relativism. You know, it, it violates human rights. Like it's not, it's not consistent with this saying he saying sort of be free but not that free because that's sort of what will undermine what we've built. Well they are re, they legitimize their able to legitimize repressive policies under the guise of Asian values. It's almost like exceptionalism. Like you know, we prioritize social harmony and prosperity over individual freedom and this is our culture. So, so our policies fit that. And I think for me that was what was very dangerous about that idea and you start seeing it being replicated in Russia, like Putin's doing that. Um, I see Jinping and China and they're taking the leaf out of his book now and creating almost like parallel alternative to western democracy. And part of that, again, it

Speaker 4:          00:39:23       goes to the way we see Europe having so many problems right now and we don't see those problems in Russia. Right? I mean certainly the immigration stuff, we don't see that in Russia. And because of that then it makes probably the average European, it makes poodle look kind of good even if they don't like. But also it's worth mentioning that Russia is not a country worth immigrating to. So they want somebody who's a refugee himself. He wanted to go somewhere warm, totally warm. But I want to have a country that is probably different than where I come from. It does. But authoritarianism is that I'm in Europe. I mean obviously it's much better economically and much better socially that makes less people. But, but yeah, I mean when you have an open border policy that's, I think Germany would probably have it and the net not a very strong vetting system you're going to have because as I said, there was the rise of far right and Islamic terrorist attacks and if we are not going to support the reformers and the liberals are trying to change the things in the societies because I mean I, I wrote an article about the Syrian refugee crisis and one of the main issues is that there is no solution to Syrian refugees going to keep coming.

