Speaker 1:          00:00:04       No.
Speaker 2:          00:07:47       So it's pretty cool. Okay. So let me just do a couple of little pimp shout outs right here up top just to tell you what we're doing and then we'll, we'll go more back into the story and everything else. So first off, we are closing our patrion on January 15th. We are trying to move everybody over to Dave rubin.com/donate and what, uh, what that's all about is it doesn't solve the biggest problems related to censorship yet it doesn't solve the biggest problems related to payment processors and things like that, but it does remove one portion of the middleman here. We don't need patrion anymore. It's not like anyone's discovering us on patrion there. They're taking a cut of the money and they're doing practices that I, I don't believe in. So we were trying to get as many people as possible that have supported us on patrion or new people over Dave rubin.com/donate and uh, and help support the show.

Speaker 2:          00:08:34       We'll see what happens. Like there are many other ways that I can go about supporting the show. I could be reading ads and I could be joining networks and all those things. I like being independent. I think we've done something really cool here and, and it's really on a, on you guys to see what the, what the future will hold. So what we're gonna do though for this live stream is if you donate 25 bucks monthly while we're doing this live stream for the next two hours, you are going to get a Reuben report, Reuben select tee shirt. Now these were the tee shirts there. A limited amount of these that will never be printed again because these were the tee shirts that we were given away to our patrons. So there's a couple of hundred of them left. And if you donate $25 or more monthly, while I'm doing this, you're going to get a tee shirt.

Speaker 2:          00:09:15       I should be selling a like crockpots or something. I'm wearing that t shirt right now as you can see. And if you donate $50 or more right now during this live stream, we're going to send you a Reuben report mug. This is a select member mug. That was only for our patrons. We've got a couple of hundred of them left. I'm going to sign it for you right here and give you a shout out and anyone that donates say five bucks or more during the live stream. I will give you a shout out as well, so I've got a trusty iPad here. My team's going to be send to me names telling me what you guys are doing. I'll answer all your questions related to all of this. I just think it is time to take a stand. It is just time to take a stand. I don't take any great pleasure in this.

Speaker 2:          00:09:55       I don't want to fight Patriot and I don't want to fight Google. I don't want to fight any of these things. I want to do a talk show. I want to have some fun and joy in my life, but it's like enough of this, this ever encroaching movement on what we can say and who's allowed to be on what platform to say this or that. And it's coming from more and more people who are not bigots or racists or anything even close to that. Although I would defend bigots and racists right to speech as well. Um, it's coming for people that just have some thoughts that are a little bit outside of sort of the leftist, progressive dogma that has just completely taken over academia and certainly everything going on in Silicon Valley. So a, so please do what for the next two hours while we're here, I'll, I'll give you a shout out by name of Dave rubin.com/donate for five bucks and above 25 bucks and above monthly you're getting a tee shirt, 50 bucks above and monthly you are getting a tee shirt and a Mug, which I will sign right here for ya.

Speaker 2:          00:10:47       And uh, oh quickly already we got some shout outs. James, Megan, Jeffrey, David, Beverly, Holly and John. Welcome aboard guys. Thank you very much. I do appreciate it. Um, okay, let's see. So here's how I'm going to jump in with uh, with some questions. I'm going to start with questions from patrons right now because you guys have been the lifeblood of this thing and I see some questions popping up there first. Uh, I admire you leaving. Do you, do they still have you on the front page? I guess a couple of people were saying that Patrion was still using me as a, as someone that they were publicizing on the front page. I don't know. You know, it's funny, I sort of had a love hate relationship with them this whole time because I never truly felt they really wanted us say the sams and the Jordans and the Bret Weinstein's in me.

Speaker 2:          00:11:28       I never really felt that they kind of wanted us on there because they are a lefty silicon valley thing. Um, so I don't know that they're using me or not right now, uh, to, to pimp out this stuff. Um, but you know, they never followed me on Twitter, which always really bothered me. I was like, I'm making you guys a lot of money. Like, what are you doing anyway? That's just like silly little dribble. Um, okay. So, uh, but the point is we're gonna, we're gonna stay on there until January 15th and then that day we'll, we'll shut it down. Um, and also I do want to address something. You know, I saw a couple of people say, well, Sam did the right thing because you know, he just immediately deleted it. And I think it's worth mentioning that we all, God bless them for doing that cod blessing, the atheist for doing that.

Speaker 2:          00:12:10       Um, you know, we all have different considerations. I have a business here with several employees. Actually, the day that we found this out, I was in a, I had speaking either that night or the night before, I was in Montana, a speaking at the University of Wyoming and we had just sent a part timer, one of our part timers of fulltime employment contract. So in the midst of this, I'm just committing to a, another full time person as I see all this. So we all just have different considerations, uh, that we're, that we're dealing with. But I think we're doing the right thing. And by the way, I also don't begrudge any of the people that want to stay on Patrion and fight. So I, you know, I have plenty of friends that are going to, I think do just that or at least doing it at the moment and say Bret Weinstein and uh, and column Moriarty and plenty of other people.

Speaker 2:          00:12:53       It's like if you can stay in fight and change them, we can all have different tactics on how we want to go about this rope a dope. I think some of us leaving is probably good. I think some people trying to fight and stay in change. It's probably good. It's, it's all there. Uh, shout outs to Jason to whim to her Kahn who is getting a tee shirt and a mug. That's right. My man. I'm going to sign that Mug for you right now. This is a Reuben select member mug that will never be printed again because it was for Patrion. It has been signed and it's going to you my man. Thank you very much. Okay, let's see. Uh, I'll jump on another patriot. I want, I see a lot coming in on super chat too, which is great. So I'll get to those.

Speaker 2:          00:13:32       Uh, will you have the opportunity to pay through paypal? Yeah. If you go to Dave rubin.com/donate uh, you can just use a credit card or you can use paypal there and you're good to go. So I should address, actually that's a good point. So look, there's a couple of things happening here. One of the, one of the parts of, of censorship that we have to deal with is what's going on with these tech companies. Are People be in shadow banned on Twitter? Are the algorithms not showing certain videos? Are People Getting unsubscribed? All of these things that you guys know all about. Now, again, I say this all the time, these companies are allowed to do what they want. I would like them to sort of uphold the principles of free speech that I hold dear, but I don't know that I can force a private company to do that.

Speaker 2:          00:14:12       Now, if they were doing shady things in the boards of these companies, the shareholders of these companies found out, well now maybe there's some, there might be some legal issues. There would be some internal issues for sure. Um, but I don't think that the government coming in and breaking up these companies is the right answer. There could be certain legal things within that. I'm not a lawyer that might have to be looked at. Okay. Now as far as, uh, the payment processor part of this. So that's, that's just the speech part of it, right? That's how can people be on platforms and be allowed to talk. So it's like a guy like Carl Benjamin. It's like if this guy isn't allowed to be on platforms, then probably you watching this and half of the people you know, and that may include me, can't be on these platforms.

Speaker 2:          00:14:55       That's why this was important for somebody to start standing up to some of this stuff. The next level of this though, so we have to deal with the platforms themselves who can be on platforms and what are you allowed to do on these platforms? And they can all have different terms of service. Should, should future platforms maybe only have to obey the laws of the land. So anyone can say whatever they want except you can't make, say a direct threat or you can't do a, you know, a fire alarm in a movie theater type thing. Um, or you know, uh, inspire a, a terrorist attack, something like that or call for a terrorist attack. That would be an interesting way to do it. Should a terms of service have more to do with the statement of principles that the University of Chicago has put out defending free speech possibly.

Speaker 2:          00:15:36       So all of these things have to be dealt with and thought about and all of that. The other part of this issue though is the payment process or part of this, um, because it turns out now, and this is very annoying because nobody wants to fight mastercard and visa and the rest of it, I assure you I don't, that you can catch there is there is a tweet that one time over the summer, I think it was in August, that Patrion tweeted to Robert Spencer who is in not Richard Spencer, the outright guy, Robert Spencer, who is a New York Times bestselling author. Now he happens to write a lot about Islam, but he's a New York Times bestselling author. They tweeted to him that they had to close their account and they said, unfortunately, because of pressure from mastercard. So now it's like, wait a minute, are we going to be policing speech to the point that people won't even be able to make money, that people will not be able to exchange in, in commerce and in goods?

Speaker 2:          00:16:27       Well now we've really ramped this thing up. So these are major, major, major things that people better start thinking about that I know you watching this are thinking about, but everyone better start thinking about these things before it's too late. Um, okay. A couple of shadows. Jacob, Raquel, Earl and Edward, Sean Glenn, Joe Jeffrey Taylor, Taylor's getting a mug. I'm signing that Mug for Taylor right now. What did I do with this? With the marker? Here we go. Thank you Taylor. I appreciate that you're getting a Mug, my friend and Morgan's getting a mug. All right, Morgan, here we go.

Speaker 2:          00:17:02       And guys, I truly, I just want to be clear. First off. Um, I just want to be clear about how, how truly appreciative of your support. I am like you guys make this thing go. Like if you believe in resetting some of the national conversation into something decent, if you believe that we can actually change the world through ideas as I believe, um, you're supporting the show because hopefully this gets out to more people and I can promise you that it is like, trust me, I just did this world tour with Jordan where we're going to continue this and it would probably another 40 or 50 stops in the spring and we're doing about 10 stops in Australia in February. And it's like everywhere we went, every airport I went, whether it was in Helsinki or Stockholm or Copenhagen or a Dublin, it's like people were coming up to us and it's like there's something happened here.

Speaker 2:          00:17:48       Like something good really is happening and people want to stand up for what they believe in and people want to fight for ideas that they care about and people want to know more and not be like bludgeoned by the mainstream media. That makes everyone dumb. And not be called a racist. Every time you say something that's slightly out of what mainstream can accept. So I truly you you've, I mean in the statement that I wrote that we released to our patrons, you guys have quite literally made my dreams come true cause I'm doing what I'm supposed to be doing and I, you know, I can't possibly be more appreciative of that. Okay. Hey Dave, if the social justice warrior ideology has infected visa and mastercard and can cut funding or services to whomever they please, what legal recourse is there? If there are no alternatives, it's downright disturbing for it to have come to this.

Speaker 2:          00:18:34       Okay. So as I said, I'm not a lawyer, but there are lawyers looking into some of this stuff. Um, I look, they have their own agreements. Like when you sign up for a credit card, you sign some crazy agreement that nobody has a lawyer sitting there with. So can these companies do what they want? There's probably some there, there is relationships with government agencies related to these companies. So there's probably something to look at their, I would say, you know, I'm hearing a lot of this, especially on Twitter, is that maybe the end game of all of this, is that the only way to truly, truly be a free creator now, whatever that means, whatever you create. So in this case, creating video and audio content is that you would be posting it on the blockchain and also doing all your financial transactions on the blockchain through Bitcoin and ethereum and light coin and everything else.

Speaker 2:          00:19:22       We're learning about it. I have a zillion meetings tomorrow, basically all day long tomorrow I'm going to be talking to crypto people and uh, we're, we're trying to figure out all that. So by right now, by closing Patrion I'm doing it to remove a middleman and do something that I just think is the right thing to do. We're pushing everybody to our website, which doesn't solve the long longterm problems if, if payment processors come for us and things like that. But think how crazy this conversation is. Like, I'm, I actually have to entertain the idea that payment processors could come from me or anyone in my crew that you know of, or come for you. Like how crazy is that? That's crazy. Like we're not doing something evil and twisted here. You know what I mean? We're doing actually what you're supposed to do in a free society, which is talk about things.

Speaker 2:          00:20:07       So switching everybody over doesn't solve the long, long term problem. But we're also, as, as I discussed with Jordan and you can watch the two videos that are on our channel and on Jordan's channel, we're working on some technological answers to this. I think that there may be multi multipronged and sort of, um, multilayered versions of how we're going to put all of this out. That may be some, you know, maybe we'll have everything on the traditional platforms and be putting up everything, uh, on blockchain. I'm there. There's all sorts of ways we're, we're trying to hit this and trust me, the amount of people that have reached out to me that work at Google, that work at Facebook, that work at Yahoo, uh, that are tech startup people that are just regular folks in the middle of nowhere. It's like, man, people see an opportunity here and this is what freedom is all about, right?

Speaker 2:          00:20:56       Someone is going to solve this. I hope that I'm part of it, right? Like I hope the right thing comes across here where the right idea pops. And it's like, I'm part of the thing that solves this. But if you are watching this right now, if you can solve this freaking thing, I'll join you on that platform. Like, let's figure this thing out together. Okay. Uh, shout outs. Alex, Christine, Bryan, Jenna, Christopher Page. Michael James. Neal. Thank you guys. Uh, Neil in California. He's getting a mug. I'm going to do that right now. Uh, also drew and Glen are getting mugs. Thank you guys. I signed that one already. Uh, so okay, there we go. That's for Neil. Where's this one? Hold on. I got, I'm going to need more mugs. Uh, this is for Glenn. There you go, brother. Thank you very much. And one more, right?

Speaker 2:          00:21:44       There you go. You're getting the full day Reuben signature right there. Um, you know, the other piece of this thing that's interesting is that, you know, everyone, as I said, everyone has different considerations. Everyone does things differently. So like I've had all these networks reaching out to me. I don't want to name them right now, but I there, I know right now that there are a couple of different networks that are sort of vying for me to join them. Um, the fact that I can make my own schedule that, you know, in December we basically pretending, I think we did some of the best shows we've ever done in December. Um, most of them were pre-taped, uh, because I had done all sorts of travel with Jordan and we're doing more travel. Like we're going to try to do some more stuff on the road.

Speaker 2:          00:22:25       Like I can make every decision that I think is right because of the freedom that you guys are afforded to me. So please don't think that that is lost on me because it's a, it's awesome. Uh, have I talked to Sargon lately? We've traded a couple emails and I think at some point we'll probably do a Skype chat. Um, but we were sort of waiting for a little bit of the dust to settle here and we'll, we'll figure it out. So yes, we will, we will do something with him. Uh, any information on professed goals to develop slash back in alternative platform as well as a funding strategy for said product. So I can't get into all of this right now. Suffice to say that as I discussed with Jordan, we are working on something. He was building out something already that had some of the technological needs that we would need for a Patriot unlike platform.

Speaker 2:          00:23:08       But there's all sorts of questions here. Like, I will be very honest with you guys, is the idea that we should be building a platform that absolutely everyone should be on, that then becomes the home of all sorts of nefarious activities and, and bad people. Now that let's say it's within the realm of legality at least, right? Like, okay, I in principle I can get there, but it's like, do I want to be the leader of that platform? And also when it gets to the moment where there has to be actual gatekeeping where somebody does something that's really bananas, it's like, do I want to be the guy or do I want to be on the board of the group that has to make the decision to boot people. Like, I don't know that, that's exactly for me. Um, but again, this is why blockchain might resolve some of these things.

Speaker 2:          00:23:51       So we'll, we'll figure out some of that. Um, okay. Couple of other uh, shout outs, Angelo, Adam, John and John and Ian. Uh, and a couple more mugs. Peter, drew and Christian. I'm gonna need more bugs guys. We're running low on mugs here. We only put about 20 here to start. Okay, we got that one, that one drew. There you go. My man and a, I'm going to need another mug for Christian. Okay. Um, here we go. Uh, just subscribed@daverubin.com. Donate for 25 bucks a month. Keep up the excellent work and the good fight. You got it, my friend. Uh, thank you for your hard work and putting your principles ahead of the money. Um, let me just address that quick because I, I said this before, you can just toss them down. We're again, um, I said this before but um, you know, it's funny like, so in the last couple of weeks are our patrion when we got on Patrion as I said in, uh, in June of 2016, patron was mostly like video gamers and some other interesting creators, but not a lot of political people.

Speaker 2:          00:24:51       I think I was really one of the first, if not the first from sort of the more political free speech space to get on there. And then once I got in there, that sort of broke the dam and then a then a whole bunch of other people that on. Um, we got to our original funding goal, I think we originally asked for for 20 grand a month. Uh, eventually we moved that up to 30 grand a month. That helped me literally buy this house, build this studio. We've, we've been able to Redo the studio, hire fulltime or as part timers, all of those things. Um, because of you guys. Um, but what I was also realizing along the road was that why back? You know what, it's not even where, what I was realizing basically was it's like having, even if this was all going great, why shouldn't we absolutely control line everything we're doing?

Speaker 2:          00:25:35       Why not take that last step to sort of true independence? So, all right, let's see. Um, hey Dave, as much as I hate the idea of government intervention, is it time for the government to look into the d platforming issue or is that too much of a slippery slope? I think this is, this might be the digital conversation to have in 2019, as I said in the video with Jordan. What kind of Internet do you want? What kind of ability to communicate with other people? Do you want, we're going to really have to start thinking about it now. Look from a libertarian perspective, the idea that the government would come in and and and break up these companies are forced them to do anything. It, it makes no sense from a libertarian perspective, from a classical liberal perspective where you you're more okay with a light touch of the government.

Speaker 2:          00:26:19       There could be some argument. That makes sense. Certainly from a more conservative argument because conservatives generally are antigovernment but then our, okay often with breaking up monopolies and things like that. Okay. There is now from a leftie perspective, you have that you'd love to have the government involved in everything. My feelings still right now, even though I'm, I'm right in the thick of this thing and it would be nice to have like, you know, some super power just come in and fix the whole damn thing is that I believe in human ingenuity, this problem will be solved. There are people watching this. I have no doubt there are people watching this that work at Google, at work, at all of these companies that want to solve these things. I don't think everyone is a social justice warrior. I don't think everyone wants to be this hysterical preening Morling monster that is writing these terms of services that is deciding who can speak and who won't speak in all of these things.

Speaker 2:          00:27:09       So I think that, um, I think that ingenuity is the way to do it. There's always an argument to be made that the government should jump in and, and do these things. And I just think that the, say if you give the government more power, right, you give the government more power, the government does not give that power back. So you have to be very, very, very careful. That said, look, Prager u sued youtube over restricting their videos. I love Dennis Prager. We, we, I think just have a difference of opinion on that and that that's just how it is. All right, I got some more mugs here. So here we go. Uh, Steven and Kenny, you're getting mugs. Thank you guys very much. I appreciate it. That's for you, Steven. There you go, brother and Kenny, you're getting a mug. There we go. All right.

Speaker 2:          00:27:55       And you're getting a t shirt to a super chat. Thanks Dave. You got it. Love the show or right. Loved Dave and the IDW civil discourse among people with disparate ideas. Why not? Right? Um, I'm getting a lot of thank you's here. There's a lot of thank you's, but I want to get to some questions. Um, do you think you and Jordan will make a big enough dent to Patrion if they're forced to change their ways because of, uh, the exit pegs it, who would you return? So this is interesting. So look, when we started this thing, when this thing all hit at the beginning of, uh, December, I think we were at that point, we were making around 30 grand a month on Patrion. Now of course, that sounds like a lot of money, right? So 30 grand a month times 12 months, we're looking at about 400.

Speaker 2:          00:28:40       No, it's 300 and 360 grand a year, something like that. Right? Um, now that is obviously a lot of money. Now when I tell you that I have employees and mortgages and insurance and all of that other nonsense to make a business, it's actually not that much money. But I'm not sitting here complaining and this isn't cry me a river or anything like that. Now they're, they get a small PR, you know, whatever it was. They get let's say 5% of that or something like that and then some other fees on top of that. Jordan, I don't know exactly what he was making per month, but I know, I know it was more than that. Sam was probably in that category as well is is are all of us leaving and whoever else is leaving, I think Tim pool left. I think some other people are planning on leaving our, all of us leaving, going to cause enough of a dent in their finances to have them turn around now, if I'm not mistaken, but someone can check on this.

Speaker 2:          00:29:25       Patriotic got about $450 million in VC funding in the last like year or two. So let's say we cause them to lose a couple hundred grand or even a couple million this year and people are really pissed at them. Do they? If they really have just bought into social justice and bought this, this language control and all of this nonsense, it's like a couple million bucks, probably doesn't hurt them at all. And if anything, the people who are funding that might be thrilled that they're getting us off these platforms. So that's why I think it's completely legit for some people to say, I'm going to stay here and fight. And for some people to go, it's like any other movement of any time, right? Malcolm X and Martin Luther King Junior didn't agree on every tactic and I'm in no way comparing us to them. But you know what I mean? Like this is just how things, how every battle is fought.

Speaker 2:          00:30:10       You have people that want to be more aggressive. You have people that want to change things from the inside. You have people that want to leave and come from the outside. You have all of those different dynamics. So we're all gonna try. Look, the fact that nobody's from from Patriot has reached out to me. Nobody's reached out to Jordan. I don't think anyone reached out to Sam. I think in a weird way, they're mostly probably happy that we're going. Um, but that doesn't mean it's a reason to stay. I think you just, you gotta do what you think is right. I really do believe that. Um, what are your options after Patrion? So as I said at the moment, we want to shift as many of you guys to monthly donations that Dave rubin.com/donate, which by the way, we're taking, we're taking bitcoin there as well.

Speaker 2:          00:30:48       Um, and then the hope is that we will solve the longterm problem, which I think is probably a crypto answer. But in the meantime, there are many other ways of, of doing subscription things. We're going to try to figure out, I mean, I know one of the reasons that people loved Patrion was you had access to an ad free version of the podcast. So we're going to look into that. We're going to look into a couple other things related to what, what other things we can do for you guys. Uh, but at the moment it's about getting everybody, just getting everybody to move over and then hopefully whatever we build on the other side of that, we'll be able to just flip the, uh, the info. Uh, so like, so stripe is the payment processor we're using. I think they're pretty decent and I think that they're, they're going to offer us some protections and that hopefully what we build after, we'd be able to fold in the info that we have from you guys on stripe into the next thing.

Speaker 2:          00:31:33       Um, okay. Um, what will you do if Richard Spencer or David Duke signs up as a creator on your platform? Will you remove them or leave them on? So this is, uh, so first off this is about the, the thing that Jordan and I are working on. We are working through all of these problems. We are trying to decide if this should be an invite only platform or should it be up to everybody. As I said before, there are major issues related to terms of service and all of these things. So I don't want to comment on that specifically yet because it would be because it's being worked out at the moment. I think you know me, I think you guys know me well enough that I will do everything I can to defend everyone's right to be able to say what they want. That does not mean there aren't going to be consequences and I also believe that private companies can do what they want.

Speaker 2:          00:32:20       There is the question of platform verse publisher here, which is really interesting as as a, I said in the thing with Jordan the other day to loosely quote Eric Weinstein, should conservatives be allowed to drive on public roads? I mean at at some point, should conservatives or conservatives or anyone that's outside of the mainstream, should they be allowed to have access to telephones and running water at their house and all of these things because that's how important these modes of communication these platforms are. It's like this is your, your way to connect with the world. And if they're allowed to say you can't connect with the world, well, what else are they allowed to hold off on you on? So it's a lot to think about it. It's a lot to think about for sure. All right, let me jump back in. We got a lot of shout outs here.

Speaker 2:          00:33:03       Uh, Trevor, Luca's, Patrick, Jeffrey conservative Mexican, Henry, John, Chris, Patricia, another Jeffrey Roy Milko, Arthur, Rick, Bert Alexander, Vicki, John, Robert, Luke, Ross, Dag fin, Ernie Thomas, Sean, Rod, and Nicholas. Thank you guys for donating. Why we're doing this. Just a reminder in case you're just jumping in, if you donate a Dave rubin.com/donate uh, for 25 bucks monthly, you're going to get the Ruben report shirt. There's only about 200 of these left on earth. They will never be made again because these were the, the patrion shirts that we were given to our patrons. So since we're leaving Patrion, we're not going to print any more of these. Uh, and if you do $50 and above, monthly on a, on Dave Rubin dot conversation. I it, you're going to get the shirt and I'm going to sign a Mug for ya right here. Okay. Uh, Timothy and Bonnie. Thank you guys.

Speaker 2:          00:33:54       Um, let's see. Uh, hi Dave. I appreciate how thoughtful you've been with your decision to leave. Patrion I agree with you that there's a solution to the d platforming issue on Patrion and other sites. Uh, have you seen today's headline about Mckayla Peterson's brief suspension from youtube? Uh, so I did see that. So Jordan looped me and I know Mikayla obviously through Jordan. Uh, mckayla is Jordan's daughter. Mikayla, uh, has a youtube channel and has been a big proponent of the carnival or diet, which she, I don't want to, I don't want to misquote her at all here, but she basically has been eating exclusively red meat and it has solved a lot of, of her health problems. She had all sorts of health problems, I think rheumatoid arthritis and a whole bunch of other things. And through this diet, it is seriously helped her. She's been on Joe Rogan talking about it and a whole bunch of other things.

Speaker 2:          00:34:43       Her channel got a strike two days ago or it might've even been yesterday and she was gonna have, uh, she was going to be temporarily banned or something for three months. And of course youtube doesn't know why. So then again, or it doesn't tell you why. And this is why all of this is so tough to deal with. So even me right now, so we're about to cross a million subscribers. Um, obviously the show's doing incredibly well. Last month was, I think our second or third best month in subscribers and views and all that stuff. I don't even have a personal contact at Youtube. I have no, if I have a problem with Youtube, I have to fill out a generic form that they just send you some robotic answer back. I don't even have an email or a name of someone at youtube to contact. Like that's the problem.

Speaker 2:          00:35:23       These companies have become so big that they, they operate as sort of monolithic government. And how, again, do I think that the government coming in and breaking up those companies will somehow make them better? Do I think the government that doesn't really understand technology, if they could only break up technology companies would make any of this better? Or if government regulators had to come in and audit youtube every now and again and say, you know, you have to give Dave Rubin a personal contact number. It's like, I don't think any of that is the answer. Um, but I think by talking about these issues, this is the funny thing. You see this all the time when, when you talk about that competition is the answer a then you'll see all these people that'll be like, oh, see you free market people. You don't want the government involved.

Speaker 2:          00:36:02       You're not allowed to complain. And it's like, no, you're supposed to. That's what you do in a free society. You exercise your freedom to hopefully change things for the better, which is exactly what we're doing here. Okay. Uh, shout outs to Anthony, Andrew, Robert, Chris and Laurie and conservative Mexican. He just upgraded his mug status. So I'm going to sign him a mug. Thank you. Conservative Mexican. I, you know, I've got to tell you guys, uh, since uh, since your name is conservative Mexican there I have met a lot of conservative Mexicans in the last year that I did not really know where out there either at my standup shows are at the Petersen shows. Uh, I've met a lot of not, not only Mexicans, I've met a lot of conservative Latino people. Oh. And actually speaking of stand up, if you're in Ontario, California, which is southern Cali, about half hour, 45 minutes from La, I will be there on January 9th doing stand up, uh, and then uh, uh, live, sit down with a, with Bret Weinstein on January 9th.

