Speaker 1:          00:00:02       I'd

Speaker 2:          00:04:28       And I started off when we were talking, thinking that I feel like I know you, like I feel that the stuff that you think about and the values that you have are in congruence with my own values. And I think part of that comes from, from the uh, type of honesty with oneself. Yeah. Well we're obviously going to talk a lot about those values and I think it really is cool that this, this group of people come together. You were sort of in this a little bit before me and connected with Sam and some of those other guys, but now Rogan, Christina Hoff, sommers, all these people who don't necessarily agree on everything. Don't come from the same walks of life or the same socioeconomic separate, whatever, that we've all sort of come together because we have these base principles, apps that we want to put out there.

Speaker 2:          00:05:12       Yeah, I think that's right. And I think that it's so. So here's one way to think about it. We often think about the right and the left on some kind of align. So there's the far right, which is obviously on the far right of the line, the far left and the middle. There's this philosophy, there's a French philosopher has this idea of a horseshoe theory. You take the ends of the line and you bend them together. The far left and the far right are closer to each other than they are to the center. Yeah. And so I think that that's a helpful heuristic or helpful way to look at some of these issues. And for me it was, you know, rather than give a geological account about how this came to be for, for me, what's always interesting is when

Speaker 3:          00:05:58       I look at the mean spiritedness, the anger, the tactics of the regressives, they're just so fundamentally contrary to what my values are and for the sort of person that I want to become. Yeah. Yeah. And, and, and I do see that that horseshoe, that far left in that far right and the left the regressive seem extraordinarily angry and eager to smear those people with racist, sexist, homophobic, etc. If you don't buy into certain, even if you ask questions as opposed to buying into something they have made any kind of discourse almost impossible.

Speaker 2:          00:06:33       Yeah. Well, we've talked a lIttle bit about that and i. Sam said something, sam harris said something about how it's almost like scorched earth. I think I'm loosely quoting what he said because the tactics have been so bad. But before we get into all that, let's talk about you a little bit so people can understand where you come from. All this and, and the book that you've written, which I just read this week and manual for creating atheists. It was, it was wonderful. It was, it was what I tried to do here actually, uh, which I guess goes to what you said at the top because it was understandable you were trying to give people the tools to go about talking about, you know, reasoning and, and morality without taking the leap of faith.

Speaker 3:          00:07:10       Yeah. And, and asking people starts off in. So thank you for the, for the book. You enjoyed the book. I fully did. It really did. And if you didn't, you tell me. I absolutely. Okay. So that's the type of sincerity and I'd appreciate that. So, so the book talks about in the forthcoming app atheist, which talks about how to have more civil productive conversations with people to help them break through dogmatism, to help them break through these deep seated beliefs that they hold and that they think that they're better people because they hold these beliefs. So how to really have productive conversations and engage people. Yeah.

Speaker 2:          00:07:45       So I think the best way to jump off on this is let's just define some terms and I've done this in one incarnation or another a few times on the show and we've talked about religion and atheism and agnosticism and all that. But why don't you just give me some basic definitions, which is sort of how you start the book. So just what is an eighth?

Speaker 3:          00:08:01       Yes. So the way I define ads, I think it's right. These are placeholder terms. I'm willing to revise those. I don't have an atheist is a person who doesn't have sufficient evidence to warrant belief in god, but if they were given that evidence then they would believe so inherent in the term atheist or the way that I use it is a sort of open mindedness.

Speaker 2:          00:08:21       Right. Which is funny to me, and that's the way you describe it in the book because there seems to be a certain subset of people that think that atheists are actually the most closed minded people, but that's not the way you are defining. And maybe that's just sort of the personalities that have been publicly attached to them.

Speaker 3:          00:08:36       To a certain extent. We, we can understand why someone would think that because the word theist is contained with the word atheist and just as theorists tend to have these dogmas where they latch onto religious propositions, faith, faith promises to faith. So two, one would think that atheists does. But again, I think that the faithful have constructed these narratives to, to make it as if there's some kind of a parallelism, assymetry of belief. Look, we believe these things. You guys believe that we, we, we have beliefs that are predicated on no evidence just like you do. Right? And I, I don't, I, I think that's a type of insincerity. I don't think that people who are honest with themselves and have a minimal level, you know, basically enough intelligence to tie a shoe, a shoe is, I don't think that it's possible to come to that conclusion.

Speaker 3:          00:09:28       Yeah. So, so before we go too deep on that, what are the other, what are the other terms we should just define right at the beginning? So agnosticism for example, um, I would, you don't, you're not big on. No, I don't like that. I don't like the term. I think it's a, it's a useless tournament we need to do away with it. You don't believe in santa claus? No. So you were a santa claus, a atheist or don't understand to close. Agnostic, right. So the word agnostic is gives wiggle room worse. No wiggle room should exist. The default to any belief shouldn't be. Maybe the default should probably be no, unless I have sufficient evidence to believe. But again that's part of the hijacking of the narrative. Right. So that's interesting. So a lot of people I've heard lately, they described themselves as agnostic atheist.

Speaker 3:          00:10:17       That seems to be like the new or have you heard about that one where it gives them, I guess a little more wiggle room, but you're saying that that in a way that sort of cheating the, the idea here, right? Yeah. And maybe people self described that way because they feel they want to reap some social benefits from it. Maybe they feel that they don't want to offend people or insult people or make people feel bad so that they use these wiggle terms. Yeah. So in the book. Well, first off, is there anything else we should define? Just real quick. All right. I don't know. I don't think so, but if, um, if we've defined something and it's, you're right, it's important to define words and those can be placeholders for later on because if someone says, I'm an agnostic atheist, I'll say, well what do you mean by that?

Speaker 3:          00:10:59       And I can challenge or what have you, but if not it's like two ships passing each other. Not like we don't know what the conversation is about. And there was a lot of that in the book where you're talking about, you know, people with faith and people without faith or a nonbeliever verse believer, whatever, however you want to define it there they're talking about two different things and that sometimes makes the conversation really kinda crazy. It does. And that's the problem with faith is that it has a broad semantic range and people try to use the term to do some work that it doesn't do, like they try to use the term to protect like, well I believe that muhammad fluid having a winged horse or I believe jesus walked on water fasting or the dalai lama incarnates through bodies where it. But I, you just say you have faith, your wife loves you or you have faith in a plant. So they use that term as an umbrella term to almost cover their beliefs from any make an impervious to reason. And I just don't think that's, that's a very sincere way to approach any inquiry.

Speaker 2:          00:12:01       Right? So I think a lot of people just from this first five or six minutes are going to say, well, this guy, this guy is a pretty open minded atheist like that. That's going to be part of it. And I think one of the things you said right at the beginning of the book is you don't really define yourself as an atheist. And I thought you were. I thought your reasoning was actually really clever. Can you go into that? What you tell me what you got it and then I'll, I'll. Well basically you were saying I don't define myself as someone that doesn't believe in leprechaun. Right. So, but, but yet there seems to be with atheists, there seems to be so much onus on them to constantly have to talk about it or, or whatever it is. I've only been in this kind of.

Speaker 2:          00:12:37       I never even publicly said that I was an atheist. Yeah. Literally it was about two months ago, I think when milo yiannopoulos was on the show, I always considered myself sort of a friend of the atheist community. I always liked atheists. I like free thinkers. I like critical thinkers. It never, it wasn't something that really hit me one way or another. I didn't feel like I needed to say, all right, I have to make this announcement or this announcement. but somehow in that conversation with him, I had finally got to my breaking point or something. Well that was good then. It was a good car. So Yeah, it was all good

Speaker 3:          00:13:06       honesty though. Public asta. And so I think that the Word atheist still has some negative connotations and a lot of negativity is attached to it, but I don't. I think that atheism is a conclusion and it's ultimately, it's much less important that then epistomological hygiene if you were like thinking about how you come to knowledge and making sure that, that, that those ways to come to knowledge or reliable. Because that's the other thing that was a big realization for me a long time ago is that that faith, faith claims are knowledge claims. So when someone makes a faith claim, they're making a claim about the world. Like I have faith because of x. So people use faith as a process to get to a claim about the world. I mean the whole thing is just so bizarre twisted, but unfortunately where we live or it's surrounded surrounding us, but I don't, I don't have. It's really weird to me. Like I'll go to, I'll speak an atheist conference and people would be singing about being an atheist since I just, I can't. It's just unfathomable.

Speaker 2:          00:14:04       Right. Well that's why your description of it felt decent to me. You know what I mean? It does. It certainly, as I said, I didn't talk about it until three months ago. It's never. I don't think it will ever be something that defines me. What defines me are my thoughts and my, the breadth of all the things that I am, but that's just to define yourself by saying you don't believe in. Actually it doeSn't make that much sense. Right? Yeah, and

Speaker 3:          00:14:26       I'm trying to think about defining yourself in terms of your thought. I don't even know if I had to do that. I mean, I think it important to ask yourself, what kind of person do you want to be like, you know, I want to be a kind person. I want to be a compassionate person. I am very confident that those values are derived through reason and that we can articulate ways to get through those very clearly, but I'm not. I'm not Sure if he hit me. Maybe I'm wrong. Maybe I want to be tHe type of person who's willing to revise my beliefs. Maybe I want to be the type of person who's inquisitive and trustful of reason and who treats people well, you know, maybe that's the kind of person I want to become. so maybe those things are identify self identify with those, but I don't. It's just an odd thing to me to latch that onto an identity.

Speaker 2:          00:15:15       Yeah. Well I, I certainly agree with that. So a lot of what you're doing in the book is really, I think you actually use this word is to deprogram people from faith and I thought using that word was particularly interesting because you're viewing it as sort of, you know, we all enter this, this life sort of as a clean slate and then we're programmed with this stuff and you're trying to give everyone the tools to, to deprogram.

Speaker 3:          00:15:42       Yeah, that's exactly right. We have been indoctrinated by ideas, culture. We have. Everybody has a kind of cultural myopia that's reinforced by religion and beliefs. So how do we help people to become more reflective about their beliefs? How do we help people to become less dogmatic about what they, about their thoughts and, and you know, maybe maybe that's why like for me even the is and part of an identity, but maybe that's because it's a dominant heteronormative or you know, so I mean, I, I don't, I don't know. What I do know is that people think that havIng certain beliefs makes them a better person. Dan debt talks about this in terms of belief and belief and part of the problem is once you start taking that, you're holding beliefs makes you a better person. You're much less likely to revise those because it moves from the realm of epistemology that is knowledge to the realm of morals and you don't want to be that guy like you don't want to be. Yeah,

Speaker 2:          00:16:40       yeah. No, I'm with you. The difference between knowledge and morals, which people seem to conflate constantly, right?

Speaker 3:          00:16:47       Yeah. And it's interesting in terms of the, the regressive left and the, the idea of race. When people talk about race that is just so charged and so politicized that they have made it almost impossible for a sincere inquirer to ask a question without being smeared or labeled in some way, and we've lost the ability, we've lost the ability in an academic context to ask sincere questions that we get. The only way to solve any problem, the first step is to be honest about it. If you're not honest about it, you're not going to solve it. And you've written about this. And Douglas Murray was on sam's podcasts. Other people have spoken buts. I've tweeted about this. I wrote about this. If you do not allow questions than extremists are eager to come in with answers. And so that's one of the consequences that we see and we see this in a religious landscape. Very it, especially with islam. Now with me, we see this terrible problem. So we're,

Speaker 2:          00:17:50       we're jumping ahead a little bit. I'm gonna. I'm gonna. I'm gonna. Follow you on this jump. Um, so when it relates to, to the left, now I assume you're basically someone that comes from the left, right? I mean, from everything I knew, classical liberal, liberal class every, every virtually every sense. Yeah. So I assume that also that you feel the same way I do that it's your job to police them more than the. Right. Right. Like for me, people always say to me, well, why aren't you attacking the right as much? And it's like I see I have not part of the right. I do attack them. I, I, I don't think I've ever voted for a republican in my life. Not, I'm not a fan of the democrats and I'm not a democrat. I'm an independent, but I. But for me to police the people that I'm not part of, you know, it, it just seems silly. I want to police my guys. Do you feel that? I mean, is that part of what you do and

Speaker 3:          00:18:38       I feel to me it's more germane in the sense that the left, the regressives have taken over academia. They have literally hijacked the institutions and now they're institutionalizing these policies which are really rather extreme by any in any, any classical liberal would be horrified at what their speech codes, microaggressions. Troy, it's horrifying and they're Basically robbing a generation of people have the possibility of being able to think clearly and critically and their ever increasing the threshold. People's threshold for what they consider to be offensive or the types of conversations they'll have is continuously dropping. So for me it's personal only and then I have to deal with this every single day and I write. I mean it's, it's the most personal thing. Yeah, it's, it's endemic now. Why? Why don't you criticize the rightest much? Well, I mean, look, I have criticized the right, you've criticized the right. Think about the type of criticism you have to label against a guy who is a bonafide. Can I start?

Speaker 2:          00:19:39       We're on. Your shows were away. Yeah, everyone always asked me before they swear I probably, I probably asked me for a while. That's fine.

Speaker 3:          00:19:46       Yeah. I mean think of, think about about, you know, like huckabee, who is a bonafide fucking lunatic, right? I mean think about guys like Donald Trump. I mean these guys are so outside, not even actually that's status. They're not outside the mainstream or at least have that place. Yeah. And labeling a sort of criticism against that type of crazy is very different from people for whom I feel sympathies for these impulses they have. They have very decent impulses that base and we need to be careful that because they're so insincere and dishonest that we don't disregard their whole message. Like the onus falls upon us to think clearly about that, into really, okay privilege, I got it, you know, this gender thing, you know, but to really take a step back and separate the message from the messenger so that we don't discount the whole thing. Yeah. I'm

Speaker 2:          00:20:41       very, very aware of that all the time, you know, because I know that I'm attacking the trigger warnings and safe space and all that stuff and I don't want to throw the baby out with the bathwater and I know that there are legitimate racial issues in early legitimate socioeconomic issues and all of that stuff. But because of the way these guys have behaved and frame the debate, they've made it extremely difficult to separate legitimate issues. That's exactly right. From pure craziness. So I think what's interesting related to someone like you that comes from a place where you're writing and talking about moral clarity and and critical thinking, this has to be. It's almost like doubly worse for you in a way to be part of this because there's the, there's the thinking part, the spiritual part. Like it's just a lot mixed into one crazy thing.

Speaker 3:          00:21:26       Yeah, it's interesting. I mean everybody, you had I think nicola here and other people have given geological accounts of how we got into the situation, but I think the thing that people really aren't thinking about or talking about that much or what are the implications for these things. I mean, what are the philosophical. What does this mean? What did this would interest. We're both speaking quickly. We have so much to sacrifice, so much to get up and go, what does this mean when we've created academic environments in which people in which professors are terrified to give a dissenting opinion and then when dissenting. I mean something from, from the regressive party line. What does that mean

Speaker 2:          00:22:06       for a second, let's define dissenting because it's barely dissenting. It's literally just saying anything other descending. It's not like you're saying something that's really against what the mainstream belief is. It's pretty much anything like, you know, be okay with someone else wearing a halloween costume that you may not like. ThAt's the tour sort of dissenting. Right?

Speaker 3:          00:22:24       And that's the kind of craziness that you get when you. So it's again, it's the issue of how we got there is extremely interesting and valuable. I'm, I'm interested in recently my work has been focusing on what does that mean for one's intellectual life? Like what does that mean for one's ability to reflect on issues? What does that mean for one's ability to make decisions about things that really matter? Not halloween costumes. I understand that some people think that matters, but that's just evidence of an inability to show moral triage, you know, to prior to indexically partners prior to some kind of a hierarchy to identify that one need and another need and show why that's important. And the way that you do that is through reason and rationality. That's how you get there and the way that you. So when you attack safe spaces and when you attract trick, true warnings, you're actually, this is the key thing, you're actually doing them a favor because, because you're giving them an opportunity, you're giving people an opportunity if their values are true, like if their values are morally correct.

Speaker 3:          00:23:31       And I do believe that there's such a thing as being morally correct and obviously they do as well or they couldn't be espousing. And that's just parenthetically, that's the interesting difference between, that's the, uh, the contradiction in their beliefs between being lost. My train of thought. Well that I think, I think you're going that they think that, oh yeah. So right. Yeah. So, so you. So these people, they have the legacy of relativism, but yet the values that they put forth a radical egalitarianism, you cannot be a relativist entity. Galitary and safe. You cannot say everything is relative and then all systems are equal. So one of the things that you're doing, you're doing, they'll look at it as to them, but I will look at it as to advance their cause. One of the things you're doing is you're giving people an opportunity to reflect on how they know what they know, and the only way you can do that is through an unsafe space.

Speaker 3:          00:24:33       The only way you can do that Is to really take a look at these ideas and examined these ideas. There just is no other way. So if they have their values are arbitrary and subject to cultural capriciousness, unless they can be rationally derived and they've taken out the engine of rationality once they've created spaces in which you can ask these questions. Yeah, so that's why I've a few times I'll say that the road to hell is paved with good intentions that I believed that these guys. Actually. Joe rogan fought me on this when I said this, I said, I believe these guys, like with the athletic thing on real time with sam harris and all that I did, while his intentions were good. You know what I mean? He was intending to try to protect the other joe. Basically it was like, nah, he's a hollywood guy.

Speaker 3:          00:25:21       He's just protecting her zone, his own internals and actor. He's an actor. That's it and he's, he's out for number one fund, but I guess that's probably what really is perverse about what's going on on the left because by taking kids, by taking college kids whose thoughts aren't fully formulated yet and then putting this thing on them, they think they're doing everything for good intentions, but then they're going to walk out into the world realizing the world doesn't really react that way. Yeah, and if they're listening to this and they're just dumping on you and hate you and hate in me, I think it's perhaps a nice, helpful heuristic to think about it in terms of standing for the flag.

Speaker 3:          00:26:02       An example on the rIght, people on the right are big on respect for the flag. They've made their own thing sacred, but I don't think that's important. I think what's important is to teach people why they should stand for the flag, what our values mean and and that's why they're standing. It's not an icon, but I think that the same property holds on the left. They have to. They have to start being honest and realizing that if their values really are true, then they have to subject those values to scrutiny and then we have to create spaces. we have to create environments where the marketplace of ideas, we can have a discourse and a dialectic above these things. Exactly. If that's just a little different, we just do the do the officers. That's why they should be thankIng you. I'm, I mean, I'm being facetious.

Speaker 3:          00:26:52       I'm being really sincere. That's why they should be thanking you because if not then that means their values are arbitrary. So when I talked about this with milo and the and the college thing, you know, he said that what this really is about, this isn't about left and right. He was saying that thIs really is about authoritarians versus the word of porsche and that's what you're really talking. That's the horseshoe. Yeah. So, so somehow though, I think this is related to religion to right, we can relate this very much to absolutely. Thinking of religion. So can you go down that path for me a little bit? yeah. So the, they use many of the same mechanisms. They have things that are sacred. In this case, it's the rise of the victim, the victim hood culture. They have certain questions, certain ideas can't be questions, can't be challenged to churches or safe space to university campuses are safe space.

Speaker 3:          00:27:36       And, and so here's what's super interesting. When I did a talk a few years ago, uh, I dunno, five years, I don't even know it's on youtube. Jesus, the easter bunny. And other delusions just say no. Yeah, I know if you saw that or not, doesn't matter. But, but the people who protested that were not chrIstians, I had some christians come in, the audience, I speak all around the world. People are in general with very few exceptions. Christians and muslims are very civil to christians. I go out for beer off afterwards, but it's the regressive leftist who, I mean this, I mean really think about this. This is, this is like the feminist is rice said to joe today. It's like the feminists in bed with the islamists, I mean is you just could not conceive of a relationship that was more eight to thetical t two, one, one of those parties interests, right?

Speaker 3:          00:28:24       So, so it's interesting that, that, and I'm pretty sure that the, the islamic, no, uh, that they're never going to treat these women any better. Right? It's. So what is that? What is that? I'm sorry to cut you off, but what is that? That, what are they doing? So they just view. So these feminists for whatever, they just view the other as more oppressive than they are, so they just have to give them their credit. I mean, is that, it's really that simple and that is a comp. I have thought about that a long time. I think it deals with the color of people's skin oppression. I think it deals with, you know, this whole third wave feminism that I still don't understand. Uh, I, I, I don't know, I don't, I cannot explain to you, and I've thought about it extensively, how this cohabitation fine, not a marriage, but how, how this, how this bizarre relationship came to be.

Speaker 3:          00:29:18       I still cannot understand it. and the most recent event at goldsmiths dot dawkins was tweeting on and such. I mean that is, that should be a case study for people. The, that is even boggling my mind to even think about trying to understand that. Right? And then so that and, and all of this and all the stuff that we're talking about in this discussion, it shows again why that if you don't help the reformers, the actual reformers who are trying to change make things better for women and gays and might not even question if you don't help these people and you keep framing these people as the problem. Well what do you, do? You get the rise of trump? Yeah. Yeah. I'm just going to say that extreme. I think my treat was something like a, if you have create environments in which you can ask questions, extremist step in with solutions.

Speaker 3:          00:30:03       And I think that that's exactly right. Could this, so really could, do you think that this atmosphere that, that trump has taken advantage of their, their sense of palpable fear, right in America that I haven't felt before. I really do. I sense that people are feeling like everything is screwed up, that there's, we have this terrorism stuff. We don't know what the answers are. There's this refugee thing. We're all children of refugees are descendants of refugees here, unless you came over as a slave or a american indian, right? If you were actually indigenous to this land. Um, and I just had this sense that people don't know what's going on. and then when you shut down the people on the left, zach, then of course trump. Yeah. Okay. So I really wish that every single person listening to that would put the rewind button and listen to that again.

Speaker 3:          00:30:50       So if you're one of these people who thinks that you're doing the world a favor by creating, you know, triggering, protecting people who are, you know, you want to protect the sensitivities of others. Again, not a bad impulse at all, but the consequence of that is that people become less capable of making discerning, rational judgements, particularly in the moral sphere. So the consequence of those things is that Donald Trump is right there with the answer and I just read a piece about the number of people who, who support trump who won't admit it, is far higher, which is terrifying and we know that the way we don't want to create adversarial relationships. I mean if so, I think that part of this problem, I don't want to go down this rabbit hole necessarily, but part of this problem is we have to engage trump's arguments on his own terms.

Speaker 3:          00:31:38       And part of that is if the idea is that, that this is going to make America safer, I think that's what we should. We shouldn't appeal to patriotism, which we should take a look at that. I don't think that claim is true. I don't think that's borne out by the evidence. I don't think there's any reason to think that first off, it's not even constitutional. Any of the keeping people out based on religion or we can accept. We can just bracket that. Yeah, and we can just look at, okay, what is the consequences of this? and you know, what is the concept? Well, let's see. Well what is the content you think that muslim, muslim, islamic. It's again, so we need to figure that they're getting caught in words. Even this. Isn't that the crazy thing? Yeah. They've made us also crazy about words that whatever you were about to say there, you had to think about it 18 different ways.

Speaker 3:          00:32:20       Even though you're sitting across from somebody that you know is okay with the idea of what you're going to talk about. I was, I was caught because I said, okaY, well we should have defined the term islam is the religion, the belief, the ideas that so and mostly from the people of the people and it for some reason that seems to be an unbelievably too way too complicated for people to understand. I don't understAnd, why do you think that is? Because it, and it also seems like they can only do that with islam, like the issue only seems to be with islam because if we were to say anything about christianity, people would be saying, great job. You're awesome all day long. Or if you say anything about radical islam, they'll say, well, the crusades, which is right. So that. So you did it. Okay.

Speaker 3:          00:33:02       So that's right. Because that's. Remember I said the values, they hold her egalitarianism, relativism for them in their minds. Egalitarianism. Look, every age has had a dominating value. In aristotle he talks about the and gentlemen in homer. It was strengthened little tara was humor and now it's, it's in one side. It's egalitarianism in relatives. for them, everything has to be relative. It'S like the, the, the, uh, usually the default is relativistic and andy galatarian. So while they have their band guys, but you have your bad guys. I'm actually no, actually those things are not morally equivalent. And so, so you're asking the question was, was a pertinent and it's one that should be explored. Like what is that about? I think part of it is that we've extended the, the umbrella of rights a wider and wider and I want to be crystal clear that I'm, I'm being descriptive, not evaluative.

Speaker 3:          00:33:59       I'm describing the state. I'm not saying it's good or bad, you know, I was just at a restaurant with my buddy there before we came here and you know, I don't eat, um, I try to eat only cruelty free meat so I won't eat that's school. So we've now extended the umbrella of rights to, to animals, right? So that is constantly extending. So the next step for some people is to extend that to ideas. We've extended that and, and I. And I think that's really interesting, right? You got it. Sorry, go ahead. Yeah, no, I want to throw it again in that for a second. So we've extended the ideas of rights, which used to be for people now to animals because we want to treat animals better. Minority. The next version of that will be with ideas. So we're going sorta take, we're going to put on even softer gloves and when it comes to ideas, because even that should be held in some sort of.

Speaker 3:          00:34:48       Yeah, because people, as I said in my tam talk, ideas don't deserve dignity. People do, and it's kind of become a meme, but it's true. It's, it's that. It's just the next kind of radical. Taking that idea and extending it further on, and the problem with that is that you do a disservice to those people holding beliefs because you don't respect their beliefs to engage them enough. Let's do the thing that's really not talked about. This whole enterprise is really one of disrespect that they're. They're trying to engender these values of respect but not listening to people, not engaging people, people's ideas. Even, you know, you've talked about your show, the soft bigotry of low expectations. I think it was bush bushes phrase and I kept crediting bill maher, which at least sounded nice. Now I'm quoting George W. Bush. I don't know. I feel like, well, I don't know.

Speaker 3:          00:35:36       So then you'll be an con, right? Everybody's going to gang up on us because they're going to say, look at you guys. You're really love bush deep in your heart. Yeah. No, that's actually not true. That's just a fabrication. That's the kind of mental gymnastics people need to do to keep their ideological biases in place. Yeah. Well that was one of the things, you know when we launched the show in order to sam was the first guest and he said that they're always looking, that these people are always looking for something in you, not that you've said this opinion or that you've shared this idea, but if they can somehow link together something that gets them to where they want you to be, you're out. Yeah, and just thInk about this kind of person. Think about discharging that impulse that you have. Think about the kind of person that you are.

Speaker 3:          00:36:28       It's difficult for me to say without, without being overly harsh and as soon as example of a time when someone ought to be overly harsh, but that makes me feel really sad for somebody. Yeah. Well that's. That's very much how I feel I had out of all of this because like I could barely speak what I'm saying because this, this situation has cost me friends and relationships already and I've only been talking about this stuff for a couple months and so I see the way people have turned on me and I, I've gotten into big debates with friends and said, can you point me to where I said what you're accusing me? And they never do because they can't. So thAt's that. So, so if I may ask you, what is the point of contention you lost? Was that an issue? Was it a sweet one who exists in the world that we exist in?

Speaker 3:          00:37:15       That's public person, uh, who I no longer talk to anymore who's been a good friend of mine for the last couple of years, said that my whole show now is about bigotry to muslims. And I said it's actually the complete route. I'm trying to separate people from the ideology and trying to show that not everyone believes this. I brought on people repeatedly to talk about tolerance. You know, the way they'll frame, they'll say sam and majid that they're, uh, that these are the bigots they're book was called. It was about islam and the future of tolerance, not islam in the future of nuclear war, you know, so it's, it's these mental gymnastics as you just said. So what would that person lIke you to do not talk about it? I suppose not talk about these important issues. Okay. But I'm not going to do that. Right. But then again, that goes back to what we started the conversation with them.

Speaker 3:          00:38:03       That's why you get trump's. Yeah, exactly. SO I don't, I would ask them. So that's kind of the feasibility test that I talk about in the book. And the app haS the feasibility tests. It's under. What conditions do you think that that belief would be? False. You can leave. It doesn't have to be religion. You can use the usability tests is not my idea. It's matt mccormick's. You can use the usability tests with anything. So under what conditions could I demonstrate to you that I am not a biased against muslims hydro? If they say to you, well, there are no conditions, well that's a type of belief closure. There's, then there's, there, there almost is no conversation. then you have to take a step back and I hate to say this, but to the metal level and have a conversation about that. Um, but, but I think that, I don't know.

Speaker 3:          00:38:46       I'm now, now I'm kind of ideating. I think I'm concerned about your friendship with this person. I mean, I've given up basically because once, because after being called a bigot repeatedly and saying, actually, no, and can you point me to any, and I know I'm not a big, you know, uh, Douglas Murray said something really interesting on sam's podcast. He Said, I have no time anymore for people whose intentions are not good. You know what I mean? So I know I'm not a racist, so if you want to call me a racist or call me a bigot, it actually, since I'm not, it actually, I don't like being called a racist or a bigot, but it doesn't really have any meaning because it's just a word. If I was secretly racist and you were calling me a racist, I suppose I would struggle with it a little bit more, but so that's, that's the hard thing about, that's that really is difficult about dealing with people who are insincere and I think a lot of those attacks on sam, like in philosophy, this thing called a hermaneutic of charity. You want to give everybody a charitable reputation and you want to say, okay, these guys actually believe this stuff, you know, but over time you just have to grow up. Yeah, I mean I, I, I hate to say this, I'm, and I don't hate to say this because it's.

Speaker 3:          00:39:52       I should have woken up to this conclusion long ago. I don't think these people are sincere. No, I don't think so at all. But that's hard to grasp too. It is hard to grasp because if they thought they had the truth, why wouldn't they be sincere? Yeah. So excuse me. That's, that's the thing thAt kind of keePs me from going on a full throttle attack. I mean, maybe the, their cognitive software has somehow been hijacked by this moral. This idea that they think that they're defending the downtrodden and we, you know, we need to do this as an examPle. It's okay to do this because we're stripping some, you know, there's some utilitarian calculus, like, oh, it's going to be in the greater goods. I don't know what goes through their mind, but that's the problem with dealing with someone who's insincere. Yeah. So I do think that I think that they think, and maybe I, I'm probably giving them the, the leash, that they wouldn't afford me.

