Speaker 1:          00:01:44       And before we start discussing philosophy and the human soul. Thous Vani has two words.
Speaker 6:          00:05:58       or, or developing the argument, and this is an argument everybody knows to some degree, although I don't think we've done a very good job of articulating it, um, over the last few decades that, you know, it's, it's no secret that our free societies or the free societies of the world are predicated on the idea of the sovereign individual. Right. And that's, that's the, that's the place where political power ultimately resides. Or let's say political authority, but, and it's also in some sense the derivation source of the idea of rights. The fact that the individual is sovereign, the individual has inalienable rights. And we talk a lot about rights in our society, way too much as far as I'm concerned. Not that they're not important, but they're secondary because the fundamental, uh, issue of import with regards to individual sovereignty isn't rights. It's responsibility. I mean, first of all, you could make a case that your rights are my responsibility and vice versa.

Speaker 6:          00:06:54       So, so there's a parallelism between rights and responsibility. But even more importantly, if the integrity of the state is dependent on the integrity of the individual, and, and, and that's the argument that's implicit in the idea that the individual is sovereign, then it's obviously the case that the individual has a great responsibility. It's a responsibility that's incorrect, incredible importance because it's not just limited to you, it's, it's you, you acting responsibly actually constitutes the bedrock of the state. And so, so that's an interesting issue. It, it means that you're required in some sense to take responsibility or the entire state will shake. And I think that's true for everyone, but more interestingly, I think this is a more interesting argument in some senses that you need meaning to sustain you through life or you need meaning perhaps not app, meaning you need meaning to sustain you through life because life is bitterly difficult and um, and, and, and ultimately challenging, moderately challenging for that matter.

Speaker 6:          00:08:00       And you need a meeting to sustain you through that so that it doesn't embitter you and turn you into a victim, let's say. And it's pretty obvious to me and I think obvious to anyone when they think it through that virtually everything that you derive genuine meaning from, and I mean the kind of meaning that will sustain you when times are difficult. I don't mean casual happiness, even though there's nothing wrong with happiness. What the, the meaning that will sustain you through the tragedy of life is always to be found in the adoption of responsibility and the people that you admire spontaneously. And I don't think there's an exception to this unless you're a little on the psychopathic side. And I mean that technically, um, you, you feel, I do. I mean, I mean it technically it's like a, it's a hallmark of psychopathy. I would say generally speaking, you admire yourself to the degree that you do when you're at least taking care of yourself

Speaker 7:          00:08:56       at least that and maybe when you have a little responsibility leftover for your family and maybe some does spill over for the broader community. And certainly the people that you spontaneously admire in your, in your fellow man are people who at minimum our accounting further for the burden of themselves at minimum that, but then who have excess capacity and devote that to the proper care of their family and their community. And so I don't think that we've done a good job of laying out the meaning equals responsibility, uh, equation. And it's vitally important. And I think it's very helpful for people to learn that. Lots of people have told me that, that, that you know, that they've been getting their lives together and digging them out of a cells out of a nihilistic and hopeless hole. And doing that by understanding that the meaning they need to sustain them is to be found through the adoption of the maximal responsibility they can sustain.

Speaker 7:          00:09:53       And so well, that's, that's become clearer to me over the course of these last, let's say 50 lectures. So Greg, I saw you nodding along there a lot. Can you put some of this within an objective as spring? Yeah. Well, I mean, not to plug, but I gave a talk at actually the event that I met you at called taking responsibility for your happiness. Um, I think I have a bit of a different view of happiness than you do. And the and ran has different than you than you do. Um, what I mean by happiness isn't the transient joy, your emotion you could feel in a moment, but the state of being, the state of emotion that comes from accomplishing, achieving your values, having taken responsibility, set yourself goals and leading a life where you're achieving those goals over time. And I think that's what ethics is about.

Speaker 7:          00:10:40       I think that's what gives meaning to life and really be part of that is taking responsibility for yourself. I would, I a little bit bristled at the idea of saying that responsibility is more important than rights or the reverse. I think there are there issues that come up at a different tier. So I think taking responsibility for yourself as a matter of ethics, it's a matter of how you live your own life. It's a matter of how you lead a life worth living and be happy and have meaning. I think those go together. Um, but then right are the conditions that we need when we organize as a society to make everybody able to do that and not to be in fight impinging on each other. And if we don't all value our own lives. And happiness. If we're not all taking responsibility or at least many of us aren't, we're not going to have a society that cares about rights and they're going to go away. And um, so in that sense, I agree. We need to have this shift to talking about ethics and uh, what we want to make of our lives. Each of us you're on. Yeah. I mean, uh, when we talk about the individual, I think one of the points that each that's important to make is the individual support. And partially because that's all we got, right? In a sense, all you got is individuals. We can talk about society,

Speaker 8:          00:11:54       but society is just a collection of individuals that starting point, both in ethics and in politics has to be the unit of value. The unit that actually exist in metaphysical value unit that exists, not the abstraction that we call the state or society. What's important is the ability of the individual to live a good life, to take responsibility for his own life, his own happiness for his own success, for his own flourishing. So the individual is, is, is everything. When he comes in my view in morality and, and, and uh, and then as an extension in politics. And I think rights are the concept that recognize that is, it's the bridge, right? So the bridge between a morality that says your moral responsibility is to make the most of your life. And then what kind of political systems should we live in? Cat should we live in to make that possible?

Speaker 8:          00:12:47       And writes, recognizes that the enemy of the good life, the enemy of flourishing, the enemy of success at living is corrosion. Enforce. It's, it's the group, the states, the, the community, other people, other individuals coursing pro, uh, being authoritarian over you, telling you how you must live in how you must act and rights. Recognize that as individuals we have freedom. We must be free to use our own judgments to live our own lives as we see fit. And that's the great revolution of, of the enlightenment is, is the recognition of the sanctity of the individual and creating a political system that allows the individual to flourish and to thrive by protecting him from coercion, by protecting him for force. And relegating the state to that duty. The responsibility of the state is to protect rights to protect you from force.

Speaker 5:          00:13:43       So it seems to me that the battle between the individual and the collective is a battle that has been fought for virtually every society for all time. However, there does seem to me at least, and maybe it's just because I'm alive right now and doing what I do, that there's something unique about the battle at the moment that the individual has been slammed so relentlessly and that we have ideas out there now that for, for young people that they think that socialism is cool. I mean that seems to be coming back, right? I mean these are, these are ideas that I think are, are really crazy, but I'm happy to indulge in, in the discussion about them. Do you think there's anything unique about the, the battle between the individual and the collective right now? Or is this just a repeating of what's gone on decades?

Speaker 6:          00:14:29       I think, I mean there's always something unique about each historical moment, but I think this is me. This is being a continuous argument for the last hundred and 30 years. Like as a technical philosophical argument. And, and of course it has roots that go back much farther than that. I don't see, I mean it is collectivism, individualism, I think the fundamental polarizing force that's, that's it's, that's at work at the moment. And the issue with the collectivist types is whether or not they're collectivists because they care about the dispossessed, which is their fundamental claim or whether they're collectivists because they don't want to bear any of the responsibility that would go along with being a responsible individual. And, you know, I'm always skeptical of the, of the saint like moral claims that are put forth by people who are pushing and given ideology. And now I'm, I'm skeptical about that on my part too.

Speaker 6:          00:15:24       And the people who criticize my perspective say, look, Dr. Peterson, you're not, or maybe they call me something a lot less flattering, you know, they say you're not, you're not, um, you're, you're, you're underestimating the degree to which systemic barriers make it impossible for people to move forward properly in the world. There's, there's barriers to the progress that people can make, even if they barely individual responsibility. And those barriers are distributed on equally. And of course there's some truth in that because every system tends towards rigidity and tyranny and no system does a perfect job of selecting among its people for pure competence. But there's a difference between saying that a system is somewhat corrupt, which is certainly the case with western systems. And the system is an absolutely corrupt, tyrannical patriarchy with no hope of redemption whatsoever. It needs to be burned to the ground and reformulated.

Speaker 6:          00:16:21       Those are really different. And you know, it's, it's also possible to be sensible and say, well look, I mean obviously the manner in which people are selected for success in our society is imperfect. Um, but also to note, well imperfect compared to what exactly like to your hypothetical Utopian perfection, which you would self-generate if you were given ultimate power. Cause that's really the comparison or to our societies in the past because we're doing a lot better now than we were or compared to every other society that's ever existed since the dawn of time, by which standard we are doing so insanely well that it's actually almost unbelievable. And, and this is another thing that I've been trying to promote. I mean there's been at least a dozen books written in the last six or seven years by fairly serious scholars and I would say distributed across the, the, the political spectrum pointing out that like ever since the year 2000 things are getting better so fast that it's actually a miracle.

Speaker 6:          00:17:28       You know, and I can give you some quick facts. So the rate of absolute poverty in the world fell by by 50% between the year 2000 and 2012 so that's a staggering achievement. It was three years faster than the most optimistic projections of the UN. So we actually beat in optimistic UN projection. So there are more, well that's, it's absolutely beyond belief. There are more forests in, in, in the northern hemisphere now than there were a hundred years ago. Um, the child mortality rate in Africa is now lower than it was in Europe in 1950, which is just beyond belief. The fastest growing economies in the world or in sub Saharan Africa, um, about 300,000 people. I can't remember if it's a day or a week, but it doesn't matter. Although it would be better if it was a day, obviously are being plugged into the electrical grid. So increasingly people have universal access to fresh water. There's almost no country in the world. Now we're starvation is a problem that isn't just a political problem, which is to say we have enough food for everyone and not only do we have enough food, we have the distribution systems that are actually getting that food to everyone. It's absolutely beyond belief. And what's, what's quite remarkable about that is it's quite obvious that individually, like that free market system is predicated on the idea of the sovereignty of the individual are the reason that that's happening. So

Speaker 3:          00:18:51       [inaudible]. So the question

Speaker 6:          00:19:00       can is, what the hell are the collectivists up to? You know, why are they [inaudible] like what's the problem here? And the problem, the problem seems to be a certain amount of ignorance, a certain amount of willful blindness and a certain amount of discomfort with the fact that a fair bit of that wealth has been purchased at the price of a continuing inequality. We don't know how to generate wealth without also generating inequality, and I actually don't think that you can generate wealth without generating inequality and that's well, that's something that's worth it, right?

Speaker 3:          00:19:33       Let's say discussion. I think

Speaker 6:          00:19:37       a little something to say about inequality. We wrote a book about that. Yeah.

Speaker 8:          00:19:42       Yeah. I mean, I like to say it in brief, right? Inequality is a feature of freedom, not a buck. It just

Speaker 3:          00:19:51       comes with freedom. You have totally right. You

Speaker 8:          00:19:56       cannot create wealth without any quality, and there's nothing wrong with any quality. There's nothing bad about inequality. There's nothing a model the offensive about inequality and in particular, given that what happens is that everybody's getting richer. Everybody gets Richard, they just get Richard at different patient who reason they get Richard at different pace is because they're producing different quantities of value. The people who actually get very rich in a free market. Now we don't have a pure free market and all kinds of problems with the system we have. But in a free market, you only gain those values that you produce. A Jeff Bezos is the re is the richest person in the world because how many of you shop on Amazon? Everybody, right? So there's a reason he's produced values that have affected almost every human being on the planet. And that's that. That is why he, you know, he's so wealthy.

Speaker 8:          00:20:46       So the whole debate is, is to try to drive people towards envy. The whole inequality debate is to try to undercut the, uh, the idea of freedom because what they're really after is not reducing inequality. What they're really after is eliminating freedom. Uh, it's the same people who used to advocate for an ideology of communism or socialism. Now that's been discredited. So they have to call it something else. Joe Stiglitz that Nobel Prize winner in economics, it's not going to come out for communism, but in a sense he used that as the mall ideal. You can't get there. It's rough. There's a little too violence. Too much blood for his tastes. He's an economist after. All right, so so inequalities on nice disguise or we want to reduce inequality might debates with people. We talk about. Any quality to say by how much, well, we'll know when we get there. Who will know, who gets to decide, how are we going to vote, how much are we going to take and why? Why just monitoring inequality. I mean, Dave's a good looking guy.

Speaker 3:          00:21:47       It's not fan. Can I? Can I have some of that? And it's a lot. It's a lot of hairspray, man. I mean how do, how do we, how do we do that? How do you, we,

Speaker 8:          00:22:02       you know, there'd be an experiments and trying to equalize in the book, we give the example of course, if the tragedy of, of, of the horrific tragedy of Cambodia and the camera moves with the attempt is to equalize not just, not just on, on monitoring issues, but on smarts or the only way to do that is to kill the educated and smart on, on every other fact on who's a good farmer and who's a good, good father Jeff for food, they killed them all. 40% of the population. It's so I, yeah, so the whole, I mean I get, I get really upset with people even make an issue of inequality because it shouldn't be an issue with equality. And I think it's changed I think in America 50 years ago and I'm not trying to be nostalgic because I know the dangers in that. It just, it, there wasn't this idea nobody cared, right.

Speaker 8:          00:22:49       Because there was this feeling that you earned it, you worked hard, you made it. There was also a feeling that, see, I'm not so sure people care as much about inequality as they care about inequalities of hypothetical trajectory. So meaning that it isn't so bad if you're rich and I'm poor, if I believe that if I put my best foot forward, I might also, my life will improve across time. Or even if mine doesn't mind, children's life will because I think people are more interested. I think people vote their dreams rather than the reality and the dream has to be intact. And I do have a couple of just one thing. I think that's true, but it's also true that people, people resent wealth when they think it's unearned. Yeah. And I think the more, the more we move towards a centrally planned economy, the more we have cronyism, the more the real problems in the kind of the mixed economy that we have. We don't have pure capitalism. Then the

Speaker 6:          00:23:46       more they're suspicious of the people at the top because indeed they see the people at the top schmoozing with the politicians, and that's what scares them. So I think America has shifted partially because they're not sure that people have earned it and partially because they've been bombarded with this message, you should envied them. It's, it's immoral inequality. So, so I think it's a combination. The combination of the dream, the justice of it is that just for somebody to have to have that wealth because they've earned it. And this issue of, of Dave just there's been a shift in the morality in the mall perception. I think we have a, we have a structural problem that's going to emerge to that. And this is where I would take some issue I suppose with the, with the idea that there's nothing intrinsically bad about inequality. I mean because it presumes something approximating a level playing field and I'm not thinking so much about systemic barriers.

Speaker 6:          00:24:39       Well, let, let me just make the argument very briefly as you're, tell me what you think because one of the things that I spend a lot of time looking at what predicts success in, in, in western and functional Western hierarchies and the two intrinsic psychological factors that predict success. Our intelligence as you assess it with Iq tests, which is the best way to assess intelligence by, by, by an overwhelming margin and trait conscientiousness, which is industriousness and orderliness, sometimes known as grit. Um, and those are quite good predictors of longterm success. They account for about 40% of the variability across time, which leaves a lot of other factors still at play. But there's something quite terrifying about the intelligence and of that equation because Iq is, is normally distributed in the population and there's incredible differences between people who are at the top of the, I could distribution and people who are at the bottom like it, you can't believe how variable people are in their intelligence.

Speaker 6:          00:25:41       It's quite staggering. Well, I can give you an example. So it's actually illegal in the United States to induct someone into the armed forces if they have an Iq of less than 83. And the reason for that is that they aren't forced as determined after a hundred and some years of, of extraordinarily rigorous testing, um, motivated by the hope that everyone would be fodder for the armed forces. Cause that's their hope, right? Because they have a chronic manpower shortage, peacetime and wartime. So they want people in the armed forces, they're not going to exclude them unless they have to. And the consequence of the analysis was that if you have an Iq of 83 or less, there isn't anything you can be trained to do in the armed forces that isn't positively counterproductive. It's like, yes, yes. And this is a way bigger fact than you think because that's about 10% of the population.

Speaker 6:          00:26:35       And so, so we have a problem and, and I would say it's a problem that is, is going to manifest itself in something that approximates a and inequality that looks unfair because there are the cognitively dispossessed are going to have a very rough time competing. They already do. I mean there's, there's absolutely no doubt about that. And so it, it see, the problem with, with producing hierarchies and even allowing people to climb up the hierarchies responsibly is that the hierarchy is still produced dispossession at the bottom. And we need to figure out how to deal with that. Even if the only consequence of that disposition is the generation of envy. Because envy can bring down the state and you might tell people while you have a moral responsibility not to be envious and fair enough. Perhaps you do, but it isn't clear that that's going to be sufficient solution to solve the problem.

Speaker 6:          00:27:26       And we also have the cognitive problem that no one will talk about and that we should talk about because it's a real, it's real. So, so it sounds like we're talking about the same thing, whether we're talking about it from a cognitive perspective or a financial perspective that in terms of inequality, it's not really the, all the people sort of at the bottom, but it's the, it's the bottom of the bottom that can't help themselves. That seems like maybe, what do you do about that one point that rent made about this? And I think making this point is part of the solution to, um, to people being envious, uh, letting people internalize this point

Speaker 7:          00:28:03       is that other people's goodness, other people's accomplishments, other people's intelligence, other people's wealth if they've earned it. And a society that enables the most productive, smartest people to achieve what they can achieve is good for everyone and especially good for the people at the bottom of whatever hierarchy we might be talking about of whatever level of ability, whatever level of money. And we can see that in giving a little bit more freedom, a little bit more capitalism in countries like China and India has helped while everyone there, but disproportionately the Boris people who were starving to death,

Speaker 6:          00:28:36       who had incredible infant mortality rates than what you were talking about this before. And we've seen them go down. Uh, so I think envy it part of the cause of envy is a

Speaker 7:          00:28:48       wrong moral views that people have moral views that hold that the purpose of someone's life isn't to achieve things in their own life, isn't to reach their own happiness, isn't to form a company like Microsoft and get a computer on every desk in the world running Microsoft software. Uh, if someone does that, we think he's selfish, we think it's bad, or at least it's neutral and we envy him and resent him if we're brought up to think that way. Whereas if we're brought up to appreciate the people who created this tremendous prosperity that those of you were talking about, and to see that as morally good and there's right and as benefiting all of us but benefiting us, not because they did it for us, but because I'm taking responsibility for your life, having gold, having something you want out of life, leading a life of your own on a grand scale, uh, for your own sake is what benefits not only you, but makes you evaluate everybody else.

Speaker 7:          00:29:38       If we had a society that understood that, I think that combat the MV and one of the things that rand wrote, she had a really interesting article called the age of envy that talked about, um, and also another article called the untitled letter, which was a comment on role and she was very concerned about this kind of egalitarianism and just kind of growing Neil Ism and the envy and the culture. Um, it was, she thought a bit of an American if even the kind of thing. It is more characteristic of Europe in the 14th. And this wasn't an American way of thinking, but it was catching on here. And I think she was prophetic in that. I think we're seeing a lot of that today. So let's shift a little bit because I know we can talk about inequality and the individual and all that. We can, we can do that all night long. But the, the title of this talk is philosophy and the human soul. So we only talked for literally about 20 seconds. The four of us before, you know, we didn't plan anything about what we were going to do here. Um, so I thought that the best way to start that would be how would you even define the soul you're on? I'll start with you. Really.

Speaker 3:          00:30:40       Yeah. You got a psychologist or a philosopher and a finance guy and [inaudible] my job, man. We are, and you know the movie

Speaker 7:          00:30:53       Brisbin finance guys have no,

Speaker 3:          00:31:00       I mean I was actually going to start

Speaker 7:          00:31:02       with Jordan, but you look down for a second. Yeah,

Speaker 3:          00:31:05       yeah. The cue that I should go, right? Yeah.

Speaker 8:          00:31:08       I mean, I don't have, I don't have a succinct, clear definition of it, but it has to do with, with consciousness and values. It has to do with, with, with our conscious experiences as some of our conscious experiences I'll, I'll, I'll be in and the values that we have as individuals or things that are most important to us and that I think experience is what I would refer to as our soul or spirit. You know, I think these are somewhat interchangeable. When I talk about spiritual experiences, it's just, it's an experience of consciousness. It's a, you know, if you listened to a piece of music and, and the combination of emotion values and, and your conscious listening and absorbing, that to me is what spirit soul would mean.

Speaker 7:          00:31:55       That's great. Yeah. I would say, um, speaking of the philosopher in the first death of ran scholar here, she had the, the freeze that man at the being of self need salt. So the idea here is your soul is your consciousness, um, at the faculty. Your ability to know when to think, uh, but also you have to build who you are, build your character, build your personality, build your values, come to value things, set your life around them. By doing that over time and pursuing them, you develop a character. You develop into a certain type of person. You develop into a distinct individual. Knew that a beautiful line in the, in the fountain head, um, which this is the theme of this conference. Uh, someone talks about how most people long for immortality, but when you meet them the next time, they weren't the same as they were the last.

Speaker 7:          00:32:43       They're beautiful. They're constantly changing what they're after. It's constantly changing, but the hero of the novel, Dear Friend says, you could imagine him existing distinct forever. He's achieved in mortality in his day to day life because there's a constancy to them and that kind of constancy that having a soul, having an eye, being a particular person, it's an achievement. It's the achievement of having formed values, having formed something you want out of your life and then having built for yourself through living this way. A character that's adapted to that, a character that focused on that. You know, this reminds me of groundhog day in a way because in the Q and A's that we've been doing for the last couple of months, a couple of times it's come up. What's your favorite comedy? And you've mentioned groundhog day where he has to go. Maria has to consistently come back and do it better and do it

Speaker 6:          00:33:28       better and do it better and do it better. Now I've set you up, what is your definition of the soul? Well, I was thinking that the words that hand that writes and then moves on came into my mind and then I was thinking, well, this is the way I conceptualize how consciousness works. And so maybe this is in some sense the locale of the soul. So I don't believe that we're driven deterministically like obviously we are to some degree, but I don't think that that's the right way of conceptualizing how con human consciousness works. I think it's putting the cart before the horse in some sense. So the way it looks to me is that what we have arrayed in front of us is a landscape of possibility. And I think that that's phenomenologically uh, accurate. You know, when you wake up in the morning, especially when you wake up at three in the morning and you're, you're concerned about how your life is going, you see an array of possible futures manifest themselves in front of you.

Speaker 6:          00:34:30       And you know, there are more possible futures. Of course, then you can imagine, but there's plenty that make themselves manifest. I could do this, I could do that. This could happen. What about this? Maybe I should do this. And it's like there's a branching landscape in front of you and some of the places that you're headed to are more likely than others. And some of them take a lot more effort to attain than others, but it's a distribution of possible landscapes. And that's actually your reality. It's not like you're driven deterministically by the present. You see a branching landscape of possibility in front of you. And I think of that as potential. And we all know about potential because we upgrade ourselves and each other for not living up to our potential, which is a very interesting thing that we do because potential isn't something concrete.

Speaker 6:          00:35:15       And in fact, it's the opposite of concrete. And yet we act as if it's the most real thing. You should live up to your potential, you know, and, and your conscience will bother you if you don't live up to your potential. So you have a potential and there's a potential that manifests itself. And then what you seem to do is that you make choices between those alternative realities. And you do that in part imposing a value structure on them and, and, and, and deriving a pathway as a consequence of that. But you decide which of those potentials are going to manifest themselves in actuality. And so you are the hand that writes that and then move so on. And this is a very deep idea. I mean, I, I've traced it back to two. I think our most profound religious intuitions, um, the idea that, that it was the word of God, for example, that gave rise to habitable order out of chaos at the beginning of time, I think is a reflection of the same idea.

Speaker 6:          00:36:05       I think the soul is the thing that mediates between potential and actuality. And I mean that literally and metaphorically at the same time, that's what you're doing is you're confronting potential, which is that which could be, and you're deciding which of that is going to be. And the thing that's doing that is the soul and that's its divine task. And I think the fact that you do that is actually why it's necessary for societies to grant you the idea of intrinsic, right? Sorry. Nope. That's why it's necessary for functional society or societies to be predicated on the idea that you have intrinsic value is because you actually are the locale where potential transforms itself into actuality. And so we determine the actual, the action of our soul determines the actuality of the world. I think that's genuinely the case. So this is really interesting to me

Speaker 7:          00:37:03       because I'm watching you guys and I can see a lot of agreement, but obviously Jordan made at least two references to God and religion there. Now obviously this is where an objectivist and Jordan would have a point of disagreement. This is why you're doing these public events with Sam Harris. And one of the things that I been thinking about it as we've been on tour is at the end of the day, if we all ultimately agree and if everyone in this room, if we could ultimately agree on a morality and, and the definition of the soul, that all made sense. And Jordan's perhaps was had a more religious connotation and yours didn't. And we all could live functioning good lives within that. Then does it really matter beyond the, the interest in the intellectual discussion because there was a lot of agreement. I could see it in your body language and both of you guys. Greg, I'll start with you. Well, let me start with some of the things I agree with a lot and including some of the use of religious language with it. There's a good reason for even for those of us who aren't religious or don't think of herself that, and I think I think of myself with an atheist family, but um, though I know you, uh, interpret that word differently. Um, but

Speaker 6:          00:38:12       he'll tell you [inaudible] occupant. But um,

Speaker 7:          00:38:16       so first of all, I think what we see in what you're describing about the many manifold potentials in the soul actualizes it is a conviction, which I very much agree with and I think we can know is true. And I think I agree. We presuppose and all of our thinking and all of our judging of people, which is that we have free will if there's not a future that's written in. We're just on a path traveling down at. But rather in every moment we're able to make choices and our choices change the future. And that is a really profound fact. Uh, it's a profound factor about our consciousness. It's connected to everything else that's a value about us. And I agree. If that wasn't true of us, we'd be a very different kind of creature. We wouldn't interact with each others in the same way.

Speaker 7:          00:38:58       We wouldn't need the same kind of political structure. And it's, it's such a profound fact about us that we don't really have language for it, are very good language for it. Um, religion has been the form in which people have thought about the most profound facts, about their most profound experiences, about their understandings of them from well, from, as long as there's been people are, as long as there's been any way for a very, very long time. Um, and the Z as we've lost religion, um, we haven't found ways or haven't always found ways to conceptualize independently of religion. Um, those kinds of profound values, the profound role of freedom and human life, the, um, what our highest potential is. And so if you're going to talk about those things, it's very hard to do it without really reaching for at least religious metaphor.

Speaker 6:          00:39:58       That's a really crucial issue. You know, I think, I think it's a fundamentally crucial issue.

Speaker 7:          00:40:03       But I want to say though, just to finish the disagree in part what's true, what's true matters, right? And something can be a beautiful metaphor, but if understood, literally is false. And one of the things I think we need to do to lead our lives well to achieve these kinds of values is to really value our minds and value or reason and value getting at the truth. So if it turns out that something's false, then believing that it's true is not going to make our lives better. And, um, so I don't think it could turn out that we're going to have a very deep disagreement about what's true about the basic facts of reality and yet we're all going to be hunky Dory on everything else. I think those disagreements will make a difference, but we have to acknowledge the role of consciousness and freedom in life. And I think there is an agreement between us on that.

Speaker 6:          00:40:56       Well, what I've observed is for example, in my clinical practice when, when I'm talking about life and death, moral issues and these are in situations where extreme things are happening in families and in individuals lives, talking about events that might've produced post traumatic stress disorder or that set people up for murder it at times or suicide like um, or terrible suffering, some of which is induced voluntarily. The probability that I can have a discussion with my clients about that at a level that will be salutary without using met religious slash metaphorical language is zero. I can't, if I can't, if the discussion can take place in the domain of good versus evil, something like that. And this is especially true, I would say for post traumatic stress disorder, you just don't get anywhere with it. And W I've been thinking about the, the, the, the narrative issue a lot constantly.

Speaker 6:          00:41:52       And I think that, I know we need to use this, this is one of the weaknesses of the rationalist argument I think is that we have to use heuristics to operate in the world. So heuristics are simply are simplifying maneuvers and we, there's no option. You have to use heuristics. And the reason for that is because there is a lot more world than there is a view. And so you take this incredibly complex reality and you simplify it and now the simplifications have to have merit. And what makes them have merit is, is grounds for, is a topic for a very long, lengthy discussion. But to produce those simplifications you have to use here eristics you have to use cognitive shortcuts. And it looks to me like narrative is a heuristic. And that the reason that we need to tell stories and that we probably need to have our ethic grounded in stories is because you can make a list of rules that will tell you how to live.

Speaker 6:          00:42:49       Rules don't suffice, but you can tell stories that are, that lay out broad principles and those are heuristic principles now. But the thing is is that the most fundamental stories seem to have a religious core. Now, I'm not exactly sure why that is, although I think it probably has to do with something I referred to earlier, which is the idea that you know you are as a soul, you're the thing that transforms potential into actuality. That seems to be the grounding concept in some sense. So that's the grounding concept. There's something divine about that. Out of that arise as a sequence of stories that are shaped across perhaps evolutionary history and inside that are more articulated ethic exists. And I don't see a way out of that because you cannot make an exhaustive list of rules that enable ethical movement forward. And you need to do that. If you had a purely rational view of the way that human cognition functions. It's something like that. So let's, let's pause right there. Can either one of you figure out a way out of that? I mean that, right? That would be the answer that in,

Speaker 7:          00:43:54       and this would want to want to have right here we are. We got a whole budget right? Ready yet? I don't think you could have a list of rules. If the rules, your meetings look like an algorithm that you guys, your life. I think that's just not something we can do. That's not the way the human mind works in the world is complicated and you're not gonna get a bunch of, if then statements that take you, uh, take you to do them. You can't even do that for a lot of physical systems do with when. Right? Um, but I think we can understand them rationally. I know this might be similar to what we were talking about in the green room about Sam through of reason and yours in, we might got to figure out where they all a lie, but I don't think reason is just about coming up with algorithms.

Speaker 7:          00:44:38       I think we come up with concepts, concepts enable us to assimilate vast quantities of similar things to one another and learn from future about future instances from past ones. We can get quite subtle, um, principals, but I think moral principles are not things that take the form of simple rules. Don't lie there. Um, to take Rand's version of the virtue of honesty, which isn't, don't lie, it's um, it's your recognition of the fact that what's unreal is unreal and it can't be a value. So faking things won't work. It won't make them real. Somehow the thing you fake, it's going to come back to haunt you. That's not a simple rule of what to do in each situation. It's a kind of broad fact that you can use to steer your life by and in order to use it this year, life by into fully understand it.

