Speaker 1:          00:00:02       All
Speaker 3:          00:10:42       Changing the workplace, changing education. I'm addressing things of, uh, you know, legally for women to have more defenses against harassment in the workplace and so forth. All of that. I was totally on board. That's just basic quest for equality. But what happened is that the second wave of feminism, a lot of the women in the universities were quite radical and they were not about equality. They were not about, I see feminism, the best of feminism. It came from the European enlightenment and it was about the intrinsic dignity of all men and women and extending equality of opportunity and liberty and so forth to, to all they, many of them rejecting enlightenment. And they're not about freedom and freedom of expression. And they are really. They use their classrooms, I think, to promote a very rigid worldview about how women are preyed upon by men and it's almost as if the as if better things got for women, the more bitter they became, and I watched this from close up because I was teaching in the University of Washington. I kept thinking they would be discredited because it their views will not withstand 20 minutes in a seminar room with some just objective scholars, but they do not subject their research to scrutiny of objective scholars. They receive the evaluate one another.

Speaker 2:          00:12:06       Right? So was this a strange example of where things could exist sort of in the academic world where perhaps they wouldn't. These ideas wouldn't have played out in the real world?

Speaker 3:          00:12:14       Well, they didn't and I didn't see them in the real world and I thought they would be contained in the academy and then would go away. That has not happened because partly because of social media and these twitter mobs and things. It's come into the mainstream and now we hear these words like trigger warning or we're going to get plenty of that issue to trigger warning before we sat down. Oh, we should have. Yes, I am a walking trigger warning. Do you consider this a safe space? I'm feeling fairly, fairly frequently. Little microaggressive pond, but not so much.

Speaker 2:          00:12:50       Um, okay. So then that was, that was second wave feminism, right. That's a good way. Was involved into that

Speaker 3:          00:12:56       second wave had a radical extreme and that extreme became the mean because they got a monopoly on the, uh, professorships

Speaker 2:          00:13:05       and that's what you would refer to them as third wave feminism.

Speaker 3:          00:13:08       The third. Yeah. Third way was probably the intersectional feminism. Are there various names for it, but it's a, it didn't correct the excesses of second wave feminism. It took those excesses and made them even more extreme.

Speaker 2:          00:13:22       Yeah. Now, what would you say to the people that would say, well, all along that ride, even though even if they were to acknowledge some of the things that you're saying all along that ride things, basically we're getting better for women. So maybe there was some reasoning behind, you know,

Speaker 3:          00:13:35       there was some reasoning, but at a certain point what you had is just people. It was kind of a power grab and there were women like me can cal poly a lot of libertarian feminist, dissonant, feminist. We were just disinvited from to a party and students didn't have the benefit of hearing a range of opinion and contentious issues. Take something like something like the wage gap it. If you are an economist and you hear that group a is earning less than Groupie, you know, you want to know why they immediately say discrimination. They blame employers and the patriarchy. But if you do the proper controls that any competent economist would do and you ask, well, how do they differ in any way? Do all the men. Because when you hear that wage gap, they're just doing the average of all the men in the workplace working full time and all the women, well, men and women do not study the same top subjects in college.

Speaker 3:          00:14:30       They do not work the same number of hours. And then on average work more hours. They take more dangerous jobs, women are far more likely to take a few years out of the workplace or more. These are relevant to your earnings. So then what happens when we do the proper controls and they're very good studies. The, the, the Labor Department commissioned a fantastic study that did all proper controls. It gets to a point where they're just a few cents you can't explain now. It could be discrimination and I'm enough of an equity feminist or worry about that if I've been cheated out of a few pennies or a woman are, but chances are it's not. Chances are it would turn out if some innocent explanation.

Speaker 2:          00:15:08       Yeah. So, uh, when it comes to the wage gaps and things like that. So I watched the whole bunch of videos on it before I watched the video, did it, you did on it before this. And partly what I think is what I think when I watch most political things or a almost anything related to news these days, I never knew who to trust. But I watch these studies. I say this study, well why was it done this way? Who funded this? Who funded that? How do you in the mix of all this, figure out what to actually believe

Speaker 3:          00:15:35       what I do, excuse me, as the factual feminist, I tried to determine, well, where, who's the best source? Whereas who sets the gold standard for this research? So when it comes to education, nothing surpasses the, uh, the Department of Education and the Department of Education, they collect statistics and they, they are very good when it comes to crime. Do I believe a feminist activist that tells me that we're all, you know, the majority of women or, or a quarter of women are being raped and assaulted and battered or more, um, I go to the Bureau of Justice Statistics and look at what the, what do the statisticians who do careful and highly disciplined as statistical analyses, what do they find? And they find it something very different and they find out the rape is a terrible, horrendous crime. But it is fairly rare on the campus is not one in four and a or one in five. And, and so I present that. I show people this is what they. These are what sort of objective researchers have found. These are what the advocates have found. Now, some people just want to believe the advocates. I don't understand that.

Speaker 2:          00:16:45       Yeah. All right, well I do want to touch on that in a little bit, but just to finish up just sort of the waves of feminism now. You consider yourself and you coined the phrase, I think equity, feminist, right. Can tell people.

Speaker 3:          00:16:56       So an equity feminist. I hope you are. We all are. Is someone who wants for women what he or she wants for everyone? Fair treatment? No discrimination. It's basically comes, as I said, from the enlightenment. It's classical feminism. It's about fairness. It doesn't even have to be called feminism. It's probably humanism or people ism or equalism had I. that's what I assumed most people would be for today. Feminism tends to denote people who are carried away with bail bashing. If I had to reduce it to a few sentences, it would be a women are from Venus and men are from hell and they seem carried away with, with, you know, female chauvinism. I hate to say it.

Speaker 2:          00:17:40       Okay, so from there. Now let's. Let's backtrack to what you just said about the campus stuff, because I know this is a place where you get a lot of heat for this. When you've talked about the rape situation

Speaker 3:          00:17:49       to overland college and everyone was triggered and 30 people and a dog fled to a safe space. They had a safe room. There was a therapy dog apparently and 30 triggered young women and they went to a safe room and they were so.

Speaker 2:          00:18:05       Which we try to plate, parse that out. What I mean, what does that actually mean? Because I know, I know, we know what it means and we joke about this stuff. I wish I didn't know what they literally because you were coming to speak,

Speaker 3:          00:18:16       that I would give them ptsd now. I have been lecturing on campuses for years and it used to be they'd come and argue and sometimes we part as friends or go to a bar and you know, kind of have a good time to like human beings. And if someone presents me with some good data and good arguments, I'll change my mind. I've changed my mind many times that I look forward to doing it again, but who they are, we're not just something has changed in the last few years on the campus and there's been this medicalization of, of the, of the curriculum and they need trigger warnings for their classes and trigger warnings for this and that. And as I said, they needed them for me and they needed a safe space where they could retreat because as one of them put it, someone would be invalidating my experience. It's like the worst thing that can happen to you. Right? So it wasn't like a good thing to happen. And then because you can't just go by your experience, you have to test it and, and see if your interpretation holds up to criticism. They were not interested in, in any kind of criticism.

Speaker 2:          00:19:17       Right? So when, when you hear this happen are new and you see this happen to you and you say, okay, here's the empirical evidence about what's happening with rape on campus. And then they say what? What is their counter argument? Is the counter argument that there's more rape that goes under reported for x, Y, or Z or they're not counting, you know, girls that got drugged or, or something. I mean, what's the, I get that we've become this society that's afraid of every bit of information, but what's the counter?

Speaker 3:          00:19:46       Yeah, well they cite their own studies, but I've spent many years and so many other people looking at these methodological failures. If you, there are ways in which I could, we could throw together a survey tonight and ask people questions and find an epidemic of whatever you want. All you have to do is ask questions that are a little vague and it helps to, to ask a non representative sample of people and um, that's what they do. They ask, they usually a mix of serious questions, but then a few vague ones. That's all you need. Now, does it mean your study is going to be valid? No. Does it mean you're going to generate some useful propaganda for your cars? Yes.

Speaker 2:          00:20:25       Yeah. Alright. So I saw that, that piece it at Oberlin. And then the other thing that I saw you got heat for was um, the, the cat calling, right? There was this, this video about cat calling and you've sort of said, we're written about that. This is not really a thing, not really thing that, well it exists, but not a thing to be upset by sort.

Speaker 3:          00:20:47       Well, it's complicated and as I said, there are times where it's very threatening, but you have to make distinctions and this is the basis of thought. I mean, human rationality, making distinctions and being out in the public square, there are going to be interactions, you know, people will come up with petitions, people beg for money, people will say things. It's just part of being alive. And these control freaks think that we can police everything that's said on the street and they were actually suggesting that it be against the law to cat call a woman. Well, again, I make a distinction between somebody saying hi, beautiful. I mean, frankly, that wouldn't bother me.

Speaker 3:          00:21:27       It might have bothered me when I was younger, but as you get older you don't mind. Uh, but when I wish somebody saying something disgusting or frightening that is very or stalking you, that's very different, but they, they, to them it's all the same. It's all a micro or macro aggression and they want a law against it. And, and what I pointed out my video is that in Washington DC, there's a place where you can walk and you will be cat called and I have walked there many times and it's in a very busy part near dupont circle and it's a lot of women dressed for success. You know, when their Manolo blahniks they're walking through and the men, well the men are homeless people living in this park and they make comments. So there is a huge class difference between these women. Are we supposed to think these women need to be protected from these guys who are the have nots?

Speaker 2:          00:22:22       Right. So that's an interesting discrepancy that it's not Wall Street bankers walking down the street making these comments were. Then there's sort of an added layer of, of a financial difference in social status and all that. It's usually coming from people beneath, I suppose not always offered it and gave that enough to dismiss it. As, you know. I get what you're saying. There's a wild discrepancy between you. You're cuter whistling at a girl or versus leering and following you. I

Speaker 3:          00:22:51       think men should know that it bothers women. I'm not sure it bothers all women. I mean, I think it depends on the woman and you know, it's very complicated. Yeah. I don't want the women who were the most hypersensitive and for sort of freaked out about male attention. I don't think they should be able to write the rules. I think they should consult other women. What I suspect you would find is that it can be annoying. I mean, as I said, I remember being younger and being annoyed, but it was mainly a. well, there were, I mean, it didn't happen that much on Wall Street or in, in, in Manhattan, but um, so there did seem to be an element of a class involved, but I, but I think you have to, you know, I think in different cultures the women react to it differently. There are different mores and things. But in my neighborhood in Washington, D, c, I don't see it happening and where I live.

Speaker 2:          00:23:48       So basically what I sense is you're, you're pretty much saying that your fear in this would be that if you were to allow some laws to be passed related to all this stuff that you're handing the power over sort of the authoritarian

Speaker 3:          00:24:00       police. They can arrest anybody and it would be these. I mean, I think in dc it would be these poor guys. And uh, so I, I think, you know, most men want to be decent human beings and they should know women don't appreciate it and that most don't. And especially if it's in, you know, kind of pushy and certainly if it's offensive, but, but then you're not, don't make laws and don't invite the police in this is. There's so much of this event inviting authorities in and some have called it the pink police state, you know, this feminist police state that we have on campus where your kids and public universities, the young men are afraid to tell a joke or to say anything that comedy clubs that are afraid to sell they veteran, they're unwelcome on campus. It's a hostile environment for humor. And so that's why you have to be careful and sometimes you'll get what you wish for, but then you get a lot more. You get a lot more repression, authoritarianism. It's just not worth it.

Speaker 2:          00:24:59       Yeah. So it's some of that also that the feminism movement has been a victim of its own success in a weird way because it seems to me that feminist now should be fighting so much more for women's rights in other countries. Now, of course we have a long way to go here, but when we see all kinds of horrible things have, you know, women still can't drive in Saudi Arabia, one of our biggest allies in the Gulf, you know, this is not an enemy country and all over the Middle East and all over Africa where women's rights are basically trampled on if not nonexistent. Why don't feminists groups focus on that at all?

Speaker 3:          00:25:34       You do have genuine patriarchal, oppressive societies and and what what's happening to women's rights in Iran is terrifying of course in Saudi Arabia, many parts of the world. I've been to international women's conferences and you meet these women who represent when then from their countries that I've met from Cambodia and Yemen and Egypt and so forth, and it's very inspiring. It's like meeting the Elizabeth Cady Stanton and Susan B Anthony that the feminist foremothers of their society and you would think that the know on the campus, these young women would be especially young women that are idealistic and want to be activists. You'd think they'd be making common cause with those women. Instead, these women had overland and Georgetown and you, they're protesting the men on their campus because they and they, they feel they are, they, they feel that they are like these women that are oppressed in, in Iran, that they have it as bad or worse. So it's, it's delusional.

Speaker 2:          00:26:28       Yeah. So I think there's something much bigger going on here and I think this is why so much of our audience, especially on twitter, likes what we're both doing and what people like Joe Rogan a guide, sad and then Milo, many others are talking about. There's some weird movement of Authoritarians were the left now, which is supposed to be about free thinking and debating ideas and doing this right where the left is now throwing out half the people. I had Sarah Haider I last week and this is an ex Muslim who stands up for every liberal ideal. The left should love her and they shun her. At best they were actually treated worse than, than being shunned.

Speaker 3:          00:27:05       When I wrote my first book, which was protesting the, the authoritarianism of feminism and the Anti Intellectual Ism, the conspiracy theories, all of that. Uh, I expected to have a good reception from feminist scholars because I just assumed there was a silent minority of silent majority of reasonable women. And I did, I heard from some great women and from nate, nate [inaudible] and president of the then president of the Acl, you, um, I heard from Erica Jong, you know, this pro-sex feminine feminist novelist and sober and they were great, but my colleagues in the academy were furious that I had criticized and they thought that criticism was the same as a kind of betrayal and show that you were on the side, the side of, you know, the forces of evil. So they didn't just agree, disagree with you. They thought you were evil. Now they don't just disagree with you, they think you're evil and that you give them ptsd.

Speaker 2:          00:28:01       Yes. So you give the ptsd and then it also doesn't give them a license to say and virtually do anything they want to you. Because I could give you a zillion examples of times where I've seen anyone that shifts a little bit away from people on the left where they are slandered and smeared and horrible.

Speaker 3:          00:28:19       They do to other people exactly what they say the right is doing. They demonize, they objectify, they other eyes do use their word. They micro, macro there, there, there. There are massive macro and micro and nano aggression, so they don't hesitate to be rude, snarky, and there's so much meanness. I don't understand feminism with meanness. It was when I. I mean I know there were some eccentric angry women from the beginning of the second way, but mostly the lived experience of most women who were enjoying their liberation was happiness and joy and, and being friends with men not going to war with them.

Speaker 2:          00:28:56       Yeah. So where does this strange a collusion of all these people that all end up on the left doing this? You know, I've said repeatedly on the show. The reason I talk about this all the time and the reason I tweet about the regressive left and want to talk about this because I don't want the left to go over the deep end and that's why I'm talking about a cross section or talking with a cross section of people from literally all over the world because I'm afraid. What happened to the right, where it went so far? Right? Is, is happening right now? What brings these people together, do you think when, when often they shouldn't have a lot in common?

Speaker 3:          00:29:28       Well, I, I will tell you what I know best is among the feminist is a small group in the university's gained control of the knowledge base. I mean what we think we know about and women. So you're a journalist and you need to know something about the wage gap or you need to know something about women and in, in, in education, you go to these people and they are what the journalist doesn't know or the politician or the interested party doesn't know is that they're spinning and they have an ideology that drives their research. So I think a lot of people don't realize that there's it, there's so much a spurious scholarship. So they take it seriously and now it's, there are untruths, exaggerations of fic, toys, factoids that had been repeated so often. They're almost beyond the reach of rational analysis and, and, and if you question them, you are by definition a sexist or worse.

Speaker 3:          00:30:28       So they got a certain amount of power just through this, this, this information, this scholarship about how in this case about how oppressed women were. So you have to sympathize and then they, they, they then kind of went off the deep end with this psychobabble and these psychodramas about. I'm triggered and you know it. I mean at Brown University they have a year or so ago and there was a story about it. You may have seen, I'm sure you did in the New York Times by Judith Shulevitz at Brown University. They had a debate. So it was a feminist feminist, actually a libertarian feminist and someone else, another feminist debating a rape statistics and you would think that's perfect. What more could the students want? They can hear both sides and their sides well represent no, they didn't want the debate at all and they formed a, a safe room. And in that safe room they were playing tapes of frolicking puppy dogs. They had bubbles, coloring books, play dough. Maybe I made up the Plato, I think it was there. So this is so infantilized and again I and many other feminists have my agenda, you look at it and say, this is infantilization, this is, this is the opposite of what feminism should be. And when I got to college we threw out the dorm counselors and the guardians of our virtue and all that. We wanted to be in charge.

Speaker 2:          00:31:52       What went wrong? Do you think if there was a, was there a moment that it actually, that's something snapped. If in fact something went wrong and the feminist movement went from these two extremes. What do you think happened there? Well,

Speaker 3:          00:32:04       I think I know what happened. No one listens to me. I wrote this article to the Aad beast where I pinpointed what happened. These were, she'll call this, these, a fainting couch. Feminists and purveyors of myths. They been around for a long time. They'd been in gender studies is too bad, but in 2011 at little known, uh, uh, operatic, no other, no a government official center that was going to sound conspiratorial if you don't know. But in this case it's true. She sent out a letter to all the colleges, universities, her name. She was the assistant secretary of civil rights, Russell and Ali, and she sent out to all the colleges and I think her intention was that they take more seriously that women are harassed on campus and there was too much sexual assault, but she went overboard. She's terrified the universities and made it seem like if they didn't immediately put all like most men on trial and get them out of those schools and believe women because she claimed there was this app or this epidemic of sexual predation that the men at at campuses like Yale and swarthmore and so we're just praying on women.

Speaker 3:          00:33:14       So she sent this letter and the schools now can be sued under title nine. This equity statute. It's a wonderful statute. It was meant to be there to give women equal opportunities in education, but it's been twisted now and they've kind of declared martial law on men on campus because of this letter was 2011 and you look at that date and then you see it brought words like trigger warnings and safe space. This whole mindset of a rather somewhat paranoid young women and their mentors on campus it, it gave them the power to to make a federal case literally have their perception.

Speaker 2:          00:33:54       That's so interesting because I can see the line now to when you were talking about the cat calling, why the slippery slope exists. If you were to create a law, well then you could be in this.

Speaker 3:          00:34:04       Well now once you have a law, they already had title nine officers, but since 2011, that's probably the area of greatest growth on many campuses. They have dozens and dozens of people monitoring how the boys are treated in the girls at, at, at Wesleyan, in these are mostly very privileged kids and there's a lot of drinking and I'm sure drunk hookups, but they have redefined drunken hookups to at TB rape of a young man against women. So of course they call them. Then there's a rape epidemic if you're going to enlarge the meaning of this horrible war, but you're going to enlarge it to include drunken hookups.

Speaker 2:          00:34:40       Right? So I see. So there's so many pieces here that, that are related to feminism. And so much of this authoritarian stuff and the college stuff, the Yale thing, which we were both tweeting about that happening half ago or so with the professor that wrote the piece about the, you know, the costume Halloween costumes and if you see someone that's wearing saying offensive, either ignore it or use your free speech to engage them and why you are happy with it and hopefully have a conversation about it. Then that professor's a husband, I believe is the dean there. He got into this argument with the student and the student basically said, and it was all caught on camera, basically said this is not a place of intellectual ism. This should be a whole home. I really like. It takes a lot to really get me crazy. But I thought this is dangerous now. What's happening, you know. And I also, I usually don't feel like a Grandpa, but I felt like a grandpa. Like you kids. Like how stupid are you kids? But it really, me as now we have something systemic that we have to

Speaker 3:          00:35:41       dangerous and here's why. Some leftist I've seen or they're embarrassed by it, who wouldn't be, but they say, oh, it's just kids acting out. No, it's not just kids acting out. These are kids who have been fed a lot of bad, crazy information in their ethnic studies or gender studies where it's highly politicized scholarship. They've had it and they may, if they went to elite high schools, they probably had it since 10th grade. They've been reading these conspiracy theories about how bad the United States or a western culture and particularly the men, it's patriarchal male had Gemini so forth and uh, they believe it and, and they do not have much knowledge of history. So if they are doing things that people that know history remind you of the mccarthy era or even the Salem witch trials just in terms of hysteria and contagions of hysteria. Um, they're not aware of it. I mean, and what this is, this doesn't happen often, but there was one young woman that, and this is all over, not all over, but you can find it on the Internet. She burned my book. She gleefully, young woman took the organs boys and burned it and I just, I just, as a teacher and a mother, I just thought Bra burning a book, have a good history, you know,

Speaker 2:          00:37:00       now I assume that she tweeted it at you.

Speaker 3:          00:37:03       Well, it was a, it was on tumbler and someone sent it to me.

Speaker 2:          00:37:08       So basically they're, they're creating an atmosphere where almost everything. I mean, it really feels 19, 84 or wellbeing reverse everything is this sort of doublespeak and reverse of how we're supposed to have debate, right? I mean, if you can't have an intellectual debate in college, well how are you going to get out to the real world and do it

Speaker 3:          00:37:28       right? And the Supreme Court has ruled many times that freedom of speech is most important on the college campus. It has refused to a Jew to sanction speech codes and the courts have refused to do this. Uh, but schools have them anyway. And, um, it, it, it, if our universities become places where you have to be hyper protective of students, protect them from ideas, and your goal is to achieve massive amount of comfort and safety. You have undermined the purpose of your being. You exist at the universities don't exist for that purpose. Going back to the time of, of, of the, of socrates. The academy was about debate and, and counterargument and, and being able to reason. And, and uh,

Speaker 2:          00:38:18       I think that's why people are responding to us. Right? Because we're trying to bring that back. What else do you think we can do? Because, you know, I, I see this stuff and I talk about it all the time, but every now and again I got, I mean, 100 percent of the. I do feel a little guilty ever. It's rare, but I do once a while, like, you know, in something like the, what happened at University of Missouri. I empathize with these kids if they feel, you know, if they were racist, things happening inside the whole. That thing sounds a little unclear as to what exactly was going on in the poop swastikas and somebody said the n word and all this, but I have no doubt that there is racism on the campus and there's racism in Missouri and in the country. I've moved out. So sometimes I do feel a little. Guilty isn't the right word, but a little.

Speaker 3:          00:38:59       No, I understand exactly what you're saying. Take it then. I have never really gone on about the race issues the way I do with the gender issues. I think they're very different. There's a particular history, a very specific history with African Americans in the United States and, and, and I don't like to see the women's movement pretending that they're women have been oppressed in the same way. That is just not true. Depends on which women. And if you were an upper middle class white woman, you have had a very different history. And this was supposedly the great insight of intersectional intersectionality, but they didn't seem to apply it very consistently. And certain groups, like most men seem to be written out of it. So, um, it's just not, it's not a consistent body of work. They need to bring in more critics, they need to, to hear from dissidents and um, if they think, well, ours is a compassionate movement and they are going after people's jobs and as I said, there are these, these sort of twitter mobs that want to destroy people's reputation.

Speaker 2:          00:40:05       Well, what did you make of that professor at Missouri? The woman who was standing there screaming at the reporter who was, you know, she was saying, we need some muscle around here to get the reporter editor

Speaker 3:          00:40:14       was a thug. It was thuggish and many of the little scenes I've seen on the campuses, uh, uh, reminiscent of a, like these struggles sessions they had in the cultural revolution in China. And those were run by students. I mean it. People say, well, you wouldn't compare them. Those people we know we're throwing people out of windows. I agree that I don't, they're not comparable in that way. For one thing, these kids on our campus don't have that kind of power, thank God. But some that I see such as, they seem so intoxicated with hatred and self righteousness, I don't know what they would do if they had power, real power. They have power to hurt people, you know, their jobs and reputations. But that's already awful. Look, I mean, it's awful what's happening to so many young men and I have no apologies for criminals.

Speaker 3:          00:41:00       They're criminals on campus and taking advantages of, of girls. That's awful. But what is more often the case with so many that we've read about, it's young men that, that, you know, it's like a year later the girl takes a, the young woman takes a women's studies class and rethinks this bad hookup. And then he's brought up on charges, sometimes not even told what the specifics of the charge are. We've had too many of those. And um, so that's what worries me is these people get carried away and these gender studies and other things and then they, they have no regard or maybe no knowledge of, of the first amendment of due process of, of the, the history of the battle that was fought for freedom of speech. Now, of course it will be turned on them. So you're already seeing now feminists are getting in trouble. I think there was a professor that was hired. It was fired for using the f word.

