Speaker 1:          00:01          No.

Speaker 2:          05:05          There are also many Greek affixes app or an meaning without by or bio meaning life or living thing, hyper meaning excessive micro meaning small geo meaning earth or geography, anti meaning against it, a suffix that forms adjectives and many more. A huge number of these newly coined words exist in areas of academia, medicine, science, and technology because the huge advancements in these areas over the past 500 years required the creation of lots of new vocabulary in the field of medicine. For example, Latin words, both old and new, newly coined ones were often used for anatomy. While Greek words were used for the names of illnesses or specializations. A lot of these specialized words are not used in daily conversation very often, but without them it will be very difficult to talk about these advanced fields of study. It's also worth noting that these words are not exclusive to English.

Speaker 2:          06:00          A lot of them are used in other languages as well when talking about those fields of study. Here are a couple of hints on how to recognize Greek vocabulary. Most words starting with Ph are Greek. Some vowels, spellings give us a hint like aee or oee. Together, if you see a wide between consonants, it's likely a Greek word. If a word starts with any of these consonant clusters, then it's almost certainly a word of Greek origin. Some of these clusters can't be pronounced in English like ps or pen or Gen. so the first letter is dropped in pronunciation. An interesting example back in the 19 fifties, professor sandol phones, the Lotus, a Greek economist and the 75th prime minister of Greece gave two speeches in which she addressed the audience in English, but using exclusively words of Greek origin with the exception of grammar, words like articles, prepositions and conjunctions.

Speaker 2:          06:53          All of the content where it's wearing Greek here is a piece of one of those speeches which he gave to the International Bank for Reconstruction and development. It is Zeus and that's them up on our epoch for the dynamism of our economies and the heresy of our economic methods and policies that we should agonize between the seller of numismatic plethora and the curb dis of economic anemia. It is not my idiosyncrasy to be ironic or sarcastic, but my diagnosis would be that politicians are rather crypto plethora wrists, although they emphatically stigmatized numismatic plethora, energize it through their tactics and practices. Our policies have to be based more on economic and less on political criteria. Now, let's break that down a little bit. The first part it is Zeus is anathema on our epoch. This means it is [inaudible] curse or a punishment on our time or era. In a typical English sentence, you might expect to see God in this context instead of Zeus, for the dynamism of our economies and the heresy of our economic methods and policies.

Speaker 2:          07:53          Here, he's saying that Zeus is punishment, is for the uncontrolled activity of our economies and our economic heresy, meaning violating, accepted economic ideas, and next he'll explain what the punishment is that we should agonize between the seller of numismatic plethora and the coverup this of economic anemia. Now these two words here, Scylla and Charybdis, these are actually characters from Greek mythology. They are to mythical sea monsters, too dangerous monsters that it's difficult to navigate between because if you move away from one, you move toward the other. Their names here are indicating to dangerous situations, so the first of those two dangerous situations is numismatic plethora. Numismatic means related to coins or currency and plethora means abundance or a lot of these two words together, me and inflation, meaning there's too much currency in circulation, so prices increase. And the second dangerous situation, the curb, this is economic anemia. Anemia meaning stagnation or loss of energy. Most of the second part is probably easier to understand, but let's look at one part, but my diagnosis would be that politicians are rather crypto plethora, wrists.

Speaker 2:          09:06          Now this word requires a look. Crypto means secret and plethora. Wrists, remember that word before Plethora, which means abundance or a lot of, and then it's. That's an affix showing the dewar of an action. So Plethora. Wrists are people who create an abundance of money. They create inflation, although they emphatically stigmatize numismatic plethora, although they speak badly about inflation, they energize it through their tactics and practices. He's saying that politicians are secretly creating inflation despite what they say. That's just an excerpt, but I'll leave a link to the full version of the two speeches in the description below. Now, the irony of me describing that speech in standard English is that I've probably used a lot of words of Greek origin myself without realizing it. So the question of the day, were you surprised to discover how much English vocabulary comes from Greek? Were you surprised by any of the examples? Also, feel free to leave additional examples in the comments down below. Be sure to follow Lang, focus on facebook, twitter, and Instagram, and once again, thank you to all of my amazing patrion supporters for their monthly pledges, especially these people right here on the screen. Thank you for watching and have a nice day.
